<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1ECO.V,D,20220514,000000,4.07666,4.07666,4.07666,4.07666,0.00009506445,0
1ECO.V,D,20220515,000000,4.08512,4.0877,4.05889,4.07404,1372.9001010022291,0
1ECO.V,D,20220516,000000,4.08106,4.09549,4.0601,4.08374,1618.6224568950217,0
1ECO.V,D,20220517,000000,4.08598,4.08882,4.05889,4.08219,1763.8572665386714,0
1ECO.V,D,20220518,000000,4.06294,4.08963,3.99441,3.99483,1621.3506952227892,0
1ECO.V,D,20220519,000000,3.99481,4.08965,3.99441,4.08688,1926.3872864104296,0
1ECO.V,D,20220520,000000,4.06479,4.09139,3.99481,4.0787,1903.5886517369524,0
1ECO.V,D,20220521,000000,4.06397,4.08894,4.06214,4.06595,1524.528900696401,0
1ECO.V,D,20220522,000000,4.06356,4.08893,4.06172,4.08639,1476.3522525392386,0
1ECO.V,D,20220523,000000,4.07333,4.09262,4.06052,4.08204,2530.478521755059,0
1ECO.V,D,20220524,000000,4.06356,4.09058,4.05647,4.06356,1420.4796397676005,0
1ECO.V,D,20220525,000000,4.08013,4.0918,4.06172,4.06437,1549.5080588824992,0
1ECO.V,D,20220526,000000,4.07663,4.09221,3.9952,4.07873,1603.5269421327002,0
1ECO.V,D,20220527,000000,4.08688,4.09126,3.8961,3.90925,1540.6527143346987,0
1ECO.V,D,20220528,000000,4.06635,4.0907,3.79617,4.08632,3152.9022395882944,0
1ECO.V,D,20220529,000000,4.07123,4.09074,3.83458,4.06434,1692.1944349518985,0
1ECO.V,D,20220530,000000,4.0643,4.10041,4.06417,4.07996,2135.125284785391,0
1ECO.V,D,20220531,000000,4.08845,4.09262,4.06416,4.08966,1162.66540283803,0
1ECO.V,D,20220601,000000,4.08832,4.09197,4.06356,4.08763,1146.4700820667288,0
1ECO.V,D,20220602,000000,4.06478,4.09139,4.06336,4.07791,1114.8867187204996,0
1ECO.V,D,20220603,000000,4.06558,4.09195,4.06299,4.08992,1385.1559915827902,0
1ECO.V,D,20220604,000000,4.07362,4.09279,4.06486,4.08869,1506.5548924196005,0
1ECO.V,D,20220605,000000,4.07117,4.09225,4.06409,4.08877,1481.1542292163003,0
1ECO.V,D,20220606,000000,4.06682,4.09164,4.06405,4.0875,1786.8395113492093,0
1ECO.V,D,20220607,000000,4.08783,4.09189,4.06377,4.06932,902.3512186785699,0
1ECO.V,D,20220608,000000,4.06604,4.09578,4.06413,4.08254,1544.844196062321,0
1ECO.V,D,20220609,000000,4.08634,4.09344,4.06344,4.06547,1266.3899010572397,0
1ECO.V,D,20220610,000000,4.08457,4.09389,4.06283,4.06364,1596.6210607819994,0
1ECO.V,D,20220611,000000,4.08692,4.0891,3.79522,4.05763,1559.0220465876014,0
1ECO.V,D,20220612,000000,3.80779,4.08781,3.79569,3.82366,2227.204035166099,0
1ECO.V,D,20220613,000000,3.82362,4.09169,3.595,4.08561,2411.6984668453556,0
1ECO.V,D,20220614,000000,4.06382,4.09244,4.05715,4.08643,2220.6453436193992,0
1ECO.V,D,20220615,000000,4.07123,4.08672,3.99906,3.99906,1203.9275280994,0
1ECO.V,D,20220616,000000,4.06618,4.08068,4.04071,4.0622,1560.9347480328,0
1ECO.V,D,20220617,000000,4.05993,4.07451,4.02805,4.07152,5874.395213634503,0
1ECO.V,D,20220618,000000,4.07139,4.07418,3.89341,3.89341,1612.0476561957998,0
1ECO.V,D,20220619,000000,3.87063,4.09159,3.85581,4.07198,1751.973198803801,0
1ECO.V,D,20220620,000000,4.06471,4.09086,4.06214,4.06719,925.1248982320998,0
1ECO.V,D,20220621,000000,4.06413,4.08681,4.05768,4.06329,1167.5810033651999,0
1ECO.V,D,20220622,000000,4.06367,4.0755,4.06043,4.06628,946.1526339778005,0
1ECO.V,D,20220623,000000,4.06998,4.0758,4.06336,4.07186,863.2697189357,0
1ECO.V,D,20220624,000000,4.06707,4.07641,4.06429,4.07072,1010.0378910897,0
1ECO.V,D,20220625,000000,4.07528,4.077,4.06533,4.0746,1108.9990507189002,0
1ECO.V,D,20220626,000000,4.07243,4.07568,4.06533,4.07543,946.5803893864997,0
1ECO.V,D,20220627,000000,4.06983,4.07564,4.06508,4.0658,913.1270442502997,0
1ECO.V,D,20220628,000000,4.06541,4.07437,4.06401,4.06608,1085.0883792614004,0
1ECO.V,D,20220629,000000,4.06779,4.07282,4.0624,4.06985,1419.4826009861,0
1ECO.V,D,20220630,000000,4.06906,4.0724,4.01866,4.05941,1423.4635562366002,0
1ECO.V,D,20220701,000000,4.06438,4.07351,4.03252,4.05956,1752.086472417801,0
1ECO.V,D,20220702,000000,4.06575,4.07345,4.03332,4.0503,1167.6753616827996,0
1ECO.V,D,20220703,000000,4.04457,4.07308,4.03231,4.06872,1761.1355907615,0
1ECO.V,D,20220704,000000,4.07267,4.07289,4.06275,4.06517,1313.1696822809004,0
1ECO.V,D,20220705,000000,4.06614,4.07341,4.06386,4.07136,957.1195984182007,0
1ECO.V,D,20220706,000000,4.07272,4.0735,4.0641,4.07084,901.3552532260002,0
1ECO.V,D,20220707,000000,4.06634,4.07552,4.06416,4.07311,985.3238036172,0
1ECO.V,D,20220708,000000,4.07114,4.07549,4.06564,4.07304,1102.9446113876995,0
1ECO.V,D,20220709,000000,4.07516,4.07551,4.06458,4.07201,1130.7809313474008,0
1ECO.V,D,20220710,000000,4.07275,4.07554,4.06626,4.06928,1606.9616999720006,0
1ECO.V,D,20220711,000000,4.06547,4.07539,4.03522,4.06948,995.5371789054999,0
1ECO.V,D,20220712,000000,4.07,4.07391,4.06446,4.06832,941.5903929064998,0
1ECO.V,D,20220713,000000,4.06602,4.0739,4.06429,4.07082,1103.7811410417007,0
1ECO.V,D,20220714,000000,4.065,4.07525,4.065,4.06873,1032.8136753833005,0
1ECO.V,D,20220715,000000,4.07463,4.07552,4.06368,4.06921,954.7747879930001,0
1ECO.V,D,20220716,000000,4.07316,4.07637,4.03683,4.07623,859.2558153335997,0
1ECO.V,D,20220717,000000,4.05075,4.07678,3.99908,4.05602,1085.0317606207004,0
1ECO.V,D,20220718,000000,4.05431,4.07746,3.81628,4.07209,1104.2920227083005,0
1ECO.V,D,20220719,000000,4.05419,4.07677,3.88524,4.06343,1020.3116343194998,0
1ECO.V,D,20220720,000000,4.03914,4.07854,3.84766,4.03952,1140.3540939419004,0
1ECO.V,D,20220721,000000,4.05817,4.07644,3.80863,4.0041,1206.8638406873604,0
1ECO.V,D,20220722,000000,3.98184,4.07578,3.86032,3.97697,1156.2716237392,0
1ECO.V,D,20220723,000000,3.9736,4.07265,3.80024,3.81168,1160.799667479,0
1ECO.V,D,20220724,000000,3.8036,4.06477,3.79996,4.0174,358.0935149169998,0
1ECO.V,D,20220725,000000,4.00986,4.0217,3.85917,3.89021,1148.6037006064998,0
1ECO.V,D,20220726,000000,3.86452,4.07832,3.84788,4.0229,1995.3427053120795,0
1ECO.V,D,20220727,000000,4.02026,4.06105,3.98061,4.02236,1159.7925029249002,0
1ECO.V,D,20220728,000000,4.01214,4.03269,3.96603,4.02723,494.920478,0
1ECO.V,D,20220729,000000,4.02209,4.07487,3.95635,3.97901,1028.4507471623003,0
1ECO.V,D,20220730,000000,3.99049,4.09914,3.97097,4.04874,1229.7245979753004,0
1ECO.V,D,20220731,000000,4.04886,4.06993,4.01106,4.01142,1457.7275219647997,0
1ECO.V,D,20220801,000000,4.01146,4.08042,3.63853,3.63998,1080.2493165182998,0
1ECO.V,D,20220802,000000,3.67538,3.88173,3.58075,3.58281,1373.1511173292004,0
1ECO.V,D,20220803,000000,3.58322,3.61434,3.57582,3.59651,1209.4754245159006,0
1ECO.V,D,20220804,000000,3.59662,3.9108,3.50954,3.59581,1143.4853175327999,0
1ECO.V,D,20220805,000000,3.59576,3.62634,3.36866,3.47568,1264.4998243738996,0
1ECO.V,D,20220806,000000,3.47588,3.62754,3.47588,3.59359,1222.2501055305002,0
1ECO.V,D,20220807,000000,3.59366,3.6466,3.59366,3.60953,1247.7118334423005,0
1ECO.V,D,20220808,000000,3.60981,3.86316,3.47338,3.72113,1282.385675941,0
1ECO.V,D,20220809,000000,3.72124,3.7727,3.40078,3.68821,1159.3912903389,0
1ECO.V,D,20220810,000000,3.68813,3.7117,3.19177,3.35962,1016.0643360012,0
1ECO.V,D,20220811,000000,3.35948,3.40703,3.01566,3.24149,996.3389908128,0
1ECO.V,D,20220812,000000,3.24121,3.27935,3.15137,3.15137,1138.6305175316004,0
1ECO.V,D,20220813,000000,3.15065,3.16037,3.08103,3.08103,1189.8394587425998,0
1ECO.V,D,20220814,000000,3.08047,3.09274,3.07279,3.08163,1134.6857012581,0
1ECO.V,D,20220815,000000,3.07303,3.26919,2.73861,2.84168,1368.8775165088002,0
1ECO.V,D,20220816,000000,2.84173,3.0584,2.51411,2.58729,1231.5030417218995,0
1ECO.V,D,20220817,000000,2.58731,2.73375,2.58718,2.60944,1159.2287494073005,0
1ECO.V,D,20220818,000000,2.60934,2.64021,2.41238,2.58406,1041.7518678165998,0
1ECO.V,D,20220819,000000,2.58432,2.61878,1.6439,2.5192,1080.6621773786994,0
1ECO.V,D,20220820,000000,2.51887,2.51887,2.37464,2.4102,1154.3573417108003,0
1ECO.V,D,20220821,000000,2.41016,2.43433,2.30062,2.30222,1171.4571931634998,0
1ECO.V,D,20220822,000000,2.3024,2.53812,2.3024,2.45374,1218.0530384003996,0
1ECO.V,D,20220823,000000,2.4538,2.54882,2.24909,2.52097,985.6985580768003,0
1ECO.V,D,20220824,000000,2.51273,2.55076,2.51273,2.52615,982.8562305999997,0
1ECO.V,D,20220825,000000,2.52611,2.55387,2.49882,2.53302,1265.1565161086003,0
1ECO.V,D,20220826,000000,2.4978,2.52124,2.20346,2.35562,1347.0630499832,0
1ECO.V,D,20220827,000000,2.35551,2.38238,2.00042,2.15226,1226.4150634893006,0
1ECO.V,D,20220828,000000,2.13497,2.16344,2.13434,2.13493,930.8883271439003,0
1ECO.V,D,20220829,000000,2.13493,2.15867,2.13454,2.13501,1162.9160841338,0
1ECO.V,D,20220830,000000,2.13516,2.26105,2.1348,2.26057,1026.4434891152998,0
1ECO.V,D,20220831,000000,2.25432,2.33078,2.2,2.20042,1936.9525782024002,0
1ECO.V,D,20220901,000000,2.20051,2.24987,2.11987,2.20028,1387.6854810351988,0
1ECO.V,D,20220902,000000,2.21011,2.55333,2.18701,2.54767,1210.4601896182005,0
1ECO.V,D,20220903,000000,2.54775,2.55446,2.51098,2.53831,1174.4365864535996,0
1ECO.V,D,20220904,000000,2.52891,2.55324,2.06354,2.30428,1031.8799802833,0
1ECO.V,D,20220905,000000,2.30388,2.30938,2.20074,2.20074,1258.9460942496005,0
1ECO.V,D,20220906,000000,2.20013,2.21645,2.15223,2.16166,2282.571496204899,0
1ECO.V,D,20220907,000000,2.16163,2.21428,2.16012,2.21323,1246.2480060151001,0
1ECO.V,D,20220908,000000,2.21325,2.21435,2.16371,2.1761,1156.7018402485999,0
1ECO.V,D,20220909,000000,2.16241,2.19263,2.15129,2.18221,930.1033458243006,0
1ECO.V,D,20220910,000000,2.17865,2.19281,2.1217,2.12174,1080.0194888241003,0
1ECO.V,D,20220911,000000,2.12108,2.13032,2.09554,2.10382,2030.4268607615998,0
1ECO.V,D,20220912,000000,2.09514,2.10058,2.00426,2.07967,1350.1473899824002,0
1ECO.V,D,20220913,000000,2.07961,2.09173,2.05776,2.05811,950.573703633,0
1ECO.V,D,20220914,000000,2.05809,2.06947,2.04992,2.06788,1252.1083022533994,0
1ECO.V,D,20220915,000000,2.06788,2.08548,1.97472,2.06725,1088.8181258592006,0
1ECO.V,D,20220916,000000,2.06691,2.0859,1.95187,2.06797,1195.7629453878,0
1ECO.V,D,20220917,000000,2.07393,2.08672,2.05627,2.07146,884.3394067290001,0
1ECO.V,D,20220918,000000,2.07151,2.08415,2.05975,2.05975,1234.7865169938,0
1ECO.V,D,20220919,000000,2.07403,2.08285,1.95117,2.06557,909.6930253729995,0
1ECO.V,D,20220920,000000,2.06569,2.08408,2.06569,2.06995,969.9392370228003,0
1ECO.V,D,20220921,000000,2.07017,2.08258,2.04585,2.06923,938.1451361695001,0
1ECO.V,D,20220922,000000,2.06239,2.08112,2.0444,2.04651,1059.0782705597003,0
1ECO.V,D,20220923,000000,2.04673,2.08008,2.04668,2.0599,783.8340915567,0
1ECO.V,D,20220924,000000,2.06,2.07931,2.00023,2.00054,655.902970005871,0
1ECO.V,D,20220925,000000,2.00048,2.07301,2.00018,2.0605,415.14290831459994,0
1ECO.V,D,20220926,000000,2.07701,2.09448,2.03126,2.0782,530.4740072669999,0
1ECO.V,D,20220927,000000,2.06778,2.10595,2.06744,2.07198,271.4500006965,0
