<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABBC.V,D,20220515,000000,0.0886668,0.0911904,0.0872689,0.0910906,15927987.708323,0
ABBC.V,D,20220516,000000,0.0914901,0.0935876,0.087586,0.0883761,11747445.218337,0
ABBC.V,D,20220517,000000,0.088385,0.0924796,0.0864961,0.0910906,14187941.384873,0
ABBC.V,D,20220518,000000,0.0904822,0.092979,0.0821848,0.0823928,11922036.889967,0
ABBC.V,D,20220519,000000,0.0827922,0.0911179,0.0779985,0.0902187,11857823.866498,0
ABBC.V,D,20220520,000000,0.0905094,0.0918896,0.0840905,0.0911813,13398904.7743,0
ABBC.V,D,20220521,000000,0.0913902,0.0918804,0.0886846,0.0916807,13811154.43934,0
ABBC.V,D,20220522,000000,0.0914809,0.0968836,0.0887783,0.0958752,10829230.04076,0
ABBC.V,D,20220523,000000,0.0960846,0.0964937,0.07491,0.0815021,18822587.443113,0
ABBC.V,D,20220524,000000,0.079904,0.0853061,0.0729197,0.0797961,14832720.709708,0
ABBC.V,D,20220525,000000,0.0797961,0.0849065,0.0797961,0.0831085,14315744.835218,0
ABBC.V,D,20220526,000000,0.0831002,0.0831002,0.0798201,0.0803196,14101533.762958,0
ABBC.V,D,20220527,000000,0.0803196,0.0833166,0.0798201,0.0830169,12973731.508658,0
ABBC.V,D,20220528,000000,0.0835496,0.0837087,0.0794118,0.0816044,11481706.703356,0
ABBC.V,D,20220529,000000,0.0820023,0.083613,0.0800127,0.0832117,13726448.608392,0
ABBC.V,D,20220530,000000,0.0829641,0.0917357,0.0829641,0.086131,17821910.526609,0
ABBC.V,D,20220531,000000,0.086131,0.0924352,0.0853317,0.0902278,13267839.94145,0
ABBC.V,D,20220601,000000,0.0909299,0.0953237,0.0896327,0.0929163,15981294.77718,0
ABBC.V,D,20220602,000000,0.092907,0.0936157,0.091908,0.0934158,18733337.166528,0
ABBC.V,D,20220603,000000,0.0935158,0.0935158,0.09083,0.0916202,16337707.713856,0
ABBC.V,D,20220604,000000,0.0915212,0.0953246,0.090207,0.0944282,15108104.980573,0
ABBC.V,D,20220605,000000,0.0941284,0.0949145,0.0897246,0.0922142,16684920.61026,0
ABBC.V,D,20220606,000000,0.0923131,0.1011109,0.0911124,0.0976179,13109881.424711,0
ABBC.V,D,20220607,000000,0.0971174,0.0981175,0.0892223,0.0928285,15322736.854647,0
ABBC.V,D,20220608,000000,0.0920263,0.0949316,0.0909399,0.0943386,90478953.090591,0
ABBC.V,D,20220609,000000,0.093839,0.0967245,0.0892277,0.0895247,138378118.60289,0
ABBC.V,D,20220610,000000,0.0895238,0.0927258,0.0895203,0.0909843,71002093.402188,0
ABBC.V,D,20220611,000000,0.0906847,0.0945958,0.089694,0.0901971,26023807.873394,0
ABBC.V,D,20220612,000000,0.0903968,0.0922771,0.0870919,0.0891893,15721617.97614,0
ABBC.V,D,20220613,000000,0.0881905,0.0883911,0.072392,0.0760948,31754567.267795,0
ABBC.V,D,20220614,000000,0.0742966,0.0808882,0.0679978,0.0743137,133174362.79353,0
ABBC.V,D,20220615,000000,0.0768085,0.0779797,0.0717684,0.0754866,341236893.0163,0
ABBC.V,D,20220616,000000,0.0754866,0.0813105,0.074895,0.0749025,145943091.24168,0
ABBC.V,D,20220617,000000,0.0738986,0.076886,0.0721988,0.0747102,120557571.72822,0
ABBC.V,D,20220618,000000,0.0752096,0.0768891,0.0702895,0.0741789,310717406.75995,0
ABBC.V,D,20220619,000000,0.0739785,0.0752831,0.0665933,0.0700159,21996559.534402,0
ABBC.V,D,20220620,000000,0.0727054,0.0740111,0.071587,0.0721206,13116394.498407,0
ABBC.V,D,20220621,000000,0.0720135,0.0741513,0.0696573,0.0705284,10973823.800958,0
ABBC.V,D,20220622,000000,0.0653346,0.0710289,0.0643356,0.0667332,31415953.186996,0
ABBC.V,D,20220623,000000,0.0674325,0.0675324,0.0651283,0.0664335,31138467.345497,0
ABBC.V,D,20220624,000000,0.0663336,0.0709439,0.0661272,0.0706449,93708117.518681,0
ABBC.V,D,20220625,000000,0.0701298,0.0725492,0.0696303,0.07135,23653203.72019,0
ABBC.V,D,20220626,000000,0.0709517,0.0717512,0.0695568,0.0701572,24712460.84247,0
ABBC.V,D,20220627,000000,0.0693584,0.0702606,0.0667399,0.0678382,21200327.998183,0
ABBC.V,D,20220628,000000,0.0675392,0.0694319,0.0663177,0.0669169,14581795.281314,0
ABBC.V,D,20220629,000000,0.0663177,0.0724028,0.0663004,0.0695081,21932173.813901,0
ABBC.V,D,20220630,000000,0.0708142,0.0714242,0.0615267,0.0650219,28385531.693652,0
ABBC.V,D,20220701,000000,0.0618257,0.064516,0.0616198,0.0631305,30911727.650958,0
ABBC.V,D,20220702,000000,0.0629307,0.0713143,0.0629307,0.0679184,30325467.916172,0
ABBC.V,D,20220703,000000,0.0679184,0.0726128,0.0658209,0.0677119,19473242.467812,0
ABBC.V,D,20220704,000000,0.0680115,0.0703085,0.06662,0.06662,10985913.973732,0
ABBC.V,D,20220705,000000,0.067419,0.0694166,0.0662271,0.0674258,15265775.459041,0
ABBC.V,D,20220706,000000,0.0662271,0.0694236,0.0657276,0.0662271,22369380.079723,0
ABBC.V,D,20220707,000000,0.0664269,0.0674258,0.0651544,0.0651609,22742291.637447,0
ABBC.V,D,20220708,000000,0.0651609,0.0673596,0.0651544,0.0670597,28491952.911087,0
ABBC.V,D,20220709,000000,0.0671597,0.0674595,0.0654607,0.0670597,28076844.283321,0
ABBC.V,D,20220710,000000,0.06656,0.0679592,0.064255,0.0650609,27714724.808598,0
ABBC.V,D,20220711,000000,0.0658605,0.06656,0.0630495,0.0636427,21217225.940429,0
ABBC.V,D,20220712,000000,0.0636427,0.0645354,0.0617382,0.0623376,21470453.028916,0
ABBC.V,D,20220713,000000,0.0623395,0.0677302,0.0616383,0.0618443,23828350.208809,0
ABBC.V,D,20220714,000000,0.0619442,0.0623438,0.0608574,0.0609634,16763733.611309,0
ABBC.V,D,20220715,000000,0.0612632,0.0628523,0.0604637,0.0613816,13675800.047985,0
ABBC.V,D,20220716,000000,0.0613816,0.0667566,0.0602819,0.0613816,12074594.478377,0
ABBC.V,D,20220717,000000,0.061684,0.066888,0.0605836,0.0611841,15827905.127588,0
ABBC.V,D,20220718,000000,0.061484,0.0618,0.0594821,0.0602861,15710870.500152,0
ABBC.V,D,20220719,000000,0.0608854,0.0637285,0.05974,0.0605503,11163375.513966,0
ABBC.V,D,20220720,000000,0.060316,0.0626551,0.0582029,0.059703,15259247.004396,0
ABBC.V,D,20220721,000000,0.0600072,0.0616099,0.0584047,0.0595131,20181634.775757,0
ABBC.V,D,20220722,000000,0.0596149,0.0605073,0.0570063,0.0574126,25833423.746013,0
ABBC.V,D,20220723,000000,0.0571,0.0595059,0.0571,0.0588118,20538636.925348,0
ABBC.V,D,20220724,000000,0.0589118,0.0608116,0.0577012,0.0605121,20456363.67129,0
ABBC.V,D,20220725,000000,0.0603115,0.0605121,0.0563994,0.0564045,20867344.423644,0
ABBC.V,D,20220726,000000,0.0564056,0.057008,0.0479043,0.0496074,17644393.872006,0
ABBC.V,D,20220727,000000,0.0494074,0.0522047,0.0493035,0.0506111,25946162.337068,0
ABBC.V,D,20220728,000000,0.0505116,0.051199,0.0464093,0.047409,27459593.391716,0
ABBC.V,D,20220729,000000,0.047812,0.0487146,0.0452869,0.0468192,20351755.392369,0
ABBC.V,D,20220730,000000,0.0468187,0.0496179,0.0462171,0.0494168,26011888.433326,0
ABBC.V,D,20220731,000000,0.0491182,0.0506147,0.0491103,0.0502115,22397425.272948,0
ABBC.V,D,20220801,000000,0.050013,0.0504227,0.047912,0.0486146,26196708.981723,0
ABBC.V,D,20220802,000000,0.0489147,0.0507098,0.0471052,0.0471085,24286601.349038,0
ABBC.V,D,20220803,000000,0.0473095,0.0495104,0.0465037,0.0472113,30089289.564096,0
ABBC.V,D,20220804,000000,0.0471113,0.0486083,0.0468103,0.0482014,29861029.059102,0
ABBC.V,D,20220805,000000,0.0477019,0.0507096,0.0477019,0.0493094,27101417.285359,0
ABBC.V,D,20220806,000000,0.0496099,0.0510582,0.0483005,0.0503116,25173368.603281,0
ABBC.V,D,20220807,000000,0.0503111,0.0510212,0.0483068,0.0491088,25392356.159632,0
ABBC.V,D,20220808,000000,0.0490098,0.0503086,0.0484082,0.0485073,20359619.92479,0
ABBC.V,D,20220809,000000,0.0488054,0.0503106,0.0481072,0.0487102,21078927.069113,0
