<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANC.V,D,20220219,000000,2.55828,2.65059,2.4975,2.53752,2099398.5007023965,0
ANC.V,D,20220220,000000,2.53527,2.56054,2.13485,2.22211,2038125.0350993117,0
ANC.V,D,20220221,000000,2.22569,2.51626,2.17909,2.46223,2204049.591180107,0
ANC.V,D,20220222,000000,2.46423,3.0008,2.37895,2.90345,7717030.231455941,0
ANC.V,D,20220223,000000,2.90045,3.08885,2.75665,2.92475,7640284.453827279,0
ANC.V,D,20220224,000000,2.92475,3.19428,2.64232,3.18027,4079736.954834073,0
ANC.V,D,20220225,000000,3.18427,3.76788,3.16927,3.74287,5826659.607213153,0
ANC.V,D,20220226,000000,3.74187,3.9966,3.6048,3.75888,4340765.864710354,0
ANC.V,D,20220227,000000,3.7615,3.85754,3.52376,3.70185,3799807.324804384,0
ANC.V,D,20220228,000000,3.70248,3.74187,3.43337,3.52476,2802224.8098503635,0
ANC.V,D,20220301,000000,3.52041,3.88956,3.43272,3.74175,3368802.955108294,0
ANC.V,D,20220302,000000,3.73512,4.29986,3.70711,4.28386,3944482.1423934773,0
ANC.V,D,20220303,000000,4.29129,4.97399,4.26628,4.72695,15973301.593204333,0
ANC.V,D,20220304,000000,4.72695,5.64769,4.58938,5.52666,13050012.962580714,0
ANC.V,D,20220305,000000,5.51665,6.19186,5.12954,5.79974,16734524.138904225,0
ANC.V,D,20220306,000000,5.79674,5.92978,4.08022,4.22384,17948231.25675631,0
ANC.V,D,20220307,000000,4.21626,4.44733,3.81076,3.92618,14440628.899895627,0
ANC.V,D,20220308,000000,3.92618,4.16925,3.57171,3.78476,7622801.316162471,0
ANC.V,D,20220309,000000,3.78576,4.47489,3.74675,4.25042,14491407.274044195,0
ANC.V,D,20220310,000000,4.26143,4.32043,3.68811,3.76751,5531529.51555279,0
ANC.V,D,20220311,000000,3.76751,3.77051,3.36567,3.39234,2827587.9040029757,0
ANC.V,D,20220312,000000,3.38968,3.38968,3.13331,3.20832,3704886.9546983712,0
ANC.V,D,20220313,000000,3.20096,3.25898,3.0119,3.03491,3639866.3936592853,0
ANC.V,D,20220314,000000,3.03421,3.10862,2.84157,2.90058,3407828.610575502,0
ANC.V,D,20220315,000000,2.90558,2.9773,2.66127,2.81384,4549301.529333909,0
ANC.V,D,20220316,000000,2.80484,3.45869,2.76883,3.17095,8227505.586138357,0
ANC.V,D,20220317,000000,3.15995,3.23597,2.80812,2.82913,4334060.928938383,0
ANC.V,D,20220318,000000,2.82941,2.83041,2.67534,2.78739,2898041.7608304876,0
ANC.V,D,20220319,000000,2.78395,2.89945,2.73937,2.77411,2163970.708039323,0
ANC.V,D,20220320,000000,2.77339,2.8044,2.57203,2.59404,1880156.478374417,0
ANC.V,D,20220321,000000,2.60004,2.62205,2.54302,2.55602,1719472.1773279184,0
ANC.V,D,20220322,000000,2.55502,2.74437,2.51326,2.62405,1717675.2525234,0
ANC.V,D,20220323,000000,2.62331,2.63605,2.56228,2.60604,1145622.4430316712,0
ANC.V,D,20220324,000000,2.60704,2.67407,2.55127,2.56328,1275194.9044222995,0
ANC.V,D,20220325,000000,2.56328,2.60882,2.41497,2.42221,2120728.02025478,0
ANC.V,D,20220326,000000,2.41797,2.50725,2.41697,2.47099,938306.3149194653,0
ANC.V,D,20220327,000000,2.46923,2.48424,2.4052,2.45298,966887.8257233148,0
ANC.V,D,20220328,000000,2.45073,2.69908,2.43949,2.59904,4200174.671674543,0
ANC.V,D,20220329,000000,2.6003,3.07123,2.52476,2.81941,18684070.869463135,0
ANC.V,D,20220330,000000,2.82041,3.06153,2.7944,2.83157,10349879.5729016,0
ANC.V,D,20220331,000000,2.83485,2.90058,2.54376,2.54451,5612671.727385385,0
ANC.V,D,20220401,000000,2.54776,2.63605,2.43573,2.60678,3973810.922109305,0
ANC.V,D,20220402,000000,2.60778,2.74782,2.55177,2.62405,5060268.826357552,0
ANC.V,D,20220403,000000,2.62205,2.98319,2.61104,2.92617,9623809.63370343,0
ANC.V,D,20220404,000000,2.92888,2.94618,2.58452,2.71081,4380750.90551913,0
ANC.V,D,20220405,000000,2.71181,2.88487,2.66453,2.69154,3806295.607903617,0
ANC.V,D,20220406,000000,2.69127,3.18032,2.61826,3.08031,24874942.770207975,0
ANC.V,D,20220407,000000,3.079,3.46035,2.958,3.09731,34434465.5210576,0
ANC.V,D,20220408,000000,3.09831,3.31066,2.81713,2.82413,16201086.459346835,0
ANC.V,D,20220409,000000,2.82313,2.86286,2.70081,2.74582,6928148.489862041,0
ANC.V,D,20220410,000000,2.74582,2.85986,2.71481,2.76055,4316363.683067776,0
ANC.V,D,20220411,000000,2.75755,2.76155,2.14043,2.15365,9917511.801766537,0
ANC.V,D,20220412,000000,2.15243,2.27946,2.12964,2.18265,4644326.291013724,0
ANC.V,D,20220413,000000,2.18365,2.27468,2.13964,2.25168,4357146.784710864,0
ANC.V,D,20220414,000000,2.25168,2.37771,2.07842,2.13343,6802799.6359114535,0
ANC.V,D,20220415,000000,2.13321,2.18344,2.06941,2.12943,4812853.821040382,0
ANC.V,D,20220416,000000,2.12843,2.15343,2.09621,2.11642,1087382.3183502376,0
ANC.V,D,20220417,000000,2.11582,2.17313,2.09382,2.11782,1719285.2204723237,0
ANC.V,D,20220418,000000,2.11526,2.12164,1.94439,2.10663,5707885.68521856,0
