<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUDIO.V,D,20210108,000000,0.1806,0.192,0.1766,0.1917,0,0
AUDIO.V,D,20210109,000000,0.1917,0.1951,0.1744,0.1833,0,0
AUDIO.V,D,20210110,000000,0.1833,0.2095,0.1822,0.1931,0,0
AUDIO.V,D,20210111,000000,0.1931,0.1954,0.1612,0.1681,0,0
AUDIO.V,D,20210112,000000,0.1681,0.1812,0.166,0.1694,0,0
AUDIO.V,D,20210113,000000,0.1694,0.178,0.1626,0.1741,0,0
AUDIO.V,D,20210114,000000,0.1741,0.1822,0.1684,0.1745,0,0
AUDIO.V,D,20210115,000000,0.1745,0.1898,0.1668,0.1835,0,0
AUDIO.V,D,20210116,000000,0.1835,0.2,0.178,0.1879,0,0
AUDIO.V,D,20210117,000000,0.1879,0.19,0.1683,0.1827,0,0
AUDIO.V,D,20210118,000000,0.1827,0.2152,0.1806,0.2082,0,0
AUDIO.V,D,20210119,000000,0.2082,0.2147,0.187,0.1943,0,0
AUDIO.V,D,20210120,000000,0.1943,0.1956,0.1748,0.1873,0,0
AUDIO.V,D,20210121,000000,0.1873,0.22,0.1801,0.2073,0,0
AUDIO.V,D,20210122,000000,0.2073,0.2402,0.2012,0.2152,0,0
AUDIO.V,D,20210123,000000,0.2152,0.2191,0.1995,0.2048,0,0
AUDIO.V,D,20210124,000000,0.2048,0.2161,0.1997,0.2067,0,0
AUDIO.V,D,20210125,000000,0.2067,0.21,0.196,0.1968,0,0
AUDIO.V,D,20210126,000000,0.1968,0.2563,0.1892,0.2487,0,0
AUDIO.V,D,20210127,000000,0.2487,0.2864,0.2141,0.217,0,0
AUDIO.V,D,20210128,000000,0.217,0.244,0.2099,0.2224,0,0
AUDIO.V,D,20210129,000000,0.2224,0.2239,0.2025,0.209,0,0
AUDIO.V,D,20210130,000000,0.209,0.2202,0.207,0.2144,0,0
AUDIO.V,D,20210131,000000,0.2144,0.2292,0.2075,0.2137,0,0
AUDIO.V,D,20210201,000000,0.2137,0.2173,0.2051,0.2121,0,0
AUDIO.V,D,20210202,000000,0.2121,0.2204,0.2054,0.2146,0,0
AUDIO.V,D,20210203,000000,0.2146,0.2352,0.2113,0.2264,0,0
AUDIO.V,D,20210204,000000,0.2264,0.2572,0.2202,0.2456,0,0
AUDIO.V,D,20210205,000000,0.2456,0.282,0.2452,0.275,0,0
AUDIO.V,D,20210206,000000,0.275,0.2773,0.2446,0.2494,0,0
AUDIO.V,D,20210207,000000,0.2494,0.3331,0.2475,0.2945,0,0
AUDIO.V,D,20210208,000000,0.2945,0.3556,0.2873,0.2991,0,0
AUDIO.V,D,20210209,000000,0.2991,0.3408,0.2907,0.3212,0,0
AUDIO.V,D,20210210,000000,0.3212,0.4004,0.3153,0.3831,0,0
AUDIO.V,D,20210211,000000,0.3831,0.4033,0.373,0.3903,0,0
AUDIO.V,D,20210212,000000,0.3903,0.4079,0.3607,0.4,0,0
AUDIO.V,D,20210213,000000,0.4,0.4257,0.3926,0.4006,0,0
AUDIO.V,D,20210214,000000,0.4006,0.4036,0.3527,0.3594,0,0
AUDIO.V,D,20210215,000000,0.3594,0.3647,0.3186,0.3494,0,0
AUDIO.V,D,20210216,000000,0.3494,0.3568,0.339,0.3464,0,0
AUDIO.V,D,20210217,000000,0.3464,0.3642,0.3375,0.3582,0,0
AUDIO.V,D,20210218,000000,0.3582,0.4536,0.34,0.446,0,0
AUDIO.V,D,20210219,000000,0.446,0.5,0.4262,0.4559,0,0
AUDIO.V,D,20210220,000000,0.4559,0.4572,0.401,0.4087,0,0
AUDIO.V,D,20210221,000000,0.4087,0.4453,0.4068,0.4245,0,0
AUDIO.V,D,20210222,000000,0.4245,0.4493,0.3395,0.413,0,0
AUDIO.V,D,20210223,000000,0.413,0.4154,0.3607,0.3843,0,0
AUDIO.V,D,20210224,000000,0.3843,0.4294,0.3765,0.426,0,0
AUDIO.V,D,20210225,000000,0.426,0.4885,0.4247,0.465,0,0
AUDIO.V,D,20210226,000000,0.465,0.5399,0.4454,0.4567,0,0
AUDIO.V,D,20210227,000000,0.4567,0.4724,0.3917,0.406,0,0
AUDIO.V,D,20210228,000000,0.406,0.4083,0.3477,0.3804,0,0
AUDIO.V,D,20210301,000000,0.3804,0.42,0.375,0.4027,0,0
AUDIO.V,D,20210302,000000,0.4027,0.4581,0.4013,0.4571,0,0
AUDIO.V,D,20210303,000000,0.4571,0.5268,0.4558,0.4983,0,0
AUDIO.V,D,20210304,000000,0.4983,0.79,0.4568,0.6087,0,0
AUDIO.V,D,20210305,000000,0.6087,0.7307,0.5477,0.6006,0,0
AUDIO.V,D,20210306,000000,0.6006,1.259,0.5981,1.026,0,0
AUDIO.V,D,20210307,000000,1.026,1.029,0.8451,0.879,0,0
AUDIO.V,D,20210308,000000,0.879,0.963,0.8667,0.9427,0,0
AUDIO.V,D,20210309,000000,0.9427,1.374,0.9161,1.087,0,0
AUDIO.V,D,20210310,000000,1.087,1.155,0.9415,1.013,0,0
AUDIO.V,D,20210311,000000,1.013,1.13,0.9371,1.078,0,0
AUDIO.V,D,20210312,000000,1.078,1.137,0.9546,1.012,0,0
AUDIO.V,D,20210313,000000,1.012,1.598,0.9762,1.463,0,0
AUDIO.V,D,20210314,000000,1.463,1.536,1.303,1.408,0,0
AUDIO.V,D,20210315,000000,1.408,1.904,1.18,1.767,0,0
AUDIO.V,D,20210316,000000,1.767,2.057,1.6,1.729,0,0
AUDIO.V,D,20210317,000000,1.729,1.749,1.427,1.63,0,0
AUDIO.V,D,20210318,000000,1.63,1.775,1.477,1.506,0,0
AUDIO.V,D,20210319,000000,1.506,1.618,1.467,1.536,0,0
AUDIO.V,D,20210320,000000,1.536,1.61,1.395,1.399,0,0
AUDIO.V,D,20210321,000000,1.399,1.561,1.288,1.554,0,0
AUDIO.V,D,20210322,000000,1.554,1.988,1.54,1.752,0,0
AUDIO.V,D,20210323,000000,1.752,1.89,1.639,1.876,0,0
AUDIO.V,D,20210324,000000,1.876,2.458,1.717,2.054,0,0
AUDIO.V,D,20210325,000000,2.054,2.55,1.85,2.38,0,0
AUDIO.V,D,20210326,000000,2.38,3.475,2.326,2.997,0,0
AUDIO.V,D,20210327,000000,2.997,4.99,2.917,4.03,0,0
AUDIO.V,D,20210328,000000,4.03,4.211,3.402,3.672,0,0
AUDIO.V,D,20210329,000000,3.672,3.77,3.241,3.326,0,0
AUDIO.V,D,20210330,000000,3.326,3.645,3.143,3.424,0,0
AUDIO.V,D,20210331,000000,3.424,3.47,2.992,3.164,0,0
AUDIO.V,D,20210401,000000,3.164,3.459,3.012,3.127,0,0
AUDIO.V,D,20210402,000000,3.127,3.436,3.031,3.185,0,0
AUDIO.V,D,20210403,000000,3.185,3.43,3.006,3.086,0,0
AUDIO.V,D,20210404,000000,3.086,3.192,3.027,3.051,0,0
AUDIO.V,D,20210405,000000,3.051,3.075,2.73,2.756,0,0
AUDIO.V,D,20210406,000000,2.756,2.77,2.38,2.394,0,0
AUDIO.V,D,20210407,000000,2.394,2.696,2.119,2.47,0,0
AUDIO.V,D,20210408,000000,2.47,2.767,2.23,2.431,0,0
AUDIO.V,D,20210409,000000,2.431,2.599,2.352,2.388,0,0
AUDIO.V,D,20210410,000000,2.388,2.55,2.27,2.353,0,0
AUDIO.V,D,20210411,000000,2.353,2.368,2.178,2.264,0,0
AUDIO.V,D,20210412,000000,2.264,3.186,2.236,2.631,0,0
AUDIO.V,D,20210413,000000,2.631,2.848,2.447,2.611,0,0
AUDIO.V,D,20210414,000000,2.611,2.697,2.37,2.5,0,0
AUDIO.V,D,20210415,000000,2.5,2.693,2.438,2.618,0,0
AUDIO.V,D,20210416,000000,2.618,2.633,2.346,2.48,0,0
AUDIO.V,D,20210417,000000,2.48,2.504,2.361,2.368,0,0
AUDIO.V,D,20210418,000000,2.368,2.385,1.998,2.166,0,0
AUDIO.V,D,20210419,000000,2.166,2.291,1.923,1.926,0,0
AUDIO.V,D,20210420,000000,1.926,2.052,1.762,1.897,0,0
AUDIO.V,D,20210421,000000,1.897,1.981,1.738,1.753,0,0
AUDIO.V,D,20210422,000000,1.753,2.13,1.672,1.702,0,0
AUDIO.V,D,20210423,000000,1.702,1.749,1.421,1.606,0,0
AUDIO.V,D,20210424,000000,1.606,2.102,1.53,1.929,0,0
AUDIO.V,D,20210425,000000,1.929,2.272,1.766,1.942,0,0
AUDIO.V,D,20210426,000000,1.942,2.502,1.92,2.28,0,0
AUDIO.V,D,20210427,000000,2.28,2.488,2.165,2.441,0,0
AUDIO.V,D,20210428,000000,2.441,2.467,2.107,2.268,0,0
AUDIO.V,D,20210429,000000,2.268,2.394,2.114,2.215,0,0
AUDIO.V,D,20210430,000000,2.215,2.397,2.168,2.275,0,0
AUDIO.V,D,20210501,000000,2.275,2.85,2.229,2.665,0,0
AUDIO.V,D,20210502,000000,2.665,3.093,2.492,2.684,0,0
AUDIO.V,D,20210503,000000,2.684,2.87,2.558,2.63,0,0
AUDIO.V,D,20210504,000000,2.63,2.637,2.199,2.271,0,0
AUDIO.V,D,20210505,000000,2.271,2.464,2.231,2.433,0,0
AUDIO.V,D,20210506,000000,2.433,2.553,2.302,2.347,0,0
AUDIO.V,D,20210507,000000,2.347,2.399,2.228,2.281,0,0
AUDIO.V,D,20210508,000000,2.281,2.382,2.171,2.226,0,0
AUDIO.V,D,20210509,000000,2.226,2.325,2.054,2.154,0,0
AUDIO.V,D,20210510,000000,2.154,2.566,1.993,2.079,0,0
AUDIO.V,D,20210511,000000,2.079,2.173,1.967,2.148,0,0
AUDIO.V,D,20210512,000000,2.148,2.186,1.8,1.802,0,0
AUDIO.V,D,20210513,000000,1.802,1.948,1.7,1.813,0,0
AUDIO.V,D,20210514,000000,1.813,2.106,1.802,2.001,0,0
AUDIO.V,D,20210515,000000,2.001,2.023,1.758,1.802,0,0
AUDIO.V,D,20210516,000000,1.802,1.932,1.622,1.717,0,0
AUDIO.V,D,20210517,000000,1.717,1.816,1.714,1.816,0,0
