<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVAX.V,D,20200922,000000,5.014,7.007,4.031,5.25,0,0
AVAX.V,D,20200923,000000,5.25,5.365,3.403,3.525,0,0
AVAX.V,D,20200924,000000,3.525,4.892,3.406,4.59,0,0
AVAX.V,D,20200925,000000,4.59,5.028,4.204,4.718,0,0
AVAX.V,D,20200926,000000,4.718,4.83,4.338,4.529,0,0
AVAX.V,D,20200927,000000,4.529,4.722,4.115,4.657,0,0
AVAX.V,D,20200928,000000,4.657,4.71,4.172,4.206,0,0
AVAX.V,D,20200929,000000,4.206,4.294,3.965,4.143,0,0
AVAX.V,D,20200930,000000,4.143,4.415,4,4.333,0,0
AVAX.V,D,20201001,000000,4.333,4.535,4.018,4.154,0,0
AVAX.V,D,20201002,000000,4.154,4.224,3.652,3.916,0,0
AVAX.V,D,20201003,000000,3.916,4.194,3.874,4.021,0,0
AVAX.V,D,20201004,000000,4.021,4.084,3.837,3.968,0,0
AVAX.V,D,20201005,000000,3.968,4.05,3.874,3.985,0,0
AVAX.V,D,20201006,000000,3.985,4.004,3.503,3.546,0,0
AVAX.V,D,20201007,000000,3.546,3.55,3.21,3.445,0,0
AVAX.V,D,20201008,000000,3.445,3.961,3.326,3.919,0,0
AVAX.V,D,20201009,000000,3.919,4.329,3.807,4.253,0,0
AVAX.V,D,20201010,000000,4.253,4.272,4.004,4.027,0,0
AVAX.V,D,20201011,000000,4.027,4.18,3.937,4.1,0,0
AVAX.V,D,20201012,000000,4.1,4.715,4.058,4.414,0,0
AVAX.V,D,20201013,000000,4.414,4.569,4.324,4.485,0,0
AVAX.V,D,20201014,000000,4.485,4.489,4.017,4.164,0,0
AVAX.V,D,20201015,000000,4.164,4.233,4.002,4.131,0,0
AVAX.V,D,20201016,000000,4.131,4.162,3.879,4.047,0,0
AVAX.V,D,20201017,000000,4.047,4.214,3.971,4.199,0,0
AVAX.V,D,20201018,000000,4.199,4.25,4.074,4.124,0,0
AVAX.V,D,20201019,000000,4.124,4.179,3.997,4.054,0,0
AVAX.V,D,20201020,000000,4.054,4.095,3.701,3.809,0,0
AVAX.V,D,20201021,000000,3.809,4.106,3.798,3.969,0,0
AVAX.V,D,20201022,000000,3.969,4.488,3.96,4.338,0,0
AVAX.V,D,20201023,000000,4.338,4.479,4.145,4.258,0,0
AVAX.V,D,20201024,000000,4.258,4.359,4.16,4.186,0,0
AVAX.V,D,20201025,000000,4.186,4.253,4.105,4.149,0,0
AVAX.V,D,20201026,000000,4.149,4.486,4.041,4.152,0,0
AVAX.V,D,20201027,000000,4.152,4.347,4.037,4.122,0,0
AVAX.V,D,20201028,000000,4.122,4.175,3.935,4.058,0,0
AVAX.V,D,20201029,000000,4.058,4.098,3.73,3.775,0,0
AVAX.V,D,20201030,000000,3.775,3.827,3.583,3.726,0,0
AVAX.V,D,20201031,000000,3.726,3.748,3.588,3.635,0,0
AVAX.V,D,20201101,000000,3.635,3.713,3.565,3.681,0,0
AVAX.V,D,20201102,000000,3.681,3.875,3.616,3.622,0,0
AVAX.V,D,20201103,000000,3.622,3.651,3.248,3.324,0,0
AVAX.V,D,20201104,000000,3.324,3.376,3.006,3.176,0,0
AVAX.V,D,20201105,000000,3.176,3.378,3.02,3.348,0,0
AVAX.V,D,20201106,000000,3.348,3.658,3.324,3.589,0,0
AVAX.V,D,20201107,000000,3.589,3.913,3.378,3.422,0,0
AVAX.V,D,20201108,000000,3.422,3.66,3.362,3.468,0,0
AVAX.V,D,20201109,000000,3.468,3.533,3.257,3.411,0,0
AVAX.V,D,20201110,000000,3.411,3.629,3.38,3.576,0,0
AVAX.V,D,20201111,000000,3.576,3.804,3.462,3.486,0,0
AVAX.V,D,20201112,000000,3.486,3.56,3.323,3.424,0,0
AVAX.V,D,20201113,000000,3.424,3.696,3.392,3.674,0,0
AVAX.V,D,20201114,000000,3.674,3.697,3.4,3.487,0,0
AVAX.V,D,20201115,000000,3.487,3.642,3.419,3.548,0,0
AVAX.V,D,20201116,000000,3.548,3.817,3.458,3.7,0,0
AVAX.V,D,20201117,000000,3.7,3.93,3.692,3.839,0,0
AVAX.V,D,20201118,000000,3.839,3.867,3.58,3.744,0,0
AVAX.V,D,20201119,000000,3.744,3.827,3.567,3.642,0,0
