<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSW.V,D,20220514,000000,0.56588,0.566835,0.56588,0.566778,2293.18638,0
BSW.V,D,20220515,000000,0.547632,0.581543,0.53525,0.580503,1636217.1046418,0
BSW.V,D,20220516,000000,0.581543,0.591789,0.536755,0.555177,1995682.6366543,0
BSW.V,D,20220517,000000,0.555677,0.633938,0.551282,0.623888,3477948.0695029,0
BSW.V,D,20220518,000000,0.624787,0.648756,0.560371,0.571656,3953947.2286383,0
BSW.V,D,20220519,000000,0.572055,0.602037,0.552281,0.586971,1520400.3921708,0
BSW.V,D,20220520,000000,0.587171,0.619704,0.564935,0.581302,1960461.9561666,0
BSW.V,D,20220521,000000,0.581901,0.60635,0.580003,0.600418,2676157.5118808,0
BSW.V,D,20220522,000000,0.600258,0.619931,0.59177,0.60737,2580984.0023083,0
BSW.V,D,20220523,000000,0.60797,0.656543,0.607809,0.624749,2851457.0675096,0
BSW.V,D,20220524,000000,0.62405,0.630506,0.585197,0.613839,2555378.3021365,0
BSW.V,D,20220525,000000,0.613939,0.637798,0.605034,0.622153,2974164.0738295,0
BSW.V,D,20220526,000000,0.622053,0.623314,0.557231,0.575324,2230809.3684401,0
BSW.V,D,20220527,000000,0.574525,0.57932,0.537961,0.555644,1775473.3013064,0
BSW.V,D,20220528,000000,0.554667,0.572353,0.545617,0.566542,1642909.3490812,0
BSW.V,D,20220529,000000,0.566425,0.569567,0.547952,0.562181,1180834.8787991,0
BSW.V,D,20220530,000000,0.562481,0.619466,0.562015,0.617805,4700343.0770287,0
BSW.V,D,20220531,000000,0.618866,0.630495,0.578495,0.602657,2262226.0729099,0
BSW.V,D,20220601,000000,0.60273,0.617343,0.56328,0.564192,22016477.433892,0
BSW.V,D,20220602,000000,0.565434,0.583974,0.564991,0.583974,14195850.353107,0
BSW.V,D,20220603,000000,0.583974,0.589816,0.55323,0.561211,1498004.1390541,0
BSW.V,D,20220604,000000,0.561411,0.583398,0.549944,0.558975,5017146.0166546,0
BSW.V,D,20220605,000000,0.558975,0.563992,0.54724,0.555883,3122509.8514116,0
BSW.V,D,20220606,000000,0.556377,0.576775,0.549532,0.554234,9658048.8842576,0
BSW.V,D,20220607,000000,0.554134,0.555838,0.505306,0.524669,7184380.9930077,0
