<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCST.V,D,20220516,000000,7.65081,7.87974,7.13928,7.34044,10808.61312069385,0
BTCST.V,D,20220517,000000,7.33046,7.75146,7.2206,7.46029,9499.426666633657,0
BTCST.V,D,20220518,000000,7.49025,12.28278,7.36042,9.91709,355909.7493300734,0
BTCST.V,D,20220519,000000,9.62747,11.59491,8.56057,8.81118,185304.69017442074,0
BTCST.V,D,20220520,000000,8.79208,9.09272,8.11026,8.34913,41315.66116537922,0
BTCST.V,D,20220521,000000,8.37993,9.00737,8.20015,8.31917,21093.11360227379,0
BTCST.V,D,20220522,000000,8.28838,9.09907,8.22846,8.38992,38764.16592598572,0
BTCST.V,D,20220523,000000,8.4099,8.95104,8.171,8.36994,38833.38769737455,0
BTCST.V,D,20220524,000000,8.29004,8.64048,7.97122,8.25842,22328.008391263735,0
BTCST.V,D,20220525,000000,8.25925,8.52975,7.9912,8.25009,15202.645243140203,0
BTCST.V,D,20220526,000000,8.23011,8.24093,7.13143,7.31268,18515.444598666658,0
BTCST.V,D,20220527,000000,7.3926,7.3926,6.70262,7.10289,20628.277061434474,0
BTCST.V,D,20220528,000000,6.96226,7.22234,6.78233,7.15169,13611.53965716812,0
BTCST.V,D,20220529,000000,7.1116,7.23247,6.87229,7.17203,6699.641963566142,0
BTCST.V,D,20220530,000000,7.15248,8.43325,7.15248,8.06435,36310.30071287953,0
BTCST.V,D,20220531,000000,8.04437,8.56314,7.77378,7.91366,34911.61956730646,0
BTCST.V,D,20220601,000000,7.92381,8.03357,7.23276,7.34338,11389.208597394556,0
BTCST.V,D,20220602,000000,7.33266,8.08272,7.20351,7.37336,27931.855531973317,0
BTCST.V,D,20220603,000000,7.38335,7.48326,6.97337,7.28366,17165.32144216873,0
BTCST.V,D,20220604,000000,7.28366,7.39401,7.01431,7.28446,189896.9633121446,0
BTCST.V,D,20220605,000000,7.2946,7.54381,7.27381,7.443,215913.8655460136,0
BTCST.V,D,20220606,000000,7.4629,8.32292,7.35374,7.4937,484571.5155622796,0
BTCST.V,D,20220607,000000,7.45373,7.50377,6.99405,7.39408,356681.3055659983,0
BTCST.V,D,20220608,000000,7.51428,8.33366,7.345,7.36521,334945.8098308174,0
BTCST.V,D,20220609,000000,7.37528,7.51511,7.18432,7.29387,271034.16029203805,0
BTCST.V,D,20220610,000000,7.27381,7.32414,6.86182,6.93119,179732.9932088595,0
BTCST.V,D,20220611,000000,6.95116,7.03226,6.25218,6.5426,31481.82576532848,0
BTCST.V,D,20220612,000000,6.50258,6.5127,5.99154,6.24219,30711.84535609759,0
BTCST.V,D,20220613,000000,6.19231,6.20236,5.33199,5.84193,461448.28828753,0
BTCST.V,D,20220614,000000,5.82172,5.96075,5.35223,5.54334,1242540.759247666,0
BTCST.V,D,20220615,000000,5.5434,5.71348,5.05342,5.71314,376251.95618693426,0
BTCST.V,D,20220616,000000,5.69145,5.75251,5.11437,5.26315,12852.007264231353,0
BTCST.V,D,20220617,000000,5.15309,5.55227,5.13286,5.30368,110430.39653531356,0
BTCST.V,D,20220618,000000,5.3236,5.34369,4.57198,4.85213,620128.4816392673,0
BTCST.V,D,20220619,000000,4.85213,5.19376,4.67298,5.14382,251636.5978683489,0
BTCST.V,D,20220620,000000,5.12384,5.50394,5.01347,5.16431,202148.24891756443,0
BTCST.V,D,20220621,000000,5.07441,5.60383,5.06392,5.45399,94485.49038928605,0
BTCST.V,D,20220622,000000,5.44401,5.45454,5.13435,5.18481,82818.03385362751,0
