<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAKE.V,D,20200930,000000,0.6929,0.8512,0.4297,0.4329,0,0
CAKE.V,D,20201001,000000,0.4329,0.5157,0.3278,0.4189,0,0
CAKE.V,D,20201002,000000,0.4189,0.8184,0.4148,0.5161,0,0
CAKE.V,D,20201003,000000,0.5161,0.7899,0.4937,0.672,0,0
CAKE.V,D,20201004,000000,0.672,0.7255,0.5203,0.554,0,0
CAKE.V,D,20201005,000000,0.554,0.554,0.4521,0.4609,0,0
CAKE.V,D,20201006,000000,0.4609,0.5395,0.4159,0.496,0,0
CAKE.V,D,20201007,000000,0.496,0.5955,0.4784,0.5396,0,0
CAKE.V,D,20201008,000000,0.5396,0.593,0.519,0.575,0,0
CAKE.V,D,20201009,000000,0.575,0.7154,0.575,0.7066,0,0
CAKE.V,D,20201010,000000,0.7066,0.8878,0.6392,0.7887,0,0
CAKE.V,D,20201011,000000,0.7887,0.9666,0.7569,0.9472,0,0
CAKE.V,D,20201012,000000,0.9472,1.473,0.9472,1.115,0,0
CAKE.V,D,20201013,000000,1.115,1.128,0.792,0.8476,0,0
CAKE.V,D,20201014,000000,0.8476,0.9875,0.7376,0.8851,0,0
CAKE.V,D,20201015,000000,0.8851,0.9221,0.7987,0.8801,0,0
CAKE.V,D,20201016,000000,0.8801,0.9156,0.7833,0.8199,0,0
CAKE.V,D,20201017,000000,0.8199,0.8585,0.6046,0.6052,0,0
CAKE.V,D,20201018,000000,0.6052,0.8281,0.534,0.61,0,0
CAKE.V,D,20201019,000000,0.61,0.728,0.5649,0.6089,0,0
CAKE.V,D,20201020,000000,0.6089,0.6432,0.5574,0.6196,0,0
CAKE.V,D,20201021,000000,0.6196,0.6526,0.5585,0.5814,0,0
CAKE.V,D,20201022,000000,0.5814,0.6356,0.5814,0.6132,0,0
CAKE.V,D,20201023,000000,0.6132,0.6666,0.5931,0.6571,0,0
CAKE.V,D,20201024,000000,0.6571,0.6631,0.582,0.5896,0,0
CAKE.V,D,20201025,000000,0.5896,0.621,0.478,0.4832,0,0
CAKE.V,D,20201026,000000,0.4832,0.5187,0.3109,0.4389,0,0
CAKE.V,D,20201027,000000,0.4389,0.5345,0.4372,0.4451,0,0
CAKE.V,D,20201028,000000,0.4451,0.4451,0.3558,0.4041,0,0
CAKE.V,D,20201029,000000,0.4041,0.4642,0.3934,0.4122,0,0
CAKE.V,D,20201030,000000,0.4122,0.4124,0.3622,0.3999,0,0
CAKE.V,D,20201031,000000,0.3999,0.424,0.3897,0.3994,0,0
CAKE.V,D,20201101,000000,0.3994,0.4014,0.3612,0.3629,0,0
CAKE.V,D,20201102,000000,0.3629,0.3708,0.3093,0.3229,0,0
CAKE.V,D,20201103,000000,0.3229,0.3229,0.1921,0.2817,0,0
CAKE.V,D,20201104,000000,0.2817,0.3044,0.2516,0.2845,0,0
CAKE.V,D,20201105,000000,0.2845,0.2947,0.2089,0.2792,0,0
CAKE.V,D,20201106,000000,0.2792,0.3327,0.2792,0.2973,0,0
CAKE.V,D,20201107,000000,0.2973,0.3003,0.2511,0.2609,0,0
CAKE.V,D,20201108,000000,0.2609,0.2665,0.2472,0.2512,0,0
CAKE.V,D,20201109,000000,0.2512,0.2512,0.2042,0.2227,0,0
CAKE.V,D,20201110,000000,0.2227,0.2516,0.2116,0.2364,0,0
CAKE.V,D,20201111,000000,0.2364,0.2659,0.229,0.2332,0,0
CAKE.V,D,20201112,000000,0.2332,0.2547,0.222,0.2323,0,0
CAKE.V,D,20201113,000000,0.2323,0.3,0.2323,0.265,0,0
CAKE.V,D,20201114,000000,0.265,0.2709,0.2455,0.2589,0,0
