<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHSB.V,D,20220514,000000,0.288779,0.295785,0.280396,0.289565,322.38828752561,0
CHSB.V,D,20220515,000000,0.289594,0.289681,0.289565,0.289652,632.41012749461,0
CHSB.V,D,20220516,000000,0.32101,0.321369,0.299131,0.313412,1998.5824570877,0
CHSB.V,D,20220517,000000,0.313772,0.338639,0.30776,0.314872,5041.4341602546,0
CHSB.V,D,20220518,000000,0.311176,0.314732,0.287825,0.304004,1789.5709288519,0
CHSB.V,D,20220519,000000,0.291371,0.320729,0.286207,0.303357,4093.1438174252,0
CHSB.V,D,20220520,000000,0.307253,0.321243,0.295924,0.30765,4374.8658289555,0
CHSB.V,D,20220521,000000,0.304534,0.320053,0.304474,0.311055,2724.8712031651,0
CHSB.V,D,20220522,000000,0.307709,0.319153,0.306181,0.312624,2430.7964069408,0
CHSB.V,D,20220523,000000,0.312624,0.317282,0.312624,0.313623,4276.1243638035,0
CHSB.V,D,20220524,000000,0.312225,0.312256,0.301737,0.307569,5297.7870688584,0
CHSB.V,D,20220525,000000,0.3076,0.307661,0.306432,0.306432,2890.5782552123,0
CHSB.V,D,20220526,000000,0.306463,0.306463,0.282888,0.296403,3950.4727712921,0
CHSB.V,D,20220527,000000,0.287712,0.291418,0.280191,0.284415,8762.5862060656,0
CHSB.V,D,20220528,000000,0.274184,0.278724,0.269195,0.278685,3767.785222855,0
CHSB.V,D,20220529,000000,0.278674,0.278721,0.278665,0.278693,3944.5740630108,0
CHSB.V,D,20220530,000000,0.273513,0.285357,0.270402,0.281874,5280.0257856597,0
CHSB.V,D,20220531,000000,0.281874,0.306766,0.281846,0.295963,5075.9993144659,0
CHSB.V,D,20220601,000000,0.295948,0.295975,0.26956,0.276493,2122.820421742,0
CHSB.V,D,20220602,000000,0.278679,0.284104,0.27795,0.281227,1545.3801148002,0
CHSB.V,D,20220603,000000,0.281026,0.284251,0.268563,0.27602,1722.1202933686,0
CHSB.V,D,20220604,000000,0.273296,0.284664,0.271645,0.281661,46634.634720284,0
CHSB.V,D,20220605,000000,0.279248,0.281501,0.273627,0.278197,51859.750450349,0
CHSB.V,D,20220606,000000,0.28657,0.29162,0.28102,0.28726,227971.36643374,0
CHSB.V,D,20220607,000000,0.285043,0.291898,0.272414,0.285153,1009572.5584996,0
CHSB.V,D,20220608,000000,0.283126,0.283126,0.262159,0.27682,254962.51882507,0
CHSB.V,D,20220609,000000,0.272992,0.301571,0.272879,0.281064,310071.28988275,0
CHSB.V,D,20220610,000000,0.27848,0.28266,0.261957,0.273444,32446.832380588,0
CHSB.V,D,20220611,000000,0.269787,0.269814,0.24998,0.250012,4602.0071713988,0
CHSB.V,D,20220612,000000,0.242744,0.247193,0.216547,0.228596,14572.990790023,0
CHSB.V,D,20220613,000000,0.229358,0.229358,0.176346,0.204303,3069019.2099149,0
CHSB.V,D,20220614,000000,0.202926,0.204511,0.176039,0.179656,681346.71519757,0
CHSB.V,D,20220615,000000,0.174702,0.483522,0.152525,0.181328,5335423.4398204,0
CHSB.V,D,20220616,000000,0.19215,0.192175,0.175589,0.177569,397399.01611813,0
CHSB.V,D,20220617,000000,0.174161,0.181854,0.170079,0.17479,1337766.0130783,0
CHSB.V,D,20220618,000000,0.17479,0.175596,0.153336,0.15335,787662.41381095,0
CHSB.V,D,20220619,000000,0.15335,0.169596,0.151158,0.169596,6826.4545983428,0
CHSB.V,D,20220620,000000,0.159658,0.169357,0.155194,0.16301,10340.741350413,0
CHSB.V,D,20220621,000000,0.160707,0.186724,0.160707,0.173926,69090.100981503,0
CHSB.V,D,20220622,000000,0.174625,0.17982,0.169913,0.177722,11876479.729147,0
CHSB.V,D,20220623,000000,0.177632,0.188311,0.177614,0.185314,2047408.6397268,0
CHSB.V,D,20220624,000000,0.195654,0.220928,0.192626,0.220925,720094.75320892,0
CHSB.V,D,20220625,000000,0.223277,0.223359,0.211037,0.211052,18319.917089354,0
CHSB.V,D,20220626,000000,0.209957,0.21777,0.206674,0.206682,4200017.4010742,0
CHSB.V,D,20220627,000000,0.208806,0.208806,0.197314,0.201317,94275.360060736,0
CHSB.V,D,20220628,000000,0.20151,0.21061,0.200204,0.203158,2646678.7706223,0
CHSB.V,D,20220629,000000,0.20185,0.203334,0.19261,0.197745,7993390.162419,0
CHSB.V,D,20220630,000000,0.198256,0.199814,0.188136,0.188494,6163943.2502671,0
CHSB.V,D,20220701,000000,0.189782,0.196464,0.187837,0.192488,1240982.9766618,0
CHSB.V,D,20220702,000000,0.192688,0.193787,0.190771,0.19137,3317529.5712101,0
CHSB.V,D,20220703,000000,0.188624,0.193918,0.187754,0.190872,533620.40287076,0
CHSB.V,D,20220704,000000,0.195425,0.201877,0.193169,0.201877,2236.297400865,0
CHSB.V,D,20220705,000000,0.20815,0.208649,0.193347,0.201908,665450.08521164,0
CHSB.V,D,20220706,000000,0.19949,0.205853,0.195185,0.19997,35044.338136178,0
CHSB.V,D,20220707,000000,0.196913,0.209849,0.194186,0.205166,68565.731830856,0
CHSB.V,D,20220708,000000,0.20016,0.206246,0.194673,0.201279,23328.431452734,0
CHSB.V,D,20220709,000000,0.201279,0.206076,0.201259,0.206076,17018.866813404,0
CHSB.V,D,20220710,000000,0.206076,0.206076,0.201459,0.202079,24507.353582903,0
CHSB.V,D,20220711,000000,0.202058,0.202058,0.193545,0.196423,8003.5737838682,0
CHSB.V,D,20220712,000000,0.196423,0.196423,0.188711,0.190609,43451.565035027,0
CHSB.V,D,20220713,000000,0.190504,0.192106,0.187312,0.18823,45030.300834769,0
CHSB.V,D,20220714,000000,0.18823,0.195383,0.188212,0.195383,43207.325720865,0
CHSB.V,D,20220715,000000,0.194993,0.202199,0.194973,0.2001,46100.886014757,0
CHSB.V,D,20220716,000000,0.19892,0.20024,0.194922,0.194961,18063.310592385,0
CHSB.V,D,20220718,000000,0.197181,0.212878,0.197159,0.203247,24714.029172823,0
CHSB.V,D,20220719,000000,0.216752,0.219824,0.210792,0.217328,91278.311720142,0
CHSB.V,D,20220720,000000,0.2164,0.219407,0.20421,0.20421,113190.84991016,0
CHSB.V,D,20220721,000000,0.205904,0.208727,0.199018,0.205841,28610.126934175,0
CHSB.V,D,20220722,000000,0.20531,0.210208,0.198958,0.199728,81203.519507482,0
