<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRO.V,D,20190316,000000,0.09904,0.1045,0.07869,0.08415,0,0
CRO.V,D,20190317,000000,0.08415,0.08487,0.06438,0.06661,0,0
CRO.V,D,20190318,000000,0.06661,0.08621,0.06552,0.06967,0,0
CRO.V,D,20190319,000000,0.06967,0.07631,0.06522,0.07059,0,0
CRO.V,D,20190320,000000,0.07058,0.08409,0.06697,0.07252,0,0
CRO.V,D,20190321,000000,0.07249,0.0729,0.06138,0.06763,0,0
CRO.V,D,20190322,000000,0.06763,0.0693,0.06266,0.06703,0,0
CRO.V,D,20190323,000000,0.06702,0.07508,0.06572,0.06684,0,0
CRO.V,D,20190324,000000,0.06683,0.06891,0.06395,0.0651,0,0
CRO.V,D,20190325,000000,0.0651,0.0655,0.05223,0.05402,0,0
CRO.V,D,20190326,000000,0.05402,0.05441,0.04924,0.04932,0,0
CRO.V,D,20190327,000000,0.04932,0.0583,0.04923,0.05347,0,0
CRO.V,D,20190328,000000,0.05346,0.05492,0.04884,0.05078,0,0
CRO.V,D,20190329,000000,0.05079,0.05733,0.04534,0.04632,0,0
CRO.V,D,20190330,000000,0.04632,0.0477,0.04509,0.04718,0,0
CRO.V,D,20190331,000000,0.04717,0.04743,0.04281,0.04454,0,0
CRO.V,D,20190401,000000,0.04454,0.04782,0.04297,0.04513,0,0
CRO.V,D,20190402,000000,0.04512,0.05482,0.04399,0.05083,0,0
CRO.V,D,20190403,000000,0.05082,0.05378,0.04535,0.04994,0,0
CRO.V,D,20190404,000000,0.04996,0.051,0.04141,0.04554,0,0
CRO.V,D,20190405,000000,0.04553,0.05728,0.04442,0.04884,0,0
CRO.V,D,20190406,000000,0.04884,0.05469,0.04536,0.04637,0,0
CRO.V,D,20190407,000000,0.04636,0.05436,0.04631,0.05387,0,0
CRO.V,D,20190408,000000,0.05387,0.05825,0.05116,0.05702,0,0
CRO.V,D,20190409,000000,0.05703,0.06087,0.05302,0.06064,0,0
CRO.V,D,20190410,000000,0.06064,0.07037,0.0538,0.07004,0,0
CRO.V,D,20190411,000000,0.07003,0.09248,0.06601,0.07609,0,0
CRO.V,D,20190412,000000,0.0761,0.1064,0.07403,0.07711,0,0
CRO.V,D,20190413,000000,0.07711,0.08779,0.06852,0.083,0,0
CRO.V,D,20190414,000000,0.08303,0.08684,0.07816,0.08622,0,0
CRO.V,D,20190415,000000,0.08624,0.08743,0.07442,0.07605,0,0
