<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRV.V,D,20200814,000000,13.52,17,10.38,12.21,0,0
CRV.V,D,20200815,000000,12.21,17.02,5.811,7.177,0,0
CRV.V,D,20200816,000000,7.177,7.618,6.016,6.406,0,0
CRV.V,D,20200817,000000,6.406,6.413,4.115,4.389,0,0
CRV.V,D,20200818,000000,4.389,4.441,3.199,3.604,0,0
CRV.V,D,20200819,000000,3.604,5.034,3.321,3.938,0,0
CRV.V,D,20200820,000000,3.938,4.676,3.823,3.89,0,0
CRV.V,D,20200821,000000,3.89,4.066,3.207,3.23,0,0
CRV.V,D,20200822,000000,3.23,3.266,2.729,3.057,0,0
CRV.V,D,20200823,000000,3.057,3.086,2.61,2.7,0,0
CRV.V,D,20200824,000000,2.7,3.075,2.606,2.901,0,0
CRV.V,D,20200825,000000,2.901,3.337,2.681,2.867,0,0
CRV.V,D,20200826,000000,2.867,4.148,2.819,3.562,0,0
CRV.V,D,20200827,000000,3.562,4.344,3.213,3.346,0,0
CRV.V,D,20200828,000000,3.346,3.987,3.344,3.536,0,0
CRV.V,D,20200829,000000,3.536,3.549,3.09,3.108,0,0
CRV.V,D,20200830,000000,3.108,3.75,3.083,3.561,0,0
CRV.V,D,20200831,000000,3.561,4.45,3.431,4.386,0,0
CRV.V,D,20200901,000000,4.386,5.71,4.154,5.345,0,0
CRV.V,D,20200902,000000,5.345,5.369,3.89,4.336,0,0
CRV.V,D,20200903,000000,4.336,4.367,2.799,2.922,0,0
CRV.V,D,20200904,000000,2.922,3.273,2.767,2.865,0,0
CRV.V,D,20200905,000000,2.865,3.08,1.582,1.909,0,0
CRV.V,D,20200906,000000,1.909,2.331,1.522,2.165,0,0
CRV.V,D,20200907,000000,2.165,2.297,1.717,2.1,0,0
CRV.V,D,20200908,000000,2.1,2.125,1.771,1.842,0,0
CRV.V,D,20200909,000000,1.842,2.143,1.78,1.977,0,0
CRV.V,D,20200910,000000,1.977,2.194,1.938,1.962,0,0
CRV.V,D,20200911,000000,1.962,2.013,1.712,1.906,0,0
CRV.V,D,20200912,000000,1.906,2.148,1.817,2.103,0,0
CRV.V,D,20200913,000000,2.103,2.14,1.769,1.909,0,0
CRV.V,D,20200914,000000,1.909,1.98,1.795,1.846,0,0
CRV.V,D,20200915,000000,1.846,1.891,1.345,1.417,0,0
CRV.V,D,20200916,000000,1.417,1.462,1.201,1.282,0,0
CRV.V,D,20200917,000000,1.282,1.434,1.199,1.334,0,0
CRV.V,D,20200918,000000,1.334,1.435,1.225,1.259,0,0
CRV.V,D,20200919,000000,1.259,1.646,1.234,1.483,0,0
CRV.V,D,20200920,000000,1.483,1.632,1.303,1.362,0,0
CRV.V,D,20200921,000000,1.362,1.403,1.075,1.091,0,0
CRV.V,D,20200922,000000,1.091,1.152,1.017,1.079,0,0
CRV.V,D,20200923,000000,1.079,1.13,0.8702,0.8898,0,0
CRV.V,D,20200924,000000,0.8898,1.003,0.878,0.9936,0,0
CRV.V,D,20200925,000000,0.9936,1.045,0.8816,0.9765,0,0
CRV.V,D,20200926,000000,0.9765,1.145,0.9735,1.117,0,0
CRV.V,D,20200927,000000,1.117,1.139,0.9829,1.04,0,0
CRV.V,D,20200928,000000,1.04,1.099,0.9879,1.003,0,0
CRV.V,D,20200929,000000,1.003,1.02,0.9103,0.9524,0,0
CRV.V,D,20200930,000000,0.9524,0.9655,0.9117,0.9496,0,0
CRV.V,D,20201001,000000,0.9496,0.9844,0.8287,0.8656,0,0
CRV.V,D,20201002,000000,0.8656,0.877,0.7305,0.7641,0,0
CRV.V,D,20201003,000000,0.7641,0.81,0.7436,0.7675,0,0
CRV.V,D,20201004,000000,0.7675,0.7694,0.6776,0.698,0,0
CRV.V,D,20201005,000000,0.698,0.7205,0.616,0.6318,0,0
CRV.V,D,20201006,000000,0.6318,0.634,0.4965,0.5079,0,0
CRV.V,D,20201007,000000,0.5079,0.5297,0.4568,0.5255,0,0
CRV.V,D,20201008,000000,0.5255,0.5789,0.4659,0.5595,0,0
CRV.V,D,20201009,000000,0.5595,0.6383,0.5229,0.6247,0,0
CRV.V,D,20201010,000000,0.6247,0.6448,0.5493,0.5595,0,0
CRV.V,D,20201011,000000,0.5595,0.5793,0.5267,0.56,0,0
CRV.V,D,20201012,000000,0.56,0.5987,0.5398,0.5713,0,0
CRV.V,D,20201013,000000,0.5713,0.5735,0.5341,0.547,0,0
CRV.V,D,20201014,000000,0.547,0.5541,0.4788,0.5043,0,0
CRV.V,D,20201015,000000,0.5043,0.5077,0.4803,0.4992,0,0
CRV.V,D,20201016,000000,0.4992,0.514,0.4247,0.4305,0,0
CRV.V,D,20201017,000000,0.4305,0.4516,0.4189,0.4367,0,0
CRV.V,D,20201018,000000,0.4367,0.4747,0.4349,0.456,0,0
CRV.V,D,20201019,000000,0.456,0.4578,0.409,0.4137,0,0
CRV.V,D,20201020,000000,0.4137,0.4172,0.3549,0.3586,0,0
CRV.V,D,20201021,000000,0.3586,0.4034,0.3572,0.3842,0,0
CRV.V,D,20201022,000000,0.3842,0.4301,0.3826,0.4091,0,0
CRV.V,D,20201023,000000,0.4091,0.412,0.3697,0.379,0,0
CRV.V,D,20201024,000000,0.379,0.3824,0.3577,0.3736,0,0
CRV.V,D,20201025,000000,0.3736,0.382,0.3291,0.3384,0,0
CRV.V,D,20201026,000000,0.3384,0.4414,0.3349,0.4057,0,0
CRV.V,D,20201027,000000,0.4057,0.6512,0.3883,0.6469,0,0
CRV.V,D,20201028,000000,0.6469,0.6507,0.4593,0.4949,0,0
CRV.V,D,20201029,000000,0.4949,0.5249,0.4322,0.4481,0,0
CRV.V,D,20201030,000000,0.4481,0.4633,0.3817,0.3965,0,0
CRV.V,D,20201031,000000,0.3965,0.4498,0.3932,0.4176,0,0
CRV.V,D,20201101,000000,0.4176,0.4227,0.3897,0.4016,0,0
CRV.V,D,20201102,000000,0.4016,0.4246,0.357,0.3614,0,0
CRV.V,D,20201103,000000,0.3614,0.3692,0.3428,0.3577,0,0
CRV.V,D,20201104,000000,0.3577,0.376,0.3327,0.3444,0,0
CRV.V,D,20201105,000000,0.3444,0.387,0.3328,0.3636,0,0
CRV.V,D,20201106,000000,0.3636,0.4613,0.3594,0.452,0,0
CRV.V,D,20201107,000000,0.452,0.5565,0.4131,0.4347,0,0
CRV.V,D,20201108,000000,0.4347,0.5061,0.4246,0.4823,0,0
CRV.V,D,20201109,000000,0.4823,0.5063,0.4413,0.4623,0,0
CRV.V,D,20201110,000000,0.4623,0.6051,0.4561,0.5722,0,0
CRV.V,D,20201111,000000,0.5722,0.651,0.5454,0.5539,0,0
CRV.V,D,20201112,000000,0.5539,0.5909,0.523,0.5701,0,0
CRV.V,D,20201113,000000,0.5701,0.6993,0.5619,0.6898,0,0
CRV.V,D,20201114,000000,0.6898,0.742,0.5982,0.7062,0,0
CRV.V,D,20201115,000000,0.7062,0.839,0.7037,0.7769,0,0
CRV.V,D,20201116,000000,0.7769,0.8372,0.6948,0.8209,0,0
CRV.V,D,20201117,000000,0.8209,0.9061,0.803,0.8753,0,0
CRV.V,D,20201118,000000,0.8753,0.8857,0.6908,0.7598,0,0
CRV.V,D,20201119,000000,0.7598,0.8475,0.7159,0.8079,0,0
CRV.V,D,20201120,000000,0.8079,0.9577,0.7982,0.8619,0,0
CRV.V,D,20201121,000000,0.8619,0.8987,0.7976,0.8588,0,0
CRV.V,D,20201122,000000,0.8588,0.8763,0.7028,0.751,0,0
CRV.V,D,20201123,000000,0.751,0.8059,0.7182,0.7442,0,0
CRV.V,D,20201124,000000,0.7442,0.7977,0.6628,0.6882,0,0
CRV.V,D,20201125,000000,0.6882,0.7586,0.6301,0.6432,0,0
CRV.V,D,20201126,000000,0.6432,0.6641,0.4937,0.5945,0,0
CRV.V,D,20201127,000000,0.5945,0.6442,0.5448,0.6404,0,0
CRV.V,D,20201128,000000,0.6404,0.6501,0.5898,0.6096,0,0
CRV.V,D,20201129,000000,0.6096,0.6875,0.595,0.6563,0,0
CRV.V,D,20201130,000000,0.6563,0.7143,0.6556,0.6762,0,0
CRV.V,D,20201201,000000,0.6762,0.7601,0.6337,0.68,0,0
CRV.V,D,20201202,000000,0.68,0.8191,0.6616,0.8018,0,0
CRV.V,D,20201203,000000,0.8018,0.8578,0.7687,0.8294,0,0
CRV.V,D,20201204,000000,0.8294,0.8346,0.6695,0.6851,0,0
CRV.V,D,20201205,000000,0.6851,0.7421,0.6695,0.7415,0,0
CRV.V,D,20201206,000000,0.7415,0.7481,0.6723,0.7031,0,0
CRV.V,D,20201207,000000,0.7031,0.7444,0.6865,0.7086,0,0
CRV.V,D,20201208,000000,0.7086,0.7106,0.5902,0.6087,0,0
CRV.V,D,20201209,000000,0.6087,0.6404,0.5625,0.6334,0,0
CRV.V,D,20201210,000000,0.6334,0.6418,0.5822,0.6,0,0
