<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSPR.V,D,20220513,000000,0.0374362,0.0374362,0.0374287,0.0374287,0,0
CSPR.V,D,20220514,000000,0.0354325,0.0378318,0.0335328,0.0372478,9347807.9966212,0
CSPR.V,D,20220515,000000,0.0373476,0.040643,0.0353575,0.039153,43593279.393344,0
CSPR.V,D,20220516,000000,0.039153,0.0451412,0.0380505,0.0420411,49237490.215387,0
CSPR.V,D,20220517,000000,0.0421451,0.0424448,0.0380543,0.0412504,20553042.391009,0
CSPR.V,D,20220518,000000,0.0412504,0.0415501,0.0378469,0.0386497,36467363.200873,0
CSPR.V,D,20220519,000000,0.0387496,0.0405635,0.0361529,0.039964,29620073.094209,0
CSPR.V,D,20220520,000000,0.0398641,0.0408632,0.0380619,0.0383501,12219748.904172,0
CSPR.V,D,20220521,000000,0.038254,0.040747,0.0373551,0.0393488,31291946.790923,0
CSPR.V,D,20220522,000000,0.0393488,0.040751,0.039149,0.0400519,13664228.389862,0
CSPR.V,D,20220523,000000,0.039952,0.0408591,0.0379544,0.0393527,8940788.2770946,0
CSPR.V,D,20220524,000000,0.0393527,0.0394526,0.0373589,0.0384461,16834199.401398,0
CSPR.V,D,20220525,000000,0.03845,0.0384577,0.0361602,0.0371591,12282815.786533,0
CSPR.V,D,20220526,000000,0.0371554,0.0380581,0.0338627,0.0364635,10862748.228228,0
CSPR.V,D,20220527,000000,0.0365634,0.0368631,0.0336629,0.0366633,12540595.235526,0
CSPR.V,D,20220528,000000,0.0364584,0.0380547,0.0348623,0.036158,13913134.36141,0
CSPR.V,D,20220529,000000,0.036057,0.03846,0.0359644,0.0380581,16590375.771681,0
CSPR.V,D,20220530,000000,0.0378606,0.038561,0.0368631,0.0381694,14324634.26348,0
CSPR.V,D,20220531,000000,0.0382732,0.0397682,0.0373663,0.0376661,22668119.01954,0
CSPR.V,D,20220601,000000,0.0377716,0.0386694,0.0358605,0.0367669,11003043.278545,0
CSPR.V,D,20220602,000000,0.0367669,0.037766,0.0361638,0.0365671,11212779.796089,0
CSPR.V,D,20220603,000000,0.036667,0.0378636,0.034972,0.0358688,20046919.195256,0
CSPR.V,D,20220604,000000,0.0360686,0.0365693,0.0355626,0.0357728,6950277.7383652,0
CSPR.V,D,20220605,000000,0.0358727,0.036271,0.0352703,0.0361667,6241426.5816529,0
CSPR.V,D,20220606,000000,0.036166,0.0370688,0.03527,0.0356697,14281634.690596,0
CSPR.V,D,20220607,000000,0.0356697,0.035771,0.0326725,0.0345716,18122112.628712,0
CSPR.V,D,20220608,000000,0.0344721,0.0348787,0.0335772,0.034378,40445719.134036,0
CSPR.V,D,20220609,000000,0.0343776,0.0345775,0.0334732,0.0342712,45058037.499864,0
CSPR.V,D,20220610,000000,0.0344714,0.0347711,0.0316651,0.0329568,19050583.006094,0
CSPR.V,D,20220611,000000,0.0329578,0.0331618,0.0300624,0.0305648,19963466.615577,0
CSPR.V,D,20220612,000000,0.0304652,0.0311641,0.0263628,0.0288645,38459877.338205,0
CSPR.V,D,20220613,000000,0.0287646,0.0288647,0.023567,0.0262634,124604793.95392,0
CSPR.V,D,20220614,000000,0.0262632,0.0276579,0.0238637,0.0259688,248343806.28775,0
CSPR.V,D,20220615,000000,0.0260687,0.0287654,0.0246555,0.0287654,347298087.53484,0
CSPR.V,D,20220616,000000,0.0287597,0.0287626,0.0252646,0.0252646,189555756.92067,0
CSPR.V,D,20220617,000000,0.0242667,0.0261638,0.0242667,0.0254694,317649577.96305,0
CSPR.V,D,20220618,000000,0.0254694,0.0260695,0.0222672,0.0236614,238959420.08791,0
CSPR.V,D,20220619,000000,0.0237605,0.0259688,0.0230656,0.0254694,34563779.630993,0
CSPR.V,D,20220620,000000,0.0255443,0.025766,0.0242914,0.0255848,18986025.309735,0
CSPR.V,D,20220621,000000,0.0256692,0.0269784,0.0253721,0.0262711,15839888.771772,0
CSPR.V,D,20220622,000000,0.0261712,0.0270729,0.0250724,0.0258741,26090707.556305,0
CSPR.V,D,20220623,000000,0.025974,0.0272727,0.0258715,0.0267705,18281023.301413,0
CSPR.V,D,20220624,000000,0.0267732,0.0318716,0.0265734,0.0301764,132017096.71222,0
CSPR.V,D,20220625,000000,0.0300699,0.0313758,0.02938,0.0309783,70906549.291694,0
CSPR.V,D,20220626,000000,0.0309783,0.0310854,0.029982,0.0303812,44239218.825967,0
CSPR.V,D,20220627,000000,0.0303818,0.0372672,0.0291819,0.0335701,96924999.099092,0
CSPR.V,D,20220628,000000,0.0337672,0.0348665,0.0306681,0.0313629,20946901.475887,0
CSPR.V,D,20220629,000000,0.0314609,0.0326545,0.0282609,0.0294611,42011122.323641,0
CSPR.V,D,20220630,000000,0.0294646,0.0294646,0.0262645,0.0272672,63259240.898414,0
CSPR.V,D,20220701,000000,0.0271674,0.0312593,0.0271674,0.0293677,64743822.86991,0
CSPR.V,D,20220702,000000,0.0292678,0.0295674,0.0284658,0.0290651,46424035.512719,0
CSPR.V,D,20220703,000000,0.0290651,0.029961,0.0279636,0.0293618,181825462.0382,0
CSPR.V,D,20220704,000000,0.0293618,0.0302636,0.028463,0.0296644,15940064.11582,0
CSPR.V,D,20220705,000000,0.0297642,0.0303635,0.0286684,0.0297672,14003363.825356,0
CSPR.V,D,20220706,000000,0.0296673,0.029967,0.0289681,0.0295674,13330510.017051,0
CSPR.V,D,20220707,000000,0.0295674,0.0303818,0.0291679,0.0300819,9754340.8992462,0
CSPR.V,D,20220708,000000,0.0300819,0.0310813,0.0289797,0.0308815,22474011.572166,0
CSPR.V,D,20220709,000000,0.0308815,0.0326804,0.0303787,0.0321807,18741201.185386,0
CSPR.V,D,20220710,000000,0.0321807,0.0324805,0.0304817,0.0309814,11993737.81522,0
CSPR.V,D,20220711,000000,0.0308815,0.0310813,0.0293706,0.0294734,11028086.226807,0
CSPR.V,D,20220712,000000,0.0295704,0.0308691,0.0289681,0.0292707,22241982.322981,0
CSPR.V,D,20220713,000000,0.0292719,0.0298701,0.0278721,0.0293735,33175468.76328,0
CSPR.V,D,20220714,000000,0.0293735,0.0315716,0.0290767,0.0303818,44038243.709277,0
CSPR.V,D,20220715,000000,0.0303818,0.0313812,0.0296852,0.0302909,34538702.306809,0
CSPR.V,D,20220716,000000,0.0302909,0.0320036,0.029938,0.0310038,33088840.563695,0
CSPR.V,D,20220717,000000,0.0309719,0.0331537,0.0303642,0.0308817,43661390.181504,0
CSPR.V,D,20220718,000000,0.030792,0.0332983,0.03039,0.0317927,73140645.222748,0
CSPR.V,D,20220719,000000,0.0318923,0.0332066,0.0314897,0.0332053,39688905.430764,0
CSPR.V,D,20220720,000000,0.03323,0.03387,0.0303912,0.0309415,54296496.315744,0
CSPR.V,D,20220721,000000,0.0309837,0.0310903,0.0297012,0.0309677,32324473.152974,0
CSPR.V,D,20220722,000000,0.0309177,0.0321977,0.0301333,0.0305067,34024257.835237,0
CSPR.V,D,20220723,000000,0.03048,0.0315857,0.030243,0.0305858,22760152.827922,0
CSPR.V,D,20220724,000000,0.0305743,0.0318471,0.030534,0.031456,19424943.412673,0
CSPR.V,D,20220725,000000,0.031436,0.0316848,0.0295503,0.0301724,27264777.547824,0
CSPR.V,D,20220726,000000,0.0300827,0.030283,0.0285814,0.0292644,35929773.927743,0
CSPR.V,D,20220727,000000,0.0292741,0.0313982,0.0292,0.0309768,24071221.580651,0
CSPR.V,D,20220728,000000,0.0309374,0.0323429,0.0302433,0.0312562,49649826.932404,0
CSPR.V,D,20220729,000000,0.0312081,0.0326085,0.0300399,0.0308526,68287532.854183,0
CSPR.V,D,20220730,000000,0.0308423,0.0336018,0.0307823,0.0325307,56616080.04778,0
CSPR.V,D,20220731,000000,0.0324523,0.0332253,0.032089,0.0325575,31307751.987001,0
CSPR.V,D,20220801,000000,0.0325678,0.0326988,0.0313103,0.0315091,38913397.74685,0
CSPR.V,D,20220802,000000,0.0315095,0.0317702,0.0298493,0.0305152,35554256.920785,0
CSPR.V,D,20220803,000000,0.0305252,0.0317489,0.0300769,0.0313978,22831173.994936,0
CSPR.V,D,20220804,000000,0.0313894,0.0313894,0.0304312,0.0312509,19922789.421572,0
CSPR.V,D,20220805,000000,0.0312609,0.0320238,0.0311378,0.031466,16881679.721029,0
CSPR.V,D,20220806,000000,0.031446,0.0320564,0.031436,0.0317773,12230764.739926,0
CSPR.V,D,20220807,000000,0.031777,0.0345755,0.0312278,0.0329959,46962842.926161,0
CSPR.V,D,20220808,000000,0.0329963,0.036464,0.0329256,0.0342741,47242661.752565,0
CSPR.V,D,20220809,000000,0.0342741,0.0387874,0.0337171,0.0379876,155559216.182,0
CSPR.V,D,20220810,000000,0.0380776,0.0382088,0.0348222,0.0361505,82644518.273286,0
CSPR.V,D,20220811,000000,0.0361809,0.0389293,0.0360358,0.036167,39087223.894687,0
CSPR.V,D,20220812,000000,0.036177,0.0391356,0.035978,0.0373872,42968388.612244,0
CSPR.V,D,20220813,000000,0.0373172,0.03782,0.0362119,0.0367143,33359423.058812,0
CSPR.V,D,20220814,000000,0.0367139,0.0371148,0.0346083,0.0353109,20670835.921864,0
CSPR.V,D,20220815,000000,0.0352799,0.037669,0.0339478,0.0371289,83503859.242754,0
CSPR.V,D,20220816,000000,0.0370589,0.0382076,0.035356,0.0364533,92562669.124416,0
CSPR.V,D,20220817,000000,0.0364333,0.0374541,0.0332243,0.0338924,146645831.03023,0
CSPR.V,D,20220818,000000,0.0338924,0.0339024,0.0312028,0.0314203,68461711.17794,0
CSPR.V,D,20220819,000000,0.0314,0.0314531,0.02816,0.0294829,84256826.008272,0
CSPR.V,D,20220820,000000,0.0294615,0.0313644,0.0279538,0.0280897,64037742.683614,0
CSPR.V,D,20220821,000000,0.0280994,0.0316778,0.0280597,0.0292091,62074738.181926,0
