<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEP.V,D,20220527,000000,0.0180819,0.019978,0.0171828,0.0191808,116150849.90313,0
DEP.V,D,20220528,000000,0.0189783,0.0191808,0.0187748,0.0190777,178639817.53003,0
DEP.V,D,20220529,000000,0.0190773,0.0191783,0.0173802,0.0179802,78660506.932747,0
DEP.V,D,20220530,000000,0.0179802,0.0193825,0.0174815,0.0189867,133831956.77199,0
DEP.V,D,20220531,000000,0.0189867,0.0192865,0.0187831,0.0191846,131578314.7807,0
DEP.V,D,20220601,000000,0.0190853,0.0192832,0.0184134,0.0186832,27830350.461451,0
DEP.V,D,20220602,000000,0.0186832,0.018873,0.0175842,0.0180837,51565131.715847,0
DEP.V,D,20220603,000000,0.0180837,0.020204,0.0175065,0.0188736,91669522.52209,0
DEP.V,D,20220604,000000,0.0189737,0.0189737,0.017885,0.0185859,50853345.573801,0
DEP.V,D,20220605,000000,0.0185833,0.0187642,0.0180873,0.0185629,96741212.96144,0
DEP.V,D,20220606,000000,0.0185623,0.0188845,0.0181647,0.0183046,56054372.335842,0
DEP.V,D,20220607,000000,0.0183048,0.0185757,0.0171881,0.018485,86268976.106256,0
DEP.V,D,20220608,000000,0.0185851,0.0185859,0.0175887,0.0178479,72155679.425003,0
DEP.V,D,20220609,000000,0.0179084,0.0179583,0.0175954,0.0177751,13231762.129861,0
DEP.V,D,20220610,000000,0.0177751,0.018972,0.0167341,0.0180463,69316703.147536,0
DEP.V,D,20220611,000000,0.0180369,0.0180806,0.0169806,0.0170204,26766298.957424,0
DEP.V,D,20220612,000000,0.0171604,0.0172004,0.0158876,0.0160003,34791606.911849,0
DEP.V,D,20220613,000000,0.0160303,0.0161395,0.0146429,0.0158579,38881275.543627,0
DEP.V,D,20220614,000000,0.0158578,0.0158666,0.0145596,0.0147223,51721146.313183,0
DEP.V,D,20220615,000000,0.0147421,0.0157427,0.0144739,0.0155966,184710980.09807,0
DEP.V,D,20220616,000000,0.0157064,0.0179866,0.0156428,0.0167382,43894830.569642,0
DEP.V,D,20220617,000000,0.0166477,0.0167374,0.0158777,0.0160209,16813161.661568,0
DEP.V,D,20220618,000000,0.0160209,0.0160609,0.0149179,0.0150955,39190986.536388,0
DEP.V,D,20220619,000000,0.0151554,0.0153715,0.0149276,0.0153715,31034990.99179,0
DEP.V,D,20220620,000000,0.0153476,0.0154515,0.0147682,0.0151513,59364542.704267,0
DEP.V,D,20220621,000000,0.0150919,0.0159824,0.0141744,0.0150834,35159012.872935,0
DEP.V,D,20220622,000000,0.015015,0.0151648,0.0144855,0.0148352,44505030.235279,0
DEP.V,D,20220623,000000,0.0148551,0.0149251,0.0141858,0.0144356,31737089.19649,0
DEP.V,D,20220624,000000,0.0144356,0.0151081,0.0135365,0.0146885,55161796.767262,0
DEP.V,D,20220625,000000,0.0146853,0.0147996,0.0143317,0.0144499,85447658.588499,0
DEP.V,D,20220626,000000,0.0144499,0.0145423,0.0139915,0.0141312,41407118.545099,0
DEP.V,D,20220627,000000,0.0141915,0.0147913,0.0136418,0.0138976,4506430.218035,0
DEP.V,D,20220628,000000,0.0139472,0.0148666,0.0137089,0.014602,16463581.355404,0
DEP.V,D,20220629,000000,0.014592,0.0146327,0.0140403,0.0142028,162730613.49779,0
DEP.V,D,20220630,000000,0.0143128,0.0147042,0.0137733,0.0140531,3306149.2270338,0
DEP.V,D,20220701,000000,0.0139732,0.0146409,0.0137934,0.0140345,62015844.399279,0
DEP.V,D,20220702,000000,0.0140345,0.0140545,0.0135623,0.0138334,19783823.524055,0
DEP.V,D,20220703,000000,0.0138234,0.0140831,0.0136836,0.013862,97642948.515078,0
DEP.V,D,20220704,000000,0.0138606,0.0146524,0.0133227,0.0140232,29098238.221763,0
DEP.V,D,20220705,000000,0.0139333,0.0144027,0.0128958,0.0134252,30278705.698914,0
DEP.V,D,20220706,000000,0.0134052,0.0134851,0.0128359,0.0132055,44743407.663147,0
DEP.V,D,20220707,000000,0.0131955,0.0133307,0.0130856,0.013302,33211503.127897,0
DEP.V,D,20220708,000000,0.0132507,0.0139416,0.0129023,0.0130322,21351315.729498,0
DEP.V,D,20220709,000000,0.0130222,0.0136428,0.0122716,0.0130881,24389045.130635,0
DEP.V,D,20220710,000000,0.0130668,0.013269,0.0128943,0.0129782,53461054.606212,0
DEP.V,D,20220711,000000,0.0129592,0.0132567,0.0083941,0.0122789,50866600.129231,0
DEP.V,D,20220712,000000,0.0122637,0.0124076,0.0112977,0.0114076,22402162.696634,0
DEP.V,D,20220713,000000,0.011354,0.0132537,0.0112566,0.0128984,52236410.712491,0
DEP.V,D,20220714,000000,0.0129171,0.0146483,0.0123114,0.0125325,49785003.812948,0
DEP.V,D,20220715,000000,0.0125412,0.0136818,0.0122526,0.0128461,49360843.233223,0
DEP.V,D,20220716,000000,0.0128361,0.0129261,0.0122176,0.0126475,57683366.449099,0
DEP.V,D,20220717,000000,0.0126171,0.0128891,0.0122163,0.0126066,51490401.794021,0
DEP.V,D,20220718,000000,0.0126764,0.0128461,0.0121868,0.0122372,29756738.447067,0
DEP.V,D,20220719,000000,0.0122263,0.0139894,0.0121694,0.0133327,38755717.122221,0
DEP.V,D,20220720,000000,0.01326,0.0149912,0.012721,0.0135407,66139279.001438,0
DEP.V,D,20220721,000000,0.0135816,0.0165307,0.0124914,0.0129028,59748374.870872,0
DEP.V,D,20220722,000000,0.0129931,0.0131507,0.0106929,0.0116116,50100535.631614,0
DEP.V,D,20220723,000000,0.0116,0.012731,0.011531,0.0120424,16266750.016745,0
DEP.V,D,20220724,000000,0.0120424,0.0124712,0.0119207,0.0122323,35688184.522818,0
DEP.V,D,20220725,000000,0.0122323,0.0124925,0.0111213,0.011401,77303744.774095,0
DEP.V,D,20220726,000000,0.011391,0.0113913,0.0105203,0.0106416,23960189.225348,0
DEP.V,D,20220727,000000,0.0106015,0.011991,0.0102697,0.0118929,78426725.11383,0
DEP.V,D,20220728,000000,0.0118727,0.0125804,0.0115702,0.0122124,63902516.140349,0
DEP.V,D,20220729,000000,0.0122026,0.0123668,0.0116126,0.012215,36015926.581777,0
DEP.V,D,20220730,000000,0.012275,0.0123643,0.0120735,0.012194,54376449.954896,0
DEP.V,D,20220731,000000,0.0121944,0.0123725,0.0119033,0.0120828,40075192.654504,0
DEP.V,D,20220801,000000,0.0120428,0.0122634,0.0118332,0.0121135,21516288.053007,0
DEP.V,D,20220802,000000,0.0121136,0.0123833,0.0120439,0.0122022,9157373.406938,0
DEP.V,D,20220803,000000,0.0121923,0.0122213,0.0119313,0.0120229,32091516.159476,0
DEP.V,D,20220804,000000,0.0120236,0.0120325,0.0117307,0.0118915,23581500.492096,0
DEP.V,D,20220805,000000,0.0118805,0.0124317,0.011702,0.0121624,36382731.438112,0
DEP.V,D,20220806,000000,0.0121624,0.0122301,0.011722,0.0120326,54646558.833455,0
DEP.V,D,20220807,000000,0.0120328,0.0120918,0.0117013,0.0119021,19269853.708439,0
DEP.V,D,20220808,000000,0.0119023,0.0122723,0.0116324,0.0121219,7871725.996778,0
DEP.V,D,20220809,000000,0.0122175,0.0122565,0.0115021,0.0116663,28244163.474242,0
DEP.V,D,20220810,000000,0.0117655,0.0120042,0.0115023,0.0117084,3750833.815025,0
DEP.V,D,20220811,000000,0.0117335,0.0118559,0.0114455,0.0117105,35372385.660066,0
DEP.V,D,20220812,000000,0.0117259,0.0117551,0.0114846,0.0117454,1741675.2618035,0
DEP.V,D,20220813,000000,0.0116754,0.0121272,0.0113954,0.0117446,68104161.422772,0
DEP.V,D,20220814,000000,0.0116844,0.0117445,0.0110734,0.0112535,60505090.47045,0
DEP.V,D,20220815,000000,0.0112533,0.0113333,0.0110431,0.0111726,31083148.622263,0
DEP.V,D,20220816,000000,0.0111827,0.0113124,0.0110114,0.0110809,24719174.658955,0
DEP.V,D,20220817,000000,0.011091,0.0111508,0.0105604,0.0106407,52354511.762673,0
DEP.V,D,20220818,000000,0.0106407,0.0108508,0.01033,0.0107001,47214372.775504,0
DEP.V,D,20220819,000000,0.01074,0.0108711,0.009981,0.010041,49930558.798882,0
DEP.V,D,20220820,000000,0.0100303,0.0100603,0.0095492,0.0095999,39664527.422817,0
DEP.V,D,20220821,000000,0.0095997,0.00962,0.0088106,0.0089597,23883100.95696,0
DEP.V,D,20220822,000000,0.0089504,0.0095591,0.0089,0.0093183,51615594.132385,0
DEP.V,D,20220823,000000,0.0093185,0.0095378,0.0088097,0.0094902,84177604.764709,0
DEP.V,D,20220824,000000,0.00949,0.0095302,0.0088602,0.0091508,62943627.135053,0
DEP.V,D,20220825,000000,0.0091507,0.0091507,0.0081806,0.0084603,41996299.216847,0
DEP.V,D,20220826,000000,0.0084701,0.0084797,0.0071612,0.0073707,18392806.898948,0
DEP.V,D,20220827,000000,0.0073207,0.0073707,0.0064203,0.0064901,29355874.389134,0
DEP.V,D,20220828,000000,0.0064901,0.0065501,0.0058601,0.00633,49273965.375459,0
DEP.V,D,20220829,000000,0.0064099,0.0064101,0.0059895,0.0060904,25924022.772765,0
DEP.V,D,20220830,000000,0.0060907,0.00617049,0.00589982,0.00597048,24582461.727447,0
DEP.V,D,20220831,000000,0.00601048,0.00603042,0.00545027,0.00562,45084696.077876,0
DEP.V,D,20220901,000000,0.00563989,0.00565006,0.00500985,0.0050798,65099626.542387,0
DEP.V,D,20220902,000000,0.0050998,0.00548055,0.00494,0.00538086,26561454.995975,0
DEP.V,D,20220903,000000,0.00536086,0.00687069,0.00530937,0.00643,38903962.234239,0
DEP.V,D,20220904,000000,0.00643,0.00789,0.00606061,0.00626,52193485.870029,0
DEP.V,D,20220905,000000,0.00617,0.00686069,0.00606061,0.00617062,31430460.352228,0
DEP.V,D,20220906,000000,0.00617062,0.00626063,0.00546,0.00546,26241857.33174,0
DEP.V,D,20220907,000000,0.00546044,0.00570125,0.00528053,0.00568028,12955746.476185,0
DEP.V,D,20220908,000000,0.0056804,0.00719058,0.00563006,0.00637096,39493089.339312,0
DEP.V,D,20220909,000000,0.00650104,0.00700119,0.0062113,0.00655216,26839984.116952,0
DEP.V,D,20220910,000000,0.00652267,0.00662278,0.00626219,0.00651124,16655729.854337,0
DEP.V,D,20220911,000000,0.00650169,0.00669227,0.00641205,0.00648162,20629804.722601,0
DEP.V,D,20220912,000000,0.00648162,0.00699119,0.00641109,0.00666133,21195867.692326,0
DEP.V,D,20220913,000000,0.00666113,0.00694194,0.00650143,0.00675013,21891509.769721,0
DEP.V,D,20220914,000000,0.00675013,0.00676014,0.00641045,0.00650163,7767432.1138078,0
DEP.V,D,20220915,000000,0.00650169,0.0065302,0.00629943,0.00641942,40721000.539891,0
DEP.V,D,20220916,000000,0.00644987,0.00644987,0.0062995,0.00637,62033143.286253,0
DEP.V,D,20220917,000000,0.00637,0.00639,0.00614939,0.00618062,40355165.080804,0
DEP.V,D,20220918,000000,0.00618,0.00622062,0.00558,0.0056,26894348.405979,0
DEP.V,D,20220919,000000,0.00556944,0.00567,0.00508949,0.00514051,8760093.7276,0
DEP.V,D,20220920,000000,0.00513103,0.00549055,0.00501,0.00528053,21588728.255359,0
DEP.V,D,20220921,000000,0.00529053,0.00549055,0.00522,0.00527,57607092.187015,0
DEP.V,D,20220922,000000,0.00524,0.00551,0.00522,0.00543,27865868.484671,0
DEP.V,D,20220923,000000,0.00541946,0.00554945,0.00525,0.00537946,25787298.850516,0
DEP.V,D,20220924,000000,0.00538978,0.00539957,0.00519995,0.00528048,15702285.622787,0
DEP.V,D,20220925,000000,0.00528,0.00540032,0.00517,0.00517,27620255.92138,0
DEP.V,D,20220926,000000,0.0051501,0.00529995,0.00502,0.00511,31039205.141646,0
DEP.V,D,20220927,000000,0.00508,0.00541946,0.00505949,0.00517948,28677521.361187,0
DEP.V,D,20220928,000000,0.0052,0.00677,0.0049995,0.00617,80246477.920464,0
DEP.V,D,20220929,000000,0.00617,0.00660066,0.00534946,0.00570057,60793886.915826,0
DEP.V,D,20220930,000000,0.00570057,0.00642128,0.00568057,0.00599,13878405.912809,0
DEP.V,D,20221001,000000,0.00599,0.00614061,0.00588,0.00596,18542442.120242,0
DEP.V,D,20221002,000000,0.00598,0.00599,0.00576,0.0058,18764292.082356,0
DEP.V,D,20221003,000000,0.00581,0.00588,0.00560944,0.00580058,22928264.127845,0
DEP.V,D,20221004,000000,0.00576058,0.00596119,0.00571114,0.00582175,37838610.471638,0
DEP.V,D,20221005,000000,0.00581116,0.00596179,0.00558056,0.00570114,5852905.705681,0
DEP.V,D,20221006,000000,0.00570091,0.00605079,0.00560078,0.00590106,22180478.41167,0
DEP.V,D,20221007,000000,0.00588094,0.00650078,0.0058407,0.00602084,5998836.962889,0
DEP.V,D,20221008,000000,0.00602078,0.00605073,0.00574075,0.0057815,25657758.260776,0
DEP.V,D,20221009,000000,0.0057715,0.00589118,0.00571057,0.00587117,14724122.481209,0
DEP.V,D,20221010,000000,0.00589118,0.00591118,0.00555,0.00563944,12826501.617736,0
DEP.V,D,20221011,000000,0.00563944,0.00563944,0.00519948,0.00530952,38457511.863582,0
DEP.V,D,20221012,000000,0.00528631,0.00579483,0.00528021,0.00563406,24581002.123104,0
DEP.V,D,20221013,000000,0.00562706,0.00595782,0.00547633,0.0055155,6136825.4796434,0
DEP.V,D,20221014,000000,0.00554139,0.0059583,0.00547544,0.00573417,20722276.512801,0
DEP.V,D,20221015,000000,0.00566028,0.00578446,0.00552017,0.00552928,26806136.144385,0
DEP.V,D,20221016,000000,0.00555233,0.00565011,0.00530511,0.00544227,20115574.645379,0
DEP.V,D,20221017,000000,0.00549127,0.00614025,0.00529005,0.00553011,24083037.353557,0
DEP.V,D,20221018,000000,0.00554017,0.00566147,0.0052101,0.00535032,49955544.848961,0
DEP.V,D,20221019,000000,0.00535027,0.00561028,0.00526005,0.0053,35518500.1916,0
DEP.V,D,20221020,000000,0.005305,0.00541995,0.00528321,0.00532941,35930528.19922,0
DEP.V,D,20221021,000000,0.00532952,0.00535021,0.00522958,0.00533037,34238704.55333,0
DEP.V,D,20221022,000000,0.00534037,0.00539022,0.00524016,0.00532048,29386789.38708,0
DEP.V,D,20221023,000000,0.00530042,0.00537048,0.00522078,0.00523068,18407831.788887,0
DEP.V,D,20221024,000000,0.00526047,0.00564028,0.0050104,0.00517016,36279902.1039,0
DEP.V,D,20221025,000000,0.00519021,0.00526205,0.0051599,0.00525184,12439700.72894,0
DEP.V,D,20221026,000000,0.00524168,0.00541151,0.00522115,0.0053515,37334928.110538,0
DEP.V,D,20221027,000000,0.00533149,0.0054412,0.00525116,0.00538032,79770936.486081,0
DEP.V,D,20221028,000000,0.00537032,0.00543038,0.00525016,0.00540108,14772593.37879,0
DEP.V,D,20221029,000000,0.00540097,0.00541119,0.00521162,0.00529127,49603332.623963,0
DEP.V,D,20221030,000000,0.00528132,0.00543136,0.00515149,0.00523105,23825305.40952,0
DEP.V,D,20221031,000000,0.0052311,0.00527026,0.00510071,0.00518958,27270700.465089,0
DEP.V,D,20221101,000000,0.00518969,0.00522948,0.00506863,0.00522948,2518288.730233,0
DEP.V,D,20221102,000000,0.00521937,0.00539995,0.00509949,0.00531968,39399861.903305,0
DEP.V,D,20221103,000000,0.00531968,0.00537978,0.00504955,0.00513,40327350.991081,0
DEP.V,D,20221104,000000,0.00512995,0.00531064,0.00505944,0.00528032,30987702.020717,0
DEP.V,D,20221105,000000,0.00525042,0.00548038,0.00522031,0.00544027,42208916.51122498,0
DEP.V,D,20221106,000000,0.00544027,0.00588024,0.00530005,0.00559017,8630745.335463991,0
DEP.V,D,20221107,000000,0.00561045,0.00572069,0.00532016,0.00553072,16370463.181231989,0
DEP.V,D,20221108,000000,0.00552166,0.00555666,0.0051459,0.00530587,48973991.045471035,0
DEP.V,D,20221109,000000,0.0053159,0.00535709,0.00494928,0.0049978,43514317.07796027,0
DEP.V,D,20221110,000000,0.0049833,0.00583688,0.00476718,0.005449,13408022.707411205,0
DEP.V,D,20221111,000000,0.00545335,0.00640133,0.00499249,0.00511307,15655512.84732511,0
DEP.V,D,20221112,000000,0.00511153,0.00512003,0.00472953,0.00489118,30066927.059057005,0
DEP.V,D,20221113,000000,0.00491114,0.00497253,0.00459264,0.00466346,2837286.8803064055,0
DEP.V,D,20221114,000000,0.00465348,0.0053031,0.00444333,0.00497303,41764784.615983486,0
DEP.V,D,20221115,000000,0.00493259,0.00502296,0.00451548,0.00467532,28984196.176236548,0
DEP.V,D,20221116,000000,0.00467434,0.00488555,0.0045658,0.0045658,18172855.49054999,0
DEP.V,D,20221117,000000,0.00456584,0.00474634,0.00454609,0.0047462,31438946.664489996,0
DEP.V,D,20221118,000000,0.00475648,0.00499545,0.00455626,0.00487434,89478426.34814805,0
DEP.V,D,20221119,000000,0.0048644,0.00495464,0.00476394,0.00493476,70989789.62218006,0
DEP.V,D,20221120,000000,0.00493486,0.0049543,0.00456406,0.00464298,11609488.707410714,0
DEP.V,D,20221121,000000,0.00465287,0.00468343,0.00429484,0.00434482,29664083.178176355,0
