<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIVI.V,D,20220514,000000,0.0403513,0.0419034,0.0387518,0.0405391,400164.15860945,0
DIVI.V,D,20220515,000000,0.040707,0.0422108,0.0359604,0.0394526,300306.896924,0
DIVI.V,D,20220516,000000,0.039952,0.0401598,0.0337095,0.0379468,1548037.629391,0
DIVI.V,D,20220517,000000,0.0384599,0.0396663,0.0371579,0.0382441,440971.902326,0
DIVI.V,D,20220518,000000,0.0388034,0.0395945,0.0356236,0.0364526,439333.61546897,0
DIVI.V,D,20220519,000000,0.0359396,0.037962,0.0324475,0.0376761,1094714.707003,0
DIVI.V,D,20220520,000000,0.0375524,0.0375562,0.0338793,0.0347782,1088703.635263,0
DIVI.V,D,20220521,000000,0.0354075,0.0365624,0.0345585,0.0361593,257996.888357,0
DIVI.V,D,20220522,000000,0.0358633,0.0377447,0.0348112,0.0354474,368984.054546,0
DIVI.V,D,20220523,000000,0.0356472,0.0379482,0.0351178,0.0364426,419479.387253,0
DIVI.V,D,20220524,000000,0.0357435,0.0371554,0.0339692,0.0368321,568858.743542,0
DIVI.V,D,20220525,000000,0.0364026,0.043552,0.0360966,0.0425731,568493.16564995,0
DIVI.V,D,20220526,000000,0.0429484,0.0429484,0.0374288,0.0388112,952677.99606,0
DIVI.V,D,20220527,000000,0.0384615,0.042957,0.0381818,0.0401298,630453.65953292,0
DIVI.V,D,20220528,000000,0.0406385,0.0429514,0.0398797,0.042951,466607.327398,0
DIVI.V,D,20220529,000000,0.0429484,0.0447934,0.0413636,0.0438135,477779.67058304,0
DIVI.V,D,20220530,000000,0.0438122,0.0449546,0.0419243,0.0434652,898980.75282917,0
DIVI.V,D,20220531,000000,0.0432597,0.0439748,0.0404876,0.0404876,351910.15876847,0
DIVI.V,D,20220601,000000,0.0404492,0.0404496,0.035468,0.0356279,668544.79787,0
DIVI.V,D,20220602,000000,0.0351483,0.0372664,0.0333599,0.0358777,570798.39873117,0
DIVI.V,D,20220603,000000,0.0358777,0.0389661,0.0358777,0.0384665,698769.133335,0
DIVI.V,D,20220604,000000,0.0387559,0.0396619,0.0376987,0.0385399,501731.5845642,0
DIVI.V,D,20220605,000000,0.0382809,0.0384734,0.0345503,0.0366363,499870.702799,0
DIVI.V,D,20220606,000000,0.0368254,0.039946,0.0356365,0.0399364,819015.557608,0
DIVI.V,D,20220607,000000,0.0393769,0.0393769,0.03451,0.0347921,646710.53108925,0
DIVI.V,D,20220608,000000,0.0348538,0.0353756,0.0334169,0.0336681,28148666.408903,0
DIVI.V,D,20220609,000000,0.0336681,0.0349427,0.0334582,0.034531,2365371.1153568,0
DIVI.V,D,20220610,000000,0.0342509,0.0348107,0.0284064,0.0289823,45420207.324327,0
DIVI.V,D,20220611,000000,0.0292925,0.0319458,0.0285785,0.0303653,3074848.042473,0
DIVI.V,D,20220612,000000,0.0304552,0.0304652,0.0273647,0.0294731,531357.356418,0
DIVI.V,D,20220613,000000,0.0290539,0.0290539,0.021502,0.0241566,2062496.815388,0
DIVI.V,D,20220614,000000,0.0241561,0.0250035,0.0213658,0.0237015,2940576.390442,0
DIVI.V,D,20220615,000000,0.0236735,0.025789,0.0229631,0.0247828,4218653.1546174,0
DIVI.V,D,20220616,000000,0.0247877,0.0260213,0.0237914,0.0241286,8824996.3969823,0
DIVI.V,D,20220617,000000,0.0245156,0.0276615,0.0245156,0.0250901,51196180.625673,0
DIVI.V,D,20220618,000000,0.02494,0.0255078,0.0220136,0.0230916,9922816.3023631,0
DIVI.V,D,20220619,000000,0.023272,0.0264282,0.023272,0.0264282,1291295.141669,0
DIVI.V,D,20220620,000000,0.0262185,0.0276668,0.0260713,0.0266407,904907.095927,0
DIVI.V,D,20220621,000000,0.0264982,0.0304365,0.0263883,0.0280791,1245399.968517,0
DIVI.V,D,20220622,000000,0.0278721,0.0280819,0.0244755,0.0247652,1358850.3168329,0
