<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETC.V,D,20160727,000000,2.2,2.3,1,1.6,0,0
ETC.V,D,20160728,000000,1.6,2.11,1.36,1.68,0,0
ETC.V,D,20160729,000000,1.68,1.79,1.52,1.64,0,0
ETC.V,D,20160730,000000,1.64,1.7,1.55,1.57,0,0
ETC.V,D,20160731,000000,1.57,1.92,1.41,1.79,0,0
ETC.V,D,20160801,000000,1.79,2.29,1.7,2.29,0,0
ETC.V,D,20160802,000000,2.29,3.64,2.07,2.6,0,0
ETC.V,D,20160803,000000,2.6,3.2,2.18,2.56,0,0
ETC.V,D,20160804,000000,2.56,2.77,2.1,2.28,0,0
ETC.V,D,20160805,000000,2.28,2.65,2.28,2.56,0,0
ETC.V,D,20160806,000000,2.56,2.88,2.5,2.67,0,0
ETC.V,D,20160807,000000,2.67,2.76,2.07,2.1,0,0
ETC.V,D,20160808,000000,2.1,2.4,1.95,2.13,0,0
ETC.V,D,20160809,000000,2.13,2.3,1.72,1.93,0,0
ETC.V,D,20160810,000000,1.93,2.06,1.6,1.69,0,0
ETC.V,D,20160811,000000,1.69,1.96,1.56,1.86,0,0
ETC.V,D,20160812,000000,1.86,2.09,1.81,1.82,0,0
ETC.V,D,20160813,000000,1.82,1.92,1.81,1.86,0,0
ETC.V,D,20160814,000000,1.86,1.99,1.86,1.92,0,0
ETC.V,D,20160815,000000,1.92,2,1.85,1.86,0,0
ETC.V,D,20160816,000000,1.86,1.89,1.8,1.86,0,0
ETC.V,D,20160817,000000,1.86,1.88,1.71,1.74,0,0
ETC.V,D,20160818,000000,1.74,1.78,1.63,1.69,0,0
ETC.V,D,20160819,000000,1.69,1.8,1.61,1.75,0,0
ETC.V,D,20160820,000000,1.75,1.76,1.69,1.74,0,0
ETC.V,D,20160821,000000,1.74,1.77,1.7,1.71,0,0
ETC.V,D,20160822,000000,1.71,1.74,1.62,1.66,0,0
ETC.V,D,20160823,000000,1.66,1.68,1.57,1.61,0,0
ETC.V,D,20160824,000000,1.61,1.79,1.42,1.47,0,0
ETC.V,D,20160825,000000,1.47,1.47,1.26,1.38,0,0
ETC.V,D,20160826,000000,1.38,1.46,1.32,1.43,0,0
ETC.V,D,20160827,000000,1.43,1.46,1.34,1.36,0,0
ETC.V,D,20160828,000000,1.36,1.36,1.3,1.36,0,0
ETC.V,D,20160829,000000,1.36,1.36,1.24,1.24,0,0
ETC.V,D,20160830,000000,1.24,1.31,1.15,1.24,0,0
ETC.V,D,20160831,000000,1.24,1.27,1.16,1.19,0,0
ETC.V,D,20160901,000000,1.19,1.49,1.17,1.48,0,0
ETC.V,D,20160902,000000,1.48,1.48,1.37,1.4,0,0
ETC.V,D,20160903,000000,1.4,1.41,1.32,1.36,0,0
ETC.V,D,20160904,000000,1.36,1.45,1.3,1.44,0,0
ETC.V,D,20160905,000000,1.44,1.55,1.44,1.46,0,0
ETC.V,D,20160906,000000,1.46,1.5,1.44,1.48,0,0
ETC.V,D,20160907,000000,1.48,1.49,1.45,1.48,0,0
ETC.V,D,20160908,000000,1.48,1.54,1.46,1.47,0,0
ETC.V,D,20160909,000000,1.47,1.47,1.38,1.41,0,0
ETC.V,D,20160910,000000,1.41,1.45,1.4,1.42,0,0
ETC.V,D,20160911,000000,1.42,1.43,1.33,1.34,0,0
ETC.V,D,20160912,000000,1.34,1.35,1.31,1.33,0,0
ETC.V,D,20160913,000000,1.33,1.33,1.29,1.29,0,0
ETC.V,D,20160914,000000,1.29,1.32,1.26,1.3,0,0
ETC.V,D,20160915,000000,1.3,1.31,1.27,1.28,0,0
ETC.V,D,20160916,000000,1.28,1.34,1.28,1.33,0,0
ETC.V,D,20160917,000000,1.33,1.33,1.31,1.32,0,0
ETC.V,D,20160918,000000,1.32,1.55,1.32,1.33,0,0
ETC.V,D,20160919,000000,1.33,1.34,1.25,1.28,0,0
ETC.V,D,20160920,000000,1.28,1.28,1.24,1.25,0,0
ETC.V,D,20160921,000000,1.25,1.26,1.21,1.23,0,0
ETC.V,D,20160922,000000,1.23,1.33,1.12,1.26,0,0
ETC.V,D,20160923,000000,1.26,1.29,1.22,1.24,0,0
ETC.V,D,20160924,000000,1.24,1.25,1.23,1.25,0,0
ETC.V,D,20160925,000000,1.25,1.26,1.21,1.21,0,0
ETC.V,D,20160926,000000,1.21,1.22,1.2,1.2,0,0
ETC.V,D,20160927,000000,1.2,1.21,1.16,1.19,0,0
ETC.V,D,20160928,000000,1.19,1.27,1.19,1.24,0,0
ETC.V,D,20160929,000000,1.24,1.28,1.22,1.28,0,0
ETC.V,D,20160930,000000,1.28,1.3,1.24,1.26,0,0
ETC.V,D,20161001,000000,1.26,1.26,1.18,1.18,0,0
ETC.V,D,20161002,000000,1.18,1.22,1.18,1.2,0,0
ETC.V,D,20161003,000000,1.2,1.22,1.17,1.19,0,0
ETC.V,D,20161004,000000,1.19,1.19,1.15,1.15,0,0
ETC.V,D,20161005,000000,1.15,1.24,1.15,1.19,0,0
ETC.V,D,20161006,000000,1.19,1.19,1.16,1.17,0,0
ETC.V,D,20161007,000000,1.17,1.19,1.16,1.16,0,0
ETC.V,D,20161008,000000,1.16,1.19,1.16,1.19,0,0
ETC.V,D,20161009,000000,1.19,1.19,1.17,1.17,0,0
ETC.V,D,20161010,000000,1.17,1.17,1.15,1.16,0,0
ETC.V,D,20161011,000000,1.16,1.17,1.09,1.1,0,0
ETC.V,D,20161012,000000,1.1,1.1,0.9903,1.03,0,0
ETC.V,D,20161013,000000,1.03,1.04,0.9557,1.01,0,0
ETC.V,D,20161014,000000,1.01,1.01,0.9733,0.9895,0,0
ETC.V,D,20161015,000000,0.9895,0.9998,0.9879,0.9915,0,0
ETC.V,D,20161016,000000,0.9915,1.23,0.9812,1.16,0,0
ETC.V,D,20161017,000000,1.16,1.21,1.06,1.08,0,0
ETC.V,D,20161018,000000,1.08,1.08,1,1.04,0,0
ETC.V,D,20161019,000000,1.04,1.08,1.03,1.05,0,0
ETC.V,D,20161020,000000,1.05,1.06,1.04,1.04,0,0
ETC.V,D,20161021,000000,1.04,1.05,1,1.03,0,0
ETC.V,D,20161022,000000,1.03,1.07,1.02,1.05,0,0
ETC.V,D,20161023,000000,1.05,1.06,1.03,1.05,0,0
ETC.V,D,20161024,000000,1.05,1.06,1.02,1.03,0,0
ETC.V,D,20161025,000000,1.03,1.05,1.01,1.02,0,0
ETC.V,D,20161026,000000,1.02,1.04,1.01,1.03,0,0
ETC.V,D,20161027,000000,1.03,1.04,0.9828,0.9865,0,0
ETC.V,D,20161028,000000,0.9865,1,0.9436,0.9464,0,0
ETC.V,D,20161029,000000,0.9464,0.9741,0.8707,0.9,0,0
ETC.V,D,20161030,000000,0.9,0.945,0.87,0.924,0,0
ETC.V,D,20161031,000000,0.924,0.9299,0.83,0.899,0,0
ETC.V,D,20161101,000000,0.899,0.9032,0.8704,0.8873,0,0
ETC.V,D,20161102,000000,0.8873,0.9127,0.8505,0.8505,0,0
ETC.V,D,20161103,000000,0.8505,0.9196,0.8505,0.9,0,0
ETC.V,D,20161104,000000,0.9,1,0.8955,0.9804,0,0
ETC.V,D,20161105,000000,0.9804,1.07,0.9591,1.05,0,0
ETC.V,D,20161106,000000,1.05,1.05,0.9767,0.986,0,0
ETC.V,D,20161107,000000,0.986,1.01,0.9301,0.9362,0,0
ETC.V,D,20161108,000000,0.9362,0.9579,0.9252,0.9344,0,0
ETC.V,D,20161109,000000,0.9344,0.9403,0.9084,0.9136,0,0
ETC.V,D,20161110,000000,0.9136,0.9591,0.9,0.9226,0,0
ETC.V,D,20161111,000000,0.9226,0.9397,0.9,0.9119,0,0
ETC.V,D,20161112,000000,0.9119,0.9393,0.9119,0.9199,0,0
ETC.V,D,20161113,000000,0.9199,0.9215,0.9005,0.9049,0,0
ETC.V,D,20161114,000000,0.9049,0.9105,0.89,0.896,0,0
ETC.V,D,20161115,000000,0.896,0.9323,0.885,0.9257,0,0
ETC.V,D,20161116,000000,0.9257,0.9333,0.9003,0.9083,0,0
ETC.V,D,20161117,000000,0.9083,0.9113,0.8867,0.8899,0,0
ETC.V,D,20161118,000000,0.8899,0.8988,0.8703,0.8703,0,0
ETC.V,D,20161119,000000,0.8703,0.8759,0.8553,0.8628,0,0
ETC.V,D,20161120,000000,0.8628,0.8784,0.8528,0.853,0,0
ETC.V,D,20161121,000000,0.853,0.8605,0.8419,0.8419,0,0
ETC.V,D,20161122,000000,0.8419,0.8617,0.8375,0.8375,0,0
ETC.V,D,20161123,000000,0.8375,0.8449,0.8078,0.8114,0,0
ETC.V,D,20161124,000000,0.8114,0.8181,0.7286,0.7719,0,0
ETC.V,D,20161125,000000,0.7719,0.8622,0.7642,0.8333,0,0
ETC.V,D,20161126,000000,0.8333,0.8647,0.78,0.7821,0,0
ETC.V,D,20161127,000000,0.7821,0.8237,0.7703,0.7738,0,0
ETC.V,D,20161128,000000,0.7738,0.785,0.7519,0.7537,0,0
ETC.V,D,20161129,000000,0.7537,0.78,0.71,0.7435,0,0
ETC.V,D,20161130,000000,0.7435,0.7546,0.7139,0.7447,0,0
ETC.V,D,20161201,000000,0.7447,0.7891,0.7427,0.7664,0,0
ETC.V,D,20161202,000000,0.7664,0.8121,0.7333,0.7982,0,0
ETC.V,D,20161203,000000,0.7982,0.8037,0.7652,0.7689,0,0
ETC.V,D,20161204,000000,0.7689,0.7859,0.7368,0.7577,0,0
ETC.V,D,20161205,000000,0.7577,0.82,0.7495,0.82,0,0
ETC.V,D,20161206,000000,0.82,0.85,0.7378,0.7742,0,0
ETC.V,D,20161207,000000,0.7742,0.838,0.7567,0.8276,0,0
ETC.V,D,20161208,000000,0.8276,0.89,0.777,0.8177,0,0
ETC.V,D,20161209,000000,0.8177,0.8404,0.7998,0.814,0,0
ETC.V,D,20161210,000000,0.814,0.87,0.807,0.8428,0,0
ETC.V,D,20161211,000000,0.8428,0.9572,0.8428,0.9328,0,0
ETC.V,D,20161212,000000,0.9328,0.9564,0.8911,0.9119,0,0
ETC.V,D,20161213,000000,0.9119,1,0.9011,0.9775,0,0
ETC.V,D,20161214,000000,0.9775,0.999,0.9606,0.9885,0,0
ETC.V,D,20161215,000000,0.9885,1.1,0.9742,1.08,0,0
ETC.V,D,20161216,000000,1.08,1.09,1.01,1.07,0,0
ETC.V,D,20161217,000000,1.07,1.07,0.9749,0.9978,0,0
ETC.V,D,20161218,000000,0.9978,1.07,0.9978,1.05,0,0
ETC.V,D,20161219,000000,1.05,1.19,1.05,1.19,0,0
ETC.V,D,20161220,000000,1.19,1.21,1.14,1.14,0,0
ETC.V,D,20161221,000000,1.14,1.17,1.11,1.13,0,0
ETC.V,D,20161222,000000,1.13,1.16,1.07,1.1,0,0
ETC.V,D,20161223,000000,1.1,1.11,1.02,1.06,0,0
ETC.V,D,20161224,000000,1.06,1.14,1.03,1.1,0,0
ETC.V,D,20161225,000000,1.1,1.12,1.06,1.06,0,0
ETC.V,D,20161226,000000,1.06,1.08,1.03,1.03,0,0
ETC.V,D,20161227,000000,1.03,1.1,1.03,1.05,0,0
ETC.V,D,20161228,000000,1.05,1.13,1.04,1.12,0,0
ETC.V,D,20161229,000000,1.12,1.5,1.1,1.4,0,0
ETC.V,D,20161230,000000,1.4,1.65,1.4,1.51,0,0
ETC.V,D,20161231,000000,1.51,1.57,1.33,1.45,0,0
ETC.V,D,20170101,000000,1.45,1.5,1.33,1.4,0,0
ETC.V,D,20170102,000000,1.4,1.45,1.35,1.43,0,0
ETC.V,D,20170103,000000,1.43,1.57,1.4,1.48,0,0
ETC.V,D,20170104,000000,1.48,1.76,1.43,1.74,0,0
ETC.V,D,20170105,000000,1.74,1.85,1.4,1.59,0,0
ETC.V,D,20170106,000000,1.59,1.64,1.41,1.51,0,0
ETC.V,D,20170107,000000,1.51,1.52,1.26,1.43,0,0
ETC.V,D,20170108,000000,1.43,1.49,1.42,1.44,0,0
ETC.V,D,20170109,000000,1.44,1.47,1.39,1.39,0,0
ETC.V,D,20170110,000000,1.39,1.45,1.39,1.43,0,0
ETC.V,D,20170111,000000,1.43,1.44,1.16,1.28,0,0
ETC.V,D,20170112,000000,1.28,1.28,1.14,1.24,0,0
ETC.V,D,20170113,000000,1.24,1.27,1.17,1.22,0,0
ETC.V,D,20170114,000000,1.22,1.24,1.2,1.22,0,0
ETC.V,D,20170115,000000,1.22,1.22,1.17,1.2,0,0
ETC.V,D,20170116,000000,1.2,1.2,1.18,1.19,0,0
ETC.V,D,20170117,000000,1.19,1.24,1.17,1.21,0,0
ETC.V,D,20170118,000000,1.21,1.23,1.18,1.21,0,0
ETC.V,D,20170119,000000,1.21,1.22,1.16,1.17,0,0
ETC.V,D,20170120,000000,1.17,1.4,1.15,1.34,0,0
ETC.V,D,20170121,000000,1.34,1.45,1.25,1.42,0,0
ETC.V,D,20170122,000000,1.42,1.47,1.33,1.37,0,0
ETC.V,D,20170123,000000,1.37,1.4,1.37,1.4,0,0
ETC.V,D,20170124,000000,1.4,1.4,1.36,1.37,0,0
ETC.V,D,20170125,000000,1.37,1.38,1.1,1.28,0,0
ETC.V,D,20170126,000000,1.28,1.36,1.28,1.33,0,0
ETC.V,D,20170127,000000,1.33,1.35,1.27,1.28,0,0
ETC.V,D,20170128,000000,1.28,1.31,1.28,1.31,0,0
ETC.V,D,20170129,000000,1.31,1.31,1.29,1.29,0,0
ETC.V,D,20170130,000000,1.29,1.34,1.29,1.34,0,0
ETC.V,D,20170131,000000,1.34,1.37,1.33,1.36,0,0
ETC.V,D,20170201,000000,1.36,1.39,1.34,1.35,0,0
ETC.V,D,20170202,000000,1.35,1.37,1.34,1.36,0,0
ETC.V,D,20170203,000000,1.36,1.37,1.31,1.33,0,0
ETC.V,D,20170204,000000,1.33,1.39,1.33,1.38,0,0
ETC.V,D,20170205,000000,1.38,1.38,1.34,1.37,0,0
ETC.V,D,20170206,000000,1.37,1.48,1.37,1.45,0,0
ETC.V,D,20170207,000000,1.45,1.51,1.42,1.46,0,0
ETC.V,D,20170208,000000,1.46,1.49,1.4,1.43,0,0
ETC.V,D,20170209,000000,1.43,1.5,1.2,1.28,0,0
ETC.V,D,20170210,000000,1.28,1.4,1.22,1.26,0,0
ETC.V,D,20170211,000000,1.26,1.3,1.23,1.23,0,0
ETC.V,D,20170212,000000,1.23,1.24,1.21,1.22,0,0
ETC.V,D,20170213,000000,1.22,1.23,1.15,1.19,0,0
ETC.V,D,20170214,000000,1.19,1.26,1.19,1.25,0,0
ETC.V,D,20170215,000000,1.25,1.28,1.25,1.26,0,0
ETC.V,D,20170216,000000,1.26,1.27,1.23,1.23,0,0
ETC.V,D,20170217,000000,1.23,1.26,1.23,1.23,0,0
ETC.V,D,20170218,000000,1.23,1.25,1.2,1.22,0,0
ETC.V,D,20170219,000000,1.22,1.24,1.22,1.22,0,0
ETC.V,D,20170220,000000,1.22,1.24,1.22,1.22,0,0
ETC.V,D,20170221,000000,1.22,1.26,1.21,1.26,0,0
ETC.V,D,20170222,000000,1.26,1.39,1.22,1.22,0,0
ETC.V,D,20170223,000000,1.22,1.24,1.2,1.22,0,0
ETC.V,D,20170224,000000,1.22,1.25,1.2,1.21,0,0
ETC.V,D,20170225,000000,1.21,1.22,1.18,1.21,0,0
ETC.V,D,20170226,000000,1.21,1.24,1.18,1.24,0,0
ETC.V,D,20170227,000000,1.24,1.26,1.22,1.24,0,0
ETC.V,D,20170228,000000,1.24,1.26,1.21,1.23,0,0
ETC.V,D,20170301,000000,1.23,1.43,1.22,1.39,0,0
ETC.V,D,20170302,000000,1.39,1.4,1.33,1.37,0,0
ETC.V,D,20170303,000000,1.37,1.44,1.32,1.44,0,0
ETC.V,D,20170304,000000,1.44,1.46,1.39,1.43,0,0
ETC.V,D,20170305,000000,1.43,1.44,1.35,1.37,0,0
ETC.V,D,20170306,000000,1.37,1.44,1.37,1.44,0,0
ETC.V,D,20170307,000000,1.44,1.44,1.34,1.38,0,0
ETC.V,D,20170308,000000,1.38,1.38,1.28,1.28,0,0
ETC.V,D,20170309,000000,1.28,1.34,1.25,1.32,0,0
ETC.V,D,20170310,000000,1.32,1.39,1.21,1.27,0,0
ETC.V,D,20170311,000000,1.27,1.38,1.27,1.38,0,0
ETC.V,D,20170312,000000,1.38,1.43,1.34,1.41,0,0
ETC.V,D,20170313,000000,1.41,1.65,1.35,1.64,0,0
ETC.V,D,20170314,000000,1.64,1.78,1.61,1.65,0,0
ETC.V,D,20170315,000000,1.65,1.8,1.5,1.77,0,0
ETC.V,D,20170316,000000,1.77,2.1,1.7,2.08,0,0
ETC.V,D,20170317,000000,2.08,2.17,1.66,1.73,0,0
ETC.V,D,20170318,000000,1.73,1.78,1.55,1.62,0,0
ETC.V,D,20170319,000000,1.62,2,1.62,1.94,0,0
ETC.V,D,20170320,000000,1.94,1.95,1.82,1.87,0,0
ETC.V,D,20170321,000000,1.87,2.39,1.87,2.38,0,0
ETC.V,D,20170322,000000,2.38,2.46,2.01,2.28,0,0
ETC.V,D,20170323,000000,2.28,2.36,2.1,2.24,0,0
ETC.V,D,20170324,000000,2.24,2.45,2.23,2.41,0,0
ETC.V,D,20170325,000000,2.41,2.42,2.21,2.21,0,0
ETC.V,D,20170326,000000,2.21,2.34,2.21,2.28,0,0
ETC.V,D,20170327,000000,2.28,2.31,1.85,2.1,0,0
ETC.V,D,20170328,000000,2.1,2.33,2.08,2.24,0,0
ETC.V,D,20170329,000000,2.24,2.38,1.9,2.32,0,0
ETC.V,D,20170330,000000,2.32,3.15,2.26,2.85,0,0
ETC.V,D,20170331,000000,2.85,3,2.58,2.83,0,0
ETC.V,D,20170401,000000,2.83,2.85,2.71,2.75,0,0
ETC.V,D,20170402,000000,2.75,2.82,2.51,2.69,0,0
ETC.V,D,20170403,000000,2.69,2.75,2.48,2.57,0,0
ETC.V,D,20170404,000000,2.57,2.71,2.55,2.66,0,0
ETC.V,D,20170405,000000,2.66,2.82,2.63,2.75,0,0
ETC.V,D,20170406,000000,2.75,2.83,2.45,2.67,0,0
ETC.V,D,20170407,000000,2.67,2.75,2.57,2.75,0,0
ETC.V,D,20170408,000000,2.75,2.81,2.66,2.72,0,0
ETC.V,D,20170409,000000,2.72,2.73,2.59,2.66,0,0
ETC.V,D,20170410,000000,2.66,2.66,2.54,2.64,0,0
ETC.V,D,20170411,000000,2.64,2.64,2.56,2.57,0,0
ETC.V,D,20170412,000000,2.57,2.7,2.52,2.63,0,0
ETC.V,D,20170413,000000,2.63,2.68,2.57,2.61,0,0
ETC.V,D,20170414,000000,2.61,2.71,2.55,2.63,0,0
ETC.V,D,20170415,000000,2.63,2.69,2.6,2.69,0,0
ETC.V,D,20170416,000000,2.69,2.69,2.58,2.59,0,0
ETC.V,D,20170417,000000,2.59,2.64,2.56,2.58,0,0
ETC.V,D,20170418,000000,2.58,2.92,2.58,2.82,0,0
ETC.V,D,20170419,000000,2.82,3.3,2.75,3.09,0,0
ETC.V,D,20170420,000000,3.09,3.4,3.02,3.21,0,0
ETC.V,D,20170421,000000,3.21,3.33,3,3.14,0,0
ETC.V,D,20170422,000000,3.14,3.23,3.12,3.18,0,0
ETC.V,D,20170423,000000,3.18,3.52,3.12,3.5,0,0
ETC.V,D,20170424,000000,3.5,4.14,3.5,4.03,0,0
ETC.V,D,20170425,000000,4.03,4.14,3.8,3.9,0,0
ETC.V,D,20170426,000000,3.9,4.74,3.88,4.6,0,0
ETC.V,D,20170427,000000,4.6,5.17,4.59,5,0,0
ETC.V,D,20170428,000000,5,5.19,4.61,4.92,0,0
ETC.V,D,20170429,000000,4.92,5.5,4.76,5.5,0,0
ETC.V,D,20170430,000000,5.5,6.53,5.34,6.38,0,0
ETC.V,D,20170501,000000,6.38,7.63,5.95,6.63,0,0
ETC.V,D,20170502,000000,6.63,6.9,6.03,6.41,0,0
ETC.V,D,20170503,000000,6.41,6.85,6.35,6.71,0,0
ETC.V,D,20170504,000000,6.71,7.45,6.66,7.37,0,0
ETC.V,D,20170505,000000,7.37,7.5,6.78,7.05,0,0
ETC.V,D,20170506,000000,7.05,7.17,6.63,6.88,0,0
ETC.V,D,20170507,000000,6.88,7.27,5.17,6.54,0,0
ETC.V,D,20170508,000000,6.54,6.8,6.17,6.3,0,0
ETC.V,D,20170509,000000,6.3,6.3,5,6.1,0,0
ETC.V,D,20170510,000000,6.1,6.83,5.9,6.42,0,0
ETC.V,D,20170511,000000,6.42,6.63,6,6.28,0,0
ETC.V,D,20170512,000000,6.28,6.45,5.95,5.95,0,0
ETC.V,D,20170513,000000,5.95,6.1,5.61,5.93,0,0
