<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHST.V,D,20220515,000000,1.57722,1.62377,1.56579,1.58383,110983.66976717135,0
GHST.V,D,20220516,000000,1.58443,1.59963,1.55286,1.58424,205739.17558023313,0
GHST.V,D,20220517,000000,1.58405,1.59572,1.55073,1.58176,492127.70587117906,0
GHST.V,D,20220518,000000,1.58252,1.5956,1.55326,1.5684,461937.9718347979,0
GHST.V,D,20220519,000000,1.56557,1.6114,1.55053,1.58408,259192.94336177743,0
GHST.V,D,20220520,000000,1.58699,1.61325,1.5551,1.56048,87142.89023262016,0
GHST.V,D,20220521,000000,1.56386,1.58097,1.54983,1.553,85377.13512868126,0
GHST.V,D,20220522,000000,1.55305,1.57262,1.55087,1.55299,151225.14623672108,0
GHST.V,D,20220523,000000,1.55485,1.57638,1.53321,1.54603,107033.4555282124,0
GHST.V,D,20220524,000000,1.54383,1.5566,1.52971,1.55375,145685.25586433156,0
GHST.V,D,20220525,000000,1.55509,1.55765,1.5382,1.55411,1258766.756113932,0
GHST.V,D,20220526,000000,1.55782,1.55782,1.53122,1.53419,1411217.4796534074,0
GHST.V,D,20220527,000000,1.53217,1.5387,1.49127,1.49264,1660774.5895869574,0
GHST.V,D,20220528,000000,1.49151,1.50763,1.4822,1.48226,1189944.8824839678,0
GHST.V,D,20220529,000000,1.48444,1.50418,1.48162,1.48762,952250.4594593501,0
GHST.V,D,20220530,000000,1.49036,1.54052,1.47757,1.52578,1469807.6529774508,0
GHST.V,D,20220531,000000,1.52708,1.55136,1.49011,1.49296,1915261.4451518739,0
GHST.V,D,20220601,000000,1.4961,1.54596,1.46493,1.48836,2806108.651758649,0
GHST.V,D,20220602,000000,1.48726,1.57398,1.46843,1.50265,2913789.986403868,0
GHST.V,D,20220603,000000,1.50125,1.51988,1.47916,1.4902,2312534.0462070815,0
GHST.V,D,20220604,000000,1.4908,1.4972,1.46805,1.48847,2018723.8848231174,0
GHST.V,D,20220605,000000,1.48938,1.5187,1.47285,1.4911,1977392.694592265,0
GHST.V,D,20220606,000000,1.4906,1.52392,1.47872,1.49025,8529975.15415645,0
GHST.V,D,20220607,000000,1.49043,1.50571,1.46199,1.50496,4763141.907281531,0
GHST.V,D,20220608,000000,1.50186,1.53715,1.46326,1.48334,4574237.502970716,0
GHST.V,D,20220609,000000,1.48104,1.51101,1.45471,1.46177,8783122.075785117,0
GHST.V,D,20220610,000000,1.46026,1.50157,1.44744,1.45735,7314884.903416161,0
GHST.V,D,20220611,000000,1.45803,1.46619,1.425,1.43188,2540779.8983377717,0
GHST.V,D,20220612,000000,1.43276,1.44121,1.40583,1.40767,1472475.5574180393,0
GHST.V,D,20220613,000000,1.40807,1.42316,1.35117,1.37818,12932808.224547843,0
GHST.V,D,20220614,000000,1.3784,1.39477,1.32448,1.34329,9607136.116959702,0
GHST.V,D,20220615,000000,1.35236,1.39528,1.32043,1.37493,10987988.103840953,0
GHST.V,D,20220616,000000,1.37563,1.3822,1.32974,1.34641,5523758.242534854,0
GHST.V,D,20220617,000000,1.33317,1.35806,1.30654,1.329,3973910.1926653236,0
GHST.V,D,20220618,000000,1.33331,1.43315,1.29604,1.32753,7709499.5190458195,0
GHST.V,D,20220619,000000,1.32773,1.36176,1.30349,1.32697,1277564.183810962,0
GHST.V,D,20220620,000000,1.32697,1.35101,1.28735,1.30157,907636.5182361222,0
GHST.V,D,20220621,000000,1.29904,1.3314,1.28735,1.31645,597774.3311436316,0
GHST.V,D,20220622,000000,1.31515,1.32787,1.2972,1.31408,550437.144764409,0
GHST.V,D,20220623,000000,1.31249,1.33696,1.29817,1.32877,425002.1701011829,0
GHST.V,D,20220624,000000,1.32787,1.34655,1.30817,1.33096,4812557.252069154,0
GHST.V,D,20220625,000000,1.33037,1.34851,1.31535,1.33107,2660352.902519501,0
GHST.V,D,20220626,000000,1.33107,1.33558,1.30432,1.31299,1649579.3708610898,0
GHST.V,D,20220627,000000,1.31319,1.34639,1.29373,1.30164,146153.06518402376,0
GHST.V,D,20220628,000000,1.30175,1.31661,1.29124,1.2997,300508.48883546947,0
