<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRT.V,D,20201218,000000,0.1757,0.2917,0.1747,0.2619,0,0
GRT.V,D,20201219,000000,0.5084,0.6021,0.4002,0.492,0,0
GRT.V,D,20201220,000000,0.492,1.149,0.458,0.7639,0,0
GRT.V,D,20201221,000000,0.7639,0.7639,0.3671,0.4901,0,0
GRT.V,D,20201222,000000,0.5564,0.63,0.5026,0.5454,0,0
GRT.V,D,20201223,000000,0.5454,0.5818,0.3353,0.4125,0,0
GRT.V,D,20201224,000000,0.4125,0.4567,0.3551,0.4102,0,0
GRT.V,D,20201225,000000,0.4102,0.4209,0.3342,0.3591,0,0
GRT.V,D,20201226,000000,0.3591,0.4991,0.32,0.4841,0,0
GRT.V,D,20201227,000000,0.4841,0.496,0.3779,0.396,0,0
GRT.V,D,20201228,000000,0.396,0.438,0.3746,0.38,0,0
GRT.V,D,20201229,000000,0.38,0.3859,0.3395,0.3726,0,0
GRT.V,D,20201230,000000,0.3726,0.405,0.35,0.3748,0,0
GRT.V,D,20201231,000000,0.3748,0.3805,0.3415,0.3512,0,0
GRT.V,D,20210101,000000,0.3512,0.3795,0.3462,0.3629,0,0
GRT.V,D,20210102,000000,0.3629,0.3629,0.3108,0.3272,0,0
GRT.V,D,20210103,000000,0.3272,0.3374,0.282,0.2982,0,0
GRT.V,D,20210104,000000,0.2982,0.3548,0.2914,0.309,0,0
GRT.V,D,20210105,000000,0.309,0.348,0.2853,0.3396,0,0
GRT.V,D,20210106,000000,0.3396,0.3998,0.3155,0.3708,0,0
GRT.V,D,20210107,000000,0.3708,0.4159,0.328,0.3459,0,0
GRT.V,D,20210108,000000,0.3459,0.3515,0.3107,0.3293,0,0
GRT.V,D,20210109,000000,0.3293,0.3651,0.3171,0.3493,0,0
GRT.V,D,20210110,000000,0.3493,0.3788,0.308,0.327,0,0
GRT.V,D,20210111,000000,0.327,0.3278,0.2327,0.2913,0,0
GRT.V,D,20210112,000000,0.2913,0.31,0.2646,0.2774,0,0
GRT.V,D,20210113,000000,0.2774,0.3497,0.2671,0.3247,0,0
GRT.V,D,20210114,000000,0.3247,0.3616,0.3159,0.3335,0,0
GRT.V,D,20210115,000000,0.3335,0.392,0.311,0.3379,0,0
