<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GST.V,D,20220522,000000,2.89853,2.95715,2.80793,2.86586,541600.3524240005,0
GST.V,D,20220523,000000,2.86316,2.92678,2.55203,2.60187,753663.9411767585,0
GST.V,D,20220524,000000,2.60691,2.76695,2.51084,2.57285,787155.2530044428,0
GST.V,D,20220525,000000,2.57705,2.7234,2.31911,2.36786,799710.661907521,0
GST.V,D,20220526,000000,2.37039,2.45819,1.55914,1.5942,1558295.6149853922,0
GST.V,D,20220527,000000,1.59544,2.13515,1.51418,1.88183,2109487.321504292,0
GST.V,D,20220528,000000,1.88004,2.02597,1.70822,1.86891,1119425.8689446643,0
GST.V,D,20220529,000000,1.86661,1.87772,1.23207,1.33863,2619138.888354876,0
GST.V,D,20220530,000000,1.33813,1.49826,1.29439,1.37644,1773296.401054264,0
GST.V,D,20220531,000000,1.38233,1.51099,1.08924,1.13919,3872290.230366741,0
GST.V,D,20220601,000000,1.14302,1.94756,0.76631,0.9947,13673247.592283813,0
GST.V,D,20220602,000000,0.9942,1.2188,0.86872,1.02807,5916137.574709956,0
GST.V,D,20220603,000000,1.02678,1.07921,0.92657,0.96136,3292599.014924001,0
GST.V,D,20220604,000000,0.96246,0.98084,0.85475,0.85475,2542116.437742602,0
GST.V,D,20220605,000000,0.85396,0.89398,0.72641,0.76838,3518396.5016009766,0
GST.V,D,20220606,000000,0.77277,0.78826,0.6366,0.7195,5740798.567702333,0
GST.V,D,20220607,000000,0.7169,1.00284,0.65527,0.70902,11923023.788928019,0
GST.V,D,20220608,000000,0.70863,0.8383,0.679,0.70024,16290148.620410353,0
GST.V,D,20220609,000000,0.70144,0.72542,0.5465,0.662443,9902127.745793456,0
GST.V,D,20220610,000000,0.663342,0.691798,0.52457,0.535314,16545216.043509582,0
GST.V,D,20220611,000000,0.535619,0.561998,0.430604,0.431212,14333665.211165361,0
GST.V,D,20220612,000000,0.430913,0.519229,0.309363,0.410095,24485152.34762948,0
GST.V,D,20220613,000000,0.409995,0.413487,0.234091,0.338729,68495606.77884905,0
GST.V,D,20220614,000000,0.339131,0.376058,0.224,0.326707,81807322.27380516,0
