<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GT.V,D,20220511,000000,5.45221,5.46134,4.73787,4.85607,196419.7782958366,0
GT.V,D,20220512,000000,4.84829,5.51558,4.69749,5.38676,640852.05439095,0
GT.V,D,20220513,000000,5.38488,5.77704,5.33931,5.57091,188552.03803835865,0
GT.V,D,20220514,000000,5.58349,5.61783,5.28967,5.50618,223821.4413334198,0
GT.V,D,20220515,000000,5.50648,5.59735,5.41157,5.52746,233327.53102669906,0
GT.V,D,20220516,000000,5.52856,5.56805,5.36429,5.42803,256578.47097084983,0
GT.V,D,20220517,000000,5.42274,5.7419,5.41101,5.73633,101724.79662713455,0
GT.V,D,20220518,000000,5.73653,5.75411,5.46349,5.57934,120931.74270246181,0
GT.V,D,20220519,000000,5.57968,5.64555,5.43882,5.57162,238092.03644072704,0
GT.V,D,20220520,000000,5.57202,5.69514,5.51518,5.61186,123713.04250409224,0
GT.V,D,20220521,000000,5.61186,5.75551,5.59598,5.74962,72352.4126093942,0
GT.V,D,20220522,000000,5.74942,5.81613,5.73111,5.75549,70922.57802792154,0
GT.V,D,20220523,000000,5.75558,5.85885,5.72629,5.7621,110446.57679449518,0
GT.V,D,20220524,000000,5.76278,5.76278,5.42448,5.61249,176478.95395500495,0
GT.V,D,20220525,000000,5.6071,5.67565,5.51303,5.60936,79988.61640288538,0
GT.V,D,20220526,000000,5.61096,5.69543,5.35081,5.48811,117312.03070130073,0
GT.V,D,20220527,000000,5.47432,5.4993,5.17482,5.27512,186388.22782622481,0
GT.V,D,20220528,000000,5.27272,5.34741,5.2153,5.32696,25687.458056446176,0
GT.V,D,20220529,000000,5.32665,5.42016,5.29965,5.34511,27660.116945952857,0
GT.V,D,20220530,000000,5.34631,5.67243,5.33602,5.64148,42536.83221871703,0
GT.V,D,20220531,000000,5.64375,5.73081,5.55421,5.64042,32751.41471750228,0
GT.V,D,20220601,000000,5.64065,5.65987,5.37822,5.40289,36917.219437265325,0
GT.V,D,20220602,000000,5.40333,5.46498,5.3244,5.45249,39586.249924891184,0
GT.V,D,20220603,000000,5.44979,5.47377,5.32251,5.36143,22089.32850275599,0
GT.V,D,20220604,000000,5.36383,5.40197,5.33167,5.39245,14027.708925612786,0
GT.V,D,20220605,000000,5.39874,5.40607,5.37249,5.40502,5016.176852976308,0
GT.V,D,20220606,000000,5.40991,5.5414,5.38978,5.47384,16291.564566015511,0
GT.V,D,20220607,000000,5.47989,5.52562,5.34382,5.49499,19970.299153456854,0
GT.V,D,20220608,000000,5.49633,5.63853,5.3763,5.56783,25363.275102148684,0
GT.V,D,20220609,000000,5.57597,5.57603,5.46083,5.52685,15107.579645741014,0
GT.V,D,20220610,000000,5.53859,5.54707,5.37039,5.40473,17637.8654344945,0
GT.V,D,20220611,000000,5.40473,5.40559,5.22501,5.29471,32897.09366878485,0
GT.V,D,20220612,000000,5.29466,5.29974,4.88294,4.92134,79053.29104510257,0
GT.V,D,20220613,000000,4.90766,4.92104,4.09988,4.32618,256853.56029033283,0
GT.V,D,20220614,000000,4.32592,4.47446,4.03891,4.34508,257049.6122155766,0
GT.V,D,20220615,000000,4.35472,4.47074,3.9928,4.27118,730694.2235242863,0
GT.V,D,20220616,000000,4.38737,4.38987,3.91769,4.01657,102842.83541575783,0
GT.V,D,20220617,000000,3.9338,4.04447,3.91994,3.95535,85773.49304464173,0
GT.V,D,20220618,000000,3.96104,4.02879,3.34052,3.56648,252293.64309291675,0
GT.V,D,20220619,000000,3.53112,3.938,3.47087,3.8705,134275.78212713415,0
GT.V,D,20220620,000000,4.004,4.14,3.8035,4.005,172424.2679906022,0
GT.V,D,20220621,000000,4.05284,4.33466,4.04324,4.25382,40550.59752311443,0
GT.V,D,20220622,000000,4.25352,4.26963,4.03726,4.06663,140530.3314981614,0
GT.V,D,20220623,000000,4.05814,4.24115,4.05814,4.22077,37868.98512653886,0
GT.V,D,20220624,000000,4.22077,4.28434,4.20621,4.25828,35031.131557531924,0
GT.V,D,20220625,000000,4.25734,4.33132,4.24658,4.31238,19937.271938198657,0
GT.V,D,20220626,000000,4.31698,4.41341,4.30513,4.40621,17747.741009118497,0
GT.V,D,20220627,000000,4.35731,4.37068,4.18374,4.27879,31836.91057131915,0
GT.V,D,20220628,000000,4.27883,4.35528,4.19549,4.21531,24673.92066534677,0
GT.V,D,20220629,000000,4.21477,4.21477,4.03609,4.11352,72249.14264011817,0
GT.V,D,20220630,000000,4.11366,4.11685,3.85078,4.0215,321248.08343097096,0
GT.V,D,20220701,000000,4.106,4.157,3.884,4.0725,82430.85687346576,0
GT.V,D,20220702,000000,4.039,4.14,3.895,4.039,49758.44929959919,0
GT.V,D,20220705,000000,4.01228,4.06053,3.91089,4.00909,23337.185746996845,0
GT.V,D,20220706,000000,3.9997,4.082,3.95255,4.02377,34701.545609821136,0
GT.V,D,20220707,000000,4.02227,4.07225,3.96094,4.02628,48815.36218911283,0
GT.V,D,20220708,000000,4.03048,4.09303,3.94063,3.97012,71264.25262634666,0
GT.V,D,20220709,000000,3.96742,3.97122,3.90665,3.93764,45726.9831864663,0
GT.V,D,20220710,000000,3.93694,3.96752,3.88998,3.96482,18624.50840985488,0
GT.V,D,20220711,000000,3.96182,3.97781,3.89427,3.93026,33313.66813411932,0
GT.V,D,20220712,000000,3.92385,3.92626,3.78411,3.79021,41675.71259718722,0
GT.V,D,20220713,000000,3.78356,3.91657,3.71631,3.91657,47791.45531113881,0
GT.V,D,20220714,000000,3.91707,4.01609,3.8777,3.9932,39593.26147382362,0
GT.V,D,20220715,000000,3.9917,4.07796,3.96942,4.0051,30827.06540059079,0
GT.V,D,20220716,000000,3.9978,4.12876,3.98091,4.10478,25476.738167354542,0
GT.V,D,20220717,000000,4.10218,4.18525,4.09072,4.13918,19770.375332846612,0
GT.V,D,20220718,000000,4.13408,4.2374,4.08937,4.19523,36463.107550781555,0
GT.V,D,20220719,000000,4.19224,4.32219,4.08211,4.30054,23526.285642273615,0
GT.V,D,20220720,000000,4.2974,4.2993,4.09592,4.21961,39548.77637206018,0
GT.V,D,20220721,000000,4.21671,4.21971,4.09114,4.13128,38539.315441535044,0
GT.V,D,20220722,000000,4.13013,4.18114,4.06127,4.0971,40850.215207393936,0
GT.V,D,20220723,000000,4.09334,4.1384,4.04248,4.09482,25743.710867339447,0
GT.V,D,20220724,000000,4.09398,4.20106,4.08388,4.18424,18299.555262381044,0
GT.V,D,20220725,000000,4.18454,4.22905,4.06119,4.07193,21641.16674892872,0
GT.V,D,20220726,000000,4.07113,4.07113,3.9452,3.9806,19134.305653868756,0
GT.V,D,20220727,000000,3.9806,4.19882,3.94796,4.18122,36447.78359586882,0
GT.V,D,20220728,000000,4.1818,4.46964,4.17364,4.26435,67295.65055246039,0
GT.V,D,20220729,000000,4.2634,4.42823,4.2634,4.35894,29995.32029143691,0
GT.V,D,20220730,000000,4.35749,4.60046,4.35398,4.47162,32776.591746275495,0
GT.V,D,20220731,000000,4.46914,4.57951,4.43008,4.53274,21859.04487047503,0
GT.V,D,20220801,000000,4.53456,4.53678,4.36429,4.39207,28615.608026495327,0
GT.V,D,20220802,000000,4.39012,4.43995,4.2148,4.37574,42248.72402527359,0
GT.V,D,20220803,000000,4.37217,4.61271,4.30839,4.55499,36404.27955552956,0
GT.V,D,20220804,000000,4.54759,4.60983,4.47641,4.54784,34836.40268183026,0
GT.V,D,20220805,000000,4.54704,4.72094,4.51833,4.70039,27341.48071625908,0
GT.V,D,20220806,000000,4.70049,4.79996,4.69679,4.7974,19221.718661509978,0
GT.V,D,20220807,000000,4.79425,4.82091,4.75226,4.76526,19527.16703645501,0
GT.V,D,20220808,000000,4.7552,4.9962,4.74445,4.90919,23628.940691008025,0
GT.V,D,20220809,000000,4.90678,4.92208,4.69153,4.77676,18900.34652744094,0
GT.V,D,20220810,000000,4.77065,4.93813,4.67553,4.93813,36438.24602901349,0
GT.V,D,20220811,000000,4.93258,5.03276,4.89986,4.93782,30033.60232816013,0
GT.V,D,20220812,000000,4.93782,5.03951,4.90275,4.96738,39858.06469631458,0
GT.V,D,20220813,000000,4.96218,5.18544,4.96213,5.1244,30249.70598825535,0
GT.V,D,20220814,000000,5.1235,5.14671,5.03041,5.05382,15972.289283273825,0
GT.V,D,20220815,000000,5.05061,5.15914,4.91373,4.95759,36325.88849574214,0
GT.V,D,20220816,000000,4.95759,4.98965,4.83844,4.91164,34825.12655882608,0
GT.V,D,20220817,000000,4.91124,4.97715,4.80284,4.88804,17644.53690988508,0
GT.V,D,20220818,000000,4.88179,4.88819,4.82039,4.87495,13552.116359320578,0
GT.V,D,20220819,000000,4.87539,4.87789,4.446,4.4527,29002.84686418475,0
GT.V,D,20220820,000000,4.45318,4.55276,4.3698,4.40156,25306.03406883882,0
GT.V,D,20220821,000000,4.40387,4.56651,4.38339,4.56641,16524.548385930248,0
GT.V,D,20220822,000000,4.56651,4.57438,4.35074,4.49149,15779.266029684642,0
GT.V,D,20220823,000000,4.49233,4.59661,4.49233,4.53239,17669.12826927269,0
GT.V,D,20220824,000000,4.53185,4.57059,4.45048,4.49926,41333.58444714772,0
GT.V,D,20220825,000000,4.49676,4.57166,4.48574,4.57054,14402.800896957502,0
GT.V,D,20220826,000000,4.56755,4.62696,4.38394,4.41664,26308.95128388691,0
GT.V,D,20220827,000000,4.4167,4.42575,4.32359,4.33513,16233.411856790295,0
GT.V,D,20220828,000000,4.33123,4.40972,4.32673,4.38086,25369.78684675348,0
GT.V,D,20220829,000000,4.37806,4.41893,4.31996,4.38376,21908.798003976113,0
GT.V,D,20220830,000000,4.38484,4.43846,4.21401,4.25378,31110.603289829538,0
GT.V,D,20220831,000000,4.25414,4.36329,4.23945,4.33116,31569.50154146222,0
GT.V,D,20220901,000000,4.32956,4.33126,4.25073,4.29464,19515.635780145658,0
GT.V,D,20220902,000000,4.29259,4.33804,4.24592,4.25454,19633.754835501033,0
GT.V,D,20220903,000000,4.25528,4.26763,4.2357,4.247,7204.234091041196,0
GT.V,D,20220904,000000,4.2474,4.25183,4.1551,4.2033,17573.59311635772,0
GT.V,D,20220905,000000,4.2037,4.2132,3.94559,3.9852,53744.74561954216,0
GT.V,D,20220906,000000,3.9813,4.09731,3.94879,3.9673,35632.42837365605,0
GT.V,D,20220907,000000,3.96344,4.0119,3.90554,4.00808,25620.74858751508,0
GT.V,D,20220908,000000,4.00694,4.07579,3.97944,4.03415,22912.484150783395,0
GT.V,D,20220909,000000,4.0292,4.30128,4.0239,4.28736,25332.774597884127,0
GT.V,D,20220910,000000,4.27814,4.32947,4.2475,4.32266,25499.040256512475,0
GT.V,D,20220911,000000,4.32142,4.33166,4.26656,4.30493,29259.010065870796,0
GT.V,D,20220912,000000,4.30468,4.45859,4.30107,4.39239,23002.423382395606,0
GT.V,D,20220913,000000,4.39142,4.40113,4.17367,4.19378,31802.777120161343,0
GT.V,D,20220914,000000,4.19464,4.3285,4.11944,4.29957,37001.36001473022,0
GT.V,D,20220915,000000,4.30037,4.33327,4.20104,4.22832,20165.893318581828,0
GT.V,D,20220916,000000,4.22812,4.2611,4.16657,4.25977,14421.914555443895,0
GT.V,D,20220917,000000,4.26067,4.3048,4.2589,4.29133,15033.078927663491,0
GT.V,D,20220918,000000,4.2877,4.2914,4.11919,4.1344,15299.963972064692,0
GT.V,D,20220919,000000,4.13299,4.20084,4.0014,4.20084,25285.785737985574,0
GT.V,D,20220920,000000,4.20482,4.2161,4.11151,4.1665,22221.370226267783,0
GT.V,D,20220921,000000,4.1693,4.27836,4.1004,4.1157,26919.970765722534,0
GT.V,D,20220922,000000,4.11801,4.3,4.0882,4.251,22691.451052546607,0
GT.V,D,20220923,000000,4.24992,4.2791,4.1022,4.1925,16912.197723919573,0
GT.V,D,20220924,000000,4.19926,4.27421,4.17819,4.21434,16499.152918662123,0
GT.V,D,20220925,000000,4.215,4.2519,4.17063,4.1872,11591.755922896516,0
GT.V,D,20220926,000000,4.1882,4.2332,4.1596,4.21528,20159.85136885438,0
GT.V,D,20220927,000000,4.2173,4.34887,4.1441,4.20908,38181.34968454804,0
GT.V,D,20220928,000000,4.2052,4.2822,4.1132,4.2822,23244.255209707222,0
