<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEX.V,D,20220514,000000,0.131276,0.131276,0.131276,0.131276,2356.6062,0
HEX.V,D,20220515,000000,0.137152,0.14582,0.119537,0.143827,3158.9492230575297,0
HEX.V,D,20220516,000000,0.143866,0.143866,0.110956,0.110956,145565.88358145521,0
HEX.V,D,20220517,000000,0.110957,0.128645,0.110957,0.122253,813942.5767345454,0
HEX.V,D,20220518,000000,0.122241,0.138719,0.106362,0.111755,644028.7393979592,0
HEX.V,D,20220519,000000,0.112254,0.126473,0.1003,0.113997,583251.4598477528,0
HEX.V,D,20220520,000000,0.109302,0.126648,0.09998,0.10807,660026.5493115452,0
HEX.V,D,20220521,000000,0.10827,0.111655,0.107139,0.110256,901004.1701969404,0
HEX.V,D,20220522,000000,0.110456,0.113622,0.090482,0.09139,690270.8818949249,0
HEX.V,D,20220523,000000,0.092289,0.116687,0.08292,0.085298,633499.4068034654,0
HEX.V,D,20220524,000000,0.085098,0.109879,0.063031,0.082185,687128.0273428014,0
HEX.V,D,20220525,000000,0.082184,0.086887,0.073419,0.079704,589561.8054192568,0
HEX.V,D,20220526,000000,0.078705,0.0841074,0.0653281,0.0682249,438232.2920230539,0
HEX.V,D,20220527,000000,0.0682317,0.0892936,0.0396563,0.0651387,123313.62442879064,0
HEX.V,D,20220528,000000,0.0799016,0.0804106,0.0648351,0.080409,4887.950453474598,0
HEX.V,D,20220529,000000,0.0799088,0.0799216,0.0534473,0.0719244,3202.650901052579,0
HEX.V,D,20220530,000000,0.0680317,0.0879384,0.0680256,0.0764378,2127.550330334797,0
HEX.V,D,20220531,000000,0.0806627,0.087639,0.0782195,0.0787769,10.310456697800003,0
HEX.V,D,20220601,000000,0.0798461,0.079924,0.0644091,0.0664202,160097.36224862747,0
HEX.V,D,20220602,000000,0.064422,0.0696672,0.064422,0.0696672,96295.66025685416,0
HEX.V,D,20220603,000000,0.0605104,0.060514,0.0598667,0.0598769,702.2605665962197,0
HEX.V,D,20220604,000000,0.0694079,0.0694134,0.0499485,0.0566169,103797.16384232738,0
HEX.V,D,20220605,000000,0.0570786,0.0572484,0.0473802,0.0506229,47645.46264936377,0
HEX.V,D,20220606,000000,0.0505245,0.0603111,0.0478788,0.0548533,438108.64343190286,0
HEX.V,D,20220607,000000,0.0552136,0.0589076,0.0505346,0.0549849,141902.89772464926,0
HEX.V,D,20220608,000000,0.0582021,0.0605742,0.0546016,0.0558637,1931824.2409825828,0
HEX.V,D,20220609,000000,0.0558642,0.0558642,0.0514647,0.0517705,1591552.1519671397,0
HEX.V,D,20220610,000000,0.05177,0.0533511,0.0454558,0.0490696,305837.0852198355,0
HEX.V,D,20220611,000000,0.0490696,0.0500104,0.0399532,0.0421265,731433.9046511629,0
HEX.V,D,20220612,000000,0.0419242,0.0421152,0.0324303,0.0392123,155237.5072240643,0
