<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HXRO.V,D,20220515,000000,0.2285,0.23,0.2285,0.23,19487.58457311,0
HXRO.V,D,20220516,000000,0.23255,0.2464,0.23255,0.238,247960.13330893,0
HXRO.V,D,20220517,000000,0.238,0.24275,0.2371,0.2394,36455.914189944,0
HXRO.V,D,20220518,000000,0.2406,0.25865,0.23915,0.25595,40081.033930357,0
HXRO.V,D,20220519,000000,0.2556,0.26005,0.2527,0.2555,63886.79509275,0
HXRO.V,D,20220520,000000,0.2563,0.257,0.25385,0.25385,7377.024231258,0
HXRO.V,D,20220521,000000,0.2539,0.297233,0.2539,0.297233,5125.47675206,0
HXRO.V,D,20220522,000000,0.297233,0.297263,0.251003,0.297263,5376.45756,0
HXRO.V,D,20220523,000000,0.297233,0.297322,0.296011,0.296011,18834.921378176,0
HXRO.V,D,20220524,000000,0.296041,0.296041,0.296011,0.296041,6853.96211,0
HXRO.V,D,20220525,000000,0.296011,0.296041,0.296011,0.296041,4400.276841,0
HXRO.V,D,20220526,000000,0.296011,0.296071,0.246129,0.296071,16919.953286,0
HXRO.V,D,20220527,000000,0.296071,0.296071,0.24,0.24,192098.32815473,0
HXRO.V,D,20220528,000000,0.24005,0.242,0.24005,0.242,9939.65962498,0
HXRO.V,D,20220529,000000,0.292207,0.292225,0.292207,0.292222,42.19800515,0
HXRO.V,D,20220530,000000,0.292219,0.292222,0.291908,0.291987,8014.43330528,0
HXRO.V,D,20220531,000000,0.24055,0.243,0.24055,0.243,2298.49150809,0
HXRO.V,D,20220601,000000,0.288595,0.288595,0.23515,0.23515,13483.198498682,0
HXRO.V,D,20220602,000000,0.23415,0.2342,0.23,0.2311,32060.27878307,0
HXRO.V,D,20220603,000000,0.23065,0.23135,0.23065,0.23135,456.6158918,0
HXRO.V,D,20220604,000000,0.288555,0.288555,0.2303,0.2303,53.08008177,0
HXRO.V,D,20220605,000000,0.288612,0.288612,0.288612,0.288612,247.56921,0
HXRO.V,D,20220606,000000,0.288595,0.289188,0.288595,0.288609,2873.80892,0
HXRO.V,D,20220607,000000,0.288604,0.288653,0.22905,0.288641,3931.6485089712,0
HXRO.V,D,20220608,000000,0.287397,0.287414,0.226,0.226,101921.99491814,0
