<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICP.V,D,20210510,000000,630,630,250.32,426.98,0,0
ICP.V,D,20210511,000000,423.42,497.7,297.67,363.71,0,0
ICP.V,D,20210512,000000,363.71,389.05,255.55,258.41,0,0
ICP.V,D,20210513,000000,258.41,346.8,253.35,301.36,0,0
ICP.V,D,20210514,000000,301.36,341.3,291.96,304.46,0,0
ICP.V,D,20210515,000000,304.46,305.27,240.09,246.25,0,0
ICP.V,D,20210516,000000,246.25,264.2,205.46,225.61,0,0
ICP.V,D,20210517,000000,225.2,225.52,185.12,195.97,0,0
ICP.V,D,20210518,000000,195.97,206,160.5,163.87,0,0
ICP.V,D,20210519,000000,163.87,179.95,88.14,122.86,0,0
ICP.V,D,20210520,000000,123.64,224.53,104.07,164.72,0,0
ICP.V,D,20210521,000000,164.72,187.21,120.33,146.17,0,0
ICP.V,D,20210522,000000,146.17,169.31,125.11,146.44,0,0
ICP.V,D,20210523,000000,146.44,165.79,122,144.3,0,0
ICP.V,D,20210524,000000,144.3,163.78,135.65,147.83,0,0
ICP.V,D,20210525,000000,147.83,156.99,123.07,134.19,0,0
ICP.V,D,20210526,000000,134.17,152.26,132.13,142.74,0,0
ICP.V,D,20210527,000000,142.74,145.89,129.89,132.15,0,0
ICP.V,D,20210528,000000,132.15,132.89,110.13,115.68,0,0
ICP.V,D,20210529,000000,115.82,120,105.72,110.81,0,0
ICP.V,D,20210530,000000,110.62,118.45,104.45,111.83,0,0
ICP.V,D,20210531,000000,111.83,115.24,105.22,114.66,0,0
ICP.V,D,20210601,000000,114.82,117,106,107.53,0,0
ICP.V,D,20210602,000000,107.55,112.94,102.35,107.89,0,0
ICP.V,D,20210603,000000,107.89,136.41,105.22,124.54,0,0
ICP.V,D,20210604,000000,124.54,124.69,105.49,108.86,0,0
ICP.V,D,20210605,000000,108.86,116.22,100,104.62,0,0
ICP.V,D,20210606,000000,104.62,109.98,102.49,104.44,0,0
ICP.V,D,20210607,000000,104.44,106.69,89.08,91.15,0,0
ICP.V,D,20210608,000000,91.38,94.8,77,81.43,0,0
ICP.V,D,20210609,000000,81.39,88.96,77.11,81.51,0,0
ICP.V,D,20210610,000000,81.51,83.65,65.5,66.51,0,0
ICP.V,D,20210611,000000,66.51,72.33,56.17,58.44,0,0
ICP.V,D,20210612,000000,58.44,67.6,53.03,61.08,0,0
ICP.V,D,20210613,000000,61.08,66.75,57.19,64.43,0,0
ICP.V,D,20210614,000000,64.43,70.76,61.93,66.72,0,0
ICP.V,D,20210615,000000,66.72,68.87,58.62,60.37,0,0
ICP.V,D,20210616,000000,60.37,60.39,54.74,55.33,0,0
ICP.V,D,20210617,000000,55.33,60.18,51.54,54.09,0,0
ICP.V,D,20210618,000000,54.09,55.59,47.02,48.44,0,0
ICP.V,D,20210619,000000,48.44,54.84,46.39,48.76,0,0
ICP.V,D,20210620,000000,48.76,50.74,44.16,47.15,0,0
ICP.V,D,20210621,000000,47.15,47.66,36.27,36.67,0,0
ICP.V,D,20210622,000000,36.67,40.16,31.87,34.47,0,0
ICP.V,D,20210623,000000,34.47,40.92,32.86,37.74,0,0
ICP.V,D,20210624,000000,37.74,38.89,33.14,34.59,0,0
ICP.V,D,20210625,000000,34.59,36.69,30.68,31.1,0,0
ICP.V,D,20210626,000000,31.1,33.77,28.32,30.38,0,0
ICP.V,D,20210627,000000,30.38,45.31,29.5,43.03,0,0
ICP.V,D,20210628,000000,43.03,51.49,40.51,51.26,0,0
ICP.V,D,20210629,000000,51.26,59.42,46.8,54.23,0,0
ICP.V,D,20210630,000000,54.23,54.67,43.25,49.92,0,0
ICP.V,D,20210701,000000,49.92,50.75,44.2,45.7,0,0
ICP.V,D,20210702,000000,45.7,47.4,41.44,43.88,0,0
ICP.V,D,20210703,000000,43.88,49.98,42.73,48.76,0,0
ICP.V,D,20210704,000000,48.76,50.93,46.45,46.73,0,0
ICP.V,D,20210705,000000,46.73,47.99,44.09,46.24,0,0
ICP.V,D,20210706,000000,46.24,48.39,45,46.23,0,0
ICP.V,D,20210707,000000,46.23,47.94,45,45.38,0,0
ICP.V,D,20210708,000000,45.38,45.48,39.16,40.26,0,0
ICP.V,D,20210709,000000,40.26,42.48,37.29,40.59,0,0
ICP.V,D,20210710,000000,40.59,42.1,37.62,38.61,0,0
ICP.V,D,20210711,000000,38.61,41.44,37.75,39.69,0,0
ICP.V,D,20210712,000000,39.69,40.96,35.93,37.22,0,0
ICP.V,D,20210713,000000,37.22,39.93,35.25,38.93,0,0
ICP.V,D,20210714,000000,38.93,39.85,35.29,36.88,0,0
ICP.V,D,20210715,000000,36.88,38.37,35.31,35.96,0,0
ICP.V,D,20210716,000000,35.96,36.15,32.18,32.39,0,0
ICP.V,D,20210717,000000,32.39,33.51,31.18,32.3,0,0
ICP.V,D,20210718,000000,32.3,34.82,31.96,32.38,0,0
ICP.V,D,20210719,000000,32.38,32.58,29.87,30.91,0,0
ICP.V,D,20210720,000000,30.91,31.54,26.98,28.54,0,0
ICP.V,D,20210721,000000,28.54,35.1,27.77,33.41,0,0
ICP.V,D,20210722,000000,33.41,35.38,32.23,33.76,0,0
ICP.V,D,20210723,000000,33.76,35.07,31.74,34.65,0,0
ICP.V,D,20210724,000000,34.65,45.69,33.91,43.49,0,0
ICP.V,D,20210725,000000,43.49,46.05,40.46,42.65,0,0
ICP.V,D,20210726,000000,42.65,48.14,40.51,40.58,0,0
ICP.V,D,20210727,000000,40.58,41.72,37.53,41.02,0,0
ICP.V,D,20210728,000000,41.02,43.81,39.29,40.74,0,0
ICP.V,D,20210729,000000,40.74,41.88,39.07,41.23,0,0
ICP.V,D,20210730,000000,41.23,42.72,38.31,42.19,0,0
ICP.V,D,20210731,000000,42.19,43.91,40.41,41.82,0,0
ICP.V,D,20210801,000000,41.82,44.6,40.7,40.9,0,0
ICP.V,D,20210802,000000,40.9,41.49,39.77,40.19,0,0
ICP.V,D,20210803,000000,40.19,40.65,37.61,38.54,0,0
ICP.V,D,20210804,000000,38.54,40.42,37.81,39.32,0,0
ICP.V,D,20210805,000000,39.32,42.72,38.2,42.09,0,0
ICP.V,D,20210806,000000,42.09,51.93,40.48,48.27,0,0
ICP.V,D,20210807,000000,48.27,66.08,47.88,61.7,0,0
ICP.V,D,20210808,000000,61.7,62.22,53.3,55.27,0,0
ICP.V,D,20210809,000000,55.27,68.8,52.81,64.24,0,0
ICP.V,D,20210810,000000,64.24,76.46,61.42,71.63,0,0
ICP.V,D,20210811,000000,71.63,76.95,65.68,67.22,0,0
