<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICX.V,D,20170923,000000,0.166,0.1714,0.09443,0.09729,0,0
ICX.V,D,20170924,000000,0.09608,0.1693,0.09608,0.1631,0,0
ICX.V,D,20170925,000000,0.1702,0.1702,0.1129,0.1474,0,0
ICX.V,D,20170926,000000,0.1443,0.517,0.1443,0.1443,0,0
ICX.V,D,20170927,000000,0.155,0.2557,0.155,0.2446,0,0
ICX.V,D,20170928,000000,0.2389,0.2389,0.1514,0.1968,0,0
ICX.V,D,20170929,000000,0.1902,0.1902,0.1463,0.1858,0,0
ICX.V,D,20170930,000000,0.1923,0.221,0.1789,0.221,0,0
ICX.V,D,20171001,000000,0.2219,0.3039,0.2158,0.3036,0,0
ICX.V,D,20171002,000000,0.2965,0.2968,0.1989,0.2466,0,0
ICX.V,D,20171003,000000,0.2425,0.2918,0.2224,0.2442,0,0
ICX.V,D,20171004,000000,0.2441,0.4081,0.2441,0.4081,0,0
ICX.V,D,20171005,000000,0.4127,0.4127,0.2891,0.295,0,0
ICX.V,D,20171006,000000,0.3083,0.4307,0.3083,0.4307,0,0
ICX.V,D,20171007,000000,0.4348,0.5572,0.4261,0.4859,0,0
ICX.V,D,20171008,000000,0.4831,0.619,0.4679,0.619,0,0
ICX.V,D,20171009,000000,0.5939,0.6533,0.3652,0.4885,0,0
ICX.V,D,20171010,000000,0.491,0.5781,0.3913,0.4984,0,0
ICX.V,D,20171011,000000,0.5058,0.5058,0.421,0.424,0,0
ICX.V,D,20171012,000000,0.424,0.4695,0.3686,0.3998,0,0
ICX.V,D,20171013,000000,0.4446,0.5696,0.3402,0.5696,0,0
ICX.V,D,20171014,000000,0.5729,0.6359,0.4642,0.517,0,0
ICX.V,D,20171015,000000,0.5136,0.5136,0.3938,0.4702,0,0
ICX.V,D,20171016,000000,0.3994,0.4596,0.3419,0.4596,0,0
ICX.V,D,20171017,000000,0.4347,0.6158,0.3705,0.6158,0,0
ICX.V,D,20171018,000000,0.4549,0.5644,0.4327,0.5644,0,0
ICX.V,D,20171019,000000,0.5533,0.5533,0.415,0.5069,0,0
ICX.V,D,20171020,000000,0.4998,0.5152,0.4195,0.4549,0,0
ICX.V,D,20171021,000000,0.4496,0.4496,0.3379,0.3379,0,0
ICX.V,D,20171022,000000,0.3317,0.3822,0.3317,0.3822,0,0
ICX.V,D,20171023,000000,0.3709,0.4553,0.3623,0.3697,0,0
ICX.V,D,20171024,000000,0.3843,0.4744,0.384,0.4258,0,0
ICX.V,D,20171025,000000,0.4256,0.441,0.3838,0.441,0,0
ICX.V,D,20171026,000000,0.4398,0.4398,0.3969,0.4073,0,0
ICX.V,D,20171027,000000,0.4084,0.5927,0.4051,0.4923,0,0
ICX.V,D,20171028,000000,0.4873,0.5867,0.408,0.4975,0,0
ICX.V,D,20171029,000000,0.5157,0.5157,0.4266,0.45,0,0
ICX.V,D,20171030,000000,0.4541,0.6424,0.4372,0.5136,0,0
ICX.V,D,20171031,000000,0.5083,0.7895,0.4861,0.6984,0,0
ICX.V,D,20171101,000000,0.6657,1.16,0.6251,1.09,0,0
ICX.V,D,20171102,000000,1.08,1.24,0.8263,1.24,0,0
ICX.V,D,20171103,000000,1.32,1.32,1.04,1.25,0,0
ICX.V,D,20171104,000000,1.23,1.42,1.19,1.42,0,0
ICX.V,D,20171105,000000,1.4,1.54,1.28,1.54,0,0
ICX.V,D,20171106,000000,1.54,2.02,1.48,1.74,0,0
ICX.V,D,20171107,000000,1.71,1.94,0.7617,1.36,0,0
ICX.V,D,20171108,000000,1.43,1.56,0.8959,1.38,0,0
ICX.V,D,20171109,000000,1.44,1.6,1.16,1.26,0,0
ICX.V,D,20171110,000000,1.17,1.28,0.7748,0.9595,0,0
ICX.V,D,20171111,000000,1.02,1.09,0.7796,1.07,0,0
ICX.V,D,20171112,000000,1.04,1.13,0.8082,1.03,0,0
ICX.V,D,20171113,000000,1.05,1.13,0.9441,0.9441,0,0
ICX.V,D,20171114,000000,1,1.17,0.9325,1.11,0,0
ICX.V,D,20171115,000000,1.1,1.1,0.9837,1,0,0
ICX.V,D,20171116,000000,1,1.16,1,1.07,0,0
ICX.V,D,20171117,000000,1.08,1.15,0.9013,1.12,0,0
ICX.V,D,20171118,000000,1.17,1.17,0.92,0.9207,0,0
ICX.V,D,20171119,000000,0.9418,1.09,0.9411,1.08,0,0
ICX.V,D,20171120,000000,1.12,1.12,0.9744,0.9755,0,0
ICX.V,D,20171121,000000,0.9565,1.04,0.8905,1.04,0,0
ICX.V,D,20171122,000000,1.1,1.14,1.01,1.1,0,0
ICX.V,D,20171123,000000,1.17,1.17,0.988,1.01,0,0
ICX.V,D,20171124,000000,1.17,1.29,1.08,1.08,0,0
ICX.V,D,20171125,000000,1.07,1.2,1.07,1.13,0,0
