<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRC.V,D,20200418,000000,0.03419,0.03624,0.03282,0.0329,0,0
LRC.V,D,20200419,000000,0.0329,0.03358,0.03167,0.03235,0,0
LRC.V,D,20200420,000000,0.03234,0.03234,0.0285,0.0293,0,0
LRC.V,D,20200421,000000,0.02929,0.03018,0.02882,0.02968,0,0
LRC.V,D,20200422,000000,0.02968,0.03091,0.02897,0.0304,0,0
LRC.V,D,20200423,000000,0.0304,0.03182,0.02993,0.03064,0,0
LRC.V,D,20200424,000000,0.03063,0.03103,0.02991,0.03059,0,0
LRC.V,D,20200425,000000,0.03058,0.03459,0.03008,0.03081,0,0
LRC.V,D,20200426,000000,0.03088,0.03286,0.03072,0.03152,0,0
LRC.V,D,20200427,000000,0.03161,0.03319,0.03135,0.03197,0,0
LRC.V,D,20200428,000000,0.03196,0.03256,0.03185,0.03196,0,0
LRC.V,D,20200429,000000,0.03196,0.03486,0.03189,0.03388,0,0
LRC.V,D,20200430,000000,0.03396,0.0352,0.03228,0.03375,0,0
LRC.V,D,20200501,000000,0.03374,0.03633,0.03312,0.03565,0,0
LRC.V,D,20200502,000000,0.03566,0.03573,0.03471,0.03531,0,0
LRC.V,D,20200503,000000,0.0353,0.03578,0.03391,0.03439,0,0
LRC.V,D,20200504,000000,0.03438,0.03475,0.03314,0.03447,0,0
LRC.V,D,20200505,000000,0.03456,0.03497,0.03363,0.03392,0,0
LRC.V,D,20200506,000000,0.03383,0.03504,0.03366,0.03429,0,0
LRC.V,D,20200507,000000,0.03429,0.03564,0.03275,0.0337,0,0
LRC.V,D,20200508,000000,0.0337,0.03694,0.033,0.03534,0,0
LRC.V,D,20200509,000000,0.03535,0.03596,0.0339,0.03526,0,0
LRC.V,D,20200510,000000,0.03526,0.0355,0.03,0.03089,0,0
LRC.V,D,20200511,000000,0.03088,0.0329,0.03032,0.03105,0,0
LRC.V,D,20200512,000000,0.03114,0.03329,0.03085,0.03238,0,0
LRC.V,D,20200513,000000,0.03247,0.03547,0.03247,0.03492,0,0
LRC.V,D,20200514,000000,0.03501,0.0442,0.03427,0.03717,0,0
LRC.V,D,20200515,000000,0.03716,0.03992,0.03641,0.03766,0,0
LRC.V,D,20200516,000000,0.03767,0.03895,0.03618,0.03753,0,0
LRC.V,D,20200517,000000,0.03753,0.0382,0.03687,0.03768,0,0
LRC.V,D,20200518,000000,0.03768,0.04195,0.03718,0.04116,0,0
LRC.V,D,20200519,000000,0.04106,0.04273,0.03902,0.03961,0,0
LRC.V,D,20200520,000000,0.03971,0.04152,0.03913,0.03982,0,0
LRC.V,D,20200521,000000,0.03982,0.0402,0.03788,0.03905,0,0
LRC.V,D,20200522,000000,0.03896,0.04253,0.03871,0.04198,0,0
LRC.V,D,20200523,000000,0.04216,0.04317,0.04061,0.04116,0,0
LRC.V,D,20200524,000000,0.04116,0.04324,0.04062,0.04193,0,0
LRC.V,D,20200525,000000,0.04212,0.04296,0.04061,0.04281,0,0
LRC.V,D,20200526,000000,0.04282,0.04823,0.04264,0.04327,0,0
LRC.V,D,20200527,000000,0.04335,0.04455,0.04307,0.04352,0,0
LRC.V,D,20200528,000000,0.04352,0.04426,0.04302,0.0438,0,0
LRC.V,D,20200529,000000,0.04398,0.04728,0.04368,0.04639,0,0
LRC.V,D,20200530,000000,0.0464,0.05181,0.04617,0.04969,0,0
LRC.V,D,20200531,000000,0.04969,0.05085,0.04848,0.04864,0,0
LRC.V,D,20200601,000000,0.04864,0.05532,0.04805,0.05502,0,0
LRC.V,D,20200602,000000,0.05493,0.06537,0.05251,0.05581,0,0
LRC.V,D,20200603,000000,0.05581,0.06597,0.05578,0.06498,0,0
LRC.V,D,20200604,000000,0.06498,0.07327,0.06363,0.07245,0,0
LRC.V,D,20200605,000000,0.07245,0.07376,0.06193,0.06299,0,0
LRC.V,D,20200606,000000,0.063,0.06936,0.06247,0.06864,0,0
