<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUSD.V,D,20220517,000000,1,1,1,1,0,0
LUSD.V,D,20220518,000000,1.007,1.007,1.007,1.007,0.595829,0
LUSD.V,D,20220519,000000,0.984,0.994,0.984,0.994,9870.1384,0
LUSD.V,D,20220520,000000,0.999,0.999,0.999,0.999,0,0
LUSD.V,D,20220526,000000,1.078,1.078,1.078,1.078,0.12,0
LUSD.V,D,20220529,000000,1.005,1.005,1.005,1.005,0,0
LUSD.V,D,20220531,000000,1.005,1.006,0.998,1.006,327.87245299999995,0
LUSD.V,D,20220601,000000,1.006,1.006,0.998,0.999,123.40146599999997,0
LUSD.V,D,20220602,000000,1,1.006,0.999,1.004,125.96248299999999,0
LUSD.V,D,20220603,000000,1.004,1.004,1,1.002,88.37226799999999,0
LUSD.V,D,20220604,000000,1.002,1.002,1.001,1.002,239.396342,0
LUSD.V,D,20220605,000000,1.002,1.002,1.001,1.001,32.943033,0
LUSD.V,D,20220607,000000,1.003,1.005,1.001,1.003,15.979595000000002,0
LUSD.V,D,20220608,000000,1.001,1.003,1.001,1.003,47.244231000000006,0
LUSD.V,D,20220609,000000,1.001,1.003,0.998,1.003,46.24232599999999,0
LUSD.V,D,20220610,000000,0.999,1.009,0.999,1.006,38.453994000000016,0
LUSD.V,D,20220611,000000,1.007,1.009,1.001,1.009,35.06043699999999,0
LUSD.V,D,20220612,000000,1.009,1.009,1.001,1.001,55.443797999999965,0
LUSD.V,D,20220613,000000,1.001,1.018,1,1.017,99.181462,0
LUSD.V,D,20220614,000000,1.015,1.028,1.015,1.025,47.591429000000005,0
LUSD.V,D,20220615,000000,1.031,1.033,1.023,1.033,98.81936900000004,0
LUSD.V,D,20220616,000000,1.024,1.033,1.024,1.033,835.8522590000001,0
LUSD.V,D,20220617,000000,1.025,1.033,1.025,1.025,113.566095,0
LUSD.V,D,20220618,000000,1.033,1.033,1.025,1.029,96.67479000000003,0
LUSD.V,D,20220619,000000,1.029,1.033,1.025,1.026,59.22139900000001,0
LUSD.V,D,20220620,000000,1.033,1.033,1.025,1.032,49.272710999999994,0
LUSD.V,D,20220621,000000,1.026,1.034,1.017,1.017,3130.764845999999,0
LUSD.V,D,20220622,000000,1.017,1.026,1.013,1.018,46.701247000000016,0
LUSD.V,D,20220623,000000,1.024,1.026,1.018,1.025,40.084261,0
LUSD.V,D,20220624,000000,1.026,1.026,1.015,1.023,117.14378699999997,0
LUSD.V,D,20220625,000000,1.023,1.023,1.015,1.023,33.602985,0
LUSD.V,D,20220626,000000,1.023,1.023,1.015,1.023,58.38812099999999,0
LUSD.V,D,20220627,000000,1.02,1.023,1.015,1.023,37.556968,0
LUSD.V,D,20220628,000000,1.023,1.023,1.015,1.023,45.98518300000001,0
LUSD.V,D,20220629,000000,1.023,1.023,1.016,1.02,46.927542000000024,0
LUSD.V,D,20220630,000000,1.023,1.023,1.013,1.014,373.97923700000007,0
LUSD.V,D,20220701,000000,1.014,1.02,1.014,1.02,10.239505999999999,0
LUSD.V,D,20220702,000000,1.013,1.019,1.013,1.019,3.0319260000000003,0
LUSD.V,D,20220703,000000,1.019,1.02,1.013,1.019,6.739248,0
LUSD.V,D,20220704,000000,1.013,1.02,1.013,1.016,6.486468999999999,0
LUSD.V,D,20220705,000000,1.019,1.019,1.012,1.015,2.4122860000000004,0
LUSD.V,D,20220706,000000,1.015,1.02,1.013,1.019,6.625895,0
LUSD.V,D,20220707,000000,1.019,1.024,1.014,1.022,2.8064620000000002,0
LUSD.V,D,20220708,000000,1.024,1.024,1.018,1.022,4.136577,0
LUSD.V,D,20220709,000000,1.022,1.024,1.019,1.02,4.802821000000001,0
LUSD.V,D,20220710,000000,1.023,1.023,1.021,1.023,3.3173479999999995,0
LUSD.V,D,20220711,000000,1.021,1.023,1.02,1.023,7.8942820000000005,0
LUSD.V,D,20220712,000000,1.021,1.024,1.02,1.023,496.53104599999995,0
LUSD.V,D,20220713,000000,1.023,1.023,1.02,1.023,3.960268,0
LUSD.V,D,20220714,000000,1.024,1.024,1.022,1.022,6.8726270000000005,0
LUSD.V,D,20220715,000000,1.024,1.024,1.022,1.022,266.23349700000006,0
LUSD.V,D,20220716,000000,1.022,1.025,1.021,1.024,258.57599099999993,0
LUSD.V,D,20220717,000000,1.024,1.024,1.022,1.024,2.388968,0
LUSD.V,D,20220718,000000,1.024,1.024,1.022,1.022,4.001295,0
LUSD.V,D,20220719,000000,1.024,1.024,1.021,1.021,5.368816000000002,0
LUSD.V,D,20220720,000000,1.024,1.024,1.021,1.022,6.633553,0
LUSD.V,D,20220721,000000,1.025,1.025,1.021,1.024,6.830825,0
LUSD.V,D,20220722,000000,1.024,1.025,1.021,1.021,7.501698000000002,0
LUSD.V,D,20220723,000000,1.024,1.024,1.021,1.024,9.812185000000001,0
LUSD.V,D,20220724,000000,1.024,1.024,1.021,1.021,2.0715320000000004,0
LUSD.V,D,20220725,000000,1.024,1.024,1.021,1.022,7.154235999999999,0
LUSD.V,D,20220726,000000,1.022,1.024,1.021,1.024,8.533245999999998,0
LUSD.V,D,20220727,000000,1.024,1.024,1.021,1.024,4.121831,0
LUSD.V,D,20220728,000000,1.024,1.024,1.018,1.018,12.373175999999999,0
LUSD.V,D,20220729,000000,1.024,1.024,1.018,1.018,2.4298859999999998,0
LUSD.V,D,20220730,000000,1.024,1.028,1.018,1.028,357.663078,0
LUSD.V,D,20220731,000000,1.021,1.027,1.021,1.021,3.1675959999999996,0
LUSD.V,D,20220801,000000,1.021,1.027,1.014,1.022,15102.803333999998,0
LUSD.V,D,20220802,000000,1.022,1.025,1.016,1.024,4.793793000000001,0
LUSD.V,D,20220803,000000,1.02,1.026,1.019,1.026,57.432245,0
LUSD.V,D,20220804,000000,1.019,1.03,1.019,1.03,297.5874359999999,0
LUSD.V,D,20220805,000000,1.033,1.033,1.024,1.028,3.8633140000000004,0
LUSD.V,D,20220806,000000,1.024,1.029,1.024,1.024,0.8267469999999999,0
LUSD.V,D,20220807,000000,1.024,1.031,1.024,1.031,1.556527,0
LUSD.V,D,20220808,000000,1.031,1.032,1.026,1.026,1.195718,0
LUSD.V,D,20220809,000000,1.032,1.032,1.024,1.031,9082.529796,0
LUSD.V,D,20220810,000000,1.029,1.036,1.029,1.036,10.624869,0
LUSD.V,D,20220811,000000,1.037,1.037,1.023,1.029,97.68437800000001,0
LUSD.V,D,20220812,000000,1.023,1.03,1.023,1.03,0.9490660000000001,0
LUSD.V,D,20220813,000000,1.03,1.03,1.023,1.03,387.366923,0
LUSD.V,D,20220814,000000,1.023,1.03,1.023,1.023,1.177906,0
LUSD.V,D,20220815,000000,1.03,1.031,1.023,1.023,3.55665,0
LUSD.V,D,20220816,000000,1.023,1.031,1.023,1.026,10.482467999999999,0
LUSD.V,D,20220817,000000,1.02,1.026,1.02,1.021,2852.1027919999997,0
LUSD.V,D,20220818,000000,1.021,1.027,1.021,1.027,910.350644,0
LUSD.V,D,20220819,000000,1.021,1.028,1.021,1.021,345.31865799999997,0
LUSD.V,D,20220820,000000,1.034,1.034,1.027,1.027,12.436245999999999,0
LUSD.V,D,20220821,000000,1.034,1.034,1.028,1.034,4.226430000000001,0
LUSD.V,D,20220822,000000,1.028,1.035,1.028,1.028,6.282401000000001,0
LUSD.V,D,20220823,000000,1.034,1.034,1.028,1.034,3.5342679999999995,0
LUSD.V,D,20220824,000000,1.034,1.034,1.028,1.034,2.777943,0
LUSD.V,D,20220825,000000,1.028,1.034,1.027,1.034,1.8205770000000001,0
LUSD.V,D,20220826,000000,1.027,1.033,1.027,1.027,2.0515,0
LUSD.V,D,20220827,000000,1.027,1.034,1.027,1.027,1.822179,0
LUSD.V,D,20220828,000000,1.026,1.034,1.026,1.027,1811.644523,0
LUSD.V,D,20220829,000000,1.027,1.033,1.027,1.033,5.719257,0
LUSD.V,D,20220830,000000,1.027,1.033,1.016,1.016,8605.088006000002,0
LUSD.V,D,20220831,000000,1.015,1.015,1.001,1.01,3.2636209999999997,0
LUSD.V,D,20220901,000000,1.004,1.01,1.003,1.01,2.9820850000000005,0
LUSD.V,D,20220902,000000,1.003,1.014,1.003,1.014,3004.622553,0
LUSD.V,D,20220903,000000,1.014,1.014,1.006,1.014,1.0484330000000002,0
LUSD.V,D,20220904,000000,1.014,1.014,1.006,1.014,1.491709,0
LUSD.V,D,20220905,000000,1.014,1.014,1.006,1.014,1.304911,0
LUSD.V,D,20220906,000000,1.014,1.014,1.006,1.006,5.4200099999999996,0
LUSD.V,D,20220907,000000,1.006,1.014,1.006,1.014,5.799321,0
LUSD.V,D,20220908,000000,1.006,1.014,1.006,1.014,1.7776009999999998,0
LUSD.V,D,20220909,000000,1.014,1.017,1.005,1.013,10320.861512,0
LUSD.V,D,20220910,000000,1.013,1.013,1.005,1.013,1.617563,0
LUSD.V,D,20220911,000000,1.013,1.013,1.005,1.005,1.921385,0
LUSD.V,D,20220912,000000,1.005,1.02,1.005,1.012,18400.706337,0
LUSD.V,D,20220913,000000,1.012,1.02,1,1.012,4.071042,0
LUSD.V,D,20220914,000000,1.017,1.017,1.009,1.009,4.078868,0
LUSD.V,D,20220915,000000,1.009,1.017,1.009,1.017,2.9340930000000003,0
LUSD.V,D,20220916,000000,1.009,1.017,1.009,1.017,2.5058689999999997,0
LUSD.V,D,20220917,000000,1.017,1.017,1.009,1.009,0.581963,0
LUSD.V,D,20220918,000000,1.009,1.017,1.009,1.009,2.8889879999999994,0
LUSD.V,D,20220919,000000,1.009,1.026,1.009,1.026,2.940903,0
LUSD.V,D,20220920,000000,1.018,1.026,1.018,1.026,2.0233760000000003,0
LUSD.V,D,20220921,000000,1.018,1.026,1.018,1.018,6.980905999999999,0
LUSD.V,D,20220922,000000,1.026,1.026,1.018,1.026,9.596662,0
LUSD.V,D,20220923,000000,1.026,1.027,1.018,1.027,5.4770340000000015,0
LUSD.V,D,20220924,000000,1.027,1.027,1.019,1.019,1.118168,0
LUSD.V,D,20220925,000000,1.019,1.027,1.019,1.019,2.575616,0
LUSD.V,D,20220926,000000,1.019,1.03,1.019,1.022,2.003211,0
LUSD.V,D,20220927,000000,1.026,1.03,1.026,1.03,475.53900300000004,0
LUSD.V,D,20220928,000000,1.03,1.03,1.022,1.03,3.826142,0
LUSD.V,D,20220929,000000,1.022,1.03,1.022,1.03,1.8157190000000003,0
LUSD.V,D,20220930,000000,1.03,1.03,1.022,1.022,11.034927,0
LUSD.V,D,20221001,000000,1.03,1.03,1.022,1.022,0.699469,0
LUSD.V,D,20221002,000000,1.03,1.03,1.022,1.03,1.343305,0
LUSD.V,D,20221003,000000,1.022,1.029,1.021,1.029,3.2530609999999998,0
LUSD.V,D,20221004,000000,1.029,1.029,1.028,1.028,1.040794,0
LUSD.V,D,20221005,000000,1.028,1.028,1.028,1.028,0.514686,0
LUSD.V,D,20221006,000000,1.028,1.031,1.028,1.028,8.211771,0
LUSD.V,D,20221007,000000,1.031,1.031,1.028,1.028,0.239975,0
LUSD.V,D,20221008,000000,1.033,1.033,1.029,1.029,0.843919,0
LUSD.V,D,20221009,000000,1.021,1.029,1.021,1.029,0.126525,0
LUSD.V,D,20221010,000000,1.03,1.03,1.021,1.03,1.5256740000000002,0
LUSD.V,D,20221011,000000,1.021,1.03,1.021,1.021,1.372909,0
LUSD.V,D,20221012,000000,1.03,1.03,1.021,1.021,1.185389,0
LUSD.V,D,20221013,000000,1.021,1.03,1.021,1.03,2.062777,0
LUSD.V,D,20221014,000000,1.028,1.028,1.02,1.02,4.189642999999999,0
LUSD.V,D,20221015,000000,1.028,1.028,1.02,1.02,1.3126060000000002,0
LUSD.V,D,20221016,000000,1.028,1.028,1.028,1.028,0.800654,0
LUSD.V,D,20221017,000000,1.02,1.028,1.02,1.028,2.1869069999999997,0
LUSD.V,D,20221018,000000,1.028,1.028,1.02,1.028,1.400754,0
LUSD.V,D,20221019,000000,1.02,1.028,1.02,1.02,144.02899200000002,0
