<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LYXE.V,D,20220515,000000,5.77278,6.11565,5.60159,6.01056,8048.856911699999,0
LYXE.V,D,20220516,000000,6.03655,6.11625,5.49826,5.89113,25505.910277799972,0
LYXE.V,D,20220517,000000,5.85127,6.86754,5.81034,6.41807,5614.080659020102,0
LYXE.V,D,20220518,000000,6.44231,6.44815,5.54858,5.67787,7571.544807630105,0
LYXE.V,D,20220519,000000,5.57744,5.69398,5.33874,5.61579,10990.3090843001,0
LYXE.V,D,20220520,000000,5.58001,5.7506,5.3743,5.59286,9028.192458299998,0
LYXE.V,D,20220521,000000,5.61524,5.79534,5.34305,5.42294,13524.904585500006,0
LYXE.V,D,20220522,000000,5.42295,5.77775,5.42295,5.77775,7664.324980699997,0
LYXE.V,D,20220523,000000,5.69356,5.86521,5.44523,5.48943,17503.84258830001,0
LYXE.V,D,20220524,000000,5.50774,5.54265,5.06411,5.26394,5490.250926801002,0
LYXE.V,D,20220525,000000,5.26492,5.33449,4.81521,4.994,13069.042213020002,0
LYXE.V,D,20220526,000000,4.9944,5.08607,4.55498,4.72224,17884.972124699998,0
LYXE.V,D,20220527,000000,4.71406,4.76014,4.4955,4.65503,7412.637848100001,0
LYXE.V,D,20220528,000000,4.58925,4.58925,4.04621,4.35384,11010.345413399526,0
LYXE.V,D,20220529,000000,4.35845,4.56852,4.30422,4.48508,9085.5243847,0
LYXE.V,D,20220530,000000,4.52533,5.28329,4.36225,5.08613,41493.22350130002,0
LYXE.V,D,20220531,000000,5.20463,5.28226,4.64744,4.89818,9948.0604646,0
LYXE.V,D,20220601,000000,4.93716,5.19585,4.41333,4.41882,7885.222507599995,0
LYXE.V,D,20220602,000000,4.41941,4.81021,4.41941,4.7757,6969.371328199997,0
LYXE.V,D,20220603,000000,4.7757,5.28177,4.55239,4.65214,10406.810857081,0
LYXE.V,D,20220604,000000,4.6754,4.99589,4.62358,4.9363,7020.8327046999975,0
LYXE.V,D,20220605,000000,4.9953,5.19568,4.83043,4.90227,6382.439415760003,0
LYXE.V,D,20220606,000000,4.93436,5.55261,4.93436,5.53949,27905.063297999983,0
LYXE.V,D,20220607,000000,5.51393,5.61522,4.89379,5.1621,12776.148569244397,0
LYXE.V,D,20220608,000000,5.1994,5.24561,4.8867,4.92803,115011.88838539974,0
