<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOB.V,D,20220514,000000,1.94469,1.94469,1.94469,1.94469,126.57014,0
MOB.V,D,20220515,000000,1.88935,1.96564,1.86638,1.96544,128654.01273680662,0
MOB.V,D,20220516,000000,1.96264,1.98661,1.80229,1.83561,117661.95528532624,0
MOB.V,D,20220517,000000,1.84242,2.06931,1.80229,1.90971,349619.5900106281,0
MOB.V,D,20220518,000000,1.91051,1.95565,1.79666,1.82744,139969.43722081263,0
MOB.V,D,20220519,000000,1.83343,2.26973,1.78767,2.01398,641664.174856325,0
MOB.V,D,20220520,000000,2.01319,2.14485,1.84778,1.86576,198554.30418565084,0
MOB.V,D,20220521,000000,1.87075,2.03835,1.83162,1.94827,231745.47077355575,0
MOB.V,D,20220522,000000,1.95346,2.09727,1.90452,2.04155,179956.15986444152,0
MOB.V,D,20220523,000000,2.05054,2.08749,1.9177,1.94267,131375.5380582386,0
MOB.V,D,20220524,000000,1.92868,2.00139,1.86295,1.98242,149169.4227812965,0
MOB.V,D,20220525,000000,1.99321,2.10247,1.95965,1.97163,248389.8716260423,0
MOB.V,D,20220526,000000,1.97663,2.02077,1.84778,1.94405,157645.44111327178,0
MOB.V,D,20220527,000000,1.94486,1.95305,1.84797,1.91789,63203.26742870382,0
MOB.V,D,20220528,000000,1.91798,1.98899,1.87976,1.96678,55604.355681668305,0
MOB.V,D,20220529,000000,1.96166,2.00383,1.91385,1.95996,49474.64870797538,0
MOB.V,D,20220530,000000,1.95794,2.07534,1.95397,2.06834,139192.6164989874,0
MOB.V,D,20220531,000000,2.06855,2.44904,2.02538,2.32391,554427.4766647747,0
MOB.V,D,20220601,000000,2.32126,2.4331,2.04895,2.05915,541380.9138052136,0
MOB.V,D,20220602,000000,2.04995,2.08812,1.98221,2.03716,303006.51910986827,0
MOB.V,D,20220603,000000,2.03816,2.12934,1.96374,1.99326,102986.28685106162,0
MOB.V,D,20220604,000000,1.99526,2.0484,1.97193,2.01946,1038214.1367082264,0
MOB.V,D,20220605,000000,2.0205,2.06027,1.95042,1.97514,634113.477339726,0
MOB.V,D,20220606,000000,1.97614,2.08931,1.97115,1.99832,2129142.533719254,0
MOB.V,D,20220607,000000,2.00232,2.04332,1.91439,2.03233,940848.0996910043,0
MOB.V,D,20220608,000000,2.03843,2.03843,1.92461,1.93576,997156.5556047842,0
MOB.V,D,20220609,000000,1.93674,1.94627,1.90248,1.91239,690941.8624367883,0
MOB.V,D,20220610,000000,1.91237,1.93445,1.65519,1.68186,870649.094805057,0
MOB.V,D,20220611,000000,1.68384,1.72216,1.61216,1.63314,156490.22094022855,0
MOB.V,D,20220612,000000,1.63417,1.65167,1.55782,1.61699,221627.53640305382,0
MOB.V,D,20220613,000000,1.61699,1.61699,1.38127,1.38807,2728109.820231622,0
MOB.V,D,20220614,000000,1.38808,1.3928,1.16059,1.1626,6232508.395858083,0
MOB.V,D,20220615,000000,1.16559,1.20163,1.03694,1.14063,9739591.425192723,0
MOB.V,D,20220616,000000,1.1318,1.15723,1.04485,1.06411,280390.61104822357,0
MOB.V,D,20220617,000000,1.03061,1.0745,1.02709,1.04875,938082.5083470455,0
MOB.V,D,20220618,000000,1.04875,1.05275,0.97634,1.00637,3268814.997229727,0
MOB.V,D,20220619,000000,1.00836,1.07671,0.98558,1.0736,3413442.927892802,0
MOB.V,D,20220620,000000,1.07771,1.1535,1.04814,1.06683,1164596.2362509419,0
MOB.V,D,20220621,000000,1.06472,1.15707,1.06472,1.0989,317988.4293841282,0
MOB.V,D,20220622,000000,1.0999,1.0999,1.04895,1.05894,489679.2995437139,0
MOB.V,D,20220623,000000,1.05883,1.18481,1.05295,1.15085,261672.02648388402,0
MOB.V,D,20220624,000000,1.15584,1.18082,1.12005,1.13612,1036413.5217477545,0
MOB.V,D,20220625,000000,1.13786,1.16323,1.12526,1.15918,495650.1001288155,0
MOB.V,D,20220626,000000,1.1592,1.19817,1.11932,1.1333,3574950.0843801782,0
MOB.V,D,20220627,000000,1.12933,1.12936,1.05702,1.06805,81956.42245665718,0
MOB.V,D,20220628,000000,1.06896,1.09102,1.04508,1.05967,138356.02795645382,0
MOB.V,D,20220629,000000,1.05369,1.1514,1.03844,1.13562,460311.1409787865,0
MOB.V,D,20220630,000000,1.14162,1.3116,1.0736,1.08769,1903492.9098695982,0
MOB.V,D,20220701,000000,1.07571,1.15173,1.06761,1.06882,1356294.5077922386,0
MOB.V,D,20220702,000000,1.06832,1.10218,1.05734,1.08919,228383.93385786374,0
MOB.V,D,20220705,000000,1.07382,1.10478,1.06372,1.08869,26434.896054122793,0
MOB.V,D,20220706,000000,1.0868,1.16272,1.07571,1.11377,362309.3749949131,0
MOB.V,D,20220707,000000,1.12326,1.14481,1.09818,1.13732,56128.331104191384,0
MOB.V,D,20220708,000000,1.1362,1.1703,1.11233,1.12433,68852.2534312809,0
MOB.V,D,20220709,000000,1.12233,1.14831,1.11533,1.14731,75720.07446558758,0
MOB.V,D,20220710,000000,1.14931,1.15131,1.06825,1.08135,105991.24907444546,0
MOB.V,D,20220711,000000,1.07835,1.07835,1.04406,1.04406,51976.25408741976,0
MOB.V,D,20220712,000000,1.04406,1.04406,1.00999,1.01798,61360.980677557134,0
MOB.V,D,20220713,000000,1.01203,1.04196,0.99391,1.01009,84437.21532728846,0
MOB.V,D,20220714,000000,1.01009,1.05936,1.00619,1.04837,111874.34978882191,0
MOB.V,D,20220715,000000,1.04337,1.07635,1.03438,1.04769,120158.85525572413,0
MOB.V,D,20220716,000000,1.04669,1.12766,1.01959,1.08078,85915.38569580132,0
MOB.V,D,20220717,000000,1.08171,1.54058,1.07874,1.19369,4206162.145696716,0
