<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MXC.V,D,20220514,000000,0.0820802,0.0832383,0.0727296,0.0778309,5442023.9474059,0
MXC.V,D,20220515,000000,0.0773416,0.0787007,0.072613,0.0743117,7955431.5155629,0
MXC.V,D,20220516,000000,0.0747377,0.0812462,0.0718992,0.076791,12523325.807277,0
MXC.V,D,20220517,000000,0.07681,0.0856871,0.0762088,0.0855672,14813160.99688,0
MXC.V,D,20220518,000000,0.0855586,0.0886857,0.0803554,0.0826025,17439912.647844,0
MXC.V,D,20220519,000000,0.0830789,0.0851747,0.0796833,0.0821857,15708329.68912,0
MXC.V,D,20220520,000000,0.0822739,0.0841769,0.0785646,0.0837144,17879482.367545,0
MXC.V,D,20220521,000000,0.0837923,0.0868383,0.082738,0.0843222,16677932.028488,0
MXC.V,D,20220522,000000,0.0843142,0.085304,0.0810346,0.0818117,14814333.848388,0
MXC.V,D,20220523,000000,0.0820424,0.0858245,0.0814104,0.0831461,18122538.233485,0
MXC.V,D,20220524,000000,0.0828594,0.0850223,0.0803625,0.0839188,19474720.833046,0
MXC.V,D,20220525,000000,0.0840621,0.0851253,0.0810727,0.0835217,7919454.2336223,0
MXC.V,D,20220526,000000,0.0835696,0.0836169,0.078904,0.0794405,8682253.7264363,0
MXC.V,D,20220527,000000,0.0792028,0.0822906,0.0715312,0.07793,12996673.385878,0
MXC.V,D,20220528,000000,0.0779211,0.0779211,0.0759208,0.0765923,8294029.9152151,0
MXC.V,D,20220529,000000,0.0770782,0.0775246,0.0753638,0.0762852,8119820.8889614,0
MXC.V,D,20220530,000000,0.0762353,0.0812868,0.0761746,0.0797122,9857669.9905416,0
MXC.V,D,20220531,000000,0.0797032,0.0827517,0.0790437,0.0826838,9239086.7692534,0
MXC.V,D,20220601,000000,0.0824435,0.0869304,0.079975,0.0805494,12336391.749353,0
MXC.V,D,20220602,000000,0.0802337,0.0814556,0.0800229,0.0803556,4624245.0045567,0
MXC.V,D,20220603,000000,0.0803886,0.0838647,0.0796508,0.081538,5789998.3816058,0
MXC.V,D,20220604,000000,0.0814381,0.0840436,0.07992,0.0832695,6763829.2363313,0
MXC.V,D,20220605,000000,0.0830295,0.0835979,0.0824052,0.0835774,4410764.1012186,0
MXC.V,D,20220606,000000,0.0835774,0.0905903,0.0833546,0.087994,9032797.2632519,0
MXC.V,D,20220607,000000,0.087964,0.0881359,0.084257,0.0853,6785780.3966645,0
MXC.V,D,20220608,000000,0.0852727,0.0862264,0.0826674,0.0831759,23894048.081542,0
MXC.V,D,20220609,000000,0.0831439,0.0871288,0.08216,0.0858348,27123064.577685,0
MXC.V,D,20220610,000000,0.0856811,0.0868072,0.0799192,0.0811368,33376920.744957,0
MXC.V,D,20220611,000000,0.0806974,0.0819222,0.072545,0.0766033,16710661.92928,0
MXC.V,D,20220612,000000,0.0770309,0.0844104,0.0710507,0.0808864,17999437.230903,0
MXC.V,D,20220613,000000,0.08058,0.0807745,0.0687106,0.0706773,82385323.006961,0
MXC.V,D,20220614,000000,0.0709006,0.0711495,0.0619213,0.0667997,185034806.12796,0
MXC.V,D,20220615,000000,0.0663796,0.0694352,0.0586442,0.0658241,281439988.48666,0
MXC.V,D,20220616,000000,0.0658051,0.0701707,0.0623413,0.0666166,178951036.57327,0
MXC.V,D,20220617,000000,0.064881,0.068652,0.0646007,0.06659,148261241.19352,0
MXC.V,D,20220618,000000,0.0665807,0.0668097,0.059807,0.065304,266662002.92442,0
MXC.V,D,20220619,000000,0.0652941,0.067281,0.0611612,0.066813,25996021.756409,0
MXC.V,D,20220620,000000,0.0671626,0.0677985,0.0640466,0.0658974,11432319.019902,0
MXC.V,D,20220621,000000,0.0659714,0.0752871,0.0655562,0.0712905,9750369.1136292,0
MXC.V,D,20220622,000000,0.0710917,0.0775304,0.0666626,0.0764884,16446198.438639,0
MXC.V,D,20220623,000000,0.0764974,0.0824155,0.0742577,0.0824105,17371993.54819,0
MXC.V,D,20220624,000000,0.0823396,0.0868127,0.080953,0.0860919,89528049.947534,0
MXC.V,D,20220625,000000,0.0857641,0.0861637,0.0822357,0.0829219,54966185.247307,0
MXC.V,D,20220626,000000,0.0831717,0.0876574,0.0826446,0.0853271,35882111.810588,0
MXC.V,D,20220627,000000,0.0852788,0.0853388,0.0809582,0.082917,6560456.6476546,0
MXC.V,D,20220628,000000,0.0829275,0.0850224,0.0810732,0.0816787,9812089.9135813,0
MXC.V,D,20220629,000000,0.0816586,0.0848878,0.078978,0.0847673,16652964.656591,0
MXC.V,D,20220630,000000,0.0847881,0.084898,0.079183,0.0824509,18515950.300012,0
MXC.V,D,20220701,000000,0.0820055,0.0842148,0.079868,0.0812106,21588909.784882,0
MXC.V,D,20220702,000000,0.0811207,0.0813023,0.0780562,0.0805332,24045763.185559,0
MXC.V,D,20220703,000000,0.0804533,0.0812761,0.0781904,0.080685,18583150.558573,0
MXC.V,D,20220704,000000,0.0805071,0.0822412,0.0785677,0.0805532,9212764.9175917,0
MXC.V,D,20220705,000000,0.0805832,0.0818117,0.0778443,0.0796623,10339950.214149,0
MXC.V,D,20220706,000000,0.0796023,0.0808529,0.078094,0.0792228,9263359.6723303,0
MXC.V,D,20220707,000000,0.0791928,0.0809109,0.0758864,0.0798321,9555882.2777458,0
