<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEST.V,D,20220519,000000,0.0315989,0.032151,0.0303826,0.0320479,2696332.95948,0
NEST.V,D,20220520,000000,0.0320711,0.0340625,0.0312687,0.0329204,8180981.9606449,0
NEST.V,D,20220521,000000,0.0329005,0.0347947,0.0322513,0.0346849,4034496.8607686,0
NEST.V,D,20220522,000000,0.0346849,0.0360631,0.034242,0.035314,1852088.1638398,0
NEST.V,D,20220523,000000,0.0353975,0.035411,0.0333499,0.0346384,1493494.1023629,0
NEST.V,D,20220524,000000,0.0346349,0.0348916,0.033643,0.034535,3307169.9868477,0
NEST.V,D,20220525,000000,0.0345216,0.0345915,0.0340825,0.0343787,354078.54929318,0
NEST.V,D,20220526,000000,0.0342988,0.0343122,0.0218182,0.0242857,9656954.7406612,0
NEST.V,D,20220527,000000,0.0242757,0.0302997,0.0232144,0.0240459,7236503.2967731,0
NEST.V,D,20220528,000000,0.0239624,0.0242389,0.0235232,0.0240021,3530432.0470752,0
NEST.V,D,20220529,000000,0.0239912,0.0240116,0.0237048,0.0237439,440952.94036707,0
NEST.V,D,20220530,000000,0.0238047,0.0251424,0.0236949,0.0248526,2231733.9280472,0
NEST.V,D,20220531,000000,0.0249101,0.0289697,0.0248926,0.0280975,3684351.6005514,0
NEST.V,D,20220601,000000,0.0280992,0.0281089,0.0261091,0.0268931,1540513.1739381,0
NEST.V,D,20220602,000000,0.0268831,0.0281746,0.0258467,0.0279748,1603173.443966,0
NEST.V,D,20220603,000000,0.0279748,0.0282945,0.0268863,0.0274664,1811491.7699706,0
NEST.V,D,20220604,000000,0.0276579,0.0284444,0.0273278,0.0280689,955337.497987,0
NEST.V,D,20220605,000000,0.0280292,0.0299845,0.027972,0.0294829,2019921.3845512,0
NEST.V,D,20220606,000000,0.0293321,0.0314139,0.0292833,0.0311938,2826184.3633415,0
NEST.V,D,20220607,000000,0.0311338,0.0329546,0.0290882,0.0325333,5527107.762522,0
NEST.V,D,20220608,000000,0.0325639,0.0328609,0.0317075,0.0321294,19849657.322385,0
NEST.V,D,20220609,000000,0.0324692,0.0333833,0.0319992,0.0329223,21155119.473632,0
NEST.V,D,20220610,000000,0.032922,0.0332507,0.0320479,0.0325576,5514411.6505825,0
NEST.V,D,20220611,000000,0.0325286,0.0328655,0.0292164,0.0323035,11035680.001956,0
NEST.V,D,20220612,000000,0.0321433,0.0334568,0.0296654,0.0324101,8251061.9719605,0
NEST.V,D,20220613,000000,0.0324997,0.0328153,0.0288464,0.0319056,17112339.511891,0
NEST.V,D,20220614,000000,0.0317262,0.0330183,0.0303977,0.032481,49697718.436521,0
NEST.V,D,20220615,000000,0.032471,0.0358334,0.0297364,0.035287,108051630.66218,0
NEST.V,D,20220616,000000,0.0352271,0.0359568,0.0343921,0.0350743,49439825.060097,0
NEST.V,D,20220617,000000,0.0341631,0.0357798,0.0338129,0.0352576,45701504.988831,0
NEST.V,D,20220618,000000,0.0352576,0.0354278,0.031964,0.0327269,95095258.891176,0
NEST.V,D,20220619,000000,0.032657,0.035267,0.032487,0.0343852,15135245.242771,0
NEST.V,D,20220620,000000,0.0344686,0.0363699,0.0334498,0.0348781,9498641.3806412,0
NEST.V,D,20220621,000000,0.0348781,0.0369593,0.0337762,0.0341159,5072994.5279853,0
NEST.V,D,20220622,000000,0.0342323,0.0342323,0.0330336,0.0330769,5486535.9829425,0
NEST.V,D,20220623,000000,0.0330669,0.0336263,0.032987,0.033007,4781211.859426,0
NEST.V,D,20220624,000000,0.0330469,0.0346605,0.032871,0.0331438,15949896.219637,0
NEST.V,D,20220625,000000,0.0331368,0.0338426,0.0327471,0.0331868,4346649.8317342,0
NEST.V,D,20220626,000000,0.0331468,0.0332474,0.0310111,0.031071,5699132.1235098,0
NEST.V,D,20220627,000000,0.0310807,0.0314027,0.0297114,0.0297235,5532938.698094,0
NEST.V,D,20220628,000000,0.0297235,0.0316312,0.0294405,0.0303336,6311414.6763283,0
NEST.V,D,20220629,000000,0.0303523,0.0326356,0.0302727,0.0325606,4994945.23503,0
NEST.V,D,20220630,000000,0.0325709,0.0330876,0.0306656,0.0318018,6922951.9273236,0
NEST.V,D,20220701,000000,0.0318018,0.0321878,0.0302367,0.0302467,7228451.7504082,0
NEST.V,D,20220702,000000,0.0302567,0.0319316,0.0297972,0.0317419,5972765.0239516,0
NEST.V,D,20220703,000000,0.0317519,0.0329671,0.0308529,0.0313592,15114612.638733,0
NEST.V,D,20220704,000000,0.0313592,0.03326,0.03076,0.0328605,3885695.070635,0
NEST.V,D,20220705,000000,0.0334598,0.0348082,0.0327706,0.0344321,3301844.048885,0
NEST.V,D,20220706,000000,0.0344321,0.0374587,0.0341923,0.0366796,4192364.7000629,0
NEST.V,D,20220707,000000,0.0366796,0.0370055,0.0342623,0.0360584,5107495.161577,0
NEST.V,D,20220708,000000,0.0360883,0.0374038,0.0344259,0.0346192,5473523.652593,0
NEST.V,D,20220709,000000,0.0346092,0.0346992,0.0312712,0.0312712,4005282.575511,0
NEST.V,D,20220710,000000,0.0313081,0.0329802,0.0307915,0.0317809,4425699.07473,0
NEST.V,D,20220711,000000,0.0317909,0.0340961,0.0313112,0.0320911,5881574.3257833,0
NEST.V,D,20220712,000000,0.0320679,0.0340459,0.0300299,0.0318981,8137171.711994,0
NEST.V,D,20220713,000000,0.031939,0.0328571,0.02996,0.0305725,1826019.6660503,0
NEST.V,D,20220714,000000,0.0305725,0.0329669,0.0299031,0.0310682,9176783.213188,0
NEST.V,D,20220715,000000,0.0310813,0.0342095,0.0309914,0.0336199,4972844.179457,0
NEST.V,D,20220716,000000,0.0336599,0.0339998,0.0320304,0.0320804,7407324.554531,0
NEST.V,D,20220717,000000,0.0321536,0.0344769,0.0314037,0.0325912,5349392.149499,0
NEST.V,D,20220718,000000,0.0326735,0.0346772,0.03222,0.0326725,8224135.3988054,0
NEST.V,D,20220719,000000,0.0327321,0.03409,0.0325525,0.0332053,3614235.578874,0
NEST.V,D,20220720,000000,0.03324,0.03328,0.032391,0.0325616,8194860.1292422,0
NEST.V,D,20220721,000000,0.0325516,0.0331279,0.03172,0.0330983,7943408.203908,0
NEST.V,D,20220722,000000,0.0331983,0.0347166,0.032661,0.0336747,6635172.2000412,0
NEST.V,D,20220723,000000,0.0336877,0.0347235,0.0332667,0.0344769,2412624.253203,0
NEST.V,D,20220724,000000,0.0344469,0.0349107,0.0334933,0.0337968,8259473.3200852,0
NEST.V,D,20220725,000000,0.0337964,0.0349924,0.0324349,0.0341727,12286961.456755,0
NEST.V,D,20220726,000000,0.0341327,0.0395012,0.0315009,0.0350653,28083617.387745,0
NEST.V,D,20220727,000000,0.0352649,0.0370485,0.0326826,0.033378,13577902.435715,0
NEST.V,D,20220728,000000,0.0334384,0.0360336,0.0333183,0.0346569,7670128.45923,0
NEST.V,D,20220729,000000,0.034629,0.0358125,0.0338827,0.0351144,9115705.920218,0
NEST.V,D,20220730,000000,0.035024,0.0356225,0.0316023,0.0331109,11097838.336652,0
NEST.V,D,20220731,000000,0.0331913,0.033298,0.0322464,0.0324975,4952534.9962466,0
NEST.V,D,20220801,000000,0.0325298,0.0347276,0.0322694,0.0327798,8551392.513498,0
NEST.V,D,20220802,000000,0.0327498,0.0328431,0.0320235,0.0323255,7955358.864749,0
NEST.V,D,20220803,000000,0.0321555,0.0331563,0.0320067,0.0322681,4642246.761004,0
NEST.V,D,20220804,000000,0.0321897,0.0351039,0.0316066,0.032091,6716063.384236,0
NEST.V,D,20220805,000000,0.032071,0.0344365,0.0320513,0.0341665,5984358.298322,0
NEST.V,D,20220806,000000,0.0340365,0.0346959,0.0339675,0.0340578,2835876.465346,0
NEST.V,D,20220807,000000,0.0340578,0.0348356,0.0334184,0.0343662,6109698.26868,0
NEST.V,D,20220808,000000,0.0343362,0.0355046,0.0340551,0.0347842,7683398.942342,0
NEST.V,D,20220809,000000,0.0347642,0.0348963,0.0332376,0.033267,6808933.3473502,0
NEST.V,D,20220810,000000,0.0332767,0.0345141,0.0328175,0.0340399,14037757.467179,0
NEST.V,D,20220811,000000,0.0340702,0.0344696,0.0323552,0.0330455,6851870.6020403,0
NEST.V,D,20220812,000000,0.0330355,0.0333367,0.0316427,0.0319147,6282791.2369873,0
NEST.V,D,20220813,000000,0.0318443,0.0322961,0.0312928,0.0317624,6343907.5069,0
NEST.V,D,20220814,000000,0.0316924,0.0321125,0.0311987,0.0312997,6057454.6344067,0
NEST.V,D,20220815,000000,0.0313094,0.035056,0.0302154,0.0305773,12882468.052312,0
NEST.V,D,20220816,000000,0.0308077,0.0331023,0.0302,0.0314728,6779320.3390395,0
NEST.V,D,20220817,000000,0.0313625,0.0316925,0.0298997,0.0301221,3728338.069234,0
NEST.V,D,20220818,000000,0.0301224,0.0347517,0.0300127,0.032571,11028585.205551,0
NEST.V,D,20220819,000000,0.0326233,0.0338834,0.03057,0.0309131,10885783.118931,0
NEST.V,D,20220820,000000,0.0308909,0.0340617,0.0308282,0.0319397,7342559.6968844,0
NEST.V,D,20220821,000000,0.0319294,0.033891,0.0318103,0.0329393,6035272.6423318,0
NEST.V,D,20220822,000000,0.0327793,0.0379128,0.0322477,0.0344441,8430373.0500766,0
NEST.V,D,20220823,000000,0.0344848,0.0371993,0.0338203,0.0339507,8354553.3641022,0
NEST.V,D,20220824,000000,0.034,0.034091,0.033113,0.033213,5027725.6320759,0
NEST.V,D,20220825,000000,0.033183,0.0336187,0.0319529,0.032231,8155049.5995082,0
NEST.V,D,20220826,000000,0.0323097,0.0327213,0.031929,0.0321129,5618093.1271917,0
NEST.V,D,20220827,000000,0.0322429,0.0345231,0.0310109,0.032721,5091064.126473,0
NEST.V,D,20220828,000000,0.0327303,0.0344507,0.0327207,0.0331897,5698833.0570427,0
NEST.V,D,20220829,000000,0.03321,0.03351,0.032508,0.0325923,4481094.1250359,0
NEST.V,D,20220830,000000,0.0326126,0.033039,0.0315132,0.0316625,5383347.4056976,0
NEST.V,D,20220831,000000,0.0316428,0.0320803,0.0312997,0.03138,4621059.4122926,0
NEST.V,D,20220901,000000,0.0314097,0.0317487,0.0310591,0.0311181,5934380.9677136,0
NEST.V,D,20220902,000000,0.0310981,0.033011,0.0310488,0.031505,6169425.8260011,0
