<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NU.V,D,20220514,000000,0.1747,0.1778,0.155,0.1551,55487.52220948479,0
NU.V,D,20220516,000000,0.1715,0.1719,0.1626,0.1673,25458.544399413684,0
NU.V,D,20220517,000000,0.1761,0.1935,0.165,0.1699,373835.17739138583,0
NU.V,D,20220518,000000,0.1714,0.187,0.1599,0.1599,195763.6516376263,0
NU.V,D,20220519,000000,0.1616,0.205,0.1592,0.1787,899688.043519544,0
NU.V,D,20220520,000000,0.1781,0.1904,0.1642,0.1669,269130.6293995578,0
NU.V,D,20220521,000000,0.1673,0.1749,0.1665,0.1728,174219.69337030622,0
NU.V,D,20220522,000000,0.1718,0.179,0.1714,0.1759,207913.7909556424,0
NU.V,D,20220523,000000,0.1774,0.213,0.1725,0.1807,1188038.9983692619,0
NU.V,D,20220524,000000,0.1796,0.1796,0.1531,0.1682,420484.86820979713,0
NU.V,D,20220525,000000,0.1696,0.172,0.1642,0.1682,264199.94058751053,0
NU.V,D,20220526,000000,0.1683,0.1744,0.1568,0.1581,249366.729413332,0
NU.V,D,20220527,000000,0.159,0.1592,0.1532,0.1565,235090.49641115815,0
NU.V,D,20220528,000000,0.1567,0.1634,0.1544,0.1575,162432.31034015093,0
NU.V,D,20220529,000000,0.1574,0.1624,0.1559,0.1623,215753.4847645116,0
NU.V,D,20220530,000000,0.1614,0.169,0.1595,0.169,286751.47535895207,0
NU.V,D,20220531,000000,0.1689,0.1795,0.1635,0.1673,357302.806063044,0
NU.V,D,20220601,000000,0.1667,0.3926,0.1656,0.2967,7601160.18290751,0
NU.V,D,20220602,000000,0.2903,0.3461,0.236,0.2542,1583968.466981398,0
NU.V,D,20220603,000000,0.2545,0.3366,0.2457,0.2804,4137641.406278658,0
NU.V,D,20220604,000000,0.2804,0.2993,0.258,0.2654,901140.9771685976,0
NU.V,D,20220605,000000,0.2645,0.2799,0.2468,0.2547,2219871.2948307157,0
NU.V,D,20220606,000000,0.2551,0.2581,0.2366,0.2403,4059513.100711595,0
NU.V,D,20220607,000000,0.242,0.2464,0.212,0.2266,6576308.460882447,0
NU.V,D,20220608,000000,0.228,0.249,0.2144,0.2219,3329477.001715097,0
NU.V,D,20220609,000000,0.2227,0.2264,0.2116,0.2168,1154792.9440142345,0
NU.V,D,20220610,000000,0.2157,0.2175,0.1964,0.2059,2172636.055023756,0
NU.V,D,20220611,000000,0.2053,0.2423,0.1803,0.1932,1826512.4444668994,0
NU.V,D,20220612,000000,0.1931,0.2017,0.1685,0.1777,513944.47172890813,0
NU.V,D,20220613,000000,0.1778,0.1827,0.143,0.1584,16554134.084566733,0
NU.V,D,20220614,000000,0.1584,0.1803,0.1418,0.1524,32589134.037504677,0
NU.V,D,20220615,000000,0.1524,0.17,0.1437,0.1668,7781778.934788825,0
NU.V,D,20220616,000000,0.1668,0.19,0.1529,0.1616,1189524.7471846992,0
NU.V,D,20220617,000000,0.1618,0.1698,0.1531,0.1631,12470261.09638292,0
NU.V,D,20220618,000000,0.1628,0.1648,0.1388,0.144,3931073.107295783,0
NU.V,D,20220619,000000,0.144,0.1646,0.1423,0.1625,511426.6321123331,0
NU.V,D,20220620,000000,0.1643,0.1647,0.1541,0.16,417221.49691160826,0
NU.V,D,20220621,000000,0.1595,0.184,0.1595,0.1645,3608760.190085345,0
NU.V,D,20220622,000000,0.1653,0.1994,0.1612,0.1655,1876109.3916112306,0
NU.V,D,20220623,000000,0.166,0.1765,0.1601,0.1664,932182.1672112107,0
NU.V,D,20220624,000000,0.1665,0.1835,0.1604,0.1737,4535875.308170395,0
NU.V,D,20220625,000000,0.1742,0.1866,0.1725,0.1743,2735013.909652599,0
NU.V,D,20220626,000000,0.1747,0.1996,0.1747,0.1812,3751007.5114831226,0
NU.V,D,20220627,000000,0.1824,0.2236,0.1688,0.1904,2094459.7433863995,0
NU.V,D,20220628,000000,0.1861,0.1985,0.1752,0.1752,1037957.113494662,0
NU.V,D,20220629,000000,0.1758,0.18,0.1664,0.1701,458117.86090947606,0
NU.V,D,20220630,000000,0.1697,0.1726,0.1581,0.1621,954337.3158815197,0
NU.V,D,20220701,000000,0.1607,0.1729,0.1607,0.1658,5516059.728907256,0
NU.V,D,20220702,000000,0.1655,0.166,0.1604,0.1652,1058557.2771052776,0
NU.V,D,20220703,000000,0.1652,0.1703,0.1606,0.1656,527402.1883787246,0
NU.V,D,20220704,000000,0.1648,0.1692,0.1636,0.168,71523.72511241926,0
NU.V,D,20220705,000000,0.1678,0.1718,0.1606,0.1686,280056.950879758,0
NU.V,D,20220706,000000,0.1675,0.1685,0.163,0.1658,283103.83637833653,0
