<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OCEAN.V,D,20170315,000000,0.020472,0.021219,0.020439,0.02102,0,0
OCEAN.V,D,20170316,000000,0.023103,0.023632,0.021421,0.021998,0,0
OCEAN.V,D,20170317,000000,0.02187,0.029751,0.020129,0.027222,0,0
OCEAN.V,D,20170318,000000,0.027433,0.030469,0.017844,0.018881,0,0
OCEAN.V,D,20170319,000000,0.018938,0.023231,0.016579,0.016579,0,0
OCEAN.V,D,20170320,000000,0.016721,0.02319,0.013241,0.013656,0,0
OCEAN.V,D,20170321,000000,0.013663,0.027283,0.013407,0.027283,0,0
OCEAN.V,D,20170322,000000,0.02687,0.03526,0.026487,0.032809,0,0
OCEAN.V,D,20170323,000000,0.032824,0.044102,0.024353,0.042254,0,0
OCEAN.V,D,20170324,000000,0.041986,0.045421,0.035963,0.035963,0,0
OCEAN.V,D,20170325,000000,0.036446,0.039044,0.031271,0.03836,0,0
OCEAN.V,D,20170326,000000,0.038388,0.042923,0.036278,0.041926,0,0
OCEAN.V,D,20170327,000000,0.041404,0.045988,0.040253,0.045988,0,0
OCEAN.V,D,20170328,000000,0.046137,0.04639,0.040102,0.042999,0,0
OCEAN.V,D,20170329,000000,0.042956,0.044458,0.034936,0.03847,0,0
OCEAN.V,D,20170330,000000,0.038725,0.039087,0.031134,0.037259,0,0
OCEAN.V,D,20170331,000000,0.037024,0.040663,0.033148,0.040397,0,0
OCEAN.V,D,20170401,000000,0.040406,0.04256,0.038698,0.039734,0,0
OCEAN.V,D,20170402,000000,0.039749,0.043756,0.032642,0.043238,0,0
OCEAN.V,D,20170403,000000,0.043551,0.045491,0.041583,0.042505,0,0
OCEAN.V,D,20170404,000000,0.042882,0.045537,0.03653,0.037456,0,0
OCEAN.V,D,20170405,000000,0.037485,0.043825,0.035805,0.043425,0,0
OCEAN.V,D,20170406,000000,0.043202,0.045515,0.041976,0.045024,0,0
OCEAN.V,D,20170407,000000,0.044955,0.045424,0.036769,0.0377,0,0
OCEAN.V,D,20170408,000000,0.03738,0.045951,0.035929,0.0445,0,0
OCEAN.V,D,20170409,000000,0.044226,0.045565,0.043892,0.044551,0,0
OCEAN.V,D,20170410,000000,0.044503,0.044819,0.040287,0.04135,0,0
OCEAN.V,D,20170411,000000,0.04085,0.044358,0.040556,0.043449,0,0
OCEAN.V,D,20170412,000000,0.04269,0.053202,0.042417,0.051106,0,0
OCEAN.V,D,20170413,000000,0.051449,0.054065,0.045291,0.048867,0,0
OCEAN.V,D,20170414,000000,0.048921,0.053845,0.047942,0.053845,0,0
OCEAN.V,D,20170415,000000,0.053557,0.061365,0.052709,0.061015,0,0
OCEAN.V,D,20170416,000000,0.06019,0.076503,0.055671,0.067253,0,0
OCEAN.V,D,20170417,000000,0.067395,0.076573,0.026631,0.067157,0,0
OCEAN.V,D,20170418,000000,0.067291,0.06861,0.043961,0.068254,0,0
OCEAN.V,D,20170419,000000,0.068585,0.072008,0.064788,0.067428,0,0
OCEAN.V,D,20170420,000000,0.067712,0.068082,0.055725,0.058616,0,0
OCEAN.V,D,20170421,000000,0.058918,0.059075,0.053786,0.055783,0,0
OCEAN.V,D,20170422,000000,0.055471,0.056471,0.029782,0.055199,0,0
OCEAN.V,D,20170423,000000,0.054689,0.055006,0.051769,0.053212,0,0
OCEAN.V,D,20170424,000000,0.052955,0.059113,0.023688,0.033626,0,0
OCEAN.V,D,20170425,000000,0.033621,0.060845,0.031885,0.032432,0,0
OCEAN.V,D,20170426,000000,0.032433,0.065152,0.032125,0.064218,0,0
OCEAN.V,D,20170427,000000,0.063946,0.065211,0.053508,0.064647,0,0
OCEAN.V,D,20170428,000000,0.064537,0.068376,0.046658,0.067551,0,0
OCEAN.V,D,20170429,000000,0.067865,0.079189,0.06697,0.078536,0,0
OCEAN.V,D,20170430,000000,0.078534,0.078991,0.072438,0.074928,0,0
OCEAN.V,D,20170501,000000,0.075293,0.078752,0.072213,0.074264,0,0
OCEAN.V,D,20170502,000000,0.074231,0.077884,0.061043,0.061707,0,0
OCEAN.V,D,20170503,000000,0.061877,0.070674,0.037137,0.068413,0,0
OCEAN.V,D,20170504,000000,0.069217,0.077651,0.042431,0.073854,0,0
OCEAN.V,D,20170505,000000,0.073858,0.084631,0.066168,0.067575,0,0
OCEAN.V,D,20170506,000000,0.067577,0.103608,0.067577,0.100486,0,0
OCEAN.V,D,20170507,000000,0.100492,0.107922,0.079241,0.092066,0,0
OCEAN.V,D,20170508,000000,0.092077,0.103673,0.084007,0.101394,0,0
OCEAN.V,D,20170509,000000,0.101397,0.113115,0.074716,0.097502,0,0
OCEAN.V,D,20170510,000000,0.097613,0.112753,0.088695,0.112238,0,0
OCEAN.V,D,20170511,000000,0.11391,0.183344,0.09781,0.12559,0,0
OCEAN.V,D,20170512,000000,0.129384,0.269575,0.117211,0.208018,0,0
OCEAN.V,D,20170513,000000,0.208262,0.408767,0.178776,0.248743,0,0
OCEAN.V,D,20170514,000000,0.246447,0.311261,0.141742,0.152631,0,0
OCEAN.V,D,20170515,000000,0.15249,0.229448,0.096193,0.096525,0,0
OCEAN.V,D,20170516,000000,0.096021,0.20941,0.08987,0.104998,0,0
OCEAN.V,D,20170517,000000,0.104547,0.169186,0.096752,0.133664,0,0
OCEAN.V,D,20170518,000000,0.133525,0.210467,0.089141,0.205315,0,0
OCEAN.V,D,20170519,000000,0.203739,0.247806,0.18147,0.234279,0,0
OCEAN.V,D,20170520,000000,0.234573,0.236678,0.111819,0.142448,0,0
OCEAN.V,D,20170521,000000,0.139615,0.347654,0.139615,0.30768,0,0
OCEAN.V,D,20170522,000000,0.302267,0.308917,0.135611,0.139954,0,0
OCEAN.V,D,20170523,000000,0.141562,0.259522,0.140602,0.248044,0,0
OCEAN.V,D,20170524,000000,0.249563,0.320666,0.158631,0.200244,0,0
OCEAN.V,D,20170525,000000,0.201024,0.275145,0.127867,0.133835,0,0
OCEAN.V,D,20170526,000000,0.129807,0.237592,0.115063,0.221782,0,0
OCEAN.V,D,20170527,000000,0.219154,0.225394,0.07533,0.104868,0,0
OCEAN.V,D,20170528,000000,0.106338,0.174158,0.106338,0.156534,0,0
OCEAN.V,D,20170529,000000,0.157058,0.188545,0.149745,0.17054,0,0
OCEAN.V,D,20170530,000000,0.171115,0.183619,0.116134,0.154255,0,0
OCEAN.V,D,20170531,000000,0.156301,0.163215,0.143543,0.150919,0,0
OCEAN.V,D,20170601,000000,0.150577,0.247042,0.130713,0.200414,0,0
OCEAN.V,D,20170602,000000,0.199926,0.241029,0.182422,0.194893,0,0
OCEAN.V,D,20170603,000000,0.196289,0.219282,0.177455,0.216314,0,0
OCEAN.V,D,20170604,000000,0.213511,0.303246,0.208652,0.27611,0,0
OCEAN.V,D,20170605,000000,0.275854,0.305273,0.242546,0.246424,0,0
OCEAN.V,D,20170606,000000,0.246882,0.262682,0.209428,0.258297,0,0
OCEAN.V,D,20170607,000000,0.260699,0.273285,0.198865,0.203814,0,0
OCEAN.V,D,20170608,000000,0.203422,0.228034,0.202116,0.224317,0,0
OCEAN.V,D,20170609,000000,0.22476,0.234596,0.217079,0.227313,0,0
OCEAN.V,D,20170610,000000,0.227597,0.240305,0.211244,0.215526,0,0
OCEAN.V,D,20170611,000000,0.216024,0.220386,0.167783,0.176455,0,0
OCEAN.V,D,20170612,000000,0.176199,0.185018,0.13115,0.141294,0,0
OCEAN.V,D,20170613,000000,0.141309,0.21431,0.139817,0.201298,0,0
OCEAN.V,D,20170614,000000,0.197919,0.208082,0.160065,0.175441,0,0
OCEAN.V,D,20170615,000000,0.176329,0.191873,0.152847,0.175083,0,0
OCEAN.V,D,20170616,000000,0.175588,0.199485,0.150242,0.195685,0,0
OCEAN.V,D,20170617,000000,0.195777,0.196452,0.119405,0.193021,0,0
OCEAN.V,D,20170618,000000,0.19422,0.196097,0.185883,0.186644,0,0
OCEAN.V,D,20170619,000000,0.186787,0.199404,0.185401,0.19436,0,0
OCEAN.V,D,20170620,000000,0.193851,0.195896,0.155633,0.162156,0,0
OCEAN.V,D,20170621,000000,0.161089,0.197663,0.156402,0.187811,0,0
OCEAN.V,D,20170622,000000,0.189214,0.233168,0.18613,0.218155,0,0
OCEAN.V,D,20170623,000000,0.218767,0.320658,0.217774,0.219092,0,0
OCEAN.V,D,20170624,000000,0.220076,0.234245,0.17757,0.18558,0,0
OCEAN.V,D,20170625,000000,0.186451,0.216515,0.173242,0.188232,0,0
OCEAN.V,D,20170626,000000,0.187394,0.201699,0.117072,0.129383,0,0
OCEAN.V,D,20170627,000000,0.14971,0.200329,0.140005,0.19902,0,0
OCEAN.V,D,20170628,000000,0.199693,0.208834,0.187286,0.204234,0,0
OCEAN.V,D,20170629,000000,0.204806,0.205478,0.187205,0.190018,0,0
OCEAN.V,D,20170630,000000,0.188708,0.234738,0.160517,0.219433,0,0
OCEAN.V,D,20170701,000000,0.219646,0.22552,0.154752,0.161297,0,0
OCEAN.V,D,20170702,000000,0.159871,0.197054,0.147425,0.169939,0,0
OCEAN.V,D,20170703,000000,0.169442,0.206304,0.163502,0.203948,0,0
OCEAN.V,D,20170704,000000,0.203732,0.228888,0.129548,0.228353,0,0
OCEAN.V,D,20170705,000000,0.228799,0.233961,0.215649,0.218097,0,0
OCEAN.V,D,20170706,000000,0.219577,0.222173,0.206906,0.208789,0,0
OCEAN.V,D,20170707,000000,0.207968,0.21253,0.150887,0.171466,0,0
OCEAN.V,D,20170708,000000,0.172163,0.172163,0.14838,0.166573,0,0
OCEAN.V,D,20170709,000000,0.169925,0.179565,0.146719,0.152997,0,0
OCEAN.V,D,20170710,000000,0.152693,0.154344,0.042108,0.042197,0,0
OCEAN.V,D,20170711,000000,0.043396,0.113857,0.035809,0.037816,0,0
OCEAN.V,D,20170712,000000,0.037716,0.049912,0.017854,0.049075,0,0
OCEAN.V,D,20170713,000000,0.049366,0.05235,0.019148,0.044456,0,0
OCEAN.V,D,20170714,000000,0.044376,0.045603,0.03794,0.040548,0,0
OCEAN.V,D,20170715,000000,0.040836,0.040843,0.022374,0.022506,0,0
OCEAN.V,D,20170716,000000,0.022149,0.036576,0.021961,0.034006,0,0
OCEAN.V,D,20170717,000000,0.034147,0.040374,0.034017,0.040009,0,0
OCEAN.V,D,20170718,000000,0.040133,0.047211,0.037522,0.043905,0,0
OCEAN.V,D,20170719,000000,0.043973,0.086418,0.04138,0.083428,0,0
