<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POLY.V,D,20220514,000000,0.213037,0.216909,0.186807,0.20619,2556644.7504911,0
POLY.V,D,20220515,000000,0.206311,0.22241,0.200119,0.220036,1193977.3651153,0
POLY.V,D,20220516,000000,0.221412,0.243807,0.201837,0.215919,4083651.5622918,0
POLY.V,D,20220517,000000,0.216618,0.238813,0.2138,0.230223,2170725.4809078,0
POLY.V,D,20220518,000000,0.230899,0.250399,0.22838,0.240387,2943513.9122346,0
POLY.V,D,20220519,000000,0.239764,0.250074,0.221234,0.244855,1876945.9227547,0
POLY.V,D,20220520,000000,0.246078,0.254071,0.230124,0.238689,960105.31327223,0
POLY.V,D,20220521,000000,0.239512,0.247278,0.231322,0.244382,557848.84060626,0
POLY.V,D,20220522,000000,0.242384,0.262485,0.241685,0.259189,2890807.9861584,0
POLY.V,D,20220523,000000,0.259388,0.266906,0.249026,0.250899,1662098.9575599,0
POLY.V,D,20220524,000000,0.250699,0.251523,0.222133,0.241162,2428219.2332307,0
POLY.V,D,20220525,000000,0.241062,0.244506,0.231445,0.239836,613471.81189089,0
POLY.V,D,20220526,000000,0.240311,0.243632,0.21776,0.230469,1232646.5755764,0
POLY.V,D,20220527,000000,0.230646,0.235764,0.214763,0.221678,1522006.9473294,0
POLY.V,D,20220528,000000,0.221347,0.226798,0.216153,0.220544,1255370.7027447,0
POLY.V,D,20220529,000000,0.220138,0.223667,0.213665,0.223054,1245354.954592,0
POLY.V,D,20220530,000000,0.223052,0.240931,0.222255,0.240032,1168248.1150083,0
POLY.V,D,20220531,000000,0.239632,0.245004,0.234812,0.238409,861349.38389536,0
POLY.V,D,20220601,000000,0.23942,0.26468,0.22947,0.231192,2942905.4183622,0
POLY.V,D,20220602,000000,0.230692,0.279948,0.229993,0.25517,11798818.246486,0
POLY.V,D,20220603,000000,0.25487,0.270356,0.23927,0.245988,1949995.3694943,0
POLY.V,D,20220604,000000,0.246385,0.251456,0.238162,0.248511,7860209.1398277,0
POLY.V,D,20220605,000000,0.248516,0.279362,0.245301,0.260855,16644223.171898,0
POLY.V,D,20220606,000000,0.261654,0.291055,0.260857,0.267375,35340916.25362,0
POLY.V,D,20220607,000000,0.266476,0.334119,0.266473,0.291361,33599059.990149,0
POLY.V,D,20220608,000000,0.291064,0.297371,0.263715,0.267729,13771862.660913,0
POLY.V,D,20220609,000000,0.267226,0.269887,0.251112,0.254786,16793717.191071,0
POLY.V,D,20220610,000000,0.254783,0.25828,0.232644,0.2363,17912317.064067,0
POLY.V,D,20220611,000000,0.236499,0.241039,0.213036,0.217851,4155650.5951283,0
POLY.V,D,20220612,000000,0.217452,0.235129,0.19516,0.210541,7576992.4519542,0
POLY.V,D,20220613,000000,0.210539,0.21094,0.161749,0.176454,118204870.5139,0
POLY.V,D,20220614,000000,0.176355,0.17695,0.148282,0.163104,189920597.99848,0
POLY.V,D,20220615,000000,0.164001,0.178503,0.152525,0.176934,50830445.432657,0
POLY.V,D,20220616,000000,0.1824,0.190471,0.169413,0.177669,3742844.5877238,0
POLY.V,D,20220617,000000,0.169865,0.1831,0.168467,0.1797,82267474.616095,0
POLY.V,D,20220618,000000,0.1802,0.1846,0.156668,0.164733,44140676.854109,0
POLY.V,D,20220619,000000,0.163934,0.185414,0.163932,0.179766,12907801.432807,0
POLY.V,D,20220620,000000,0.179766,0.183879,0.172875,0.180102,4927525.5698268,0
POLY.V,D,20220621,000000,0.180601,0.197242,0.179285,0.19099,13707612.244232,0
POLY.V,D,20220622,000000,0.191109,0.192488,0.182417,0.186413,6976530.4926455,0
POLY.V,D,20220623,000000,0.186613,0.194405,0.186595,0.193906,2980850.0352833,0
POLY.V,D,20220624,000000,0.193706,0.20514,0.193687,0.204139,38711703.5539,0
POLY.V,D,20220625,000000,0.203796,0.206293,0.196666,0.204057,12775090.744852,0
POLY.V,D,20220626,000000,0.204359,0.206158,0.197981,0.201477,16626954.422403,0
POLY.V,D,20220627,000000,0.198411,0.226087,0.194783,0.208117,16002784.805073,0
POLY.V,D,20220628,000000,0.206516,0.227988,0.201348,0.203649,6984414.2831279,0
POLY.V,D,20220629,000000,0.203146,0.203947,0.191234,0.194764,2862895.1223744,0
POLY.V,D,20220630,000000,0.194866,0.195064,0.17168,0.179784,6643902.1391104,0
POLY.V,D,20220701,000000,0.179884,0.245381,0.177687,0.194086,17342343.078806,0
POLY.V,D,20220702,000000,0.194466,0.194686,0.184878,0.188673,6054516.740617,0
POLY.V,D,20220703,000000,0.189173,0.198661,0.183761,0.191051,3439050.5781467,0
POLY.V,D,20220704,000000,0.19175,0.202736,0.184342,0.195765,5223641.5342915,0
POLY.V,D,20220705,000000,0.195465,0.198462,0.187194,0.193667,2080391.3816456,0
POLY.V,D,20220706,000000,0.193087,0.19968,0.190271,0.193886,2640722.4196048,0
POLY.V,D,20220707,000000,0.193886,0.19972,0.191889,0.19918,2031134.5427687,0
POLY.V,D,20220708,000000,0.198881,0.208375,0.197362,0.204777,2537697.9123138,0
POLY.V,D,20220709,000000,0.205477,0.208854,0.202279,0.208075,1990114.9974097,0
POLY.V,D,20220710,000000,0.208175,0.219068,0.202379,0.206976,2444456.9448349,0
POLY.V,D,20220711,000000,0.206076,0.21657,0.195044,0.196104,1717629.0531194,0
POLY.V,D,20220712,000000,0.194905,0.213586,0.188311,0.188311,4729535.211455,0
POLY.V,D,20220713,000000,0.187919,0.195792,0.17952,0.190828,2764502.021669,0
POLY.V,D,20220714,000000,0.191328,0.195624,0.186432,0.193284,1232515.71005,0
POLY.V,D,20220715,000000,0.193984,0.20008,0.192884,0.198241,1164158.8874323,0
POLY.V,D,20220716,000000,0.198041,0.205159,0.196821,0.201639,1574626.0411483,0
POLY.V,D,20220717,000000,0.201648,0.204119,0.196061,0.199048,1170371.7578647,0
POLY.V,D,20220718,000000,0.199046,0.211592,0.196931,0.205453,2308240.0401068,0
POLY.V,D,20220719,000000,0.205751,0.2161,0.203788,0.214826,2171125.375666,0
POLY.V,D,20220720,000000,0.2148,0.24964,0.212094,0.227311,18333907.486227,0
POLY.V,D,20220721,000000,0.227114,0.227532,0.204512,0.218855,5952587.6176676,0
POLY.V,D,20220722,000000,0.218953,0.220053,0.206219,0.208529,2394537.6655078,0
POLY.V,D,20220723,000000,0.209248,0.222331,0.208838,0.210942,2538373.5755507,0
POLY.V,D,20220724,000000,0.211928,0.216635,0.2103,0.212442,985196.63972569,0
POLY.V,D,20220725,000000,0.213243,0.213941,0.199922,0.200818,1023848.9593765,0
POLY.V,D,20220726,000000,0.20112,0.20112,0.19351,0.196229,1688362.7110667,0
POLY.V,D,20220727,000000,0.197028,0.20775,0.195918,0.20735,1062088.364468,0
POLY.V,D,20220728,000000,0.207754,0.21685,0.206535,0.215343,1351767.4031023,0
POLY.V,D,20220729,000000,0.214856,0.217828,0.20855,0.213588,1260050.1912768,0
POLY.V,D,20220730,000000,0.213886,0.233579,0.212975,0.217874,1977520.8703194,0
POLY.V,D,20220731,000000,0.21678,0.228766,0.21346,0.219253,2704877.5834191,0
POLY.V,D,20220801,000000,0.219266,0.237362,0.215675,0.232267,6141807.0975803,0
POLY.V,D,20220802,000000,0.23237,0.235883,0.215765,0.223638,932210.15764915,0
POLY.V,D,20220803,000000,0.224045,0.225061,0.216556,0.22276,567845.51071679,0
POLY.V,D,20220804,000000,0.222962,0.223747,0.21782,0.220707,731395.60236171,0
POLY.V,D,20220805,000000,0.220811,0.228446,0.220307,0.227546,433611.12594658,0
POLY.V,D,20220806,000000,0.227445,0.232049,0.227245,0.231451,1095285.3381629,0
POLY.V,D,20220807,000000,0.230451,0.236257,0.226636,0.231242,1932904.1554896,0
POLY.V,D,20220808,000000,0.230546,0.234645,0.22763,0.230628,681820.31287097,0
POLY.V,D,20220809,000000,0.230625,0.231953,0.216837,0.219446,547162.44097874,0
POLY.V,D,20220810,000000,0.220244,0.236571,0.212847,0.227866,1756816.152091,0
POLY.V,D,20220811,000000,0.228566,0.246203,0.227564,0.23891,4091065.1550086,0
POLY.V,D,20220812,000000,0.24022,0.247424,0.231316,0.242207,4982543.7016534,0
POLY.V,D,20220813,000000,0.242514,0.248229,0.241335,0.242783,728140.88563282,0
POLY.V,D,20220814,000000,0.242595,0.245191,0.236252,0.237274,750097.68302875,0
POLY.V,D,20220815,000000,0.238576,0.265772,0.236057,0.240555,2309198.2845732,0
POLY.V,D,20220816,000000,0.240355,0.241958,0.232353,0.236114,945593.18996736,0
POLY.V,D,20220817,000000,0.235221,0.238221,0.225318,0.225723,408734.1144675,0
POLY.V,D,20220818,000000,0.225918,0.237221,0.2232,0.225807,1057643.3585123,0
POLY.V,D,20220819,000000,0.225823,0.226223,0.194019,0.19812,713836.53463879,0
POLY.V,D,20220820,000000,0.198308,0.204527,0.192502,0.1941,978555.1531643,0
POLY.V,D,20220821,000000,0.1945,0.204582,0.193592,0.200896,1016543.6009231,0
POLY.V,D,20220822,000000,0.200796,0.203002,0.189787,0.194267,777381.80057991,0
POLY.V,D,20220823,000000,0.194169,0.20171,0.191998,0.200802,377416.30180544,0
POLY.V,D,20220824,000000,0.201598,0.204104,0.194286,0.20162,690210.84172617,0
POLY.V,D,20220825,000000,0.202314,0.212689,0.198704,0.206306,973571.62570185,0
POLY.V,D,20220826,000000,0.206406,0.207517,0.192396,0.192513,803294.41048379,0
POLY.V,D,20220827,000000,0.193415,0.198502,0.184406,0.185607,2788333.8860859,0
POLY.V,D,20220828,000000,0.185404,0.194202,0.185404,0.1902,1178246.2284333,0
POLY.V,D,20220829,000000,0.189998,0.190611,0.182182,0.190608,884592.40191652,0
POLY.V,D,20220830,000000,0.190417,0.196502,0.188002,0.192421,413326.85933675,0
POLY.V,D,20220831,000000,0.192915,0.197502,0.191389,0.193904,597717.62826027,0
POLY.V,D,20220901,000000,0.194902,0.194998,0.18608,0.190689,412561.91979495,0
POLY.V,D,20220902,000000,0.19079,0.197898,0.189009,0.190632,842362.99553394,0
POLY.V,D,20220903,000000,0.19043,0.190925,0.1869,0.188519,214254.45730616,0
POLY.V,D,20220904,000000,0.188319,0.190719,0.1875,0.1896,265870.50615945,0
POLY.V,D,20220905,000000,0.1894,0.191,0.1844,0.187719,260855.7945904,0
POLY.V,D,20220906,000000,0.188019,0.191219,0.176282,0.1779,606536.10686267,0
POLY.V,D,20220907,000000,0.177611,0.181627,0.171095,0.18112,1741367.5849201,0
POLY.V,D,20220908,000000,0.181613,0.484973,0.180305,0.362454,122015788.47072,0
POLY.V,D,20220909,000000,0.362351,0.388278,0.255461,0.278395,50240014.091293,0
POLY.V,D,20220910,000000,0.278356,0.348708,0.258114,0.279853,30596512.48711,0
POLY.V,D,20220911,000000,0.279859,0.328108,0.271898,0.287172,21571490.151084,0
POLY.V,D,20220912,000000,0.287272,0.317489,0.260952,0.263053,11717153.806322,0
POLY.V,D,20220913,000000,0.263547,0.266251,0.240514,0.245705,4531123.1661855,0
POLY.V,D,20220914,000000,0.246505,0.26001,0.240902,0.246762,4463190.5248507,0
POLY.V,D,20220915,000000,0.245366,0.270943,0.2417,0.244276,6653673.0526089,0
POLY.V,D,20220916,000000,0.244388,0.244485,0.211558,0.218,8434684.1278853,0
POLY.V,D,20220917,000000,0.2176,0.2274,0.216078,0.219922,4562873.1859323,0
POLY.V,D,20220918,000000,0.2195,0.2361,0.194281,0.1955,11907535.441608,0
POLY.V,D,20220919,000000,0.19538,0.2068,0.1891,0.20002,5973773.1858194,0
POLY.V,D,20220920,000000,0.20064,0.203741,0.19,0.1939,1460421.8889824,0
POLY.V,D,20220921,000000,0.1942,0.230023,0.1915,0.1917,12430512.452252,0
POLY.V,D,20220922,000000,0.191919,0.20032,0.1907,0.1995,2475899.8283663,0
POLY.V,D,20220923,000000,0.1997,0.2089,0.194581,0.2004,2618918.2889379,0
POLY.V,D,20220924,000000,0.200486,0.239405,0.200388,0.22682,22471383.297144,0
POLY.V,D,20220925,000000,0.226823,0.232,0.21,0.21,7734532.3615085,0
POLY.V,D,20220926,000000,0.2105,0.285829,0.2,0.2408,53571050.305263,0
POLY.V,D,20220927,000000,0.2411,0.287371,0.239324,0.253575,27670105.181487,0
POLY.V,D,20220928,000000,0.252775,0.285,0.252775,0.2588,16524329.24253,0
POLY.V,D,20220929,000000,0.2588,0.267,0.241476,0.244624,6740199.1778363,0
POLY.V,D,20220930,000000,0.2446,0.256426,0.236424,0.2376,5793981.9390347,0
POLY.V,D,20221001,000000,0.2368,0.250025,0.2366,0.2412,3360661.0745092,0
POLY.V,D,20221002,000000,0.240524,0.2419,0.2305,0.2326,1116653.6007965,0
POLY.V,D,20221003,000000,0.232223,0.254125,0.2296,0.24755,8667761.3343915,0
POLY.V,D,20221004,000000,0.247525,0.272327,0.247225,0.259978,6718615.668596,0
POLY.V,D,20221005,000000,0.260052,0.265053,0.247325,0.25205,3253029.5365084,0
POLY.V,D,20221006,000000,0.251543,0.278033,0.251535,0.263145,6890188.0157026,0
POLY.V,D,20221007,000000,0.262845,0.274244,0.255213,0.259629,4663741.2965506,0
POLY.V,D,20221008,000000,0.259529,0.267324,0.251818,0.253563,1828731.387023,0
