<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAD.V,D,20220526,000000,3.46019,3.48316,2.36839,2.41159,1723753.0053429524,0
RAD.V,D,20220527,000000,2.40835,2.43732,2.01278,2.12487,272861.433362468,0
RAD.V,D,20220528,000000,2.11559,2.20331,2.05392,2.1016,249570.84140317162,0
RAD.V,D,20220529,000000,2.09648,2.28346,2.06575,2.12666,370823.2104410008,0
RAD.V,D,20220530,000000,2.13163,2.40783,2.11476,2.31438,330294.9561260028,0
RAD.V,D,20220531,000000,2.32214,2.35835,2.23821,2.28317,112089.07572157087,0
RAD.V,D,20220601,000000,2.27627,2.3131,1.99101,2.01698,109392.92588451537,0
RAD.V,D,20220602,000000,2.0022,2.1041,1.96723,2.08512,52303.13615949884,0
RAD.V,D,20220603,000000,2.09012,2.4352,2.03349,2.08718,607562.4499715808,0
RAD.V,D,20220604,000000,2.08319,2.09617,2.01031,2.05544,1190239.2800298661,0
RAD.V,D,20220605,000000,2.05448,2.55365,2.00138,2.13799,2118737.8349866713,0
RAD.V,D,20220606,000000,2.13999,2.47789,2.09207,2.24709,4320452.239194971,0
RAD.V,D,20220607,000000,2.24911,2.49788,2.13918,2.31814,5743399.617248941,0
RAD.V,D,20220608,000000,2.30815,2.42223,2.24436,2.26855,2096240.0784646026,0
RAD.V,D,20220609,000000,2.26852,2.28133,2.17515,2.17817,1313220.0078241786,0
RAD.V,D,20220610,000000,2.17721,2.23243,2.00975,2.06539,1523264.9957606203,0
RAD.V,D,20220611,000000,2.07037,2.18963,1.89084,1.93481,1174763.8757712897,0
RAD.V,D,20220612,000000,1.93681,2.04866,1.70559,1.81976,1306591.6331647702,0
RAD.V,D,20220613,000000,1.80578,1.80578,1.49875,1.55883,6468460.0129901795,0
RAD.V,D,20220614,000000,1.56281,1.7807,1.42994,1.57511,11316317.825465064,0
RAD.V,D,20220615,000000,1.58009,1.71771,1.46835,1.62855,5246870.229255989,0
RAD.V,D,20220616,000000,1.63471,1.65185,1.52916,1.57165,147327.8901619352,0
RAD.V,D,20220617,000000,1.50322,1.63,1.4999,1.54,11035722.004583,0
RAD.V,D,20220618,000000,1.53815,1.55,1.3371,1.41171,8459181.91540626,0
RAD.V,D,20220619,000000,1.41264,1.53715,1.39699,1.50904,1047888.9782870486,0
RAD.V,D,20220620,000000,1.50704,1.56827,1.4591,1.49336,494223.53080789547,0
RAD.V,D,20220621,000000,1.48636,1.60971,1.48322,1.53946,828572.9359114965,0
RAD.V,D,20220622,000000,1.53746,1.55944,1.46953,1.48352,997793.7756614976,0
RAD.V,D,20220623,000000,1.49251,1.80519,1.47452,1.63137,697219.7128192111,0
RAD.V,D,20220624,000000,1.63237,1.67669,1.6014,1.66971,3889426.440609389,0
RAD.V,D,20220625,000000,1.65834,1.7958,1.63037,1.68982,2697843.014783851,0
RAD.V,D,20220626,000000,1.69878,1.96678,1.67796,1.70796,775274.4405438541,0
RAD.V,D,20220627,000000,1.70498,1.7169,1.5975,1.62455,97196.78165355492,0
RAD.V,D,20220628,000000,1.63852,1.93524,1.61467,1.73686,1084357.313597088,0
RAD.V,D,20220629,000000,1.73686,2.51422,1.73294,1.87673,1523366.0624118715,0
RAD.V,D,20220630,000000,1.87575,1.87675,1.6878,1.69097,638597.0479814083,0
RAD.V,D,20220701,000000,1.69097,1.75307,1.62089,1.6382,696982.2464751565,0
RAD.V,D,20220702,000000,1.64119,1.64203,1.54215,1.60307,399774.0456175448,0
RAD.V,D,20220703,000000,1.60407,1.60907,1.538,1.55298,247996.5161433506,0
RAD.V,D,20220704,000000,1.55498,1.65784,1.53101,1.64303,141877.73469031646,0
RAD.V,D,20220705,000000,1.64402,1.66899,1.55629,1.60723,104073.92396146333,0
RAD.V,D,20220706,000000,1.60823,1.71911,1.58326,1.65518,223452.74521054645,0
RAD.V,D,20220707,000000,1.65817,1.76805,1.6322,1.71697,172298.46006080162,0
RAD.V,D,20220708,000000,1.71797,1.76294,1.662,1.69798,112825.5893755379,0
RAD.V,D,20220709,000000,1.69298,1.77893,1.68899,1.74995,99699.42771038509,0
RAD.V,D,20220710,000000,1.74895,1.75495,1.62702,1.72896,316408.889878187,0
RAD.V,D,20220711,000000,1.72896,2.31338,1.69598,1.74243,4378432.619183029,0
RAD.V,D,20220712,000000,1.73943,1.7972,1.62837,1.62837,619830.6233975713,0
RAD.V,D,20220713,000000,1.62844,1.68914,1.51348,1.59057,502955.36803893105,0
RAD.V,D,20220714,000000,1.59057,1.72944,1.57774,1.64501,244053.69765305566,0
RAD.V,D,20220715,000000,1.64901,1.81527,1.62902,1.72148,321744.72428823437,0
RAD.V,D,20220716,000000,1.72748,1.91642,1.6585,1.78864,2079909.9821263906,0
RAD.V,D,20220717,000000,1.79052,1.98156,1.7085,1.72853,573587.3926199982,0
RAD.V,D,20220718,000000,1.72855,1.8478,1.70349,1.77959,171442.0405480209,0
RAD.V,D,20220719,000000,1.78057,1.93914,1.77554,1.8953,309486.9574541474,0
RAD.V,D,20220720,000000,1.894,2.0875,1.83715,1.9631,492605.92447054083,0
RAD.V,D,20220721,000000,1.96624,1.9753,1.77118,1.86658,307244.1474115706,0
RAD.V,D,20220722,000000,1.86147,1.93947,1.77518,1.80627,153110.3525368113,0
