<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBTC.V,D,20220515,000000,29660,31182,29389,31182,0.0037880888640609988,0
RBTC.V,D,20220516,000000,30999,31459,29162,30156,0.005530684343878003,0
RBTC.V,D,20220517,000000,30315,30769,29752,30465,0.09577446063678566,0
RBTC.V,D,20220518,000000,30569,30809,28799,29052,0.03284194390049969,0
RBTC.V,D,20220519,000000,29292,30612,28558,30143,0.003924432232660001,0
RBTC.V,D,20220520,000000,30143,30695,28708,29404,0.007850863715393199,0
RBTC.V,D,20220521,000000,29378,29757,28942,29260,0.0047784303684864984,0
RBTC.V,D,20220522,000000,29198,30424,29160,30157,0.0050190365697701,0
RBTC.V,D,20220523,000000,30157,30770,29120,29120,0.074847167372454,0
RBTC.V,D,20220524,000000,29107,29716,28742,29716,0.007463736640589702,0
RBTC.V,D,20220525,000000,29409,30328,29361,29648,0.005897736984746,0
RBTC.V,D,20220526,000000,29708,29990,28702,29769,0.0271037648685271,0
RBTC.V,D,20220527,000000,29921,29921,28373,28708,0.0041809475566826,0
RBTC.V,D,20220528,000000,28648,29179,28633,28886,0.012760523681457999,0
RBTC.V,D,20220529,000000,29061,29521,28855,29068,0.0054535134589373995,0
RBTC.V,D,20220530,000000,29062,31361,29062,31102,0.0047189674178707,0
RBTC.V,D,20220531,000000,31559,32093,31180,31901,0.0067513993751445,0
RBTC.V,D,20220601,000000,31573,32034,29546,29546,0.010733461409335501,0
RBTC.V,D,20220602,000000,29445,30472,29445,30415,0.004680891460460999,0
RBTC.V,D,20220603,000000,30334,30769,29406,29867,0.006726171166817699,0
RBTC.V,D,20220604,000000,29986,30026,29477,29914,0.07139985042232959,0
RBTC.V,D,20220605,000000,30023,30235,29469,30098,0.06287970294927256,0
RBTC.V,D,20220606,000000,30221,31875,29706,31752,1.1503503287788597,0
RBTC.V,D,20220607,000000,31697,31697,29107,31563,0.4238940153079925,0
RBTC.V,D,20220608,000000,31612,31612,29854,30293,0.13625987187967128,0
RBTC.V,D,20220609,000000,30537,30766,29860,30042,0.0373710913364958,0
RBTC.V,D,20220610,000000,29995,30396,28755,29394,0.3648797755232626,0
RBTC.V,D,20220611,000000,29359,29509,28468,28732,0.03475837130038581,0
RBTC.V,D,20220612,000000,28468,28680,27247,27600,0.041833470961359864,0
RBTC.V,D,20220613,000000,27360,27360,22371,23287,15.87499978472664,0
RBTC.V,D,20220614,000000,22984,22984,21153,21286,8.431008826070384,0
RBTC.V,D,20220615,000000,21676,22406,20037,22405,14.789902907066631,0
RBTC.V,D,20220616,000000,22157,22605,20636,20641,0.4316387808514023,0
RBTC.V,D,20220617,000000,20222,21362,20066,20559,3.632169026368838,0
RBTC.V,D,20220618,000000,20559,20585,17682,18637,34.867601988384955,0
RBTC.V,D,20220619,000000,18591,20377,17988,20377,0.7403826121466575,0
RBTC.V,D,20220620,000000,20296,20794,19779,20426,0.5164754131324771,0
RBTC.V,D,20220621,000000,20372,21673,20302,20925,0.10072465880936292,0
RBTC.V,D,20220622,000000,20853,20880,19694,20043,0.23439477370332598,0
RBTC.V,D,20220623,000000,19929,20911,19864,20697,0.1339527076932721,0
RBTC.V,D,20220624,000000,20603,21378,20603,21236,0.03929118427050029,0
RBTC.V,D,20220625,000000,21430,21562,20810,21431,0.2438922855967427,0
RBTC.V,D,20220626,000000,21434,21918,21147,21280,1.0363780859859448,0
RBTC.V,D,20220627,000000,21092,21508,20655,20742,0.004809531466107002,0
RBTC.V,D,20220628,000000,20742,21228,20201,20451,0.13772138010549745,0
RBTC.V,D,20220629,000000,20392,20414,19861,20137,0.37335874380797474,0
RBTC.V,D,20220630,000000,20344,20344,18678,18946,1.281810614902533,0
RBTC.V,D,20220701,000000,18965,20548,18872,19400,0.4825154521591819,0
RBTC.V,D,20220702,000000,19331,19479,18994,19285,0.37594956386071865,0
RBTC.V,D,20220703,000000,19284,19614,18884,19234,0.25497551587756184,0
RBTC.V,D,20220704,000000,19370,19958,19032,19821,0.006329298089929003,0
RBTC.V,D,20220705,000000,19955,20731,19291,20399,0.08953858453112004,0
RBTC.V,D,20220706,000000,20333,20458,19765,20424,0.15497515463488107,0
RBTC.V,D,20220707,000000,20538,21620,20227,21583,0.014019944314543998,0
RBTC.V,D,20220708,000000,21700,22282,21280,21978,0.008496814699999999,0
RBTC.V,D,20220709,000000,21786,21882,21387,21782,0.006331171459999998,0
RBTC.V,D,20220710,000000,21668,21716,20700,20986,0.010671607928598597,0
RBTC.V,D,20220711,000000,20873,20911,20295,20295,0.009045983015637003,0
RBTC.V,D,20220712,000000,20048,20084,19296,19457,0.007199242759832003,0
RBTC.V,D,20220713,000000,19390,19933,19089,19933,0.004473023104596001,0
RBTC.V,D,20220714,000000,19803,20848,19658,20489,0.007401625317359006,0
RBTC.V,D,20220715,000000,20698,21200,20387,20988,0.009138609221684003,0
RBTC.V,D,20220716,000000,20887,21530,20453,21350,0.005487832871324999,0
RBTC.V,D,20220717,000000,21176,21649,20836,21033,0.005140319080226,0
RBTC.V,D,20220718,000000,20952,22610,20694,21622,0.16622162162987597,0
RBTC.V,D,20220719,000000,21555,23625,21555,23624,0.009874939209490995,0
RBTC.V,D,20220720,000000,23449,24243,22940,23684,0.007322759572060997,0
RBTC.V,D,20220721,000000,23545,23592,22524,23065,0.005365743218893,0
RBTC.V,D,20220722,000000,23270,23737,22513,22691,0.00950725189426,0
RBTC.V,D,20220723,000000,22828,22889,22011,22296,0.031363422142720004,0
RBTC.V,D,20220724,000000,22320,22915,22212,22862,0.0057935458300549985,0
RBTC.V,D,20220725,000000,22706,22876,21563,22069,0.004476581667583001,0
RBTC.V,D,20220726,000000,21952,22067,20672,20978,0.010484702405201402,0
RBTC.V,D,20220727,000000,21047,22921,20979,22731,0.006049190635798598,0
RBTC.V,D,20220728,000000,22714,24210,22667,23928,0.0505373366081506,0
RBTC.V,D,20220729,000000,23930,24165,23414,23894,0.008026012649374,0
RBTC.V,D,20220730,000000,23707,24647,23659,23979,0.006770138414074999,0
RBTC.V,D,20220731,000000,23645,24161,23485,23535,0.004789498677326602,0
RBTC.V,D,20220801,000000,23509,23509,22853,23104,0.009740718810688002,0
RBTC.V,D,20220802,000000,23055,23474,22629,22932,0.005189543601187999,0
RBTC.V,D,20220803,000000,23160,23601,22635,23218,0.006731207261657003,0
RBTC.V,D,20220804,000000,23204,23261,22421,22564,0.005797577477888,0
RBTC.V,D,20220805,000000,22420,23352,22420,23128,0.006081825124389102,0
RBTC.V,D,20220806,000000,23221,23351,23041,23255,0.0051062984083522995,0
RBTC.V,D,20220807,000000,23082,23349,22831,23243,0.005153309769606701,0
