<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REEF.V,D,20220514,000000,0.00464163,0.00465208,0.00464163,0.00464163,1105824.1894358,0
REEF.V,D,20220515,000000,0.00438385,0.00470435,0.00433349,0.00470435,591451521.35429,0
REEF.V,D,20220516,000000,0.00471434,0.00484418,0.00432394,0.00456406,566233237.09285,0
REEF.V,D,20220517,000000,0.00457405,0.00480423,0.0044238,0.00478377,510592166.40661,0
REEF.V,D,20220518,000000,0.00478377,0.00489412,0.00424448,0.00431438,508074816.31031,0
REEF.V,D,20220519,000000,0.00431438,0.00468578,0.00402476,0.00454591,623564435.25556,0
REEF.V,D,20220520,000000,0.0045559,0.00473479,0.00419454,0.00434478,606396178.97551,0
REEF.V,D,20220521,000000,0.00434478,0.00456406,0.00419496,0.00433436,416171272.01917,0
REEF.V,D,20220522,000000,0.00433436,0.00466393,0.00432394,0.00448416,525110347.13438,0
REEF.V,D,20220523,000000,0.00447462,0.00470482,0.00431482,0.0044147,825211170.13133,0
REEF.V,D,20220524,000000,0.00440471,0.00440471,0.00404514,0.00434434,714011804.90408,0
REEF.V,D,20220525,000000,0.0043539,0.00444466,0.00421494,0.00430526,431421707.38625,0
REEF.V,D,20220526,000000,0.00431482,0.00437518,0.00373551,0.00394605,542498145.84924,0
REEF.V,D,20220527,000000,0.00395604,0.00400599,0.003636,0.00373589,518231830.33428,0
REEF.V,D,20220528,000000,0.00371572,0.00389571,0.0036754,0.00383551,299208299.76196,0
REEF.V,D,20220529,000000,0.00383543,0.00398581,0.00375571,0.00397562,877313061.19754,0
REEF.V,D,20220530,000000,0.00398557,0.00446687,0.00396571,0.00439648,709446303.12792,0
REEF.V,D,20220531,000000,0.00440691,0.00453637,0.00420663,0.0043765,478236812.45973,0
REEF.V,D,20220601,000000,0.00436659,0.00479616,0.00412546,0.00417624,922555314.27017,0
REEF.V,D,20220602,000000,0.0041864,0.00440603,0.00411629,0.00440603,538319506.54899,0
REEF.V,D,20220603,000000,0.00440603,0.00454563,0.00415667,0.00444613,484419967.21698,0
REEF.V,D,20220604,000000,0.00444613,0.00446611,0.00420558,0.00434669,780946423.79134,0
REEF.V,D,20220605,000000,0.00434669,0.00445599,0.00426654,0.00441589,765729559.4368,0
REEF.V,D,20220606,000000,0.00442588,0.00464623,0.00434635,0.00443627,1707368436.6031,0
REEF.V,D,20220607,000000,0.00443623,0.00446625,0.00410655,0.00442641,2656048470.8649,0
REEF.V,D,20220608,000000,0.00443631,0.0044766,0.00421726,0.00428721,4287994933.1011,0
REEF.V,D,20220609,000000,0.00429725,0.00436642,0.00413669,0.00419647,3274194358.6054,0
REEF.V,D,20220610,000000,0.00420642,0.00420663,0.00392627,0.00402488,1736175816.9229,0
REEF.V,D,20220611,000000,0.00403483,0.00407563,0.00356557,0.00371572,242124315.56184,0
REEF.V,D,20220612,000000,0.00370577,0.00374576,0.00335523,0.00358558,304501245.22488,0
REEF.V,D,20220613,000000,0.00356561,0.00357563,0.00305091,0.00318557,3678925015.3446,0
REEF.V,D,20220614,000000,0.00318557,0.00335573,0.00295556,0.00319616,4734927421.4404,0
REEF.V,D,20220615,000000,0.00319622,0.00397403,0.00303453,0.00390414,3791998239.4012,0
REEF.V,D,20220616,000000,0.00395,0.003985,0.003275,0.003385,648946762.59054,0
REEF.V,D,20220617,000000,0.00329541,0.0035,0.00324545,0.00338593,649052027.52665,0
REEF.V,D,20220618,000000,0.00337594,0.00343594,0.00297559,0.00308499,1793579032.0839,0
REEF.V,D,20220619,000000,0.00308499,0.00338593,0.00302549,0.00329571,1442867205.7643,0
REEF.V,D,20220620,000000,0.00332,0.00345619,0.00316,0.00331635,351119717.2381,0
REEF.V,D,20220621,000000,0.00329637,0.00386574,0.00327639,0.00353611,735176367.05761,0
REEF.V,D,20220622,000000,0.00354645,0.00361638,0.00333666,0.00343622,268987499.75068,0
REEF.V,D,20220623,000000,0.00343656,0.00360639,0.00338627,0.00351648,227123516.95494,0
REEF.V,D,20220624,000000,0.00352647,0.00382701,0.00352647,0.00377701,608067648.27125,0
REEF.V,D,20220625,000000,0.00378621,0.00387728,0.00360751,0.0038573,345397523.64345,0
REEF.V,D,20220626,000000,0.0038573,0.00407718,0.00370777,0.00382766,329484985.45914,0
REEF.V,D,20220627,000000,0.00384761,0.00385772,0.00364774,0.00371669,187768285.8137,0
REEF.V,D,20220628,000000,0.00371673,0.00376657,0.00356686,0.00360556,176237538.78221,0
REEF.V,D,20220629,000000,0.00361551,0.00361558,0.00337527,0.00344583,269121897.79445,0
REEF.V,D,20220630,000000,0.00344586,0.00347582,0.00316588,0.0032461,839928472.50774,0
REEF.V,D,20220701,000000,0.00325609,0.00343622,0.00321,0.003305,236427573.84357,0
REEF.V,D,20220702,000000,0.00330603,0.00335597,0.00321614,0.00334598,171157024.22518,0
REEF.V,D,20220703,000000,0.00335597,0.00339558,0.00326575,0.003345,138925970.23621,0
REEF.V,D,20220705,000000,0.00334598,0.00348616,0.00328638,0.00343622,113660132.16887,0
REEF.V,D,20220706,000000,0.00343622,0.00347617,0.00333633,0.0034462,160970358.71563,0
REEF.V,D,20220707,000000,0.00343622,0.00365744,0.00341624,0.00359784,164046975.69927,0
REEF.V,D,20220708,000000,0.00359784,0.00377698,0.00348791,0.00354787,168448126.13162,0
REEF.V,D,20220709,000000,0.00354787,0.0036678,0.00351754,0.00362782,65468148.367366,0
REEF.V,D,20220710,000000,0.00363782,0.00363782,0.00341761,0.0034979,86318112.071993,0
REEF.V,D,20220711,000000,0.00348791,0.00348791,0.00327705,0.00327705,91722389.174371,0
REEF.V,D,20220712,000000,0.00328704,0.00328704,0.00314654,0.00317682,123824937.75605,0
REEF.V,D,20220713,000000,0.00316696,0.0032967,0.00309659,0.00324707,344950254.75913,0
REEF.V,D,20220714,000000,0.00325707,0.00349685,0.00325707,0.00342794,439391326.89749,0
REEF.V,D,20220715,000000,0.00342794,0.00365817,0.00341761,0.00357893,407731591.17278,0
REEF.V,D,20220716,000000,0.00358892,0.00369926,0.00345896,0.00361928,235803476.6208,0
REEF.V,D,20220717,000000,0.00361906,0.00373918,0.00354904,0.00360903,237376008.45395,0
REEF.V,D,20220718,000000,0.00360903,0.00386992,0.00352894,0.00370915,511242305.35193,0
REEF.V,D,20220719,000000,0.00371914,0.00404065,0.00369967,0.0040206,824787747.89131,0
REEF.V,D,20220720,000000,0.00402,0.00456018,0.00399,0.00418021,2032604965.8113,0
