<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RENBTC.V,D,20220111,000000,41763.4,42770.36,41763.4,42700.83,0.00000010988022,0
RENBTC.V,D,20220112,000000,42695.76,43808.47,42669.87,43808.47,0.007672250396531,0
RENBTC.V,D,20220113,000000,43757.91,43757.91,43757.91,43757.91,0.00000013738017,0
RENBTC.V,D,20220114,000000,42252.96,43311.17,42252.96,43305.66,0.019194743232448,0
RENBTC.V,D,20220115,000000,43240.46,44744.88,42579.27,43753.26,1.3452311222071,0
RENBTC.V,D,20220116,000000,43748.87,44100.11,42362.78,43066.79,0.083566846885836,0
RENBTC.V,D,20220117,000000,43164.58,43310.67,41652.7,42206.02,0.075773213780548,0
RENBTC.V,D,20220118,000000,42084.94,42660.85,41385.41,42501.73,0.081381773906785,0
RENBTC.V,D,20220119,000000,42621.87,42658.7,41265.93,41964.16,0.092771109580608,0
RENBTC.V,D,20220120,000000,42003.7,43450.84,41097.01,41097.01,0.061786365304437,0
RENBTC.V,D,20220121,000000,41020.2,41042.79,36301.69,36301.69,0.22162693444846,0
RENBTC.V,D,20220122,000000,36305.32,36694.77,34198.37,34584.73,0.050996424750803,0
RENBTC.V,D,20220123,000000,34598.3,35589.66,34266.37,34956.13,0.10265804828896,0
RENBTC.V,D,20220124,000000,34937.05,37001.58,33109.36,36302.79,0.22980164447348,0
RENBTC.V,D,20220125,000000,36391.34,37339.8,35746.75,36647.48,0.12576523403647,0
RENBTC.V,D,20220126,000000,36786.84,38796.12,36342.26,36375.68,0.089253818889832,0
RENBTC.V,D,20220127,000000,36542.71,36989.72,35635.08,36534.76,0.11574282019873,0
RENBTC.V,D,20220128,000000,36810.09,37982.88,36209.45,37836.07,0.09057508881346,0
RENBTC.V,D,20220129,000000,37748.07,38600.24,37346.72,38086.07,0.069591491568877,0
RENBTC.V,D,20220130,000000,38035.74,38314.08,37483.4,37796.9,0.083377082184422,0
RENBTC.V,D,20220131,000000,37980.52,38678.65,36706.43,38586.4,0.28658956839774,0
RENBTC.V,D,20220201,000000,38440.65,39028.47,38112.22,38757.06,0.37483724242978,0
RENBTC.V,D,20220202,000000,38681.02,38881.76,36769.61,37091.08,0.052874583706048,0
RENBTC.V,D,20220203,000000,37069.09,37083.81,36303.55,36848.25,0.27869160562228,0
RENBTC.V,D,20220204,000000,36883.5,40859.74,36883.5,40657.49,0.098576877214199,0
