<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REV.V,D,20210929,000000,0.01478,0.01495,0.01478,0.01495,0,0
REV.V,D,20210930,000000,0.01495,0.01578,0.01446,0.01446,0,0
REV.V,D,20211001,000000,0.01446,0.02408,0.01446,0.0183,0,0
REV.V,D,20211002,000000,0.0183,0.02002,0.01668,0.01907,0,0
REV.V,D,20211003,000000,0.01907,0.02074,0.01785,0.02074,0,0
REV.V,D,20211004,000000,0.02074,0.02119,0.01528,0.01725,0,0
REV.V,D,20211005,000000,0.01725,0.02163,0.01725,0.01854,0,0
REV.V,D,20211006,000000,0.01854,0.01992,0.01716,0.01771,0,0
REV.V,D,20211007,000000,0.01771,0.02044,0.01614,0.01829,0,0
REV.V,D,20211008,000000,0.01829,0.01888,0.01672,0.01672,0,0
REV.V,D,20211009,000000,0.01672,0.01759,0.01672,0.01759,0,0
REV.V,D,20211010,000000,0.01759,0.02079,0.01586,0.01641,0,0
REV.V,D,20211011,000000,0.01641,0.01725,0.0161,0.0161,0,0
REV.V,D,20211012,000000,0.0161,0.0196,0.01512,0.01848,0,0
REV.V,D,20211013,000000,0.01848,0.02065,0.01721,0.01778,0,0
REV.V,D,20211014,000000,0.01778,0.0218,0.01663,0.0195,0,0
REV.V,D,20211015,000000,0.0195,0.02221,0.01912,0.02221,0,0
REV.V,D,20211016,000000,0.02221,0.02313,0.01765,0.01826,0,0
REV.V,D,20211017,000000,0.01826,0.01846,0.01784,0.01846,0,0
REV.V,D,20211018,000000,0.01846,0.01985,0.01675,0.01799,0,0
REV.V,D,20211019,000000,0.01799,0.01929,0.01736,0.018,0,0
REV.V,D,20211020,000000,0.018,0.01981,0.01717,0.01981,0,0
REV.V,D,20211021,000000,0.01981,0.01981,0.01682,0.01744,0,0
REV.V,D,20211022,000000,0.01744,0.0176,0.01699,0.0176,0,0
REV.V,D,20211023,000000,0.0176,0.01778,0.01655,0.01717,0,0
REV.V,D,20211024,000000,0.01717,0.01765,0.01582,0.01582,0,0
REV.V,D,20211025,000000,0.01582,0.01893,0.01577,0.01703,0,0
REV.V,D,20211026,000000,0.01703,0.01809,0.01508,0.01689,0,0
REV.V,D,20211027,000000,0.01689,0.01689,0.01286,0.01403,0,0
REV.V,D,20211028,000000,0.01403,0.01636,0.01333,0.01636,0,0
REV.V,D,20211029,000000,0.01636,0.02491,0.01432,0.01557,0,0
REV.V,D,20211030,000000,0.01557,0.01733,0.01362,0.01485,0,0
REV.V,D,20211031,000000,0.01485,0.01534,0.0135,0.01411,0,0
REV.V,D,20211101,000000,0.01411,0.01646,0.01341,0.01524,0,0
REV.V,D,20211102,000000,0.01524,0.01771,0.01455,0.01582,0,0
REV.V,D,20211103,000000,0.01582,0.01582,0.0151,0.01573,0,0
REV.V,D,20211104,000000,0.01573,0.01966,0.01536,0.01659,0,0
REV.V,D,20211105,000000,0.01659,0.01659,0.01464,0.01525,0,0
REV.V,D,20211106,000000,0.01525,0.016,0.01477,0.016,0,0
REV.V,D,20211107,000000,0.016,0.01646,0.01456,0.01519,0,0
REV.V,D,20211108,000000,0.01519,0.01689,0.01486,0.01486,0,0
REV.V,D,20211109,000000,0.01486,0.01607,0.01473,0.01607,0,0
REV.V,D,20211110,000000,0.01607,0.01607,0.01363,0.01493,0,0
REV.V,D,20211111,000000,0.01493,0.01621,0.01491,0.01491,0,0
REV.V,D,20211112,000000,0.01491,0.0154,0.01411,0.01476,0,0
REV.V,D,20211113,000000,0.01476,0.01546,0.01417,0.01481,0,0
REV.V,D,20211114,000000,0.01481,0.01572,0.01481,0.01572,0,0
REV.V,D,20211115,000000,0.01572,0.01654,0.014,0.01463,0,0
REV.V,D,20211116,000000,0.01463,0.01563,0.01383,0.01503,0,0
REV.V,D,20211117,000000,0.01503,0.01509,0.01388,0.01509,0,0
REV.V,D,20211118,000000,0.01509,0.01509,0.01252,0.01252,0,0
REV.V,D,20211119,000000,0.01252,0.01512,0.01252,0.01512,0,0
REV.V,D,20211120,000000,0.01512,0.01554,0.01315,0.01375,0,0
REV.V,D,20211121,000000,0.01375,0.01409,0.01233,0.0135,0,0
