<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RLY.V,D,20220216,000000,0.40054,0.413289,0.358615,0.372723,12902849.984764,0
RLY.V,D,20220217,000000,0.374725,0.38343,0.294176,0.309617,11556569.94823,0
RLY.V,D,20220218,000000,0.311018,0.313419,0.278067,0.278267,3895130.9058598,0
RLY.V,D,20220219,000000,0.279067,0.285371,0.262031,0.276466,3546560.7667937,0
RLY.V,D,20220220,000000,0.276166,0.276666,0.2444,0.247,915515.42864805,0
RLY.V,D,20220221,000000,0.2483,0.2613,0.2313,0.2317,2562277.8666756,0
RLY.V,D,20220222,000000,0.233317,0.245098,0.223389,0.2314,1430063.3705798,0
RLY.V,D,20220223,000000,0.232,0.2446,0.2259,0.2305,945882.10565471,0
RLY.V,D,20220224,000000,0.2306,0.2311,0.1984,0.2141,2827117.7305301,0
RLY.V,D,20220225,000000,0.213085,0.222089,0.209705,0.22051,1063207.5207004,0
RLY.V,D,20220226,000000,0.22091,0.244422,0.2189,0.236318,3647299.5294695,0
RLY.V,D,20220227,000000,0.236018,0.237095,0.214607,0.216186,1609425.3306307,0
RLY.V,D,20220228,000000,0.215086,0.233817,0.210184,0.232716,850249.81599412,0
RLY.V,D,20220301,000000,0.2312,0.233217,0.217687,0.223467,1909075.8094456,0
RLY.V,D,20220302,000000,0.223767,0.247249,0.217065,0.222344,4191319.6922645,0
RLY.V,D,20220303,000000,0.223067,0.23427,0.213364,0.219144,3160852.0210129,0
RLY.V,D,20220304,000000,0.217565,0.219466,0.20054,0.20086,850317.41405919,0
RLY.V,D,20220305,000000,0.2013,0.2059,0.1986,0.2044,476658.69446101,0
RLY.V,D,20220306,000000,0.2044,0.2086,0.1978,0.2011,1118587.1776366,0
RLY.V,D,20220307,000000,0.2006,0.2008,0.187,0.1915,976876.18780099,0
RLY.V,D,20220308,000000,0.1914,0.1968,0.1875,0.1885,767105.67752614,0
RLY.V,D,20220309,000000,0.1885,0.2044,0.1885,0.1958,1706845.1245013,0
RLY.V,D,20220310,000000,0.195939,0.19702,0.1848,0.1875,853525.86766739,0
RLY.V,D,20220311,000000,0.1876,0.1895,0.1802,0.1823,922125.99417573,0
RLY.V,D,20220312,000000,0.1823,0.1837,0.1797,0.18,567037.27612288,0
RLY.V,D,20220313,000000,0.1807,0.1824,0.174,0.174,798950.11093934,0
RLY.V,D,20220314,000000,0.175835,0.181536,0.172417,0.181436,2139188.1023891,0
RLY.V,D,20220315,000000,0.180736,0.181236,0.172134,0.1775,887493.65458385,0
RLY.V,D,20220316,000000,0.1773,0.1824,0.173935,0.180054,578723.14640999,0
RLY.V,D,20220317,000000,0.1813,0.2027,0.1787,0.1909,4000373.7172448,0
RLY.V,D,20220318,000000,0.1911,0.1995,0.1851,0.1979,2621798.4481993,0
RLY.V,D,20220319,000000,0.198,0.2025,0.1942,0.1992,3108894.9105181,0
RLY.V,D,20220320,000000,0.1989,0.1998,0.1895,0.1925,721815.25230427,0
RLY.V,D,20220321,000000,0.1933,0.2,0.1908,0.1956,999765.17016557,0
RLY.V,D,20220322,000000,0.1954,0.2082,0.1943,0.2039,1092978.4544086,0
RLY.V,D,20220323,000000,0.205,0.2103,0.2013,0.2069,2143105.6637349,0
RLY.V,D,20220324,000000,0.2072,0.2144,0.206,0.2137,1119559.8400869,0
RLY.V,D,20220325,000000,0.214,0.2164,0.2078,0.208,979064.76016132,0
