<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAND.V,D,20200820,000000,0.05235,0.05739,0.05205,0.05353,0,0
SAND.V,D,20200821,000000,0.05353,0.05387,0.04401,0.04423,0,0
SAND.V,D,20200822,000000,0.04423,0.04915,0.04024,0.04602,0,0
SAND.V,D,20200823,000000,0.04602,0.04837,0.04183,0.04365,0,0
SAND.V,D,20200824,000000,0.04365,0.0538,0.0421,0.05079,0,0
SAND.V,D,20200825,000000,0.05079,0.05681,0.04504,0.04805,0,0
SAND.V,D,20200826,000000,0.04805,0.05875,0.04695,0.05863,0,0
SAND.V,D,20200827,000000,0.05863,0.07561,0.05423,0.07402,0,0
SAND.V,D,20200828,000000,0.07402,0.08258,0.06857,0.07005,0,0
SAND.V,D,20200829,000000,0.07005,0.07457,0.06518,0.07275,0,0
SAND.V,D,20200830,000000,0.07275,0.07387,0.06466,0.06672,0,0
SAND.V,D,20200831,000000,0.06672,0.07855,0.06672,0.07007,0,0
SAND.V,D,20200901,000000,0.07007,0.07097,0.05936,0.05986,0,0
SAND.V,D,20200902,000000,0.05986,0.06086,0.05096,0.05836,0,0
SAND.V,D,20200903,000000,0.05836,0.05962,0.04351,0.04408,0,0
SAND.V,D,20200904,000000,0.04408,0.04757,0.03812,0.04496,0,0
SAND.V,D,20200905,000000,0.04496,0.04709,0.03508,0.03761,0,0
SAND.V,D,20200906,000000,0.03761,0.0427,0.03329,0.04099,0,0
SAND.V,D,20200907,000000,0.04099,0.04123,0.03354,0.039,0,0
SAND.V,D,20200908,000000,0.039,0.05851,0.03694,0.04965,0,0
SAND.V,D,20200909,000000,0.04965,0.05686,0.04625,0.04826,0,0
SAND.V,D,20200910,000000,0.04826,0.05358,0.04705,0.04954,0,0
SAND.V,D,20200911,000000,0.04954,0.05505,0.04636,0.05156,0,0
SAND.V,D,20200912,000000,0.05156,0.05156,0.0473,0.04942,0,0
SAND.V,D,20200913,000000,0.04942,0.0499,0.0416,0.04352,0,0
SAND.V,D,20200914,000000,0.04352,0.04775,0.04118,0.04638,0,0
SAND.V,D,20200915,000000,0.04638,0.05098,0.04212,0.04222,0,0
SAND.V,D,20200916,000000,0.04222,0.05076,0.04046,0.04419,0,0
SAND.V,D,20200917,000000,0.04419,0.04681,0.04249,0.04387,0,0
SAND.V,D,20200918,000000,0.04387,0.04725,0.04299,0.04398,0,0
SAND.V,D,20200919,000000,0.04398,0.04866,0.04247,0.0471,0,0
SAND.V,D,20200920,000000,0.0471,0.04817,0.04228,0.04299,0,0
SAND.V,D,20200921,000000,0.04299,0.04471,0.03653,0.03846,0,0
SAND.V,D,20200922,000000,0.03846,0.04479,0.03638,0.04394,0,0
SAND.V,D,20200923,000000,0.04394,0.04957,0.0412,0.04276,0,0
SAND.V,D,20200924,000000,0.04276,0.05103,0.04242,0.04785,0,0
SAND.V,D,20200925,000000,0.04785,0.05,0.04565,0.04847,0,0
SAND.V,D,20200926,000000,0.04847,0.04904,0.04544,0.0466,0,0
SAND.V,D,20200927,000000,0.0466,0.04661,0.0412,0.04332,0,0
SAND.V,D,20200928,000000,0.04332,0.04574,0.04081,0.04167,0,0
SAND.V,D,20200929,000000,0.04167,0.04399,0.04136,0.04363,0,0
SAND.V,D,20200930,000000,0.04363,0.04809,0.04216,0.04618,0,0
SAND.V,D,20201001,000000,0.04618,0.04685,0.04127,0.04248,0,0
SAND.V,D,20201002,000000,0.04248,0.04341,0.03885,0.04097,0,0
SAND.V,D,20201003,000000,0.04097,0.04726,0.04089,0.04533,0,0
SAND.V,D,20201004,000000,0.04533,0.0489,0.04229,0.04862,0,0
SAND.V,D,20201005,000000,0.04862,0.05456,0.04717,0.05072,0,0
SAND.V,D,20201006,000000,0.05072,0.05096,0.04577,0.04639,0,0
SAND.V,D,20201007,000000,0.04639,0.04683,0.04257,0.04541,0,0
SAND.V,D,20201008,000000,0.04541,0.04808,0.04309,0.04779,0,0
SAND.V,D,20201009,000000,0.04779,0.05046,0.04596,0.04972,0,0
SAND.V,D,20201010,000000,0.04972,0.05155,0.0453,0.04584,0,0
SAND.V,D,20201011,000000,0.04584,0.0497,0.04525,0.04894,0,0
SAND.V,D,20201012,000000,0.04894,0.05057,0.04648,0.04738,0,0
SAND.V,D,20201013,000000,0.04738,0.04929,0.04547,0.04641,0,0
SAND.V,D,20201014,000000,0.04641,0.04711,0.04504,0.04602,0,0
SAND.V,D,20201015,000000,0.04602,0.04625,0.04411,0.04497,0,0
SAND.V,D,20201016,000000,0.04497,0.04507,0.04083,0.04357,0,0
SAND.V,D,20201017,000000,0.04357,0.0443,0.04264,0.04315,0,0
SAND.V,D,20201018,000000,0.04315,0.04358,0.04221,0.04252,0,0
SAND.V,D,20201019,000000,0.04252,0.04391,0.04055,0.04064,0,0
SAND.V,D,20201020,000000,0.04064,0.04183,0.03808,0.03892,0,0
SAND.V,D,20201021,000000,0.03892,0.03965,0.03659,0.03841,0,0
SAND.V,D,20201022,000000,0.03841,0.04169,0.0383,0.03997,0,0
SAND.V,D,20201023,000000,0.03997,0.04303,0.03879,0.03999,0,0
SAND.V,D,20201024,000000,0.03999,0.04232,0.0399,0.0406,0,0
SAND.V,D,20201025,000000,0.0406,0.04097,0.03838,0.03935,0,0
SAND.V,D,20201026,000000,0.03935,0.0415,0.03739,0.03788,0,0
SAND.V,D,20201027,000000,0.03788,0.03905,0.03758,0.03794,0,0
SAND.V,D,20201028,000000,0.03794,0.03843,0.03428,0.03531,0,0
SAND.V,D,20201029,000000,0.03531,0.03926,0.03311,0.03747,0,0
SAND.V,D,20201030,000000,0.03747,0.03895,0.03407,0.03574,0,0
SAND.V,D,20201031,000000,0.03574,0.03685,0.03465,0.03546,0,0
SAND.V,D,20201101,000000,0.03546,0.03624,0.03472,0.03554,0,0
