<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKL.V,D,20220331,000000,0.289658,0.295989,0.243249,0.246949,166233093.10803,0
SKL.V,D,20220401,000000,0.246874,0.297519,0.235647,0.289787,384771730.27953,0
SKL.V,D,20220402,000000,0.290116,0.313725,0.264979,0.277011,224073141.69739,0
SKL.V,D,20220403,000000,0.277011,0.288515,0.257803,0.265806,62616891.982759,0
SKL.V,D,20220404,000000,0.266006,0.280484,0.246674,0.262579,72631229.443896,0
SKL.V,D,20220405,000000,0.262853,0.283085,0.24935,0.255951,120405994.50479,0
SKL.V,D,20220406,000000,0.255926,0.258552,0.2104,0.215422,51337714.48425,0
SKL.V,D,20220407,000000,0.2154,0.226723,0.2043,0.217222,38426598.899179,0
SKL.V,D,20220408,000000,0.217122,0.223322,0.197759,0.198379,37125409.932188,0
SKL.V,D,20220409,000000,0.198679,0.203061,0.192558,0.19996,33114878.146016,0
SKL.V,D,20220410,000000,0.20024,0.216565,0.196039,0.208563,36338495.249063,0
SKL.V,D,20220411,000000,0.208042,0.211121,0.172252,0.172652,41460175.644366,0
SKL.V,D,20220412,000000,0.172952,0.203241,0.170951,0.188156,54405509.022161,0
SKL.V,D,20220413,000000,0.187856,0.207683,0.182855,0.195559,59362749.37954,0
SKL.V,D,20220414,000000,0.195759,0.208763,0.189257,0.19742,90631429.751265,0
SKL.V,D,20220415,000000,0.19762,0.206141,0.191519,0.193239,33986065.414634,0
SKL.V,D,20220416,000000,0.193039,0.195639,0.184618,0.188938,8798439.7707959,0
SKL.V,D,20220417,000000,0.188938,0.194139,0.186137,0.186837,10166584.195487,0
SKL.V,D,20220418,000000,0.187037,0.187856,0.171734,0.186556,28511239.663694,0
SKL.V,D,20220419,000000,0.186556,0.204741,0.185337,0.20114,36306236.581013,0
SKL.V,D,20220420,000000,0.20114,0.209842,0.195439,0.20004,40017876.917554,0
SKL.V,D,20220421,000000,0.19974,0.214943,0.188319,0.188338,42811854.778477,0
SKL.V,D,20220422,000000,0.188219,0.193439,0.183618,0.186819,19642278.033945,0
SKL.V,D,20220423,000000,0.186937,0.191138,0.183437,0.185119,14792259.358696,0
SKL.V,D,20220424,000000,0.185337,0.188038,0.176118,0.181536,18608785.947192,0
SKL.V,D,20220425,000000,0.181536,0.181836,0.165617,0.178336,24110744.856709,0
SKL.V,D,20220426,000000,0.178636,0.181436,0.159416,0.161716,10265665.67356,0
SKL.V,D,20220427,000000,0.161716,0.1662,0.1549,0.160616,18971374.213414,0
SKL.V,D,20220428,000000,0.160716,0.20452,0.158916,0.1969,190930397.34539,0
SKL.V,D,20220429,000000,0.19702,0.2039,0.166117,0.166317,139658404.70759,0
SKL.V,D,20220430,000000,0.166017,0.171117,0.159216,0.159216,32051956.039759,0
SKL.V,D,20220501,000000,0.159,0.159,0.1398,0.1487,50320513.190753,0
SKL.V,D,20220502,000000,0.148615,0.154015,0.1399,0.146315,21030184.188678,0
SKL.V,D,20220503,000000,0.146415,0.152215,0.137486,0.139686,23060633.929668,0
SKL.V,D,20220504,000000,0.139786,0.1573,0.138686,0.1555,19832670.330153,0
SKL.V,D,20220505,000000,0.1555,0.163067,0.137373,0.142172,28391536.841012,0
SKL.V,D,20220506,000000,0.142386,0.146585,0.134773,0.141586,17028539.082274,0
SKL.V,D,20220507,000000,0.141772,0.143686,0.134273,0.134687,12119263.201783,0
SKL.V,D,20220508,000000,0.135073,0.137645,0.127736,0.13356,12350330.605452,0
SKL.V,D,20220509,000000,0.13356,0.13356,0.109267,0.112078,25625658.914085,0
SKL.V,D,20220510,000000,0.112378,0.125162,0.101659,0.108057,43272322.589398,0
SKL.V,D,20220511,000000,0.108357,0.117953,0.072516,0.078708,31785923.576462,0
SKL.V,D,20220512,000000,0.079106,0.087648,0.0574508,0.074805,26068691.75663,0
SKL.V,D,20220513,000000,0.0747975,0.0982918,0.0726034,0.0860535,16244504.746064,0
SKL.V,D,20220514,000000,0.0859536,0.0889307,0.074144,0.0813859,10357902.266707,0
SKL.V,D,20220515,000000,0.081286,0.0920709,0.0806788,0.0885936,8471458.8474256,0
SKL.V,D,20220516,000000,0.0887933,0.0915991,0.0803035,0.0841904,6690145.5000314,0
SKL.V,D,20220517,000000,0.0845899,0.0930975,0.0803793,0.0893836,10027413.65304,0
SKL.V,D,20220518,000000,0.0895834,0.0942773,0.0786976,0.079896,13162427.615001,0
SKL.V,D,20220519,000000,0.079888,0.0864221,0.0749025,0.0823258,9105185.2608225,0
SKL.V,D,20220520,000000,0.0818263,0.0864048,0.0751098,0.0760011,12056099.636772,0
SKL.V,D,20220521,000000,0.0763083,0.0842903,0.0756092,0.078398,17475585.230415,0
SKL.V,D,20220522,000000,0.0783901,0.0859881,0.0769998,0.0846982,21476855.374338,0
SKL.V,D,20220523,000000,0.0846982,0.0898101,0.0811026,0.0819016,21855746.431849,0
SKL.V,D,20220524,000000,0.0814939,0.0847067,0.0767078,0.0834913,18185773.677914,0
SKL.V,D,20220525,000000,0.0836827,0.0869043,0.0804115,0.0848066,17125146.072347,0
SKL.V,D,20220526,000000,0.0845984,0.0897012,0.0637234,0.0695234,106259819.40284,0
SKL.V,D,20220527,000000,0.0694305,0.0702297,0.0611327,0.0625481,53525608.976282,0
SKL.V,D,20220528,000000,0.062494,0.0652427,0.0602181,0.0627335,61160738.613763,0
SKL.V,D,20220529,000000,0.0626743,0.0657076,0.0588212,0.0652452,62366520.4942,0
SKL.V,D,20220530,000000,0.0652595,0.0713759,0.0644966,0.0703007,43224313.880606,0
SKL.V,D,20220531,000000,0.0704417,0.0738343,0.0657544,0.0707534,56374640.463352,0
SKL.V,D,20220601,000000,0.0708392,0.0841376,0.0651818,0.0668398,108274520.66878,0
SKL.V,D,20220602,000000,0.0668391,0.0680907,0.0646228,0.0680347,48842884.713625,0
SKL.V,D,20220603,000000,0.0679598,0.0695866,0.063706,0.0660735,43104304.881544,0
SKL.V,D,20220604,000000,0.0661394,0.0733456,0.0637656,0.0692204,87836097.563655,0
SKL.V,D,20220605,000000,0.0692383,0.0706511,0.0663725,0.0689501,63729776.528528,0
SKL.V,D,20220606,000000,0.069045,0.0729677,0.0671655,0.0700274,144460047.22377,0
SKL.V,D,20220607,000000,0.0700704,0.0746128,0.064607,0.073065,129549505.17514,0
SKL.V,D,20220608,000000,0.0734632,0.0742422,0.0669728,0.0711737,124340497.4935,0
SKL.V,D,20220609,000000,0.0712806,0.0760679,0.0681835,0.0732504,111861016.52169,0
SKL.V,D,20220610,000000,0.0732467,0.0748311,0.0647553,0.0665307,156746529.95471,0
SKL.V,D,20220611,000000,0.0665307,0.066814,0.0560974,0.0586447,75651105.049927,0
SKL.V,D,20220612,000000,0.0586467,0.0588274,0.0521633,0.0548405,55544438.088502,0
SKL.V,D,20220613,000000,0.0547126,0.0547126,0.0440131,0.0496699,290282891.11908,0
SKL.V,D,20220614,000000,0.0497303,0.0641613,0.0460613,0.0564442,678568302.92553,0
SKL.V,D,20220615,000000,0.0565332,0.0615568,0.0517007,0.0585351,494560197.30979,0
SKL.V,D,20220616,000000,0.058593,0.0603924,0.0529154,0.0543552,131249264.7951,0
SKL.V,D,20220617,000000,0.0518039,0.0548341,0.0513032,0.052421,197616182.84007,0
SKL.V,D,20220618,000000,0.0523701,0.0530078,0.0442313,0.0469249,264526652.2969,0
SKL.V,D,20220619,000000,0.0469284,0.0520025,0.0457743,0.0505382,137919998.99768,0
SKL.V,D,20220620,000000,0.0505152,0.0535664,0.0486217,0.0506093,54149548.245791,0
SKL.V,D,20220621,000000,0.0505883,0.0573024,0.049957,0.0540025,50400987.598066,0
SKL.V,D,20220622,000000,0.0540525,0.0560619,0.0503196,0.0513526,46578699.881836,0
SKL.V,D,20220623,000000,0.0514613,0.057902,0.0504025,0.0555634,39466565.007053,0
SKL.V,D,20220624,000000,0.0555734,0.0601616,0.0553856,0.05816,148402837.43376,0
SKL.V,D,20220625,000000,0.0581618,0.0607039,0.0545354,0.0578825,82195767.326173,0
SKL.V,D,20220626,000000,0.0579174,0.0612577,0.056558,0.0586212,43372494.48419,0
SKL.V,D,20220627,000000,0.0584155,0.0604607,0.0550159,0.0564048,19549777.097463,0
SKL.V,D,20220628,000000,0.0564493,0.0576075,0.0536717,0.05442,27246944.431343,0
SKL.V,D,20220629,000000,0.0544224,0.0544224,0.050309,0.0513668,50827663.866164,0
SKL.V,D,20220630,000000,0.0513633,0.0513633,0.0450389,0.0452227,80206657.813849,0
SKL.V,D,20220701,000000,0.0453375,0.0488,0.0437,0.046,189933673.40336,0
SKL.V,D,20220702,000000,0.0461,0.0462,0.0446,0.0452,119377308.86303,0
SKL.V,D,20220705,000000,0.0459764,0.0474687,0.0442019,0.04725,13821921.247929,0
SKL.V,D,20220706,000000,0.047252,0.0478433,0.0456288,0.0468864,22329352.971242,0
SKL.V,D,20220707,000000,0.0472,0.0504217,0.0468,0.0502,24257888.943532,0
SKL.V,D,20220708,000000,0.0498701,0.0504646,0.0469671,0.0475714,21227439.072495,0
SKL.V,D,20220709,000000,0.0474175,0.0513542,0.0472289,0.050032,25286588.984179,0
SKL.V,D,20220710,000000,0.0500399,0.0503897,0.0459494,0.0468998,17143575.093791,0
