<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNX.V,D,20220202,000000,5.7523,5.93978,5.27611,5.34928,2945139.8932413,0
SNX.V,D,20220203,000000,5.35982,5.42771,4.92446,5.04652,4120576.1794571606,0
SNX.V,D,20220204,000000,5.03952,5.48739,4.94347,5.45636,3740911.8524691667,0
SNX.V,D,20220205,000000,5.45136,6.03422,5.44181,5.8315,3757455.1142063243,0
SNX.V,D,20220206,000000,5.8315,5.88894,5.51876,5.63525,1940148.6323941043,0
SNX.V,D,20220207,000000,5.63625,5.97918,5.60992,5.85309,2438477.7044492466,0
SNX.V,D,20220208,000000,5.85209,6.07425,5.34627,5.51196,3221230.1618184946,0
SNX.V,D,20220209,000000,5.51096,5.90331,5.36175,5.86945,1848390.340652067,0
SNX.V,D,20220210,000000,5.87187,5.88329,5.26874,5.32472,2363841.6339583592,0
SNX.V,D,20220211,000000,5.32472,5.36929,4.7569,4.77043,1929596.5231393548,0
SNX.V,D,20220212,000000,4.76943,5.07304,4.70235,4.90645,1891485.9331983086,0
SNX.V,D,20220213,000000,4.90494,4.96248,4.45723,4.52471,2111760.0907800775,0
SNX.V,D,20220214,000000,4.51571,4.61331,4.34817,4.58929,1637236.8421488684,0
SNX.V,D,20220215,000000,4.59129,5.002,4.56928,4.995,2567928.256405274,0
SNX.V,D,20220216,000000,5.001,5.13308,4.81889,4.97148,2527013.1674130033,0
SNX.V,D,20220217,000000,4.97248,4.98549,4.53472,4.62824,2587203.6333211204,0
SNX.V,D,20220218,000000,4.61923,4.68528,4.32603,4.3326,1316198.6189581149,0
SNX.V,D,20220219,000000,4.3316,4.45867,4.1951,4.34517,829882.9643860685,0
SNX.V,D,20220220,000000,4.34374,4.38263,3.95498,4.15708,1695988.4727706749,0
SNX.V,D,20220221,000000,4.15808,4.26813,3.7929,3.82291,2654476.7399419113,0
SNX.V,D,20220222,000000,3.82091,3.98159,3.62009,3.91095,3197656.6966281845,0
SNX.V,D,20220223,000000,3.91396,4.16708,3.77889,3.8413,1867328.9890097473,0
SNX.V,D,20220224,000000,3.8413,3.94797,3.32666,3.81052,4311141.137612461,0
SNX.V,D,20220225,000000,3.81352,4.11423,3.81352,4.10205,2507499.440961425,0
SNX.V,D,20220226,000000,4.09805,4.16108,3.86993,3.89194,1823827.743522083,0
SNX.V,D,20220227,000000,3.89356,4.11606,3.65283,3.77789,2246259.0098084332,0
SNX.V,D,20220228,000000,3.77351,4.15508,3.63645,4.11465,1479636.6382404016,0
SNX.V,D,20220301,000000,4.11965,4.3263,4.03361,4.14424,1623348.7210189444,0
SNX.V,D,20220302,000000,4.14224,4.21226,3.94379,4.0082,1636495.988609452,0
SNX.V,D,20220303,000000,4.0082,4.0162,3.73375,3.81876,1385312.6956103987,0
SNX.V,D,20220304,000000,3.81576,3.84777,3.55471,3.61008,1158732.9635025917,0
SNX.V,D,20220305,000000,3.60708,3.91918,3.5227,3.84315,3557181.5131401476,0
SNX.V,D,20220306,000000,3.84115,3.90417,3.61872,3.64009,1763874.0966110083,0
SNX.V,D,20220307,000000,3.63909,3.78213,3.45669,3.58908,2410404.3933235663,0
SNX.V,D,20220308,000000,3.59008,3.9798,3.57972,3.86277,3264239.435906405,0
SNX.V,D,20220309,000000,3.85477,4.77596,3.85277,4.65947,7145748.346601334,0
SNX.V,D,20220310,000000,4.66547,4.90647,4.37475,4.48579,7431798.504911752,0
SNX.V,D,20220311,000000,4.48279,4.87995,4.08282,4.24785,3544828.2086214805,0
SNX.V,D,20220312,000000,4.25085,4.34643,4.109,4.24042,1419967.3804621974,0
SNX.V,D,20220313,000000,4.24242,4.28843,3.84915,3.86177,1264771.8073126182,0
SNX.V,D,20220314,000000,3.85977,4.02981,3.84377,3.94279,1775212.2997853225,0
SNX.V,D,20220315,000000,3.94339,4.09541,3.79338,3.93118,2159336.8587742597,0
SNX.V,D,20220316,000000,3.93118,4.30829,3.86477,4.16125,1968709.2907113594,0
SNX.V,D,20220317,000000,4.15825,4.59184,4.15283,4.4012,3173014.4712666613,0
SNX.V,D,20220318,000000,4.40276,5.23314,4.34317,5.07754,5953532.70414613,0
SNX.V,D,20220319,000000,5.07554,5.63982,4.97648,5.19508,6888133.0153224645,0
SNX.V,D,20220320,000000,5.2006,5.5002,4.90796,5.2571,3737785.689724819,0
SNX.V,D,20220321,000000,5.25763,5.36915,4.96848,5.001,3248787.8438093043,0
SNX.V,D,20220322,000000,5,5.38669,4.92246,5.25062,2563308.560389096,0
SNX.V,D,20220323,000000,5.25663,5.38569,4.98949,5.35514,3471621.709489022,0
SNX.V,D,20220324,000000,5.35668,5.53621,5.14657,5.2461,4450775.294466682,0
SNX.V,D,20220325,000000,5.24462,5.42271,4.97199,5.03852,3432373.0095033743,0
SNX.V,D,20220326,000000,5.03801,5.26963,5.01,5.07003,2144953.057332707,0
SNX.V,D,20220327,000000,5.07103,5.35414,5.07053,5.34614,2276642.665760745,0
SNX.V,D,20220328,000000,5.34614,5.76931,5.28759,5.57023,3653049.725224153,0
SNX.V,D,20220329,000000,5.57379,5.94038,5.25858,5.73887,4370742.618164745,0
SNX.V,D,20220330,000000,5.72686,6.676,5.63425,6.59098,6872634.80855758,0
SNX.V,D,20220331,000000,6.58698,7.25945,6.40392,6.88638,9799281.27500045,0
SNX.V,D,20220401,000000,6.87706,8.18127,6.62199,7.79034,12310643.866001576,0
SNX.V,D,20220402,000000,7.78934,7.84835,7.19388,7.48099,5523255.322547497,0
SNX.V,D,20220403,000000,7.46999,7.495,7.02881,7.26991,3269554.1485211267,0
SNX.V,D,20220404,000000,7.27491,7.41422,6.66733,7.02411,3567759.5019206833,0
SNX.V,D,20220405,000000,7.02941,7.03211,6.14923,6.22062,3366582.9356705504,0
SNX.V,D,20220406,000000,6.22524,6.23525,5.413,5.57156,3313187.7415534286,0
SNX.V,D,20220407,000000,5.56156,5.84258,5.273,5.66057,2539403.8174725906,0
