<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STEEM.V,D,20220514,000000,0.259059,0.259159,0.259059,0.259133,26431.068133629004,0
STEEM.V,D,20220515,000000,0.253619,0.262585,0.244857,0.258989,972083.8326860532,0
STEEM.V,D,20220516,000000,0.261186,0.285486,0.259962,0.275741,4270655.97983195,0
STEEM.V,D,20220517,000000,0.283231,0.29068,0.273916,0.289952,1704091.964095414,0
STEEM.V,D,20220518,000000,0.29155,0.29954,0.256067,0.258763,3297879.237530614,0
STEEM.V,D,20220519,000000,0.257639,0.259562,0.234318,0.252972,3926013.316117896,0
STEEM.V,D,20220520,000000,0.258042,0.291408,0.24618,0.252072,2270871.808791659,0
STEEM.V,D,20220521,000000,0.251598,0.269077,0.251198,0.259862,5406279.853140025,0
STEEM.V,D,20220522,000000,0.259762,0.290122,0.256366,0.28276,2066709.7573211836,0
STEEM.V,D,20220523,000000,0.284829,0.291479,0.271773,0.281662,10627987.198313983,0
STEEM.V,D,20220524,000000,0.281134,0.282589,0.247028,0.262532,26035431.18493477,0
STEEM.V,D,20220525,000000,0.261859,0.276068,0.254794,0.261812,2124859.4605671843,0
STEEM.V,D,20220526,000000,0.261785,0.266806,0.234941,0.246853,3376277.9298737366,0
STEEM.V,D,20220527,000000,0.247153,0.250749,0.228448,0.242233,2569122.6252847593,0
STEEM.V,D,20220528,000000,0.242323,0.246414,0.235232,0.242718,1326405.4686733545,0
STEEM.V,D,20220529,000000,0.240911,0.247745,0.235467,0.246029,1719823.5782243542,0
STEEM.V,D,20220530,000000,0.245754,0.269311,0.244745,0.265014,2139236.985349347,0
STEEM.V,D,20220531,000000,0.264815,0.273381,0.252823,0.265761,1976524.1148747825,0
STEEM.V,D,20220601,000000,0.265687,0.275479,0.252672,0.258242,1013500.8270499844,0
STEEM.V,D,20220602,000000,0.259666,0.272954,0.256569,0.271455,919487.2415648734,0
STEEM.V,D,20220603,000000,0.271455,0.276751,0.25456,0.264869,1080297.2112127678,0
STEEM.V,D,20220604,000000,0.26457,0.26457,0.254993,0.259802,2920290.947418267,0
