<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STETH.V,D,20220515,000000,1984,2097,1980,2085.5,10.0586558077,0
STETH.V,D,20220516,000000,2120.5,2120.5,1960,1984,10.188410650200002,0
STETH.V,D,20220517,000000,2006.5,2051,2006.5,2022,15.916773405699999,0
STETH.V,D,20220518,000000,2032.5,2032.5,1908,1927,0.10477913499999998,0
STETH.V,D,20220519,000000,1915,1973.5,1865,1973.5,4.1661392052,0
STETH.V,D,20220520,000000,1975.5,2008.232,1887.802,1923.569,19.128915577300006,0
STETH.V,D,20220521,000000,1923.376,1929.195,1911,1919.5,0.0136044651,0
STETH.V,D,20220522,000000,1918.5,1978,1918.5,1954,1.0904039748999999,0
STETH.V,D,20220523,000000,1989.5,2024,1949,1949,10.6269906605,0
STETH.V,D,20220524,000000,1928.5,1936,1873,1916.5,0.8153016808999999,0
STETH.V,D,20220525,000000,1934,1952.5,1901.5,1913.5,0.07550547569999999,0
STETH.V,D,20220526,000000,1905,1905,1702.5,1784,18.574513964900003,0
STETH.V,D,20220527,000000,1766.5,1766.5,1676.5,1694.903,12.284136991699999,0
STETH.V,D,20220528,000000,1691.5,1759.251,1675,1741.927,3.4875170027,0
STETH.V,D,20220529,000000,1736.943,1777.31,1720.605,1746.984,0.4940223385000001,0
STETH.V,D,20220530,000000,1757.577,1940.771,1754.044,1940.771,1.5522290971,0
STETH.V,D,20220531,000000,1943.019,1962.339,1890.416,1905.874,6.4354553784999995,0
STETH.V,D,20220601,000000,1903.698,1922.401,1741.677,1761.886,0.7285949191999999,0
STETH.V,D,20220602,000000,1797.111,1797.111,1756.018,1783.274,2.8267178317000003,0
STETH.V,D,20220603,000000,1786.631,1795.632,1702.396,1744.389,1.5769406418,0
STETH.V,D,20220604,000000,1742.45,1742.45,1704.878,1740.743,2.3554056627999986,0
STETH.V,D,20220605,000000,1765.35,1770.903,1734.999,1770.726,0.7044490556999999,0
STETH.V,D,20220606,000000,1761.033,1865.477,1761.033,1816.025,5.697841975299999,0
STETH.V,D,20220607,000000,1827.913,1827.913,1684.957,1796.256,13.754553554999996,0
STETH.V,D,20220608,000000,1800.842,1800.842,1727.104,1749.892,16.963144943099998,0
STETH.V,D,20220609,000000,1754.359,1762,1724.279,1735.344,2428.184121613102,0
STETH.V,D,20220610,000000,1699,1700.5,1576,1586,4227.585623267205,0
STETH.V,D,20220611,000000,1586,1597.5,1437,1473,142.59493595509994,0
STETH.V,D,20220612,000000,1486,1494.5,1368,1417.5,208.16285374070003,0
STETH.V,D,20220613,000000,1414.5,1414.5,1092.5,1180.5,416.07767013700106,0
STETH.V,D,20220614,000000,1184.5,1192,1026.5,1108.5,2797.3809658079967,0
STETH.V,D,20220615,000000,1113,1165,954.5,1163,2592.516477249742,0
STETH.V,D,20220616,000000,1129,1134.521,1020.5,1045.5,29.63030627700002,0
STETH.V,D,20220617,000000,1003,1039.5,987.5,1021.183,94.27796903206031,0
STETH.V,D,20220618,000000,1016.949,1016.949,834.453,881.611,2292.3824932182292,0
STETH.V,D,20220619,000000,897.634,1082,885.201,1054.5,14528.708764440555,0
STETH.V,D,20220620,000000,1068.5,1095,994,1038.5,430.46629004000056,0
STETH.V,D,20220621,000000,1033.5,1121.5,1033.5,1069.5,58.12621239479997,0
STETH.V,D,20220622,000000,1055,1061,988.5,993,738.4752605146717,0
STETH.V,D,20220623,000000,1002,1087.5,993,1067,769.6238389110005,0
STETH.V,D,20220624,000000,1075.5,1187,1075.5,1177.5,237.95773239899995,0
STETH.V,D,20220625,000000,1183.835,1211.432,1119.522,1208.274,173.0168103795996,0
STETH.V,D,20220626,000000,1208.274,1258.511,1163.032,1196.058,2898.421273257385,0
STETH.V,D,20220627,000000,1195.95,1240.468,1128.24,1161.226,175.9133042632003,0
STETH.V,D,20220628,000000,1163.565,1193.103,1085.691,1121.523,225.00871342740018,0
STETH.V,D,20220629,000000,1118.561,1122.016,1039.846,1075.917,294.1390403058992,0
STETH.V,D,20220630,000000,1067.238,1075.058,954.8271,981.9902,2255.435329688973,0
