<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STMX.V,D,20220514,000000,0.0095927,0.00959366,0.0095927,0.00959366,112871.098145,0
STMX.V,D,20220515,000000,0.00971638,0.01020569,0.009159,0.01005792,44687703.439608,0
STMX.V,D,20220516,000000,0.01010786,0.01047636,0.00931694,0.00993707,26409366.138041,0
STMX.V,D,20220517,000000,0.009987,0.01035859,0.00953758,0.01017777,24532213.18286,0
STMX.V,D,20220518,000000,0.01030762,0.01058516,0.00897831,0.00913811,51434844.691135,0
STMX.V,D,20220519,000000,0.00922799,0.00951048,0.00846982,0.00930162,19616746.519454,0
STMX.V,D,20220520,000000,0.00930162,0.00961941,0.00871952,0.00907909,20748502.082766,0
STMX.V,D,20220521,000000,0.00909816,0.00953758,0.00893747,0.00928698,23274097.753286,0
STMX.V,D,20220522,000000,0.00927792,0.01062723,0.00925795,0.01007789,43380585.147794,0
STMX.V,D,20220523,000000,0.01004793,0.01049949,0.0097383,0.0099081,33476605.483661,0
STMX.V,D,20220524,000000,0.0098182,0.00993906,0.00908908,0.00986716,23495311.268673,0
STMX.V,D,20220525,000000,0.00993707,0.0101578,0.0096294,0.01009787,15584154.558881,0
STMX.V,D,20220526,000000,0.01008788,0.01031864,0.0089892,0.00958041,36151357.805051,0
STMX.V,D,20220527,000000,0.00964035,0.00972027,0.00870129,0.00897102,26251132.219552,0
STMX.V,D,20220528,000000,0.00890974,0.00917064,0.00868921,0.00910942,12542608.283553,0
STMX.V,D,20220529,000000,0.00907918,0.00930022,0.00885123,0.00928968,9696752.8891698,0
STMX.V,D,20220530,000000,0.00928958,0.01003197,0.00916999,0.00998301,36283372.139595,0
STMX.V,D,20220531,000000,0.01001198,0.01016186,0.00942246,0.00968128,17707614.78485,0
STMX.V,D,20220601,000000,0.00967245,0.0108613,0.00920171,0.00922169,60455292.896535,0
STMX.V,D,20220602,000000,0.00922169,0.00990108,0.00922077,0.00984113,20178832.33243,0
STMX.V,D,20220603,000000,0.00987111,0.01016085,0.00943235,0.00969156,21331914.587365,0
STMX.V,D,20220604,000000,0.00973153,0.00973153,0.0094102,0.00970262,209767310.61055,0
STMX.V,D,20220605,000000,0.00968273,0.01039126,0.00965218,0.01023037,202539833.12023,0
STMX.V,D,20220606,000000,0.01017043,0.01079114,0.01011059,0.01061108,585376782.6063,0
STMX.V,D,20220607,000000,0.01065105,0.01074043,0.00968273,0.01023181,356283228.73864,0
STMX.V,D,20220608,000000,0.01030227,0.01034203,0.00966362,0.0098336,185259231.09636,0
STMX.V,D,20220609,000000,0.0098436,0.00988169,0.00949193,0.00959194,259328370.74423,0
STMX.V,D,20220610,000000,0.00959184,0.00961202,0.00867045,0.00889868,283540067.20108,0
STMX.V,D,20220611,000000,0.00891866,0.00918988,0.00805049,0.0082505,43759826.705821,0
STMX.V,D,20220612,000000,0.00820072,0.0082907,0.00724976,0.00755063,46801372.067756,0
STMX.V,D,20220613,000000,0.00748071,0.00750076,0.00588117,0.00635129,588713160.47428,0
STMX.V,D,20220614,000000,0.00629105,0.00637997,0.00546207,0.00586296,996585594.26007,0
STMX.V,D,20220615,000000,0.00586301,0.00652282,0.00550008,0.00651022,655747964.61952,0
STMX.V,D,20220616,000000,0.00652021,0.00771151,0.00622252,0.00642164,138678245.88193,0
STMX.V,D,20220617,000000,0.00618146,0.00692037,0.00612142,0.0066321,322110492.81166,0
STMX.V,D,20220618,000000,0.00665207,0.00714085,0.0054607,0.00582056,1476055467.9152,0
STMX.V,D,20220619,000000,0.00582056,0.00648221,0.00567182,0.006385,2156339888.6487,0
STMX.V,D,20220620,000000,0.00632,0.00766,0.006265,0.006695,307185575.35069,0
STMX.V,D,20220621,000000,0.00673191,0.00743182,0.00669263,0.00702297,75952071.878767,0
STMX.V,D,20220622,000000,0.00695304,0.0070929,0.00657276,0.00663336,123219395.05359,0
STMX.V,D,20220623,000000,0.00668331,0.00727272,0.00660339,0.0068931,88471802.571198,0
STMX.V,D,20220624,000000,0.006993,0.00723399,0.00695234,0.00718439,212487363.91333,0
STMX.V,D,20220625,000000,0.00717282,0.00721545,0.00677525,0.00706505,160162347.51652,0
STMX.V,D,20220626,000000,0.00709503,0.00725506,0.00677586,0.0069357,177021402.57943,0
STMX.V,D,20220627,000000,0.0068461,0.00752352,0.00665387,0.00694374,140968894.03718,0
STMX.V,D,20220628,000000,0.00697358,0.00786284,0.00681332,0.00706123,139274816.85367,0
STMX.V,D,20220629,000000,0.00700166,0.0077592,0.00685149,0.00766064,129366450.40349,0
STMX.V,D,20220630,000000,0.00769076,0.00775061,0.00657178,0.00689172,655696415.81344,0
STMX.V,D,20220701,000000,0.006925,0.009085,0.006875,0.007245,316848823.01624,0
STMX.V,D,20220702,000000,0.00732,0.00746104,0.006915,0.00746104,116238521.25002,0
STMX.V,D,20220703,000000,0.00747028,0.00753095,0.006855,0.00716,96323893.824028,0
STMX.V,D,20220704,000000,0.00716,0.00717,0.00687,0.00708,21538574.225569,0
STMX.V,D,20220705,000000,0.0070822,0.00714213,0.00681182,0.00707221,11898552.612072,0
STMX.V,D,20220706,000000,0.0070822,0.00724203,0.00683248,0.00719208,25191552.069906,0
STMX.V,D,20220707,000000,0.00725129,0.0076923,0.00711217,0.00762542,51107307.972192,0
STMX.V,D,20220708,000000,0.00762542,0.00789447,0.00744329,0.0076654,57647959.115958,0
STMX.V,D,20220709,000000,0.00767539,0.0079952,0.00759544,0.00784529,68976614.10776,0
STMX.V,D,20220710,000000,0.00779532,0.00793524,0.00753548,0.00787527,66673993.384384,0
STMX.V,D,20220711,000000,0.00784529,0.00789526,0.0071143,0.0072135,44925721.28397,0
STMX.V,D,20220712,000000,0.00720351,0.00720351,0.00667265,0.00667265,15453901.484315,0
STMX.V,D,20220713,000000,0.00663363,0.00718281,0.00656277,0.00711359,134303833.42695,0
STMX.V,D,20220714,000000,0.00713357,0.00776301,0.00704295,0.00748551,163773701.47657,0
STMX.V,D,20220715,000000,0.00750549,0.00762542,0.00722566,0.00744702,62349115.864032,0
STMX.V,D,20220716,000000,0.00747776,0.00781844,0.00740778,0.00774845,67251444.403001,0
STMX.V,D,20220717,000000,0.0077879,0.00784843,0.00753872,0.00766824,77109883.301105,0
STMX.V,D,20220718,000000,0.00765793,0.00819902,0.00756765,0.00793809,106750306.08995,0
STMX.V,D,20220719,000000,0.00793809,0.0087614,0.00793809,0.00870148,98610264.882112,0
STMX.V,D,20220720,000000,0.0087,0.00878097,0.00809951,0.00833042,43432553.522611,0
STMX.V,D,20220721,000000,0.008321,0.00833133,0.00759985,0.00786173,74638974.660953,0
