<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUSD.V,D,20220516,000000,0.99111,0.99111,0.970458,0.988085,24.223130629774,0
SUSD.V,D,20220517,000000,0.983262,0.990807,0.981164,0.987634,98.613058169278,0
SUSD.V,D,20220518,000000,0.990609,0.990708,0.987628,0.988059,1643.2719963418,0
SUSD.V,D,20220519,000000,0.989413,0.989895,0.986413,0.989895,1774.3571689156,0
SUSD.V,D,20220520,000000,0.987621,0.990709,0.987055,0.99061,285.38477782463,0
SUSD.V,D,20220521,000000,0.990709,0.990709,0.987017,0.988813,333.95551296557,0
SUSD.V,D,20220522,000000,0.988195,0.99071,0.988195,0.990707,145.08434923677,0
SUSD.V,D,20220523,000000,0.9908,0.991006,0.989721,0.99071,175.30827018894,0
SUSD.V,D,20220524,000000,0.989711,0.9907,0.989711,0.990511,825.3694841053,0
SUSD.V,D,20220525,000000,0.989936,0.996443,0.989911,0.995823,1693.5380463864,0
SUSD.V,D,20220526,000000,0.995823,0.996093,0.983916,0.994903,4595.2913065576,0
SUSD.V,D,20220527,000000,0.994903,0.995374,0.992358,0.992511,1090.7087096012,0
SUSD.V,D,20220528,000000,0.992361,0.993046,0.992278,0.992487,669.77596777137,0
SUSD.V,D,20220529,000000,0.992917,0.993105,0.99033,0.990439,1862.5601815003,0
SUSD.V,D,20220530,000000,0.975204,0.986209,0.955986,0.980313,6200.6369634289,0
SUSD.V,D,20220531,000000,0.965224,0.994704,0.965224,0.989008,5356.9284378696,0
SUSD.V,D,20220601,000000,0.987859,1.004296,0.975026,0.982515,7031.934184994,0
SUSD.V,D,20220602,000000,0.982615,0.999,0.980517,0.981816,3897.7468811748,0
SUSD.V,D,20220603,000000,0.989509,0.996902,0.979265,0.981336,6796.0955276928,0
SUSD.V,D,20220604,000000,0.981136,0.994064,0.980767,0.984461,6048.4043463834,0
SUSD.V,D,20220605,000000,0.985812,0.993355,0.984413,0.990957,2766.8473740597,0
SUSD.V,D,20220606,000000,0.986601,1.001278,0.984553,0.994464,10921.511269386,0
SUSD.V,D,20220607,000000,0.994973,1.002997,0.960592,0.99912,13352.033338485,0
SUSD.V,D,20220608,000000,0.99879,1.000289,0.976265,0.999745,20055.894052905,0
SUSD.V,D,20220609,000000,0.996432,0.99919,0.995559,0.995672,7597.85162703,0
SUSD.V,D,20220610,000000,0.995662,0.999679,0.995662,0.998396,34977.676775091,0
SUSD.V,D,20220611,000000,0.996074,0.998621,0.990889,0.995643,4874.6341471,0
SUSD.V,D,20220612,000000,0.991879,0.995698,0.991521,0.991833,829.95355314243,0
SUSD.V,D,20220613,000000,0.992754,1.000895,0.984738,0.995915,4961.8437906,0
SUSD.V,D,20220614,000000,0.995984,1.018357,0.995819,1.00792,19416.458059527,0
SUSD.V,D,20220615,000000,1.009287,1.013238,0.990027,0.996403,59731.01550511,0
SUSD.V,D,20220616,000000,0.996603,0.996902,0.99161,0.991709,87161.48298181,0
SUSD.V,D,20220617,000000,0.991631,0.995721,0.966838,0.99191,7722.45432715,0
SUSD.V,D,20220618,000000,0.99191,0.995724,0.970538,0.970615,26744.533136183,0
SUSD.V,D,20220619,000000,0.970606,0.976729,0.968648,0.973131,6377.449602913,0
SUSD.V,D,20220620,000000,0.973331,0.98082,0.970232,0.976225,6635.551432201,0
SUSD.V,D,20220621,000000,0.978323,0.986014,0.97403,0.974727,107.4404568,0
SUSD.V,D,20220622,000000,0.974824,0.99879,0.974727,0.996193,579.7191175,0
SUSD.V,D,20220623,000000,0.998688,0.998699,0.967153,0.978746,261.4337813002,0
SUSD.V,D,20220624,000000,0.978749,0.981315,0.976036,0.977208,24443.703602248,0
SUSD.V,D,20220625,000000,0.977052,0.989337,0.977044,0.988777,737.82047032,0
SUSD.V,D,20220626,000000,0.988797,0.989594,0.979213,0.989446,20009.670937589,0
SUSD.V,D,20220627,000000,0.989562,0.991237,0.986508,0.991237,3.7701271,0
SUSD.V,D,20220628,000000,0.987676,0.992555,0.987472,0.988631,3522.1924435,0
SUSD.V,D,20220629,000000,0.991893,0.992274,0.984649,0.984649,11058.2305946,0
SUSD.V,D,20220630,000000,0.98187,0.990687,0.975851,0.977825,35575.7003532,0
SUSD.V,D,20220701,000000,0.986815,0.992356,0.986815,0.990293,6281.8767688301,0
SUSD.V,D,20220702,000000,0.987914,0.991898,0.987815,0.991808,8302.6654616,0
SUSD.V,D,20220703,000000,0.991734,0.99838,0.991635,0.99838,20394.3642436,0
SUSD.V,D,20220704,000000,0.995223,1.001795,0.995107,1.001795,283.8002578,0
SUSD.V,D,20220705,000000,1.001794,1.003385,0.9988,0.999901,1723.513933,0
SUSD.V,D,20220706,000000,0.999901,1.003795,0.999801,1.003395,900.1498197,0
SUSD.V,D,20220707,000000,1.003295,1.004383,1.002795,1.004383,72.4211372,0
SUSD.V,D,20220709,000000,0.976514,0.980411,0.976514,0.979414,171.680778,0
SUSD.V,D,20220710,000000,0.977913,0.977913,0.977913,0.977913,16.568139,0
SUSD.V,D,20220711,000000,0.980012,0.980811,0.978121,0.978121,1191.795931,0
SUSD.V,D,20220712,000000,0.978219,0.97882,0.976023,0.976123,718.311323,0
SUSD.V,D,20220713,000000,0.976162,0.976622,0.972427,0.974125,1795.617014,0
SUSD.V,D,20220714,000000,0.973223,0.998001,0.973223,0.997601,1502.124442,0
SUSD.V,D,20220715,000000,0.998001,0.9994,0.996302,0.997001,1765.470775,0
SUSD.V,D,20220716,000000,0.997401,0.997401,0.975605,0.985103,922.22229516,0
SUSD.V,D,20220717,000000,0.986263,0.987243,0.983995,0.985734,1130.098017,0
SUSD.V,D,20220718,000000,0.984524,0.986731,0.984465,0.985073,1078.416575,0
SUSD.V,D,20220719,000000,0.985064,0.99677,0.984764,0.987607,1992.797346,0
SUSD.V,D,20220720,000000,0.9878,0.989607,0.9866,0.989199,678.123689,0
SUSD.V,D,20220721,000000,0.989058,0.989909,0.987379,0.988727,939.479644,0
SUSD.V,D,20220722,000000,0.988547,0.990567,0.982598,0.982847,1773.0875234485,0
SUSD.V,D,20220723,000000,0.982687,0.982808,0.982012,0.982287,1165.9611794305,0
SUSD.V,D,20220724,000000,0.982296,0.982326,0.982002,0.982287,3677.382999954,0
