<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SXP.V,D,20220304,000000,1.42543,1.48945,1.36127,1.37841,5061222.770450459,0
SXP.V,D,20220305,000000,1.37941,1.41142,1.3364,1.40642,3172000.1005233424,0
SXP.V,D,20220306,000000,1.40642,1.43129,1.3374,1.35841,2851043.705431102,0
SXP.V,D,20220307,000000,1.36041,1.36041,1.24125,1.27638,3514322.4436740843,0
SXP.V,D,20220308,000000,1.27638,1.30726,1.26225,1.27325,2622517.684058529,0
SXP.V,D,20220309,000000,1.27726,1.36027,1.27726,1.33227,4404287.70128914,0
SXP.V,D,20220310,000000,1.33313,1.35327,1.24437,1.27551,4530126.862144571,0
SXP.V,D,20220311,000000,1.27651,1.28939,1.22725,1.24712,2854230.2250626516,0
SXP.V,D,20220312,000000,1.24625,1.26225,1.238,1.24812,1282654.3224905715,0
SXP.V,D,20220313,000000,1.24837,1.26713,1.18736,1.19424,1699239.0102989597,0
SXP.V,D,20220314,000000,1.19024,1.24812,1.16912,1.23325,4882723.412577354,0
SXP.V,D,20220315,000000,1.23525,1.27113,1.22712,1.26038,3068720.3288365747,0
SXP.V,D,20220316,000000,1.25938,1.3474,1.24325,1.3364,3679758.554164062,0
SXP.V,D,20220317,000000,1.33727,1.41943,1.33627,1.3937,4000358.7223597243,0
SXP.V,D,20220318,000000,1.39456,1.4939,1.34281,1.46873,7433788.372170898,0
SXP.V,D,20220319,000000,1.46673,1.54677,1.45187,1.54062,8157762.10799653,0
SXP.V,D,20220320,000000,1.53761,1.64082,1.40356,1.41757,16970465.742125224,0
SXP.V,D,20220321,000000,1.41857,1.47574,1.36855,1.43572,14210708.72302813,0
SXP.V,D,20220322,000000,1.43457,1.56178,1.42657,1.50975,13121433.615184499,0
SXP.V,D,20220323,000000,1.51075,1.57679,1.4946,1.57279,4295795.714805714,0
SXP.V,D,20220324,000000,1.57463,1.6098,1.55062,1.6058,4484615.40945593,0
SXP.V,D,20220325,000000,1.60664,1.67083,1.52161,1.55178,9044457.307631308,0
SXP.V,D,20220326,000000,1.55162,1.62965,1.53962,1.61264,3256261.2684529712,0
SXP.V,D,20220327,000000,1.61481,1.68667,1.5938,1.68467,5194047.933808804,0
