<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEL.V,D,20180124,000000,0.006891,0.007432,0.005309,0.006371,0,0
TEL.V,D,20180125,000000,0.00637,0.007325,0.005232,0.006278,0,0
TEL.V,D,20180126,000000,0.006278,0.00734,0.005243,0.006291,0,0
TEL.V,D,20180127,000000,0.006291,0.007764,0.006291,0.007764,0,0
TEL.V,D,20180128,000000,0.007764,0.008621,0.006158,0.007389,0,0
TEL.V,D,20180129,000000,0.007389,0.007389,0.00585,0.00702,0,0
TEL.V,D,20180130,000000,0.00585,0.006383,0.004255,0.005319,0,0
TEL.V,D,20180131,000000,0.005357,0.00542,0.005357,0.00542,0,0
TEL.V,D,20180201,000000,0.005001,0.005028,0.003315,0.003335,0,0
TEL.V,D,20180202,000000,0.004515,0.004743,0.002752,0.004587,0,0
TEL.V,D,20180203,000000,0.004587,0.004874,0.003864,0.004854,0,0
TEL.V,D,20180204,000000,0.004854,0.004854,0.00331,0.004138,0,0
TEL.V,D,20180205,000000,0.00414,0.00414,0.002085,0.00278,0,0
TEL.V,D,20180206,000000,0.00278,0.003925,0.002355,0.003925,0,0
TEL.V,D,20180207,000000,0.003926,0.003926,0.003007,0.003007,0,0
TEL.V,D,20180208,000000,0.003007,0.004068,0.003007,0.003254,0,0
TEL.V,D,20180209,000000,0.003254,0.004389,0.003254,0.004389,0,0
TEL.V,D,20180210,000000,0.004388,0.004388,0.003403,0.004254,0,0
TEL.V,D,20180211,000000,0.004255,0.004255,0.002434,0.003245,0,0
TEL.V,D,20180212,000000,0.003245,0.004326,0.002596,0.003461,0,0
TEL.V,D,20180213,000000,0.003461,0.004205,0.002523,0.004205,0,0
TEL.V,D,20180214,000000,0.004205,0.004601,0.00368,0.00368,0,0
TEL.V,D,20180215,000000,0.00368,0.00464,0.00368,0.00464,0,0
TEL.V,D,20180216,000000,0.003712,0.00469,0.003712,0.003752,0,0
TEL.V,D,20180217,000000,0.003752,0.004874,0.003752,0.004874,0,0
TEL.V,D,20180218,000000,0.004874,0.004874,0.003656,0.00457,0,0
TEL.V,D,20180219,000000,0.00457,0.004699,0.003759,0.004699,0,0
TEL.V,D,20180220,000000,0.004699,0.004699,0.003542,0.004428,0,0
TEL.V,D,20180221,000000,0.004428,0.004428,0.00336,0.004201,0,0
TEL.V,D,20180222,000000,0.004201,0.004201,0.003219,0.004023,0,0
TEL.V,D,20180223,000000,0.004023,0.004274,0.003419,0.004274,0,0
TEL.V,D,20180224,000000,0.004274,0.004274,0.003334,0.004167,0,0
TEL.V,D,20180225,000000,0.004167,0.004201,0.003361,0.004201,0,0
TEL.V,D,20180226,000000,0.004201,0.004338,0.00347,0.004338,0,0
TEL.V,D,20180227,000000,0.004338,0.004358,0.002615,0.002615,0,0
TEL.V,D,20180228,000000,0.002615,0.004257,0.002554,0.002554,0,0
TEL.V,D,20180301,000000,0.002554,0.003488,0.002554,0.003479,0,0
TEL.V,D,20180302,000000,0.003479,0.003479,0.002567,0.003422,0,0
TEL.V,D,20180303,000000,0.003422,0.003431,0.002567,0.003423,0,0
TEL.V,D,20180304,000000,0.003423,0.003477,0.002594,0.003459,0,0
TEL.V,D,20180305,000000,0.00346,0.00346,0.002548,0.003398,0,0
TEL.V,D,20180306,000000,0.003398,0.003398,0.002447,0.002447,0,0
TEL.V,D,20180307,000000,0.002447,0.003005,0.002253,0.003005,0,0
TEL.V,D,20180308,000000,0.003005,0.003005,0.002096,0.002795,0,0
TEL.V,D,20180309,000000,0.002795,0.002908,0.002181,0.002908,0,0
TEL.V,D,20180310,000000,0.002907,0.002907,0.002047,0.002729,0,0
TEL.V,D,20180311,000000,0.002729,0.002881,0.002161,0.002881,0,0
TEL.V,D,20180312,000000,0.002881,0.002881,0.002091,0.002161,0,0
TEL.V,D,20180313,000000,0.00223,0.00223,0.00207,0.002139,0,0
TEL.V,D,20180314,000000,0.002139,0.002139,0.001656,0.001839,0,0
TEL.V,D,20180315,000000,0.001839,0.001839,0.001404,0.00171,0,0
TEL.V,D,20180316,000000,0.00171,0.001922,0.001561,0.001802,0,0
TEL.V,D,20180317,000000,0.001856,0.001856,0.001539,0.001649,0,0
TEL.V,D,20180318,000000,0.001649,0.001649,0.001451,0.001558,0,0
TEL.V,D,20180319,000000,0.001558,0.001722,0.001556,0.001667,0,0
TEL.V,D,20180320,000000,0.001611,0.001784,0.001611,0.001728,0,0
TEL.V,D,20180321,000000,0.001728,0.001848,0.001728,0.001848,0,0
TEL.V,D,20180322,000000,0.001848,0.001848,0.001674,0.001782,0,0
TEL.V,D,20180323,000000,0.001782,0.001849,0.001686,0.001795,0,0
TEL.V,D,20180324,000000,0.001795,0.001795,0.001665,0.001769,0,0
TEL.V,D,20180325,000000,0.001769,0.002563,0.001726,0.002406,0,0
TEL.V,D,20180326,000000,0.002406,0.002406,0.001799,0.002091,0,0
TEL.V,D,20180327,000000,0.00209,0.002244,0.001885,0.002244,0,0
TEL.V,D,20180328,000000,0.002244,0.002319,0.002007,0.002096,0,0
TEL.V,D,20180329,000000,0.002096,0.002096,0.001536,0.001574,0,0
TEL.V,D,20180330,000000,0.001574,0.00189,0.001574,0.001733,0,0
TEL.V,D,20180331,000000,0.001733,0.001773,0.001655,0.001773,0,0
TEL.V,D,20180401,000000,0.001773,0.001773,0.001591,0.001629,0,0
TEL.V,D,20180402,000000,0.001629,0.001693,0.001577,0.001654,0,0
TEL.V,D,20180403,000000,0.001654,0.00188,0.001654,0.001705,0,0
TEL.V,D,20180404,000000,0.001747,0.001747,0.001477,0.001515,0,0
TEL.V,D,20180405,000000,0.001515,0.001602,0.001449,0.001449,0,0
TEL.V,D,20180406,000000,0.001449,0.001518,0.001407,0.001481,0,0
TEL.V,D,20180407,000000,0.001481,0.00154,0.001481,0.00154,0,0
TEL.V,D,20180408,000000,0.00154,0.001603,0.001523,0.001523,0,0
TEL.V,D,20180409,000000,0.001523,0.001556,0.001436,0.001476,0,0
TEL.V,D,20180410,000000,0.001476,0.001621,0.001476,0.001579,0,0
TEL.V,D,20180411,000000,0.001579,0.001808,0.00155,0.001636,0,0
TEL.V,D,20180412,000000,0.001635,0.001976,0.001635,0.001778,0,0
TEL.V,D,20180413,000000,0.001778,0.00198,0.001778,0.001881,0,0
TEL.V,D,20180414,000000,0.001881,0.001961,0.00176,0.00186,0,0
TEL.V,D,20180415,000000,0.00186,0.001976,0.001816,0.001923,0,0
TEL.V,D,20180416,000000,0.001923,0.001923,0.00174,0.00174,0,0
TEL.V,D,20180417,000000,0.00174,0.001816,0.00166,0.00171,0,0
TEL.V,D,20180418,000000,0.00171,0.00184,0.001682,0.00184,0,0
TEL.V,D,20180419,000000,0.00184,0.002099,0.001815,0.001929,0,0
TEL.V,D,20180420,000000,0.001929,0.00216,0.001929,0.002037,0,0
TEL.V,D,20180421,000000,0.002037,0.002118,0.001997,0.002118,0,0
TEL.V,D,20180422,000000,0.002118,0.00261,0.002113,0.002485,0,0
TEL.V,D,20180423,000000,0.002485,0.002641,0.002448,0.002512,0,0
TEL.V,D,20180424,000000,0.002512,0.002743,0.002391,0.002532,0,0
TEL.V,D,20180425,000000,0.002532,0.002532,0.002039,0.0021,0,0
TEL.V,D,20180426,000000,0.0021,0.002381,0.0021,0.002315,0,0
TEL.V,D,20180427,000000,0.002315,0.002316,0.002123,0.002252,0,0
TEL.V,D,20180428,000000,0.002251,0.002391,0.002117,0.002186,0,0
TEL.V,D,20180429,000000,0.002186,0.002275,0.002068,0.002068,0,0
TEL.V,D,20180430,000000,0.002068,0.002144,0.00201,0.002077,0,0
TEL.V,D,20180501,000000,0.002077,0.002147,0.001945,0.002012,0,0
TEL.V,D,20180502,000000,0.002012,0.002198,0.001923,0.00206,0,0
TEL.V,D,20180503,000000,0.00206,0.002488,0.00206,0.0021,0,0
TEL.V,D,20180504,000000,0.0021,0.002274,0.0021,0.002274,0,0
TEL.V,D,20180505,000000,0.002274,0.00245,0.002205,0.002368,0,0
TEL.V,D,20180506,000000,0.002368,0.002371,0.002213,0.002292,0,0
TEL.V,D,20180507,000000,0.002292,0.002332,0.002182,0.002182,0,0
TEL.V,D,20180508,000000,0.002182,0.002318,0.002094,0.002169,0,0
TEL.V,D,20180509,000000,0.002169,0.002254,0.002104,0.002104,0,0
TEL.V,D,20180510,000000,0.002179,0.002179,0.001954,0.002098,0,0
TEL.V,D,20180511,000000,0.002099,0.002099,0.001898,0.001966,0,0
TEL.V,D,20180512,000000,0.001966,0.001983,0.001846,0.001846,0,0
TEL.V,D,20180513,000000,0.001846,0.002115,0.001846,0.002115,0,0
TEL.V,D,20180514,000000,0.002115,0.002115,0.001964,0.001964,0,0
TEL.V,D,20180515,000000,0.001964,0.001976,0.001905,0.001905,0,0
TEL.V,D,20180516,000000,0.001905,0.001979,0.001905,0.001979,0,0
TEL.V,D,20180517,000000,0.001979,0.001979,0.001738,0.001871,0,0
TEL.V,D,20180518,000000,0.001872,0.001942,0.001803,0.001873,0,0
TEL.V,D,20180519,000000,0.001873,0.001949,0.00181,0.001949,0,0
TEL.V,D,20180520,000000,0.001949,0.002002,0.001931,0.001931,0,0
TEL.V,D,20180521,000000,0.001931,0.001951,0.001881,0.001881,0,0
TEL.V,D,20180522,000000,0.001881,0.001881,0.001666,0.00173,0,0
TEL.V,D,20180523,000000,0.001731,0.001731,0.001443,0.001558,0,0
TEL.V,D,20180524,000000,0.001558,0.001627,0.001506,0.001506,0,0
TEL.V,D,20180525,000000,0.001507,0.00152,0.001403,0.001462,0,0
TEL.V,D,20180526,000000,0.001462,0.001523,0.001406,0.001464,0,0
TEL.V,D,20180527,000000,0.001464,0.001481,0.001367,0.001424,0,0
TEL.V,D,20180528,000000,0.001424,0.001424,0.00128,0.001331,0,0
TEL.V,D,20180529,000000,0.001382,0.001586,0.001382,0.00153,0,0
TEL.V,D,20180530,000000,0.00153,0.00156,0.001504,0.001504,0,0
TEL.V,D,20180531,000000,0.001504,0.001674,0.001504,0.001674,0,0
TEL.V,D,20180601,000000,0.001674,0.001679,0.001621,0.001679,0,0
TEL.V,D,20180602,000000,0.001679,0.001713,0.001653,0.001713,0,0
TEL.V,D,20180603,000000,0.001653,0.001795,0.001517,0.001671,0,0
TEL.V,D,20180604,000000,0.001671,0.001671,0.001478,0.001537,0,0
TEL.V,D,20180605,000000,0.001537,0.001581,0.001521,0.001581,0,0
TEL.V,D,20180606,000000,0.001581,0.001581,0.001394,0.001576,0,0
TEL.V,D,20180607,000000,0.001576,0.001576,0.001511,0.001511,0,0
TEL.V,D,20180608,000000,0.001511,0.001559,0.001499,0.001499,0,0
TEL.V,D,20180609,000000,0.001499,0.001543,0.001424,0.001483,0,0
TEL.V,D,20180610,000000,0.001483,0.001483,0.001254,0.001259,0,0
TEL.V,D,20180611,000000,0.001259,0.001328,0.001222,0.001275,0,0
TEL.V,D,20180612,000000,0.001275,0.001275,0.001137,0.001236,0,0
TEL.V,D,20180613,000000,0.001236,0.001236,0.001095,0.001095,0,0
TEL.V,D,20180614,000000,0.001095,0.001248,0.001095,0.001248,0,0
TEL.V,D,20180615,000000,0.001248,0.001248,0.001107,0.001107,0,0
TEL.V,D,20180616,000000,0.001107,0.001193,0.001094,0.001144,0,0
TEL.V,D,20180617,000000,0.001144,0.001197,0.001133,0.001192,0,0
TEL.V,D,20180618,000000,0.001192,0.001455,0.001191,0.001403,0,0
TEL.V,D,20180619,000000,0.001403,0.001459,0.001292,0.001346,0,0
TEL.V,D,20180620,000000,0.001346,0.001394,0.001153,0.001233,0,0
TEL.V,D,20180621,000000,0.001233,0.001272,0.001157,0.001209,0,0
TEL.V,D,20180622,000000,0.001209,0.001209,0.001017,0.001063,0,0
TEL.V,D,20180623,000000,0.001017,0.001091,0.001017,0.001091,0,0
TEL.V,D,20180624,000000,0.001091,0.001091,0.000924,0.000956,0,0
TEL.V,D,20180625,000000,0.000956,0.001014,0.000918,0.001009,0,0
TEL.V,D,20180626,000000,0.001009,0.001009,0.000859,0.000945,0,0
TEL.V,D,20180627,000000,0.000946,0.000981,0.000928,0.000972,0,0
TEL.V,D,20180628,000000,0.000972,0.000972,0.000883,0.000926,0,0
TEL.V,D,20180629,000000,0.000925,0.000962,0.000914,0.000958,0,0
TEL.V,D,20180630,000000,0.000958,0.001075,0.000952,0.001038,0,0
TEL.V,D,20180701,000000,0.001038,0.001039,0.000981,0.001039,0,0
TEL.V,D,20180702,000000,0.00104,0.001191,0.00104,0.001144,0,0
TEL.V,D,20180703,000000,0.001144,0.001155,0.001021,0.001058,0,0
TEL.V,D,20180704,000000,0.001057,0.001126,0.001023,0.001121,0,0
TEL.V,D,20180705,000000,0.001121,0.001155,0.001029,0.001117,0,0
TEL.V,D,20180706,000000,0.001117,0.001128,0.001024,0.001081,0,0
TEL.V,D,20180707,000000,0.001081,0.001176,0.001081,0.001117,0,0
TEL.V,D,20180708,000000,0.001117,0.001167,0.001109,0.001118,0,0
TEL.V,D,20180709,000000,0.001123,0.001193,0.001037,0.001037,0,0
TEL.V,D,20180710,000000,0.001037,0.001038,0.000952,0.001038,0,0
TEL.V,D,20180711,000000,0.001038,0.001069,0.00098,0.00098,0,0
TEL.V,D,20180712,000000,0.00098,0.001034,0.000948,0.000991,0,0
TEL.V,D,20180713,000000,0.000991,0.001038,0.000951,0.000995,0,0
TEL.V,D,20180714,000000,0.000995,0.001041,0.000954,0.001041,0,0
TEL.V,D,20180715,000000,0.001041,0.001079,0.000989,0.001034,0,0
TEL.V,D,20180716,000000,0.001034,0.001149,0.001034,0.001149,0,0
TEL.V,D,20180717,000000,0.001149,0.001203,0.001098,0.001148,0,0
TEL.V,D,20180718,000000,0.001148,0.001198,0.001102,0.00115,0,0
TEL.V,D,20180719,000000,0.00115,0.001186,0.00112,0.001172,0,0
TEL.V,D,20180720,000000,0.001172,0.001172,0.001032,0.001077,0,0
TEL.V,D,20180721,000000,0.001077,0.001106,0.001014,0.00106,0,0
TEL.V,D,20180722,000000,0.00106,0.001098,0.001007,0.001053,0,0
TEL.V,D,20180723,000000,0.001053,0.001084,0.000989,0.001079,0,0
