<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TFUEL.V,D,20190327,000000,0.01719,0.019,0.01701,0.01784,0,0
TFUEL.V,D,20190328,000000,0.01784,0.01858,0.0168,0.01711,0,0
TFUEL.V,D,20190329,000000,0.01711,0.01711,0.01604,0.0163,0,0
TFUEL.V,D,20190330,000000,0.0163,0.01649,0.01414,0.01511,0,0
TFUEL.V,D,20190331,000000,0.01511,0.016,0.0141,0.01495,0,0
TFUEL.V,D,20190401,000000,0.01495,0.01525,0.0135,0.01395,0,0
TFUEL.V,D,20190402,000000,0.01395,0.01571,0.01307,0.01374,0,0
TFUEL.V,D,20190403,000000,0.01374,0.0138,0.01162,0.01214,0,0
TFUEL.V,D,20190404,000000,0.01214,0.01421,0.0118,0.01353,0,0
TFUEL.V,D,20190405,000000,0.01353,0.01473,0.01273,0.01307,0,0
TFUEL.V,D,20190406,000000,0.01307,0.01314,0.01225,0.01247,0,0
TFUEL.V,D,20190407,000000,0.01247,0.01307,0.01234,0.01268,0,0
TFUEL.V,D,20190408,000000,0.01268,0.01292,0.0119,0.01197,0,0
TFUEL.V,D,20190409,000000,0.01197,0.01454,0.01178,0.01302,0,0
TFUEL.V,D,20190410,000000,0.01302,0.01338,0.01231,0.01297,0,0
TFUEL.V,D,20190411,000000,0.01297,0.01319,0.01114,0.01145,0,0
TFUEL.V,D,20190412,000000,0.01145,0.0121,0.01013,0.0109,0,0
TFUEL.V,D,20190413,000000,0.0109,0.0114,0.01062,0.0111,0,0
TFUEL.V,D,20190414,000000,0.0111,0.01404,0.01081,0.01212,0,0
TFUEL.V,D,20190415,000000,0.01212,0.0125,0.01108,0.01128,0,0
TFUEL.V,D,20190416,000000,0.01128,0.0121,0.01112,0.01151,0,0
TFUEL.V,D,20190417,000000,0.01151,0.01152,0.01092,0.01135,0,0
TFUEL.V,D,20190418,000000,0.01135,0.01178,0.01122,0.01148,0,0
TFUEL.V,D,20190419,000000,0.01148,0.01217,0.01124,0.01163,0,0
TFUEL.V,D,20190420,000000,0.01163,0.01193,0.01146,0.01171,0,0
TFUEL.V,D,20190421,000000,0.01171,0.01171,0.01062,0.01084,0,0
TFUEL.V,D,20190422,000000,0.01084,0.01116,0.01041,0.01101,0,0
TFUEL.V,D,20190423,000000,0.01101,0.01147,0.01081,0.01084,0,0
TFUEL.V,D,20190424,000000,0.01084,0.01086,0.00945,0.00979,0,0
TFUEL.V,D,20190425,000000,0.00979,0.00979,0.008136,0.008922,0,0
TFUEL.V,D,20190426,000000,0.008922,0.0094,0.008274,0.008684,0,0
TFUEL.V,D,20190427,000000,0.008684,0.00906,0.008585,0.008712,0,0
TFUEL.V,D,20190428,000000,0.008712,0.008793,0.008449,0.008449,0,0
TFUEL.V,D,20190429,000000,0.008449,0.008946,0.008435,0.008486,0,0
TFUEL.V,D,20190430,000000,0.008486,0.008524,0.00714,0.008364,0,0
TFUEL.V,D,20190501,000000,0.008364,0.00906,0.007878,0.008484,0,0
TFUEL.V,D,20190502,000000,0.008484,0.009433,0.008242,0.008613,0,0
TFUEL.V,D,20190503,000000,0.008613,0.008781,0.008258,0.008429,0,0
TFUEL.V,D,20190504,000000,0.008429,0.008429,0.006998,0.007964,0,0
TFUEL.V,D,20190505,000000,0.007964,0.008446,0.007726,0.00807,0,0
TFUEL.V,D,20190506,000000,0.00807,0.00807,0.007486,0.007901,0,0
TFUEL.V,D,20190507,000000,0.007901,0.008047,0.007606,0.007741,0,0
TFUEL.V,D,20190508,000000,0.007741,0.007741,0.006683,0.007258,0,0
TFUEL.V,D,20190509,000000,0.007258,0.00735,0.006363,0.006705,0,0
TFUEL.V,D,20190510,000000,0.006705,0.006967,0.005892,0.00655,0,0
TFUEL.V,D,20190511,000000,0.00655,0.007329,0.006269,0.0068,0,0
TFUEL.V,D,20190512,000000,0.0068,0.007151,0.00627,0.006422,0,0
