<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TITAN.V,D,20220515,000000,2.73616,2.82204,2.7299,2.78593,2516.6907486051,0
TITAN.V,D,20220516,000000,2.79864,2.83088,2.79464,2.81505,1879.2425410000005,0
TITAN.V,D,20220517,000000,2.81633,2.86456,2.79808,2.86056,96562.75274340001,0
TITAN.V,D,20220518,000000,2.86627,2.87098,2.85129,2.86798,1526.202565825,0
TITAN.V,D,20220519,000000,2.87126,2.87126,2.86313,2.86442,3747.637847000002,0
TITAN.V,D,20220520,000000,2.86713,2.86842,2.60461,2.60787,98524.8459064,0
TITAN.V,D,20220521,000000,2.5769,2.59211,2.48277,2.50873,41807.75471499999,0
TITAN.V,D,20220522,000000,2.50774,2.56392,2.50349,2.56392,1012.81246915695,0
TITAN.V,D,20220523,000000,2.55593,2.56891,2.50849,2.52996,880.5679600151992,0
TITAN.V,D,20220524,000000,2.52996,2.73599,2.38513,2.4975,55246.12406485662,0
TITAN.V,D,20220525,000000,2.49276,2.65008,2.48327,2.5839,62432.90184156238,0
TITAN.V,D,20220526,000000,2.5829,2.64928,2.35627,2.58062,21412.28594381639,0
TITAN.V,D,20220527,000000,2.54657,2.71578,2.3735,2.46409,35520.50377555764,0
TITAN.V,D,20220528,000000,2.49566,2.52664,2.45228,2.48711,29510.1275801708,0
TITAN.V,D,20220529,000000,2.48726,2.48751,2.33284,2.47045,115269.10810489811,0
TITAN.V,D,20220530,000000,2.46741,2.5974,2.4544,2.51428,47280.38817582771,0
TITAN.V,D,20220531,000000,2.51024,2.60309,2.48716,2.48913,48573.45638446402,0
TITAN.V,D,20220601,000000,2.48665,2.52901,2.44241,2.44868,30881.788086500008,0
TITAN.V,D,20220602,000000,2.44699,2.63644,2.41244,2.51017,148713.70622089974,0
TITAN.V,D,20220603,000000,2.54271,2.67197,2.497,2.58956,16836.1098698,0
TITAN.V,D,20220604,000000,2.64945,3.04362,2.64945,3.04362,55667.677395880906,0
TITAN.V,D,20220605,000000,3.03457,3.03457,2.71569,2.72457,48124.15040487,0
TITAN.V,D,20220606,000000,2.78452,2.99754,2.78452,2.90456,2791.2452130999995,0
TITAN.V,D,20220607,000000,2.85999,2.89698,2.77319,2.77341,927.3293160000001,0
TITAN.V,D,20220608,000000,2.77402,6.89117,2.71907,4.02238,120811.37174250725,0
TITAN.V,D,20220609,000000,4.08834,4.23624,3.00213,3.10139,3742409.087277438,0
TITAN.V,D,20220610,000000,3.06242,3.0866,2.88411,2.89823,574988.9438871267,0
TITAN.V,D,20220611,000000,2.90128,3.04683,2.84772,2.84872,11213.988291531612,0
TITAN.V,D,20220612,000000,2.83676,2.85474,2.74457,2.74457,21565.34615117228,0
TITAN.V,D,20220613,000000,2.79059,3.12818,2.49072,2.50967,15079.03790809999,0
TITAN.V,D,20220614,000000,2.49645,2.64807,2.37689,2.64807,274912.09695198387,0
TITAN.V,D,20220615,000000,2.64807,2.76992,2.58869,2.75697,1441328.596472308,0
TITAN.V,D,20220616,000000,2.78257,2.83787,2.65969,2.69119,421920.332619067,0
TITAN.V,D,20220617,000000,2.69105,3.25318,2.5559,3.12562,113342.72417923463,0
TITAN.V,D,20220618,000000,3.10724,4.06834,2.9501,3.19145,258045.86067864255,0
TITAN.V,D,20220619,000000,3.1839,3.69508,3.13599,3.38992,7848.703943300004,0
TITAN.V,D,20220620,000000,3.42954,3.56072,3.36562,3.48996,13150.173092100005,0
TITAN.V,D,20220621,000000,3.48387,6.45084,3.22301,4.76323,86521.13610852,0
TITAN.V,D,20220622,000000,4.70881,4.8951,4.57896,4.61038,6230.340521399991,0
TITAN.V,D,20220623,000000,4.62537,4.84215,4.61438,4.77422,20864.106845200033,0
TITAN.V,D,20220624,000000,4.76123,5.03692,4.73681,4.91616,125000.63326506827,0
TITAN.V,D,20220625,000000,4.91808,5.02053,4.7778,4.89957,39219.94952752998,0
TITAN.V,D,20220626,000000,4.89567,4.91703,4.49721,4.69609,21649.5199806,0
TITAN.V,D,20220627,000000,4.72007,4.82636,4.66102,4.71863,14074.0563045,0
TITAN.V,D,20220628,000000,4.74593,5.20089,4.64672,4.98998,32126.819200900012,0
TITAN.V,D,20220629,000000,4.99807,5.63108,4.91321,4.96244,6454.532058519412,0
TITAN.V,D,20220630,000000,4.95804,4.95999,4.507,4.507,7787.731451825395,0
TITAN.V,D,20220701,000000,4.50933,4.57221,1.93479,2.04275,148535.29695131528,0
TITAN.V,D,20220702,000000,2.00859,2.34742,1.8328,1.96145,74885.94877608489,0
TITAN.V,D,20220703,000000,1.96164,1.96564,1.81763,1.83561,16444.150703860032,0
TITAN.V,D,20220704,000000,1.8416,1.84959,1.53615,1.55413,36131.16681526823,0
TITAN.V,D,20220705,000000,1.54814,1.62205,1.33952,1.3605,48153.73708901398,0
TITAN.V,D,20220706,000000,1.38032,1.78803,1.35361,1.50135,58293.94702970175,0
TITAN.V,D,20220707,000000,1.50135,1.54829,1.40372,1.40873,56812.86645911,0
TITAN.V,D,20220708,000000,1.4019,1.43096,1.27197,1.29272,57955.09616339098,0
TITAN.V,D,20220709,000000,1.30676,1.42128,1.27363,1.31369,28056.86802205997,0
TITAN.V,D,20220710,000000,1.31467,1.33983,1.26127,1.26625,39758.54365529998,0
TITAN.V,D,20220711,000000,1.26895,1.3278,1.23757,1.24587,34056.73893620003,0
TITAN.V,D,20220712,000000,1.22491,1.23576,1.09372,1.09372,42855.50395620002,0
TITAN.V,D,20220713,000000,1.09128,1.13898,1.051,1.09118,48473.99313280014,0
TITAN.V,D,20220714,000000,1.08559,1.35723,1.07297,1.22151,67916.42436306401,0
TITAN.V,D,20220715,000000,1.2191,1.26119,1.19564,1.23745,42222.631235599976,0
TITAN.V,D,20220716,000000,1.23661,1.27738,1.16107,1.25619,35597.1143837,0
TITAN.V,D,20220717,000000,1.25662,1.25662,1.18684,1.20061,37900.19854109999,0
TITAN.V,D,20220718,000000,1.19908,1.21432,1.13063,1.15732,60723.12871056006,0
TITAN.V,D,20220719,000000,1.15782,1.2209,1.13543,1.17272,43100.45694,0
TITAN.V,D,20220720,000000,1.164,1.28409,1.13713,1.15506,61075.32900779997,0
TITAN.V,D,20220721,000000,1.16014,1.21538,1.13397,1.1894,71155.7469862,0
TITAN.V,D,20220722,000000,1.15837,1.28363,1.14547,1.20337,59429.7731838001,0
TITAN.V,D,20220723,000000,1.219,1.28509,1.14535,1.14801,60193.94883720006,0
TITAN.V,D,20220724,000000,1.1468,1.17296,1.14517,1.1675,40885.102947,0
TITAN.V,D,20220725,000000,1.16444,1.17009,1.09314,1.14527,38744.704940640055,0
TITAN.V,D,20220726,000000,1.14944,1.15382,1.05717,1.08193,32442.6127511,0
TITAN.V,D,20220727,000000,1.08163,1.12544,1.05751,1.09056,40875.45095754999,0
TITAN.V,D,20220728,000000,1.09423,1.14849,1.06974,1.09467,33647.935003299965,0
TITAN.V,D,20220729,000000,1.09739,1.15226,1.07106,1.10481,34458.49664388297,0
TITAN.V,D,20220730,000000,1.10382,1.12037,1.08616,1.09366,40113.237441399986,0
TITAN.V,D,20220731,000000,1.08639,1.15057,1.08034,1.11045,37875.54941917496,0
TITAN.V,D,20220801,000000,1.10875,1.15713,1.07363,1.08806,42278.94474408002,0
TITAN.V,D,20220802,000000,1.08032,1.09041,1.05025,1.06365,54852.240518073,0
TITAN.V,D,20220803,000000,1.06605,1.09603,1.0261,1.0826,55701.12198850497,0
