<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TTT.V,D,20220515,000000,0.0369245,0.0371779,0.0365225,0.0365225,8513.2960665206,0
TTT.V,D,20220516,000000,0.0356771,0.0360103,0.0353276,0.0356807,43675.098855551,0
TTT.V,D,20220517,000000,0.0351707,0.0357471,0.0351707,0.0357471,81.8682707404,0
TTT.V,D,20220518,000000,3.7891376,3.800434,3.7869206,3.7887582,3903.7450906508,0
TTT.V,D,20220519,000000,3.7887582,3.8592635,3.7883788,3.8592635,48696.724860201,0
TTT.V,D,20220520,000000,0.0355009,0.0355009,0.0346953,0.0352177,0.5148663011,0
TTT.V,D,20220521,000000,3.7793305,3.7793305,3.7519062,3.7519062,1513.7481186508,0
TTT.V,D,20220522,000000,3.7887582,3.8075954,3.7793305,3.7797089,10731.15725,0
TTT.V,D,20220523,000000,3.8079766,3.8083578,3.8079766,3.8083578,19516.33588,0
TTT.V,D,20220524,000000,3.7797089,3.7797089,3.7703222,3.7703222,173.290519,0
TTT.V,D,20220525,000000,3.7703222,3.9734361,3.7699447,3.9734361,7258.33144,0
TTT.V,D,20220526,000000,3.6173765,3.99,0.0343188,3.93648,44856.97112,0
TTT.V,D,20220527,000000,3.97256,3.98247,3.73354,3.73391,8325.4960174004,0
TTT.V,D,20220528,000000,3.73324,3.73339,3.58199,3.59086,47190.828311483,0
TTT.V,D,20220529,000000,0.03346,0.03407,0.03344,0.03346,14120.644395836,0
TTT.V,D,20220530,000000,0.03345,0.0346,0.03298,0.03443,107738.89408957,0
TTT.V,D,20220531,000000,0.0344,0.0344,0.0330568,0.0330568,12501.734590296,0
TTT.V,D,20220601,000000,0.0330735,0.033723,0.0329637,0.0329703,27661.462491,0
TTT.V,D,20220602,000000,0.032977,0.0329803,0.0325507,0.0327205,38843.006987901,0
TTT.V,D,20220603,000000,0.0327205,0.0327561,0.0327205,0.0327382,18411.311550115,0
TTT.V,D,20220604,000000,0.0327415,0.0327628,0.0322248,0.0322255,174874.00922304,0
TTT.V,D,20220605,000000,0.0322178,0.0322532,0.0319876,0.0322126,45657.92509201,0
TTT.V,D,20220606,000000,0.03222,0.0327538,0.03222,0.0327521,93093.843443398,0
TTT.V,D,20220607,000000,0.0327525,0.0327525,0.0319815,0.0320443,172542.6657342,0
TTT.V,D,20220608,000000,0.0321146,0.0327577,0.031779,0.0327577,202758.26766592,0
TTT.V,D,20220609,000000,0.0327587,0.0327587,0.0324311,0.0324324,51641.441554103,0
TTT.V,D,20220610,000000,0.0324398,0.0324398,0.0317612,0.0317641,42329.778154,0
TTT.V,D,20220611,000000,0.0317647,3.56481,0.0317647,3.56481,17288.571013,0
TTT.V,D,20220612,000000,3.5635372,3.5772611,3.492359,3.492359,4947.9198669075,0
TTT.V,D,20220613,000000,3.4941019,3.4941019,0.0307791,0.031196,177692.36960556,0
TTT.V,D,20220614,000000,0.0310418,0.0310418,0.029971,0.0304253,5928907.1807362,0
TTT.V,D,20220615,000000,0.0304238,0.0304262,0.0299397,0.0300479,1203682.4092022,0
TTT.V,D,20220616,000000,0.0300139,0.0300139,0.029984,0.029984,5050.695969,0
TTT.V,D,20220617,000000,0.0299683,0.029974,0.029958,0.0299643,576241.943909,0
TTT.V,D,20220618,000000,0.0299734,0.0299752,0.0289594,0.028973,6028066.7781391,0
TTT.V,D,20220619,000000,0.0289565,0.0290351,0.0289536,0.0290322,3644561.8746009,0
TTT.V,D,20220620,000000,0.0289952,0.0289981,0.0287597,0.0287683,268904.04018638,0
TTT.V,D,20220621,000000,0.0279392,0.028777,0.0279392,0.028777,332.6136737606,0
TTT.V,D,20220622,000000,0.0287712,0.0287712,0.0287384,0.0287712,472756.1554008,0
TTT.V,D,20220623,000000,0.0287312,0.0287712,0.0287013,0.0287013,47475.515501001,0
TTT.V,D,20220624,000000,0.0287712,0.0287712,0.0276054,0.0276082,84735.818465395,0
