<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WOO.V,D,20220111,000000,0.91286,1.03,0.909399,0.981528,5684667.100042966,0
WOO.V,D,20220112,000000,0.981018,1.064319,0.966533,1.047419,6572566.740922015,0
WOO.V,D,20220113,000000,1.047389,1.047389,0.948379,0.958123,5828056.866828694,0
WOO.V,D,20220114,000000,0.957883,1.011985,0.92131,1.011693,7146659.503403101,0
WOO.V,D,20220115,000000,1.011034,1.012835,0.955382,0.957639,3164414.439086874,0
WOO.V,D,20220116,000000,0.957809,0.964482,0.910455,0.923879,6163009.145570241,0
WOO.V,D,20220117,000000,0.925578,0.933613,0.819926,0.852891,9141820.27032281,0
WOO.V,D,20220118,000000,0.85134,0.879352,0.773339,0.841286,11451586.090450529,0
WOO.V,D,20220119,000000,0.841456,0.847259,0.751671,0.781004,7834673.699379912,0
WOO.V,D,20220120,000000,0.780996,0.953486,0.773922,0.79963,24140728.478388537,0
WOO.V,D,20220121,000000,0.80215,0.813631,0.628669,0.657061,11577169.452713085,0
WOO.V,D,20220122,000000,0.664899,0.685696,0.468484,0.546704,18504159.75242378,0
WOO.V,D,20220123,000000,0.544173,0.636927,0.536561,0.569364,12471793.29155651,0
WOO.V,D,20220124,000000,0.571511,0.647369,0.495379,0.582825,19253558.70464572,0
WOO.V,D,20220125,000000,0.582685,0.690287,0.564449,0.624902,21168760.942326058,0
WOO.V,D,20220126,000000,0.626133,0.673854,0.574187,0.596798,13808809.58610756,0
WOO.V,D,20220127,000000,0.597228,0.635037,0.558459,0.589626,10472472.032282155,0
WOO.V,D,20220128,000000,0.589896,0.612804,0.545164,0.591747,11175893.864560695,0
WOO.V,D,20220129,000000,0.590428,0.611683,0.558217,0.596309,16363110.609150426,0
WOO.V,D,20220130,000000,0.594488,0.610523,0.546424,0.553926,12897485.886136586,0
WOO.V,D,20220131,000000,0.555382,0.582941,0.516455,0.578837,14500709.628101764,0
WOO.V,D,20220201,000000,0.582235,0.598529,0.563598,0.578177,8133305.709110864,0
WOO.V,D,20220202,000000,0.577068,0.593737,0.517387,0.527875,6413477.051974618,0
WOO.V,D,20220203,000000,0.527462,0.544218,0.502871,0.533287,8120406.915782026,0
WOO.V,D,20220204,000000,0.534074,0.627736,0.532783,0.605654,12058304.294643728,0
WOO.V,D,20220205,000000,0.602392,0.685701,0.602331,0.631319,13220217.458178237,0
WOO.V,D,20220206,000000,0.631259,0.665332,0.61637,0.65988,8291987.40130607,0
WOO.V,D,20220207,000000,0.659674,0.72325,0.644801,0.690483,9488581.421027478,0
WOO.V,D,20220208,000000,0.690592,0.87559,0.675913,0.765608,70224331.60953465,0
WOO.V,D,20220209,000000,0.766359,0.809388,0.717622,0.746746,16856703.50061547,0
WOO.V,D,20220210,000000,0.745945,0.747872,0.663997,0.687381,13703647.726444036,0
WOO.V,D,20220211,000000,0.68658,0.689213,0.562913,0.587076,15987197.063828008,0
WOO.V,D,20220212,000000,0.58737,0.609165,0.556734,0.573086,9896582.079038475,0
WOO.V,D,20220213,000000,0.571543,0.58435,0.532819,0.538223,7838104.9568912545,0
WOO.V,D,20220214,000000,0.538169,0.585251,0.525262,0.573144,12165964.58147523,0
WOO.V,D,20220215,000000,0.572606,0.61653,0.561991,0.587542,9351562.055972574,0
WOO.V,D,20220216,000000,0.587001,0.611337,0.568598,0.593906,7804911.457396469,0
WOO.V,D,20220217,000000,0.593906,0.605273,0.519243,0.539828,12951569.96993722,0
WOO.V,D,20220218,000000,0.539684,0.545582,0.496298,0.510606,19023671.329861764,0
WOO.V,D,20220219,000000,0.510806,0.524515,0.472936,0.474137,16050469.554336805,0
WOO.V,D,20220220,000000,0.473184,0.482141,0.416708,0.433317,27294405.144388184,0
WOO.V,D,20220221,000000,0.432216,0.475838,0.407063,0.409505,28959814.681489438,0
WOO.V,D,20220222,000000,0.409405,0.434674,0.371949,0.416808,26371480.647360034,0
WOO.V,D,20220223,000000,0.416808,0.462477,0.40024,0.415149,28652710.552767772,0
WOO.V,D,20220224,000000,0.413548,0.414807,0.338969,0.369648,22080642.00733746,0
WOO.V,D,20220225,000000,0.369948,0.436274,0.368147,0.423812,20052355.132930424,0
WOO.V,D,20220226,000000,0.426313,0.487944,0.420968,0.468387,20672104.503196757,0
WOO.V,D,20220227,000000,0.468434,0.502451,0.423869,0.437575,17744416.92312077,0
WOO.V,D,20220228,000000,0.437319,0.546573,0.42597,0.508203,15233113.477101794,0
WOO.V,D,20220301,000000,0.507703,0.541162,0.493897,0.53366,11315900.086228227,0
WOO.V,D,20220302,000000,0.53416,0.54841,0.503851,0.513854,9586776.33903885,0
