<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WXT.V,D,20220515,000000,0.01004192,0.01097781,0.00982025,0.01092378,6019579.696112,0
WXT.V,D,20220516,000000,0.01097881,0.01114473,0.01023363,0.01049634,4602071.9348498,0
WXT.V,D,20220517,000000,0.01050632,0.01141928,0.01047536,0.01141928,8598650.0209023,0
WXT.V,D,20220518,000000,0.01141129,0.01222232,0.01022169,0.01056525,15692166.196849,0
WXT.V,D,20220519,000000,0.01056419,0.01146767,0.01033266,0.01144169,14988725.32303,0
WXT.V,D,20220520,000000,0.01145968,0.01182953,0.01116694,0.01170494,14646111.779642,0
WXT.V,D,20220521,000000,0.01178884,0.01196742,0.01144011,0.01189932,16330465.467719,0
WXT.V,D,20220522,000000,0.01185838,0.01225428,0.01161904,0.01225428,11292503.138363,0
WXT.V,D,20220523,000000,0.01222032,0.01235416,0.01167015,0.01182479,11383070.153907,0
WXT.V,D,20220524,000000,0.01179083,0.01188092,0.01133638,0.01180463,6592777.0149326,0
WXT.V,D,20220525,000000,0.01181662,0.0119868,0.0114384,0.01197062,2256123.4148421,0
WXT.V,D,20220526,000000,0.01196083,0.0119868,0.0106033,0.0111998,14957085.806486,0
WXT.V,D,20220527,000000,0.0112028,0.0112028,0.0098641,0.0103746,3136001.7679114,0
WXT.V,D,20220528,000000,0.01039,0.0104854,0.0102216,0.0104309,2278320.1908776,0
WXT.V,D,20220529,000000,0.0104296,0.0109927,0.0102666,0.0109828,2908483.7389551,0
WXT.V,D,20220530,000000,0.0109856,0.0117318,0.0109706,0.0116668,5131829.563977,0
WXT.V,D,20220531,000000,0.0117258,0.0119794,0.0113889,0.0114737,15434832.679578,0
WXT.V,D,20220601,000000,0.0114793,0.0119197,0.0111908,0.0113108,15975842.733273,0
WXT.V,D,20220602,000000,0.0113706,0.0115566,0.0106084,0.0115566,19676607.30347,0
WXT.V,D,20220603,000000,0.0115696,0.0119899,0.011109,0.0117488,28243355.42809,0
WXT.V,D,20220604,000000,0.0117847,0.0121453,0.0117223,0.0120848,8777784.2279094,0
WXT.V,D,20220605,000000,0.0120921,0.0120991,0.0117288,0.011846,4132425.2902741,0
WXT.V,D,20220606,000000,0.0118475,0.0129852,0.01183,0.0128451,11201189.319963,0
WXT.V,D,20220607,000000,0.01294,0.0132519,0.0120143,0.0124688,9861080.1688157,0
WXT.V,D,20220608,000000,0.0125243,0.012563,0.0123262,0.0124409,40929993.972116,0
WXT.V,D,20220609,000000,0.0124734,0.0125418,0.01118,0.011893,62057230.581295,0
WXT.V,D,20220610,000000,0.0118899,0.0118962,0.0110035,0.0111984,160381413.77594,0
WXT.V,D,20220611,000000,0.0111997,0.0117913,0.0110168,0.0114301,25029405.087208,0
WXT.V,D,20220612,000000,0.0114161,0.0118189,0.0111761,0.0116586,13394887.183927,0
WXT.V,D,20220613,000000,0.0116578,0.0116578,0.0100315,0.0109168,104960369.92179,0
WXT.V,D,20220614,000000,0.0109379,0.0109871,0.0103247,0.0109329,247061045.00796,0
WXT.V,D,20220615,000000,0.0109353,0.0109642,0.0104264,0.0108427,514218210.75547,0
WXT.V,D,20220616,000000,0.0101858,0.0108321,0.009969,0.0104104,215621111.64235,0
WXT.V,D,20220617,000000,0.0103498,0.0107361,0.0101588,0.0107081,166355030.19576,0
WXT.V,D,20220618,000000,0.0106983,0.0107351,0.0101799,0.0102953,850863512.1608,0
WXT.V,D,20220619,000000,0.0102424,0.0104862,0.0099857,0.0104215,35414265.644053,0
WXT.V,D,20220620,000000,0.0104205,0.0106603,0.0102786,0.0106043,8370311.3583004,0
WXT.V,D,20220621,000000,0.0105943,0.0110838,0.0105923,0.0108991,4194400.720301,0
WXT.V,D,20220622,000000,0.0108561,0.0109081,0.0106943,0.0108232,2863505.5390057,0
WXT.V,D,20220623,000000,0.0108511,0.0108591,0.0101279,0.0104086,15128830.597565,0
WXT.V,D,20220624,000000,0.0103936,0.0112191,0.0103796,0.0112122,69298749.275569,0
WXT.V,D,20220625,000000,0.0111948,0.0112178,0.0109043,0.0109593,22825994.985348,0
WXT.V,D,20220626,000000,0.0109923,0.0110014,0.0109109,0.0109432,20454498.575526,0
WXT.V,D,20220627,000000,0.0109405,0.010969,0.01076,0.0108132,559383.74886198,0
