<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XCN.V,D,20220514,000000,0.0840529,0.0843014,0.083981,0.0842111,749239.490345,0
XCN.V,D,20220515,000000,0.0950907,0.0953739,0.0879635,0.094475,274095668.3626798,0
XCN.V,D,20220516,000000,0.0944236,0.1047941,0.0944151,0.1046538,283188412.7317694,0
XCN.V,D,20220517,000000,0.1046498,0.1056325,0.0908788,0.0922839,307311214.5429697,0
XCN.V,D,20220518,000000,0.0922679,0.1395354,0.0731202,0.0966342,988659807.9277202,0
XCN.V,D,20220519,000000,0.0966362,0.0976806,0.0908511,0.0924894,168612419.2496593,0
XCN.V,D,20220520,000000,0.0924937,0.0931451,0.0789399,0.0900678,141682785.19112897,0
XCN.V,D,20220521,000000,0.0901447,0.0932676,0.0899169,0.0911104,132850958.27250633,0
XCN.V,D,20220522,000000,0.0911284,0.0955562,0.0860989,0.0955442,75363190.59717911,0
XCN.V,D,20220523,000000,0.0955602,0.09902,0.0955262,0.0969955,114674694.92882843,0
XCN.V,D,20220524,000000,0.0968979,0.0975059,0.0949724,0.0963506,60571169.262407176,0
XCN.V,D,20220525,000000,0.0963409,0.1058934,0.096259,0.1015969,65949644.893899634,0
XCN.V,D,20220526,000000,0.1016149,0.125831,0.1011215,0.125494,292962752.99177706,0
XCN.V,D,20220527,000000,0.125451,0.19465,0.125245,0.177204,774335805.0654982,0
XCN.V,D,20220528,000000,0.177201,0.177462,0.167655,0.174612,209669176.69679546,0
XCN.V,D,20220529,000000,0.174496,0.179311,0.169134,0.173461,216578153.46347043,0
XCN.V,D,20220530,000000,0.173433,0.173696,0.162102,0.167551,61791766.9332723,0
XCN.V,D,20220531,000000,0.167563,0.177959,0.167552,0.173635,43599262.88163239,0
XCN.V,D,20220601,000000,0.173635,0.183903,0.171309,0.18261,24732092.986331604,0
XCN.V,D,20220602,000000,0.182585,0.182592,0.165427,0.168132,25397027.442787535,0
XCN.V,D,20220603,000000,0.168132,0.177958,0.167984,0.176403,33964305.38098533,0
XCN.V,D,20220604,000000,0.176427,0.176546,0.147724,0.153413,18937915.234248005,0
XCN.V,D,20220605,000000,0.153411,0.165068,0.13938,0.164375,71114100.21730235,0
XCN.V,D,20220606,000000,0.164386,0.165344,0.15943,0.159453,64308842.346144445,0
XCN.V,D,20220607,000000,0.159462,0.162352,0.158465,0.162346,59256661.87015998,0
XCN.V,D,20220608,000000,0.162341,0.162471,0.156749,0.159099,200292666.9987421,0
XCN.V,D,20220609,000000,0.159099,0.166444,0.119911,0.159599,287276208.2800345,0
XCN.V,D,20220610,000000,0.159502,0.161152,0.153564,0.155027,319443368.2510388,0
XCN.V,D,20220611,000000,0.155182,0.156918,0.148027,0.148206,273646315.40960807,0
XCN.V,D,20220612,000000,0.148154,0.148399,0.143069,0.145846,173458833.5426319,0
XCN.V,D,20220613,000000,0.145787,0.146122,0.130935,0.131567,319287561.35344887,0
XCN.V,D,20220614,000000,0.131605,0.134289,0.001273,0.086875,4487233546.023885,0
XCN.V,D,20220615,000000,0.087005,0.09547,0.049969,0.086335,818624179.0666343,0
XCN.V,D,20220616,000000,0.08634,0.0873191,0.0830076,0.0866016,191803795.27474105,0
XCN.V,D,20220617,000000,0.086707,0.088377,0.0839873,0.0858529,201744126.1654545,0
XCN.V,D,20220618,000000,0.0858549,0.0889391,0.0751948,0.0797546,294174387.3946914,0
XCN.V,D,20220619,000000,0.0796829,0.084148,0.0792266,0.0835403,59626142.207890585,0
XCN.V,D,20220620,000000,0.0836551,0.0844625,0.0803324,0.0837408,42820528.40910698,0
XCN.V,D,20220621,000000,0.0837524,0.0909659,0.0796183,0.090955,66448241.886851296,0
XCN.V,D,20220622,000000,0.0909299,0.0927279,0.0854535,0.0876503,41197683.07746189,0
XCN.V,D,20220623,000000,0.0872966,0.0879859,0.0839969,0.0854185,15384252.95995598,0
XCN.V,D,20220624,000000,0.0854585,0.0888401,0.0847332,0.087295,16952985.996067677,0
XCN.V,D,20220625,000000,0.0872147,0.08991,0.0854778,0.0860937,7577590.487447396,0
XCN.V,D,20220626,000000,0.0860507,0.0892454,0.0851762,0.0852931,14549414.570591442,0
XCN.V,D,20220627,000000,0.0852471,0.0885035,0.0836846,0.0873892,51865148.748024054,0
XCN.V,D,20220628,000000,0.0873311,0.0921448,0.0840235,0.0882788,61409359.681953326,0
XCN.V,D,20220629,000000,0.0883094,0.0890173,0.0848725,0.0861345,100941739.76834723,0
XCN.V,D,20220630,000000,0.0861285,0.0895071,0.0803605,0.0860586,105985674.29589218,0
XCN.V,D,20220701,000000,0.0862304,0.087612,0.0797772,0.0856737,83628482.9210393,0
XCN.V,D,20220702,000000,0.0858714,0.0866988,0.0833265,0.0842408,41532332.79149317,0
XCN.V,D,20220703,000000,0.0841595,0.0873573,0.0832496,0.0838019,27133035.396728277,0
XCN.V,D,20220704,000000,0.0838079,0.0884627,0.0833089,0.0859038,37953219.50029868,0
XCN.V,D,20220705,000000,0.0859797,0.0894076,0.0820075,0.0839955,45574560.00500042,0
XCN.V,D,20220706,000000,0.0840894,0.0883169,0.0825191,0.0860343,79010705.24563456,0
XCN.V,D,20220707,000000,0.0860413,0.0910008,0.0855838,0.086644,68610765.76731373,0
XCN.V,D,20220708,000000,0.086655,0.0952148,0.0864491,0.0946402,155818810.76394895,0
XCN.V,D,20220709,000000,0.0946941,0.1052728,0.0938956,0.1044613,340539381.34834313,0
XCN.V,D,20220710,000000,0.1044593,0.1060683,0.1002798,0.1013342,65359854.35965021,0
XCN.V,D,20220711,000000,0.1013482,0.1055571,0.0971839,0.1000209,61923309.04826116,0
XCN.V,D,20220712,000000,0.1000139,0.1008091,0.0942267,0.0969659,77784379.71204513,0
XCN.V,D,20220713,000000,0.0969552,0.098919,0.0926089,0.0957727,54462594.77424299,0
XCN.V,D,20220714,000000,0.0959406,0.0959825,0.0921962,0.0941135,32405694.012273047,0
XCN.V,D,20220715,000000,0.0941235,0.09659,0.0932563,0.0942547,26163923.036955982,0
XCN.V,D,20220716,000000,0.0942527,0.094805,0.093404,0.0942397,11682246.273915004,0
XCN.V,D,20220717,000000,0.0941272,0.0945213,0.0900456,0.0919631,45381913.76639105,0
XCN.V,D,20220718,000000,0.0920701,0.092419,0.0883284,0.0892385,45508430.02734893,0
XCN.V,D,20220719,000000,0.0893912,0.0911357,0.0872263,0.0887722,61195564.31780673,0
XCN.V,D,20220720,000000,0.0888262,0.0925834,0.085553,0.0870914,93757259.15429583,0
XCN.V,D,20220721,000000,0.0871455,0.0944959,0.0850109,0.0938395,133771563.49939917,0
XCN.V,D,20220722,000000,0.0938365,0.0942468,0.0893479,0.0895397,32715080.542988893,0
XCN.V,D,20220723,000000,0.0895487,0.0974878,0.088666,0.0966634,82550708.56315193,0
XCN.V,D,20220724,000000,0.0966467,0.098339,0.0941246,0.0953741,23785617.804234367,0
XCN.V,D,20220725,000000,0.0953781,0.0970168,0.0926078,0.0933025,39707559.55822849,0
XCN.V,D,20220726,000000,0.0932855,0.0954273,0.0894803,0.0898385,102875697.86574961,0
XCN.V,D,20220727,000000,0.089828,0.0937855,0.0892174,0.0933924,26773813.741807204,0
XCN.V,D,20220728,000000,0.0933994,0.096608,0.0919698,0.09489,95657768.58880135,0
XCN.V,D,20220729,000000,0.0949409,0.0962241,0.0909985,0.0944007,166292136.5658895,0
XCN.V,D,20220730,000000,0.0944017,0.0947723,0.0905455,0.0913151,97242738.08108313,0
XCN.V,D,20220731,000000,0.0914051,0.0943286,0.089929,0.0940346,146194819.8778396,0
XCN.V,D,20220801,000000,0.0942593,0.0965335,0.0908945,0.0925988,137253771.77271786,0
XCN.V,D,20220802,000000,0.0928398,0.093629,0.0897592,0.0901093,164805658.42704892,0
XCN.V,D,20220803,000000,0.0901163,0.0901989,0.0868588,0.0880011,17334704.13351421,0
XCN.V,D,20220804,000000,0.0880654,0.0884022,0.0852529,0.0855716,26858498.894642875,0
XCN.V,D,20220805,000000,0.0856584,0.0882206,0.0845198,0.0863584,188805486.97821036,0
XCN.V,D,20220806,000000,0.0863654,0.0875705,0.0848538,0.0856448,154977496.0947084,0
XCN.V,D,20220807,000000,0.0856578,0.08718,0.0845826,0.0852812,263676841.24395698,0
XCN.V,D,20220808,000000,0.0852243,0.0873791,0.0850803,0.0862423,110572882.89519851,0
XCN.V,D,20220809,000000,0.0862423,0.089912,0.0860521,0.0895158,84635392.29799576,0
XCN.V,D,20220810,000000,0.0895438,0.0900491,0.0891762,0.0898981,18494104.306972347,0
XCN.V,D,20220811,000000,0.089922,0.0903231,0.0870503,0.0876332,118976944.40565234,0
XCN.V,D,20220812,000000,0.0876438,0.0886963,0.0869688,0.0872011,36993354.80507476,0
XCN.V,D,20220813,000000,0.0872041,0.0874125,0.0870433,0.08729,66358648.87441654,0
XCN.V,D,20220814,000000,0.087292,0.0886194,0.0844286,0.0851034,80577997.87459655,0
XCN.V,D,20220815,000000,0.0850025,0.086341,0.0840306,0.0841212,37109116.86423277,0
XCN.V,D,20220816,000000,0.0841062,0.0874394,0.0839494,0.0868118,41789548.764014095,0
XCN.V,D,20220817,000000,0.0868318,0.086887,0.0827753,0.0831998,30019439.109862376,0
XCN.V,D,20220818,000000,0.0831638,0.0860636,0.0820354,0.0832758,64045514.052236624,0
XCN.V,D,20220819,000000,0.0832823,0.08899,0.082066,0.0861806,89731364.99557409,0
XCN.V,D,20220820,000000,0.0862476,0.0915768,0.0851119,0.091111,89490221.17186809,0
XCN.V,D,20220821,000000,0.0910552,0.0939694,0.0908057,0.0911282,95389551.2409868,0
XCN.V,D,20220822,000000,0.0912222,0.0917114,0.0871269,0.0873543,46694399.02032092,0
XCN.V,D,20220823,000000,0.0873673,0.0875797,0.0860029,0.0860029,61702657.84791912,0
XCN.V,D,20220824,000000,0.0857594,0.0857801,0.0840414,0.0843226,67923989.91699806,0
XCN.V,D,20220825,000000,0.0842636,0.0846937,0.0839314,0.0839665,82425088.1861588,0
XCN.V,D,20220826,000000,0.0839625,0.0857076,0.0838123,0.0856266,73135383.79885992,0
XCN.V,D,20220827,000000,0.0857396,0.0862499,0.0836985,0.0852886,69181901.82745947,0
XCN.V,D,20220828,000000,0.0853116,0.0860729,0.0834533,0.0853041,43742859.58403897,0
XCN.V,D,20220829,000000,0.0852401,0.0867519,0.0838857,0.0840679,38119252.84633982,0
XCN.V,D,20220830,000000,0.0840787,0.0842935,0.0810656,0.0819234,8878667.441013636,0
XCN.V,D,20220831,000000,0.0819456,0.0826833,0.079659,0.0803402,8335565.765803796,0
XCN.V,D,20220901,000000,0.0803422,0.0822512,0.0793466,0.0797098,10454842.070362203,0
XCN.V,D,20220902,000000,0.0796228,0.0809288,0.0794232,0.0798846,15126047.992034424,0
XCN.V,D,20220903,000000,0.0798608,0.080004,0.0768227,0.0777328,7830853.853117146,0
XCN.V,D,20220904,000000,0.077731,0.078304,0.077638,0.078125,4625806.447824715,0
XCN.V,D,20220905,000000,0.078125,0.07823,0.075,0.0755996,12639721.52565861,0
XCN.V,D,20220906,000000,0.0755546,0.0761256,0.072706,0.073864,10932559.124553034,0
XCN.V,D,20220907,000000,0.073871,0.0739397,0.0705095,0.071592,16875312.198710736,0
XCN.V,D,20220908,000000,0.071601,0.071644,0.0676581,0.0682372,25446192.766722124,0
XCN.V,D,20220909,000000,0.0682165,0.0730608,0.0671118,0.0723726,70232535.43723544,0
XCN.V,D,20220910,000000,0.0723378,0.0726401,0.0715699,0.0720667,29526153.269206785,0
XCN.V,D,20220911,000000,0.0720671,0.0744906,0.0717164,0.0740848,10610078.47159609,0
XCN.V,D,20220912,000000,0.0741025,0.0756922,0.0735395,0.0738973,16244420.034701576,0
XCN.V,D,20220913,000000,0.0738953,0.0744669,0.0691121,0.0693344,20531874.20622134,0
XCN.V,D,20220914,000000,0.0693429,0.0694054,0.0684587,0.0684731,2147013.3628843315,0
XCN.V,D,20220915,000000,0.0685918,0.0695049,0.067523,0.0678099,71335985.54843675,0
XCN.V,D,20220916,000000,0.0678213,0.0683456,0.0639366,0.0648665,29710841.547039077,0
XCN.V,D,20220917,000000,0.0647525,0.065031,0.06343,0.063468,21105998.28290296,0
XCN.V,D,20220918,000000,0.063468,0.064466,0.0631533,0.063715,34376411.266621,0
XCN.V,D,20220919,000000,0.063715,0.064006,0.0618894,0.0620502,28544538.92943415,0
XCN.V,D,20220920,000000,0.0620202,0.0638734,0.0610861,0.063789,39820766.45919019,0
XCN.V,D,20220921,000000,0.06375,0.067342,0.0635554,0.066993,79684461.84007727,0
XCN.V,D,20220922,000000,0.066934,0.07635,0.06655,0.074975,53971198.30388947,0
XCN.V,D,20220923,000000,0.0750055,0.078288,0.074379,0.0780642,27909695.385941837,0
XCN.V,D,20220924,000000,0.0780768,0.0782995,0.0773069,0.0774692,28264997.470034305,0
XCN.V,D,20220925,000000,0.077465,0.077687,0.0752735,0.075327,35665362.952701956,0
XCN.V,D,20220926,000000,0.075326,0.0755918,0.073104,0.0731807,24815598.688377313,0
XCN.V,D,20220927,000000,0.073182,0.073468,0.0720938,0.0721858,52457215.70187842,0
XCN.V,D,20220928,000000,0.072195,0.0729007,0.0718548,0.072211,59259267.04231145,0
XCN.V,D,20220929,000000,0.072202,0.0755456,0.07211,0.075538,27272575.79186113,0
XCN.V,D,20220930,000000,0.0755476,0.0755476,0.073621,0.0739,7808490.317119514,0
XCN.V,D,20221001,000000,0.074024,0.074119,0.071358,0.073339,21024021.679045487,0
XCN.V,D,20221002,000000,0.073223,0.0738384,0.0711289,0.073537,5796432.1565625975,0
XCN.V,D,20221003,000000,0.073499,0.073843,0.071608,0.0723102,8292989.563669488,0
XCN.V,D,20221004,000000,0.0723432,0.0752255,0.0721674,0.0728348,9445861.8478167,0
XCN.V,D,20221005,000000,0.0728536,0.0731096,0.0693439,0.0702771,11659117.09588254,0
XCN.V,D,20221006,000000,0.0702781,0.0702811,0.0683046,0.0685623,11454800.497508615,0
XCN.V,D,20221007,000000,0.0685657,0.0704857,0.0667693,0.0696958,13794557.489811854,0
XCN.V,D,20221008,000000,0.0697411,0.0699485,0.0688119,0.0689452,5414088.215990517,0
XCN.V,D,20221009,000000,0.0689809,0.0691964,0.0675485,0.0676225,3860353.1259027403,0
XCN.V,D,20221010,000000,0.0676295,0.0693529,0.0669207,0.0682742,6112576.471200744,0
XCN.V,D,20221011,000000,0.0682712,0.0715645,0.0680592,0.0711356,4749907.956038806,0
XCN.V,D,20221012,000000,0.0710469,0.0712155,0.0693765,0.0695371,3923951.096694375,0
XCN.V,D,20221013,000000,0.0695511,0.0724194,0.0692663,0.0712087,13303213.2614732,0
XCN.V,D,20221014,000000,0.0712097,0.071228,0.0648772,0.065536,24390453.445634235,0
XCN.V,D,20221015,000000,0.065526,0.0661033,0.0649459,0.0658323,12392994.375022842,0
XCN.V,D,20221016,000000,0.065845,0.0659076,0.0643415,0.0644226,6623155.192762318,0
XCN.V,D,20221017,000000,0.0644226,0.0645476,0.0637965,0.0638463,4908133.41796864,0
XCN.V,D,20221018,000000,0.0638459,0.0638471,0.0626119,0.0626668,1502793.1371883187,0
XCN.V,D,20221019,000000,0.0626688,0.0626788,0.0612034,0.061312,7581146.93730692,0
XCN.V,D,20221020,000000,0.061314,0.0769964,0.0608847,0.0670313,139039672.22982764,0
XCN.V,D,20221021,000000,0.067211,0.0698038,0.0656022,0.0656252,27794742.426988326,0
XCN.V,D,20221022,000000,0.0656246,0.0656663,0.0600742,0.0602074,8688783.031098356,0
XCN.V,D,20221023,000000,0.0602044,0.0602084,0.0580981,0.0582842,6714877.142340795,0
XCN.V,D,20221024,000000,0.0582846,0.0583891,0.0551696,0.0552818,8326983.435774177,0
XCN.V,D,20221025,000000,0.0552752,0.0580636,0.0516521,0.0569609,63090880.99347761,0
XCN.V,D,20221026,000000,0.0569914,0.0581388,0.0524896,0.0531124,21248542.34005109,0
XCN.V,D,20221027,000000,0.0531279,0.0532984,0.0520733,0.0525507,16663608.65146158,0
XCN.V,D,20221028,000000,0.0525622,0.0534663,0.0504506,0.0521934,8216364.630502266,0
XCN.V,D,20221029,000000,0.0521934,0.0525162,0.0503251,0.0508087,5939768.686343136,0
XCN.V,D,20221030,000000,0.0507782,0.0511254,0.0473724,0.0493909,10996219.467229081,0
XCN.V,D,20221031,000000,0.0493949,0.0631809,0.0490983,0.062877,51658202.33026357,0
XCN.V,D,20221101,000000,0.0629952,0.0697317,0.0615143,0.0647155,56149630.64102813,0
XCN.V,D,20221102,000000,0.0646865,0.0650642,0.0530718,0.0532088,35152043.82495131,0
XCN.V,D,20221103,000000,0.0532148,0.0599952,0.0522682,0.0527095,36013820.731795266,0
XCN.V,D,20221104,000000,0.052706,0.0528185,0.0492806,0.0526972,9955845.922371322,0
XCN.V,D,20221105,000000,0.0526962,0.0528956,0.0519558,0.0527236,4145572.5312361224,0
XCN.V,D,20221106,000000,0.0527236,0.0535164,0.0524401,0.0527152,11017032.316605095,0
XCN.V,D,20221107,000000,0.0525748,0.0525748,0.050125,0.050354,3537305.4829700664,0
XCN.V,D,20221108,000000,0.0503991,0.0505713,0.0351446,0.0429545,27496461.939468686,0
XCN.V,D,20221109,000000,0.0430347,0.0442302,0.0413174,0.0418621,12374955.604847409,0
XCN.V,D,20221110,000000,0.0419289,0.0488618,0.0392072,0.0444208,51583771.43789387,0
XCN.V,D,20221111,000000,0.0444252,0.0572087,0.0444119,0.0488907,132794515.92023072,0
XCN.V,D,20221112,000000,0.0488365,0.0507555,0.0464193,0.0477219,58989929.65513169,0
XCN.V,D,20221113,000000,0.047685,0.0486072,0.0474704,0.0483682,33996452.14467972,0
XCN.V,D,20221114,000000,0.0483712,0.0495185,0.047798,0.0486,31550287.68395881,0
XCN.V,D,20221115,000000,0.0485976,0.0504435,0.0483797,0.0492427,3990582.328796506,0
XCN.V,D,20221116,000000,0.0492457,0.0492457,0.0468817,0.04732,37188686.97503238,0
XCN.V,D,20221117,000000,0.047231,0.0524548,0.047163,0.0485771,36945226.99738067,0
XCN.V,D,20221118,000000,0.0485761,0.0528228,0.0483498,0.0525415,26839467.52589044,0
XCN.V,D,20221119,000000,0.0527143,0.0534113,0.0470817,0.0482223,50858014.97256924,0
XCN.V,D,20221120,000000,0.0482306,0.0493173,0.0479393,0.0482845,7782183.995427825,0
XCN.V,D,20221121,000000,0.0482815,0.0482815,0.042351,0.042488,10112179.946748374,0
XCN.V,D,20221122,000000,0.0424895,0.0428705,0.0395081,0.0419797,7542542.020102182,0
XCN.V,D,20221123,000000,0.0419498,0.0430252,0.0415585,0.0421056,22266332.92960669,0
XCN.V,D,20221124,000000,0.0421236,0.0427733,0.0414458,0.041647,3087021.11061773,0
XCN.V,D,20221125,000000,0.0416526,0.0417506,0.0405178,0.0405723,2120402.9589443277,0
XCN.V,D,20221126,000000,0.0405775,0.0414292,0.040307,0.0412486,2039318.1771216632,0
XCN.V,D,20221127,000000,0.0412411,0.0412417,0.0406138,0.0409618,1252331.5377249992,0
XCN.V,D,20221128,000000,0.0409652,0.0424372,0.0376585,0.0377207,37129421.534015,0
XCN.V,D,20221129,000000,0.0377343,0.0443708,0.0372795,0.0407729,34744249.29034507,0
XCN.V,D,20221130,000000,0.0407615,0.0418826,0.040482,0.0404896,8105880.032465294,0
XCN.V,D,20221201,000000,0.0404816,0.0407527,0.0395552,0.0401024,2138987.1928341463,0
XCN.V,D,20221202,000000,0.040102,0.0401178,0.0389263,0.0393484,6011075.586895119,0
XCN.V,D,20221203,000000,0.0394744,0.0394917,0.0383028,0.0387888,3832050.813501993,0
XCN.V,D,20221204,000000,0.0387529,0.0387798,0.037999,0.0382538,6031066.037816079,0
XCN.V,D,20221205,000000,0.0382536,0.0387155,0.0381896,0.0386212,24948622.485628914,0
XCN.V,D,20221206,000000,0.0386259,0.0398634,0.0383158,0.0385602,6636486.062976174,0
XCN.V,D,20221207,000000,0.038568,0.038667,0.037005,0.0370554,2744719.664345503,0
XCN.V,D,20221208,000000,0.037052,0.0379865,0.0361196,0.0378296,21832762.459937472,0
