<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDB.V,D,20220514,000000,0.140561,0.160406,0.120709,0.140418,1555488.5521842,0
XDB.V,D,20220515,000000,0.1404,0.149915,0.140028,0.147836,208677.84639251,0
XDB.V,D,20220516,000000,0.147532,0.154813,0.124747,0.131703,969329.47709151,0
XDB.V,D,20220517,000000,0.132062,0.144391,0.127931,0.137276,889819.14374615,0
XDB.V,D,20220518,000000,0.140513,0.14703,0.120843,0.125919,469605.52057814,0
XDB.V,D,20220519,000000,0.12608,0.14403,0.10905,0.142001,2476188.2434086,0
XDB.V,D,20220520,000000,0.141293,0.160671,0.127226,0.134202,2129104.7349258,0
XDB.V,D,20220521,000000,0.134133,0.140112,0.132162,0.137424,489009.32231021,0
XDB.V,D,20220522,000000,0.136928,0.147375,0.13652,0.139769,798127.33988029,0
XDB.V,D,20220523,000000,0.139607,0.148768,0.131773,0.137903,741645.03466215,0
XDB.V,D,20220524,000000,0.138124,0.147129,0.134063,0.143355,669107.51772038,0
XDB.V,D,20220525,000000,0.143271,0.210047,0.143271,0.152024,3553820.6446252,0
XDB.V,D,20220526,000000,0.15191,0.157182,0.136943,0.148171,994247.70821147,0
XDB.V,D,20220527,000000,0.147978,0.148475,0.137242,0.141913,443270.1437439,0
XDB.V,D,20220528,000000,0.141925,0.156087,0.140314,0.147577,801089.83597726,0
XDB.V,D,20220529,000000,0.147232,0.161092,0.144412,0.151668,612064.5619941,0
XDB.V,D,20220530,000000,0.151341,0.17393,0.151341,0.170789,1491285.572848,0
XDB.V,D,20220531,000000,0.170855,0.172788,0.151264,0.162678,1448959.9023232,0
XDB.V,D,20220601,000000,0.162139,0.175447,0.151187,0.160313,695817.36170234,0
XDB.V,D,20220602,000000,0.160759,0.166708,0.15136,0.158572,882255.37731324,0
XDB.V,D,20220603,000000,0.158857,0.162264,0.153112,0.157297,542111.30871064,0
XDB.V,D,20220604,000000,0.157363,0.157959,0.132159,0.138376,1174624.115463,0
XDB.V,D,20220605,000000,0.138807,0.164688,0.130396,0.152759,1881622.5526921,0
XDB.V,D,20220606,000000,0.150914,0.184845,0.144458,0.16387,1823208.0315848,0
XDB.V,D,20220607,000000,0.163878,0.181328,0.15399,0.168196,1038783.4269199,0
XDB.V,D,20220608,000000,0.169572,0.179376,0.159882,0.162939,1773164.3847639,0
XDB.V,D,20220609,000000,0.162688,0.166005,0.137108,0.143572,2622232.1109673,0
XDB.V,D,20220610,000000,0.143579,0.143968,0.109001,0.11104,10308023.709801,0
XDB.V,D,20220611,000000,0.111284,0.13066,0.108516,0.111317,2143689.185801,0
XDB.V,D,20220612,000000,0.111013,0.114269,0.089449,0.105638,3951018.2085855,0
XDB.V,D,20220613,000000,0.105637,0.106079,0.08719,0.102141,3747682.8228151,0
XDB.V,D,20220614,000000,0.102034,0.105679,0.090021,0.092565,1350270.0098524,0
XDB.V,D,20220615,000000,0.09251,0.102754,0.087353,0.098765,3524888.2172148,0
XDB.V,D,20220616,000000,0.099298,0.100496,0.0918804,0.0941617,4360301.3480791,0
XDB.V,D,20220617,000000,0.0888772,0.0907328,0.0821974,0.0823921,1940432.2119795,0
XDB.V,D,20220618,000000,0.0820459,0.0841446,0.0679048,0.0725265,3541446.0640184,0
XDB.V,D,20220619,000000,0.0726966,0.0906392,0.0709844,0.082885,1694888.4811787,0
XDB.V,D,20220620,000000,0.0831288,0.0941371,0.0808593,0.0837345,2178500.68392,0
XDB.V,D,20220621,000000,0.0835158,0.0941548,0.0833732,0.089283,916291.61708811,0
XDB.V,D,20220622,000000,0.0893029,0.090908,0.0721877,0.0782816,1366079.9146587,0
XDB.V,D,20220623,000000,0.0786553,0.0822756,0.06993,0.0763415,3526675.0707027,0
XDB.V,D,20220624,000000,0.0757272,0.0787192,0.0637413,0.0700477,2558967.755488,0
XDB.V,D,20220625,000000,0.0702029,0.0726026,0.0651083,0.0684659,841244.55076768,0
XDB.V,D,20220626,000000,0.0684566,0.0731627,0.0675901,0.0718921,812812.30250685,0
XDB.V,D,20220627,000000,0.0718938,0.0724332,0.0598465,0.0625166,2918767.7921418,0
XDB.V,D,20220628,000000,0.0623482,0.062569,0.0499104,0.051196,2626523.9603657,0
XDB.V,D,20220629,000000,0.051262,0.0515424,0.035553,0.0420578,7874134.840924,0
XDB.V,D,20220630,000000,0.0420926,0.0502867,0.0357242,0.044213,4671332.8337894,0
XDB.V,D,20220701,000000,0.0443234,0.0459494,0.0367362,0.0398365,2323581.0191408,0
XDB.V,D,20220702,000000,0.0398384,0.0431368,0.0360603,0.0414105,2379753.7786662,0
XDB.V,D,20220703,000000,0.0414087,0.0416681,0.0339252,0.0377891,564687.81995287,0
XDB.V,D,20220704,000000,0.0379077,0.0397223,0.0361529,0.0389856,876024.59968094,0
XDB.V,D,20220705,000000,0.0391556,0.0440557,0.0385465,0.040027,4463633.3768166,0
