<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XEC.V,D,20210930,000000,0.00024,0.000244,0.000228,0.000233,0,0
XEC.V,D,20211001,000000,0.000233,0.000256,0.000233,0.000252,0,0
XEC.V,D,20211002,000000,0.000252,0.000256,0.00024,0.000247,0,0
XEC.V,D,20211003,000000,0.000247,0.000247,0.000227,0.000231,0,0
XEC.V,D,20211004,000000,0.000231,0.00024,0.000226,0.000226,0,0
XEC.V,D,20211005,000000,0.000226,0.000234,0.000226,0.000226,0,0
XEC.V,D,20211006,000000,0.000226,0.00023,0.000211,0.000223,0,0
XEC.V,D,20211007,000000,0.000223,0.000225,0.000212,0.000218,0,0
XEC.V,D,20211008,000000,0.000218,0.000223,0.000212,0.000222,0,0
XEC.V,D,20211009,000000,0.000222,0.000222,0.000214,0.000219,0,0
XEC.V,D,20211010,000000,0.000219,0.000222,0.000212,0.000212,0,0
XEC.V,D,20211011,000000,0.000212,0.000216,0.0002,0.000209,0,0
XEC.V,D,20211012,000000,0.000209,0.00025,0.000204,0.000224,0,0
XEC.V,D,20211013,000000,0.000224,0.000224,0.000203,0.000212,0,0
XEC.V,D,20211014,000000,0.000212,0.000219,0.000203,0.000211,0,0
XEC.V,D,20211015,000000,0.000211,0.000217,0.000203,0.000205,0,0
XEC.V,D,20211016,000000,0.000205,0.000209,0.00018,0.0002,0,0
XEC.V,D,20211017,000000,0.0002,0.000208,0.000191,0.0002,0,0
XEC.V,D,20211018,000000,0.0002,0.0002,0.000186,0.000193,0,0
XEC.V,D,20211019,000000,0.000193,0.000194,0.000181,0.000182,0,0
XEC.V,D,20211020,000000,0.000182,0.000198,0.000168,0.000193,0,0
XEC.V,D,20211021,000000,0.000193,0.000198,0.000169,0.000189,0,0
XEC.V,D,20211022,000000,0.000189,0.00019,0.00017,0.000179,0,0
XEC.V,D,20211023,000000,0.000179,0.000182,0.000162,0.00018,0,0
XEC.V,D,20211024,000000,0.00018,0.000191,0.000173,0.000186,0,0
XEC.V,D,20211025,000000,0.000186,0.000192,0.000182,0.000191,0,0
XEC.V,D,20211026,000000,0.000191,0.000195,0.000185,0.000189,0,0
XEC.V,D,20211027,000000,0.000189,0.00019,0.000161,0.000165,0,0
