<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YGG.V,D,20220522,000000,0.901826,0.936781,0.754094,0.756092,16700447.717201497,0
YGG.V,D,20220523,000000,0.756092,0.837078,0.708149,0.720135,7108710.08662928,0
YGG.V,D,20220524,000000,0.715141,0.738187,0.646224,0.682112,3764635.236711681,0
YGG.V,D,20220525,000000,0.682112,0.703155,0.650219,0.684247,2723868.3642069604,0
YGG.V,D,20220526,000000,0.684247,0.707221,0.561326,0.58941,3764527.3501342866,0
YGG.V,D,20220527,000000,0.58941,0.602397,0.545399,0.584356,2248956.018806073,0
YGG.V,D,20220528,000000,0.58233,0.70523,0.573214,0.624269,7525715.264469503,0
YGG.V,D,20220529,000000,0.623257,0.627303,0.57543,0.616321,1945399.9185441078,0
YGG.V,D,20220530,000000,0.617314,0.682454,0.605333,0.667466,3060340.1172866262,0
YGG.V,D,20220531,000000,0.668532,0.802358,0.658473,0.689448,8776789.518272473,0
YGG.V,D,20220601,000000,0.689462,0.728417,0.576365,0.589469,3160211.2712938115,0
YGG.V,D,20220602,000000,0.58941,0.64442,0.576481,0.635428,3284200.112342348,0
YGG.V,D,20220603,000000,0.634428,0.645419,0.581517,0.600477,1775852.836054876,0
YGG.V,D,20220604,000000,0.601476,0.648332,0.577393,0.607538,8434541.362502422,0
YGG.V,D,20220605,000000,0.60755,0.623488,0.582516,0.603432,5806767.805600654,0
YGG.V,D,20220606,000000,0.602433,0.642447,0.592437,0.60649,12396656.611505823,0
YGG.V,D,20220607,000000,0.606484,0.610493,0.553535,0.598509,11897886.846685698,0
YGG.V,D,20220608,000000,0.598503,0.601542,0.543592,0.557637,10804039.029686624,0
YGG.V,D,20220609,000000,0.557637,0.571565,0.540573,0.555533,7979252.97813909,0
YGG.V,D,20220610,000000,0.554528,0.563526,0.507441,0.529327,9696112.953340119,0
YGG.V,D,20220611,000000,0.529322,0.56338,0.507401,0.534395,15039291.30871835,0
YGG.V,D,20220612,000000,0.533391,0.541382,0.456356,0.473417,5934925.875462949,0
YGG.V,D,20220613,000000,0.472418,0.472418,0.377962,0.409434,33206623.417662773,0
YGG.V,D,20220614,000000,0.407433,0.41496,0.36645,0.383539,39079821.79731594,0
YGG.V,D,20220615,000000,0.384534,0.415243,0.351865,0.413679,43468743.873980634,0
YGG.V,D,20220616,000000,0.414577,0.417457,0.366297,0.391152,13253951.51734075,0
YGG.V,D,20220617,000000,0.382168,0.407429,0.376676,0.390331,24930684.707887065,0
