<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZEN.V,D,20170606,000000,18.37,19.52,15.79,16.81,0,0
ZEN.V,D,20170607,000000,16.81,16.81,12.71,13,0,0
ZEN.V,D,20170608,000000,13,15.53,5.399,8.307,0,0
ZEN.V,D,20170609,000000,8.307,11.39,8.153,8.997,0,0
ZEN.V,D,20170610,000000,8.997,10.15,7.976,8.176,0,0
ZEN.V,D,20170611,000000,8.176,10.93,7.481,10.41,0,0
ZEN.V,D,20170612,000000,10.41,10.91,7.97,9.511,0,0
ZEN.V,D,20170613,000000,9.511,10.85,8.893,10.23,0,0
ZEN.V,D,20170614,000000,10.23,10.56,8.142,8.823,0,0
ZEN.V,D,20170615,000000,8.823,9.489,8.06,8.622,0,0
ZEN.V,D,20170616,000000,8.622,9.131,8.278,8.421,0,0
ZEN.V,D,20170617,000000,8.421,9.42,8.236,8.337,0,0
ZEN.V,D,20170618,000000,8.337,8.604,6.39,6.857,0,0
ZEN.V,D,20170619,000000,6.857,7.654,6.568,6.861,0,0
ZEN.V,D,20170620,000000,6.861,7.988,6.861,7.101,0,0
ZEN.V,D,20170621,000000,7.101,8.25,6.857,6.964,0,0
ZEN.V,D,20170622,000000,6.964,7.872,6.964,7.477,0,0
ZEN.V,D,20170623,000000,7.477,9.988,7.443,9.242,0,0
ZEN.V,D,20170624,000000,9.242,9.242,8.081,8.159,0,0
ZEN.V,D,20170625,000000,8.159,8.248,6.862,7.119,0,0
ZEN.V,D,20170626,000000,7.119,7.226,6.115,6.702,0,0
ZEN.V,D,20170627,000000,6.702,7.079,6.201,6.573,0,0
ZEN.V,D,20170628,000000,6.573,6.625,5.155,6.269,0,0
ZEN.V,D,20170629,000000,6.269,7.036,5.628,5.692,0,0
ZEN.V,D,20170630,000000,5.692,6.003,5.209,5.234,0,0
ZEN.V,D,20170701,000000,5.234,5.577,4.486,4.767,0,0
ZEN.V,D,20170702,000000,4.767,5.707,4.54,5.048,0,0
ZEN.V,D,20170703,000000,5.048,5.454,4.605,4.89,0,0
ZEN.V,D,20170704,000000,4.89,6.282,4.89,5.632,0,0
ZEN.V,D,20170705,000000,5.632,6.149,5.563,5.563,0,0
ZEN.V,D,20170706,000000,5.563,5.563,4.993,5.15,0,0
ZEN.V,D,20170707,000000,5.15,5.953,4.877,5.028,0,0
ZEN.V,D,20170708,000000,5.028,5.363,4.619,4.627,0,0
ZEN.V,D,20170709,000000,4.627,5.191,4.523,4.531,0,0
ZEN.V,D,20170710,000000,4.531,4.845,3.793,4.297,0,0
ZEN.V,D,20170711,000000,4.297,4.851,3.761,3.951,0,0
ZEN.V,D,20170712,000000,3.951,4.47,3.951,4.157,0,0
ZEN.V,D,20170713,000000,4.157,4.909,4.054,4.054,0,0
ZEN.V,D,20170714,000000,4.054,4.263,3.798,4.03,0,0
ZEN.V,D,20170715,000000,4.03,4.03,3.458,3.561,0,0
ZEN.V,D,20170716,000000,3.561,3.746,3.288,3.288,0,0
ZEN.V,D,20170717,000000,3.288,4.02,3.288,3.819,0,0
ZEN.V,D,20170718,000000,3.819,4.274,3.819,3.877,0,0
ZEN.V,D,20170719,000000,3.877,4.49,3.814,4.084,0,0
ZEN.V,D,20170720,000000,4.084,5.302,4.084,4.729,0,0
ZEN.V,D,20170721,000000,4.729,4.729,3.745,4.093,0,0
ZEN.V,D,20170722,000000,4.093,4.397,4.093,4.255,0,0
ZEN.V,D,20170723,000000,4.255,4.328,3.945,3.97,0,0
ZEN.V,D,20170724,000000,3.97,4.104,3.954,3.954,0,0
ZEN.V,D,20170725,000000,3.954,3.954,3.616,3.667,0,0
ZEN.V,D,20170726,000000,3.667,4.223,3.634,3.736,0,0
ZEN.V,D,20170727,000000,3.736,4.172,3.715,3.742,0,0
ZEN.V,D,20170728,000000,3.742,4.491,3.742,4.21,0,0
ZEN.V,D,20170729,000000,4.21,4.21,3.827,3.964,0,0
ZEN.V,D,20170730,000000,3.964,4.053,3.738,3.749,0,0
ZEN.V,D,20170731,000000,3.749,3.97,3.1,3.319,0,0
ZEN.V,D,20170801,000000,3.748,3.898,3.162,3.53,0,0
ZEN.V,D,20170802,000000,3.53,4.331,3.338,3.953,0,0
ZEN.V,D,20170803,000000,3.953,5.859,3.953,4.864,0,0
ZEN.V,D,20170804,000000,4.864,5.757,4.864,5.389,0,0
ZEN.V,D,20170805,000000,5.389,6.118,5.005,5.22,0,0
ZEN.V,D,20170806,000000,5.22,5.721,5.01,5.123,0,0
ZEN.V,D,20170807,000000,5.123,5.589,4.538,5.239,0,0
ZEN.V,D,20170808,000000,5.239,5.634,4.846,5.59,0,0
ZEN.V,D,20170809,000000,5.59,5.77,4.99,4.99,0,0
ZEN.V,D,20170810,000000,4.99,5.31,4.796,5.039,0,0
ZEN.V,D,20170811,000000,5.039,5.843,5.039,5.233,0,0
ZEN.V,D,20170812,000000,5.233,6.156,5.233,5.846,0,0
ZEN.V,D,20170813,000000,5.846,6.5,5.846,6.403,0,0
ZEN.V,D,20170814,000000,6.403,6.821,5.626,5.713,0,0
ZEN.V,D,20170815,000000,5.713,6.53,4.823,5.993,0,0
ZEN.V,D,20170816,000000,5.993,7.02,5.269,5.563,0,0
ZEN.V,D,20170817,000000,5.563,8.536,5.049,7.441,0,0
ZEN.V,D,20170818,000000,7.441,7.923,6.659,6.741,0,0
ZEN.V,D,20170819,000000,6.741,7.886,6.724,7.633,0,0
ZEN.V,D,20170820,000000,7.633,7.767,7.121,7.523,0,0
ZEN.V,D,20170821,000000,7.523,7.77,6.512,6.693,0,0
ZEN.V,D,20170822,000000,6.693,7.349,6.527,6.67,0,0
ZEN.V,D,20170823,000000,6.67,7.864,6.667,7.516,0,0
ZEN.V,D,20170824,000000,7.516,10.36,7.516,8.986,0,0
ZEN.V,D,20170825,000000,8.986,9.349,8.166,8.711,0,0
ZEN.V,D,20170826,000000,8.711,9.14,7.991,9.053,0,0
ZEN.V,D,20170827,000000,9.053,9.713,8.04,9.196,0,0
ZEN.V,D,20170828,000000,9.196,12.51,8.877,11.24,0,0
ZEN.V,D,20170829,000000,11.24,12.87,10.8,11.09,0,0
ZEN.V,D,20170830,000000,11.09,12.1,10.84,11.38,0,0
ZEN.V,D,20170831,000000,11.38,13.41,11.15,12.88,0,0
ZEN.V,D,20170901,000000,12.88,13.52,11.98,12.78,0,0
ZEN.V,D,20170902,000000,12.78,12.78,10.16,10.52,0,0
ZEN.V,D,20170903,000000,10.52,10.62,8.94,9.964,0,0
ZEN.V,D,20170904,000000,9.964,9.964,6.943,8.065,0,0
ZEN.V,D,20170905,000000,8.065,9.48,7.495,8.642,0,0
ZEN.V,D,20170906,000000,8.642,10.81,8.642,10.21,0,0
ZEN.V,D,20170907,000000,10.21,11.08,9.6,9.925,0,0
ZEN.V,D,20170908,000000,9.925,9.925,8.151,8.289,0,0
ZEN.V,D,20170909,000000,8.289,8.87,7.89,8.375,0,0
ZEN.V,D,20170910,000000,8.375,8.577,7.694,7.859,0,0
ZEN.V,D,20170911,000000,7.859,9.254,7.677,7.934,0,0
ZEN.V,D,20170912,000000,7.934,8.122,7.619,7.673,0,0
ZEN.V,D,20170913,000000,7.673,7.673,6.452,6.916,0,0
ZEN.V,D,20170914,000000,6.916,6.916,5.611,5.701,0,0
ZEN.V,D,20170915,000000,5.701,7.179,5.701,7.104,0,0
ZEN.V,D,20170916,000000,7.104,7.176,6.658,6.935,0,0
ZEN.V,D,20170917,000000,6.935,7.047,6.645,6.841,0,0
ZEN.V,D,20170918,000000,6.841,7.627,6.841,7.413,0,0
ZEN.V,D,20170919,000000,7.413,7.413,6.722,6.73,0,0
ZEN.V,D,20170920,000000,6.73,7.147,6.6,6.794,0,0
ZEN.V,D,20170921,000000,6.794,8.237,6.16,6.764,0,0
ZEN.V,D,20170922,000000,6.764,7.828,6.499,6.95,0,0
ZEN.V,D,20170923,000000,6.95,7.512,6.894,7.019,0,0
ZEN.V,D,20170924,000000,7.019,7.104,6.785,6.968,0,0
ZEN.V,D,20170925,000000,6.968,8.397,6.968,8.039,0,0
ZEN.V,D,20170926,000000,8.039,8.311,7.513,7.863,0,0
ZEN.V,D,20170927,000000,7.863,9.364,7.863,8.837,0,0
ZEN.V,D,20170928,000000,8.837,9.23,8.517,8.693,0,0
ZEN.V,D,20170929,000000,8.693,8.734,7.928,7.983,0,0
ZEN.V,D,20170930,000000,7.983,8.534,7.983,8.198,0,0
ZEN.V,D,20171001,000000,8.198,8.361,7.793,8.04,0,0
ZEN.V,D,20171002,000000,8.04,8.098,7.579,7.777,0,0
ZEN.V,D,20171003,000000,7.777,7.777,6.903,7.502,0,0
ZEN.V,D,20171004,000000,7.502,7.502,6.594,6.834,0,0
ZEN.V,D,20171005,000000,6.834,7.269,6.789,7.066,0,0
ZEN.V,D,20171006,000000,7.066,7.607,6.663,6.877,0,0
ZEN.V,D,20171007,000000,6.877,7.097,5.767,6.498,0,0
ZEN.V,D,20171008,000000,6.498,6.913,5.995,5.995,0,0
ZEN.V,D,20171009,000000,5.995,6.545,5.016,6.211,0,0
ZEN.V,D,20171010,000000,6.211,6.526,5.249,5.659,0,0
ZEN.V,D,20171011,000000,5.659,6.344,5.22,6.103,0,0
ZEN.V,D,20171012,000000,6.103,7.856,5.976,7.171,0,0
ZEN.V,D,20171013,000000,7.171,9.223,6.534,7.233,0,0
ZEN.V,D,20171014,000000,7.233,8.155,7.164,7.164,0,0
ZEN.V,D,20171015,000000,7.164,7.662,6.712,6.854,0,0
ZEN.V,D,20171016,000000,6.836,7.476,6.629,7.268,0,0
ZEN.V,D,20171017,000000,7.268,7.446,6.606,7.06,0,0
ZEN.V,D,20171018,000000,7.06,8.637,6.691,7.907,0,0
ZEN.V,D,20171019,000000,7.908,29.52,7.813,22.73,0,0
ZEN.V,D,20171020,000000,22.74,25.17,16.31,16.65,0,0
ZEN.V,D,20171021,000000,16.53,26.54,16.02,20.35,0,0
ZEN.V,D,20171022,000000,20.35,26.31,18.87,23.81,0,0
ZEN.V,D,20171023,000000,23.7,25.03,21.57,21.73,0,0
ZEN.V,D,20171024,000000,21.73,25.34,18.84,24.15,0,0
ZEN.V,D,20171025,000000,24.45,28.09,23.51,24.1,0,0
ZEN.V,D,20171026,000000,24.09,25.12,20.43,21.67,0,0
ZEN.V,D,20171027,000000,21.81,22.56,19.95,21.1,0,0
ZEN.V,D,20171028,000000,21.1,21.14,18.97,19.68,0,0
ZEN.V,D,20171029,000000,19.68,21.13,17.58,18.78,0,0
ZEN.V,D,20171030,000000,18.81,21.22,17.5,19.01,0,0
ZEN.V,D,20171031,000000,19.01,20.7,16.77,17.8,0,0
ZEN.V,D,20171101,000000,17.79,19.07,16.08,16.71,0,0
ZEN.V,D,20171102,000000,16.71,18.16,14.97,16.61,0,0
ZEN.V,D,20171103,000000,16.61,32.02,15.96,23.12,0,0
ZEN.V,D,20171104,000000,23.1,24.35,19.51,20.01,0,0
ZEN.V,D,20171105,000000,20.01,22.17,18.56,21.29,0,0
ZEN.V,D,20171106,000000,21.29,21.57,19.03,21,0,0
ZEN.V,D,20171107,000000,20.79,22.65,20.02,21.27,0,0
ZEN.V,D,20171108,000000,21.27,27.05,21.27,24.87,0,0
ZEN.V,D,20171109,000000,24.87,27.79,22.64,27.52,0,0
ZEN.V,D,20171110,000000,27.52,27.52,21.16,22.72,0,0
ZEN.V,D,20171111,000000,22.65,22.76,20.92,22.25,0,0
ZEN.V,D,20171112,000000,22.25,22.25,18.83,20.39,0,0
ZEN.V,D,20171113,000000,20.39,24.58,20.39,23.38,0,0
ZEN.V,D,20171114,000000,23.73,24.31,22.17,22.44,0,0
ZEN.V,D,20171115,000000,22.43,24.97,22.43,23.44,0,0
ZEN.V,D,20171116,000000,23.44,25.77,20.98,21.2,0,0
ZEN.V,D,20171117,000000,21.2,22.78,20.18,21.49,0,0
ZEN.V,D,20171118,000000,21.49,23.77,20.93,21.62,0,0
ZEN.V,D,20171119,000000,21.62,23.55,21,22.04,0,0
ZEN.V,D,20171120,000000,22.04,23.1,19.8,21.53,0,0
ZEN.V,D,20171121,000000,21.43,22.52,20.34,21.78,0,0
ZEN.V,D,20171122,000000,21.78,26.27,21.78,24.7,0,0
ZEN.V,D,20171123,000000,24.87,28.04,22.12,26.98,0,0
ZEN.V,D,20171124,000000,27.05,32.62,26.63,30.86,0,0
ZEN.V,D,20171125,000000,30.87,35.02,30.87,33.51,0,0
ZEN.V,D,20171126,000000,34.23,37.26,29.87,31.47,0,0
ZEN.V,D,20171127,000000,31.47,33.38,29.85,32.65,0,0
ZEN.V,D,20171128,000000,32.65,33.55,30.71,31.7,0,0
ZEN.V,D,20171129,000000,31.7,31.71,26.5,28.53,0,0
ZEN.V,D,20171130,000000,28.56,30.63,25.83,29.61,0,0
ZEN.V,D,20171201,000000,29.82,32.58,29.35,30.25,0,0
ZEN.V,D,20171202,000000,30.25,30.81,26.2,29.15,0,0
ZEN.V,D,20171203,000000,29.15,31.52,29.15,30.08,0,0
ZEN.V,D,20171204,000000,30.08,38.42,30.08,33.79,0,0
ZEN.V,D,20171205,000000,33.78,38.28,33.69,36.76,0,0
ZEN.V,D,20171206,000000,36.76,45.99,35.19,35.45,0,0
ZEN.V,D,20171207,000000,35.45,46,23.81,27.2,0,0
ZEN.V,D,20171208,000000,27.22,32.32,24.15,29.25,0,0
ZEN.V,D,20171209,000000,29.27,32.89,26.39,28.74,0,0
ZEN.V,D,20171210,000000,28.7,29.49,25.44,25.57,0,0
ZEN.V,D,20171211,000000,25.57,31.57,25.57,27.01,0,0
ZEN.V,D,20171212,000000,27.01,33.96,27.01,30.26,0,0
ZEN.V,D,20171213,000000,30.24,32.39,27.9,30.73,0,0
ZEN.V,D,20171214,000000,30.73,37.7,29.79,34.7,0,0
ZEN.V,D,20171215,000000,34.7,37.74,29.4,32.8,0,0
ZEN.V,D,20171216,000000,32.78,36.35,30.99,32.25,0,0
ZEN.V,D,20171217,000000,32.25,35.69,30.91,35.46,0,0
ZEN.V,D,20171218,000000,35.46,42.35,33.96,38.51,0,0
ZEN.V,D,20171219,000000,38.87,42.23,35.01,39.22,0,0
ZEN.V,D,20171220,000000,39.39,41.15,33.11,41.14,0,0
ZEN.V,D,20171221,000000,41.14,51.55,37.55,46.8,0,0
ZEN.V,D,20171222,000000,46.8,47.46,30.98,40.5,0,0
ZEN.V,D,20171223,000000,40.9,47.88,40.76,43.32,0,0
ZEN.V,D,20171224,000000,43.42,48.21,41.45,43.89,0,0
