<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZIL.V,D,20180509,000000,0.1648,0.187,0.1626,0.187,0,0
ZIL.V,D,20180510,000000,0.1869,0.232,0.1811,0.1986,0,0
ZIL.V,D,20180511,000000,0.1983,0.1985,0.1507,0.1727,0,0
ZIL.V,D,20180512,000000,0.1725,0.1897,0.152,0.1852,0,0
ZIL.V,D,20180513,000000,0.1853,0.1876,0.1743,0.1775,0,0
ZIL.V,D,20180514,000000,0.1775,0.1794,0.1593,0.166,0,0
ZIL.V,D,20180515,000000,0.166,0.1681,0.1461,0.1568,0,0
ZIL.V,D,20180516,000000,0.1569,0.1574,0.1347,0.1404,0,0
ZIL.V,D,20180517,000000,0.1406,0.1553,0.1355,0.1363,0,0
ZIL.V,D,20180518,000000,0.1355,0.1388,0.13,0.1374,0,0
ZIL.V,D,20180519,000000,0.1374,0.1513,0.1319,0.1428,0,0
ZIL.V,D,20180520,000000,0.1427,0.1536,0.1412,0.1505,0,0
ZIL.V,D,20180521,000000,0.1503,0.1509,0.1403,0.1407,0,0
ZIL.V,D,20180522,000000,0.141,0.1478,0.1373,0.1379,0,0
ZIL.V,D,20180523,000000,0.1378,0.1391,0.1127,0.121,0,0
ZIL.V,D,20180524,000000,0.1209,0.1278,0.111,0.123,0,0
ZIL.V,D,20180525,000000,0.123,0.1255,0.1177,0.1198,0,0
ZIL.V,D,20180526,000000,0.1198,0.1239,0.1177,0.1207,0,0
ZIL.V,D,20180527,000000,0.1207,0.1207,0.1145,0.1155,0,0
ZIL.V,D,20180528,000000,0.1154,0.1184,0.1033,0.1033,0,0
ZIL.V,D,20180529,000000,0.1034,0.1148,0.09692,0.1132,0,0
ZIL.V,D,20180530,000000,0.1133,0.1186,0.105,0.1072,0,0
ZIL.V,D,20180531,000000,0.1073,0.1155,0.107,0.1149,0,0
ZIL.V,D,20180601,000000,0.1149,0.115,0.1086,0.1091,0,0
ZIL.V,D,20180602,000000,0.1092,0.1209,0.109,0.1181,0,0
ZIL.V,D,20180603,000000,0.1182,0.1331,0.1171,0.128,0,0
ZIL.V,D,20180604,000000,0.1278,0.1288,0.1164,0.1233,0,0
ZIL.V,D,20180605,000000,0.1233,0.1279,0.1157,0.1242,0,0
ZIL.V,D,20180606,000000,0.1241,0.1335,0.1229,0.1316,0,0
ZIL.V,D,20180607,000000,0.1314,0.1382,0.1289,0.1297,0,0
ZIL.V,D,20180608,000000,0.1297,0.1315,0.1234,0.1278,0,0
ZIL.V,D,20180609,000000,0.1278,0.1288,0.121,0.1222,0,0
ZIL.V,D,20180610,000000,0.1222,0.1224,0.09837,0.09963,0,0
ZIL.V,D,20180611,000000,0.09976,0.1027,0.09448,0.09975,0,0
ZIL.V,D,20180612,000000,0.09974,0.1045,0.08872,0.09122,0,0
ZIL.V,D,20180613,000000,0.09122,0.09165,0.07704,0.08269,0,0
ZIL.V,D,20180614,000000,0.0827,0.09379,0.08266,0.09248,0,0
