<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYAUD,D,19840102,000000,0.0047706,0.0047706,0.0047706,0.0047706,0,0
JPYAUD,D,19840109,000000,0.0047644,0.0047644,0.0047644,0.0047644,0,0
JPYAUD,D,19840116,000000,0.0047029,0.0047029,0.0047029,0.0047029,0,0
JPYAUD,D,19840123,000000,0.0047418,0.0047418,0.0047418,0.0047418,0,0
JPYAUD,D,19840130,000000,0.0047122,0.0047122,0.0047122,0.0047122,0,0
JPYAUD,D,19840206,000000,0.0046413,0.0046413,0.0046413,0.0046413,0,0
JPYAUD,D,19840213,000000,0.0046437,0.0046437,0.0046437,0.0046437,0,0
JPYAUD,D,19840220,000000,0.0045629,0.0045629,0.0045629,0.0045629,0,0
JPYAUD,D,19840301,000000,0.0045493,0.0045493,0.0045493,0.0045493,0,0
JPYAUD,D,19840305,000000,0.0045498,0.0045498,0.0045498,0.0045498,0,0
JPYAUD,D,19840312,000000,0.00469,0.00469,0.00469,0.00469,0,0
JPYAUD,D,19840319,000000,0.004621,0.004621,0.004621,0.004621,0,0
JPYAUD,D,19840326,000000,0.0046316,0.0046316,0.0046316,0.0046316,0,0
JPYAUD,D,19840402,000000,0.0047136,0.0047136,0.0047136,0.0047136,0,0
JPYAUD,D,19840409,000000,0.0047209,0.0047209,0.0047209,0.0047209,0,0
JPYAUD,D,19840416,000000,0.0048396,0.0048396,0.0048396,0.0048396,0,0
JPYAUD,D,19840424,000000,0.0048313,0.0048313,0.0048313,0.0048313,0,0
JPYAUD,D,19840502,000000,0.0048263,0.0048263,0.0048263,0.0048263,0,0
JPYAUD,D,19840507,000000,0.0047571,0.0047571,0.0047571,0.0047571,0,0
JPYAUD,D,19840514,000000,0.004773,0.004773,0.004773,0.004773,0,0
JPYAUD,D,19840521,000000,0.0048144,0.0048144,0.0048144,0.0048144,0,0
JPYAUD,D,19840528,000000,0.0047549,0.0047549,0.0047549,0.0047549,0,0
JPYAUD,D,19840604,000000,0.0048023,0.0048023,0.0048023,0.0048023,0,0
JPYAUD,D,19840611,000000,0.0048522,0.0048522,0.0048522,0.0048522,0,0
JPYAUD,D,19840618,000000,0.0048159,0.0048159,0.0048159,0.0048159,0,0
JPYAUD,D,19840625,000000,0.0048505,0.0048505,0.0048505,0.0048505,0,0
JPYAUD,D,19840702,000000,0.0048748,0.0048748,0.0048748,0.0048748,0,0
JPYAUD,D,19840709,000000,0.0048642,0.0048642,0.0048642,0.0048642,0,0
JPYAUD,D,19840716,000000,0.0049861,0.0049861,0.0049861,0.0049861,0,0
JPYAUD,D,19840723,000000,0.0049542,0.0049542,0.0049542,0.0049542,0,0
JPYAUD,D,19840730,000000,0.0049279,0.0049279,0.0049279,0.0049279,0,0
JPYAUD,D,19840806,000000,0.0049144,0.0049144,0.0049144,0.0049144,0,0
JPYAUD,D,19840813,000000,0.0048828,0.0048828,0.0048828,0.0048828,0,0
JPYAUD,D,19840820,000000,0.0049002,0.0049002,0.0049002,0.0049002,0,0
JPYAUD,D,19840827,000000,0.0048432,0.0048432,0.0048432,0.0048432,0,0
JPYAUD,D,19840901,000000,0.0048532,0.0048532,0.0048532,0.0048532,0,0
JPYAUD,D,19840910,000000,0.0048932,0.0048932,0.0048932,0.0048932,0,0
JPYAUD,D,19840917,000000,0.0049018,0.0049018,0.0049018,0.0049018,0,0
JPYAUD,D,19840924,000000,0.0048856,0.0048856,0.0048856,0.0048856,0,0
JPYAUD,D,19841001,000000,0.004906,0.004906,0.004906,0.004906,0,0
JPYAUD,D,19841008,000000,0.0048879,0.0048879,0.0048879,0.0048879,0,0
JPYAUD,D,19841015,000000,0.0048517,0.0048517,0.0048517,0.0048517,0,0
JPYAUD,D,19841022,000000,0.0048403,0.0048403,0.0048403,0.0048403,0,0
JPYAUD,D,19841029,000000,0.004875,0.004875,0.004875,0.004875,0,0
JPYAUD,D,19841105,000000,0.0048129,0.0048129,0.0048129,0.0048129,0,0
JPYAUD,D,19841112,000000,0.0047879,0.0047879,0.0047879,0.0047879,0,0
JPYAUD,D,19841119,000000,0.0048237,0.0048237,0.0048237,0.0048237,0,0
JPYAUD,D,19841126,000000,0.0047846,0.0047846,0.0047846,0.0047846,0,0
JPYAUD,D,19841201,000000,0.0047646,0.0047646,0.0047646,0.0047646,0,0
JPYAUD,D,19841210,000000,0.0047311,0.0047311,0.0047311,0.0047311,0,0
JPYAUD,D,19841217,000000,0.0048041,0.0048041,0.0048041,0.0048041,0,0
JPYAUD,D,19841224,000000,0.0048477,0.0048477,0.0048477,0.0048477,0,0
JPYAUD,D,19850101,000000,0.0048338,0.0048338,0.0048338,0.0048338,0,0
JPYAUD,D,19850107,000000,0.0048522,0.0048522,0.0048522,0.0048522,0,0
JPYAUD,D,19850114,000000,0.0048379,0.0048379,0.0048379,0.0048379,0,0
JPYAUD,D,19850121,000000,0.0048086,0.0048086,0.0048086,0.0048086,0,0
JPYAUD,D,19850128,000000,0.0048392,0.0048392,0.0048392,0.0048392,0,0
JPYAUD,D,19850204,000000,0.0048208,0.0048208,0.0048208,0.0048208,0,0
JPYAUD,D,19850211,000000,0.0049299,0.0049299,0.0049299,0.0049299,0,0
JPYAUD,D,19850218,000000,0.00507,0.00507,0.00507,0.00507,0,0
JPYAUD,D,19850225,000000,0.005449,0.005449,0.005449,0.005449,0,0
JPYAUD,D,19850304,000000,0.005373,0.005373,0.005373,0.005373,0,0
JPYAUD,D,19850311,000000,0.005624,0.005624,0.005624,0.005624,0,0
JPYAUD,D,19850318,000000,0.005516,0.005516,0.005516,0.005516,0,0
JPYAUD,D,19850325,000000,0.005563,0.005563,0.005563,0.005563,0,0
