<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHOCHF1M,D,20000629,000000,2.6827,2.6827,2.6827,2.6827,0,0
CHOCHF1M,D,20000630,000000,2.6953,2.6953,2.6953,2.6953,0,0
CHOCHF1M,D,20000703,000000,2.7038,2.7038,2.7038,2.7038,0,0
CHOCHF1M,D,20000704,000000,2.7494,2.7494,2.7494,2.7494,0,0
CHOCHF1M,D,20000705,000000,2.7589,2.7589,2.7589,2.7589,0,0
CHOCHF1M,D,20000706,000000,2.7706,2.7706,2.7706,2.7706,0,0
CHOCHF1M,D,20000707,000000,2.8025,2.8025,2.8025,2.8025,0,0
CHOCHF1M,D,20000710,000000,2.8215,2.8215,2.8215,2.8215,0,0
CHOCHF1M,D,20000711,000000,2.8303,2.8303,2.8303,2.8303,0,0
CHOCHF1M,D,20000712,000000,2.8908,2.8908,2.8908,2.8908,0,0
CHOCHF1M,D,20000713,000000,2.9139,2.9139,2.9139,2.9139,0,0
CHOCHF1M,D,20000714,000000,2.9475,2.9475,2.9475,2.9475,0,0
CHOCHF1M,D,20000717,000000,2.9585,2.9585,2.9585,2.9585,0,0
CHOCHF1M,D,20000718,000000,2.9924,2.9924,2.9924,2.9924,0,0
CHOCHF1M,D,20000719,000000,2.9893,2.9893,2.9893,2.9893,0,0
CHOCHF1M,D,20000720,000000,2.9811,2.9811,2.9811,2.9811,0,0
CHOCHF1M,D,20000721,000000,2.9136,2.9136,2.9136,2.9136,0,0
CHOCHF1M,D,20000724,000000,2.8939,2.8939,2.8939,2.8939,0,0
CHOCHF1M,D,20000725,000000,2.878,2.878,2.878,2.878,0,0
CHOCHF1M,D,20000726,000000,2.8752,2.8752,2.8752,2.8752,0,0
CHOCHF1M,D,20000727,000000,2.874,2.874,2.874,2.874,0,0
CHOCHF1M,D,20000728,000000,2.8387,2.8387,2.8387,2.8387,0,0
CHOCHF1M,D,20000731,000000,2.8128,2.8128,2.8128,2.8128,0,0
CHOCHF1M,D,20000802,000000,2.8111,2.8111,2.8111,2.8111,0,0
CHOCHF1M,D,20000803,000000,2.8111,2.8111,2.8111,2.8111,0,0
CHOCHF1M,D,20000804,000000,2.7959,2.7959,2.7959,2.7959,0,0
CHOCHF1M,D,20000807,000000,2.7883,2.7883,2.7883,2.7883,0,0
CHOCHF1M,D,20000808,000000,2.7869,2.7869,2.7869,2.7869,0,0
CHOCHF1M,D,20000809,000000,2.7669,2.7669,2.7669,2.7669,0,0
CHOCHF1M,D,20000810,000000,2.7555,2.7555,2.7555,2.7555,0,0
CHOCHF1M,D,20000811,000000,2.7277,2.7277,2.7277,2.7277,0,0
CHOCHF1M,D,20000814,000000,2.7122,2.7122,2.7122,2.7122,0,0
CHOCHF1M,D,20000815,000000,2.7151,2.7151,2.7151,2.7151,0,0
CHOCHF1M,D,20000816,000000,2.6856,2.6856,2.6856,2.6856,0,0
CHOCHF1M,D,20000817,000000,2.6871,2.6871,2.6871,2.6871,0,0
CHOCHF1M,D,20000818,000000,2.6935,2.6935,2.6935,2.6935,0,0
CHOCHF1M,D,20000821,000000,2.7056,2.7056,2.7056,2.7056,0,0
CHOCHF1M,D,20000822,000000,2.7148,2.7148,2.7148,2.7148,0,0
CHOCHF1M,D,20000823,000000,2.7641,2.7641,2.7641,2.7641,0,0
CHOCHF1M,D,20000824,000000,2.7811,2.7811,2.7811,2.7811,0,0
CHOCHF1M,D,20000825,000000,2.8038,2.8038,2.8038,2.8038,0,0
CHOCHF1M,D,20000828,000000,2.8088,2.8088,2.8088,2.8088,0,0
CHOCHF1M,D,20000829,000000,2.8064,2.8064,2.8064,2.8064,0,0
CHOCHF1M,D,20000830,000000,2.8418,2.8418,2.8418,2.8418,0,0
CHOCHF1M,D,20000831,000000,2.8552,2.8552,2.8552,2.8552,0,0
CHOCHF1M,D,20000901,000000,2.8733,2.8733,2.8733,2.8733,0,0
