<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHOCHF1W,D,20000629,000000,2.9474,2.9474,2.9474,2.9474,0,0
CHOCHF1W,D,20000630,000000,2.9522,2.9522,2.9522,2.9522,0,0
CHOCHF1W,D,20000703,000000,2.954,2.954,2.954,2.954,0,0
CHOCHF1W,D,20000704,000000,2.9619,2.9619,2.9619,2.9619,0,0
CHOCHF1W,D,20000705,000000,2.9647,2.9647,2.9647,2.9647,0,0
CHOCHF1W,D,20000706,000000,2.9789,2.9789,2.9789,2.9789,0,0
CHOCHF1W,D,20000707,000000,2.9495,2.9495,2.9495,2.9495,0,0
CHOCHF1W,D,20000710,000000,2.9651,2.9651,2.9651,2.9651,0,0
CHOCHF1W,D,20000711,000000,2.9921,2.9921,2.9921,2.9921,0,0
CHOCHF1W,D,20000712,000000,3.0215,3.0215,3.0215,3.0215,0,0
CHOCHF1W,D,20000713,000000,3.0452,3.0452,3.0452,3.0452,0,0
CHOCHF1W,D,20000714,000000,3.0925,3.0925,3.0925,3.0925,0,0
CHOCHF1W,D,20000717,000000,3.0777,3.0777,3.0777,3.0777,0,0
CHOCHF1W,D,20000718,000000,3.0449,3.0449,3.0449,3.0449,0,0
CHOCHF1W,D,20000719,000000,2.9891,2.9891,2.9891,2.9891,0,0
CHOCHF1W,D,20000720,000000,2.9076,2.9076,2.9076,2.9076,0,0
CHOCHF1W,D,20000721,000000,2.5606,2.5606,2.5606,2.5606,0,0
CHOCHF1W,D,20000724,000000,2.4936,2.4936,2.4936,2.4936,0,0
CHOCHF1W,D,20000725,000000,2.4946,2.4946,2.4946,2.4946,0,0
CHOCHF1W,D,20000726,000000,2.5249,2.5249,2.5249,2.5249,0,0
CHOCHF1W,D,20000727,000000,2.561,2.561,2.561,2.561,0,0
CHOCHF1W,D,20000728,000000,2.6473,2.6473,2.6473,2.6473,0,0
CHOCHF1W,D,20000731,000000,2.6994,2.6994,2.6994,2.6994,0,0
CHOCHF1W,D,20000802,000000,2.6578,2.6578,2.6578,2.6578,0,0
CHOCHF1W,D,20000803,000000,2.6773,2.6773,2.6773,2.6773,0,0
CHOCHF1W,D,20000804,000000,2.7633,2.7633,2.7633,2.7633,0,0
CHOCHF1W,D,20000807,000000,2.7595,2.7595,2.7595,2.7595,0,0
CHOCHF1W,D,20000808,000000,2.7505,2.7505,2.7505,2.7505,0,0
CHOCHF1W,D,20000809,000000,2.7541,2.7541,2.7541,2.7541,0,0
CHOCHF1W,D,20000810,000000,2.7193,2.7193,2.7193,2.7193,0,0
CHOCHF1W,D,20000811,000000,2.7103,2.7103,2.7103,2.7103,0,0
CHOCHF1W,D,20000814,000000,2.6981,2.6981,2.6981,2.6981,0,0
CHOCHF1W,D,20000815,000000,2.7073,2.7073,2.7073,2.7073,0,0
CHOCHF1W,D,20000816,000000,2.7333,2.7333,2.7333,2.7333,0,0
CHOCHF1W,D,20000817,000000,2.7752,2.7752,2.7752,2.7752,0,0
CHOCHF1W,D,20000818,000000,2.8329,2.8329,2.8329,2.8329,0,0
CHOCHF1W,D,20000821,000000,2.8776,2.8776,2.8776,2.8776,0,0
CHOCHF1W,D,20000822,000000,2.906,2.906,2.906,2.906,0,0
CHOCHF1W,D,20000823,000000,2.9074,2.9074,2.9074,2.9074,0,0
CHOCHF1W,D,20000824,000000,2.9093,2.9093,2.9093,2.9093,0,0
CHOCHF1W,D,20000825,000000,3.0281,3.0281,3.0281,3.0281,0,0
CHOCHF1W,D,20000828,000000,3.0317,3.0317,3.0317,3.0317,0,0
CHOCHF1W,D,20000829,000000,2.9919,2.9919,2.9919,2.9919,0,0
CHOCHF1W,D,20000830,000000,2.9906,2.9906,2.9906,2.9906,0,0
CHOCHF1W,D,20000831,000000,3.0056,3.0056,3.0056,3.0056,0,0
CHOCHF1W,D,20000901,000000,2.975,2.975,2.975,2.975,0,0
CHOCHF1W,D,20000904,000000,2.991,2.991,2.991,2.991,0,0
CHOCHF1W,D,20000905,000000,3.0686,3.0686,3.0686,3.0686,0,0
CHOCHF1W,D,20000906,000000,3.1263,3.1263,3.1263,3.1263,0,0
CHOCHF1W,D,20000907,000000,3.1392,3.1392,3.1392,3.1392,0,0
CHOCHF1W,D,20000908,000000,3.2239,3.2239,3.2239,3.2239,0,0
CHOCHF1W,D,20000911,000000,3.2212,3.2212,3.2212,3.2212,0,0
CHOCHF1W,D,20000912,000000,3.1804,3.1804,3.1804,3.1804,0,0
CHOCHF1W,D,20000913,000000,3.1069,3.1069,3.1069,3.1069,0,0
