<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHOCHF1Y,D,20000629,000000,1.3559,1.3559,1.3559,1.3559,0,0
CHOCHF1Y,D,20000630,000000,1.3669,1.3669,1.3669,1.3669,0,0
CHOCHF1Y,D,20000703,000000,1.373,1.373,1.373,1.373,0,0
CHOCHF1Y,D,20000704,000000,1.3828,1.3828,1.3828,1.3828,0,0
CHOCHF1Y,D,20000705,000000,1.3886,1.3886,1.3886,1.3886,0,0
CHOCHF1Y,D,20000706,000000,1.3948,1.3948,1.3948,1.3948,0,0
CHOCHF1Y,D,20000707,000000,1.4098,1.4098,1.4098,1.4098,0,0
CHOCHF1Y,D,20000710,000000,1.4162,1.4162,1.4162,1.4162,0,0
CHOCHF1Y,D,20000711,000000,1.4263,1.4263,1.4263,1.4263,0,0
CHOCHF1Y,D,20000712,000000,1.4327,1.4327,1.4327,1.4327,0,0
CHOCHF1Y,D,20000713,000000,1.44,1.44,1.44,1.44,0,0
CHOCHF1Y,D,20000714,000000,1.4562,1.4562,1.4562,1.4562,0,0
CHOCHF1Y,D,20000717,000000,1.4627,1.4627,1.4627,1.4627,0,0
CHOCHF1Y,D,20000718,000000,1.4736,1.4736,1.4736,1.4736,0,0
CHOCHF1Y,D,20000719,000000,1.4794,1.4794,1.4794,1.4794,0,0
CHOCHF1Y,D,20000720,000000,1.485,1.485,1.485,1.485,0,0
CHOCHF1Y,D,20000721,000000,1.4946,1.4946,1.4946,1.4946,0,0
CHOCHF1Y,D,20000724,000000,1.5003,1.5003,1.5003,1.5003,0,0
CHOCHF1Y,D,20000725,000000,1.5119,1.5119,1.5119,1.5119,0,0
CHOCHF1Y,D,20000726,000000,1.5183,1.5183,1.5183,1.5183,0,0
CHOCHF1Y,D,20000727,000000,1.5246,1.5246,1.5246,1.5246,0,0
CHOCHF1Y,D,20000728,000000,1.5378,1.5378,1.5378,1.5378,0,0
CHOCHF1Y,D,20000731,000000,1.552,1.552,1.552,1.552,0,0
CHOCHF1Y,D,20000802,000000,1.5576,1.5576,1.5576,1.5576,0,0
CHOCHF1Y,D,20000803,000000,1.5641,1.5641,1.5641,1.5641,0,0
CHOCHF1Y,D,20000804,000000,1.576,1.576,1.576,1.576,0,0
CHOCHF1Y,D,20000807,000000,1.582,1.582,1.582,1.582,0,0
CHOCHF1Y,D,20000808,000000,1.5936,1.5936,1.5936,1.5936,0,0
CHOCHF1Y,D,20000809,000000,1.5997,1.5997,1.5997,1.5997,0,0
CHOCHF1Y,D,20000810,000000,1.6057,1.6057,1.6057,1.6057,0,0
CHOCHF1Y,D,20000811,000000,1.6179,1.6179,1.6179,1.6179,0,0
CHOCHF1Y,D,20000814,000000,1.6239,1.6239,1.6239,1.6239,0,0
CHOCHF1Y,D,20000815,000000,1.6347,1.6347,1.6347,1.6347,0,0
CHOCHF1Y,D,20000816,000000,1.6417,1.6417,1.6417,1.6417,0,0
CHOCHF1Y,D,20000817,000000,1.6485,1.6485,1.6485,1.6485,0,0
CHOCHF1Y,D,20000818,000000,1.6605,1.6605,1.6605,1.6605,0,0
CHOCHF1Y,D,20000821,000000,1.6664,1.6664,1.6664,1.6664,0,0
CHOCHF1Y,D,20000822,000000,1.6766,1.6766,1.6766,1.6766,0,0
CHOCHF1Y,D,20000823,000000,1.6827,1.6827,1.6827,1.6827,0,0
CHOCHF1Y,D,20000824,000000,1.6893,1.6893,1.6893,1.6893,0,0
CHOCHF1Y,D,20000825,000000,1.7046,1.7046,1.7046,1.7046,0,0
CHOCHF1Y,D,20000828,000000,1.7113,1.7113,1.7113,1.7113,0,0
CHOCHF1Y,D,20000829,000000,1.7233,1.7233,1.7233,1.7233,0,0
CHOCHF1Y,D,20000830,000000,1.7296,1.7296,1.7296,1.7296,0,0
CHOCHF1Y,D,20000831,000000,1.7365,1.7365,1.7365,1.7365,0,0
CHOCHF1Y,D,20000901,000000,1.7504,1.7504,1.7504,1.7504,0,0
CHOCHF1Y,D,20000904,000000,1.7575,1.7575,1.7575,1.7575,0,0
CHOCHF1Y,D,20000905,000000,1.7716,1.7716,1.7716,1.7716,0,0
CHOCHF1Y,D,20000906,000000,1.7793,1.7793,1.7793,1.7793,0,0
CHOCHF1Y,D,20000907,000000,1.7865,1.7865,1.7865,1.7865,0,0
CHOCHF1Y,D,20000908,000000,1.8018,1.8018,1.8018,1.8018,0,0
CHOCHF1Y,D,20000911,000000,1.8088,1.8088,1.8088,1.8088,0,0
CHOCHF1Y,D,20000912,000000,1.8211,1.8211,1.8211,1.8211,0,0
CHOCHF1Y,D,20000913,000000,1.827,1.827,1.827,1.827,0,0
CHOCHF1Y,D,20000914,000000,1.8331,1.8331,1.8331,1.8331,0,0
CHOCHF1Y,D,20000915,000000,1.8424,1.8424,1.8424,1.8424,0,0
CHOCHF1Y,D,20000918,000000,1.8479,1.8479,1.8479,1.8479,0,0
CHOCHF1Y,D,20000919,000000,1.859,1.859,1.859,1.859,0,0
CHOCHF1Y,D,20000920,000000,1.8653,1.8653,1.8653,1.8653,0,0
CHOCHF1Y,D,20000921,000000,1.8712,1.8712,1.8712,1.8712,0,0
CHOCHF1Y,D,20000922,000000,1.8864,1.8864,1.8864,1.8864,0,0
CHOCHF1Y,D,20000925,000000,1.893,1.893,1.893,1.893,0,0
CHOCHF1Y,D,20000926,000000,1.9054,1.9054,1.9054,1.9054,0,0
CHOCHF1Y,D,20000927,000000,1.9115,1.9115,1.9115,1.9115,0,0
CHOCHF1Y,D,20000928,000000,1.9197,1.9197,1.9197,1.9197,0,0
CHOCHF1Y,D,20000929,000000,1.9297,1.9297,1.9297,1.9297,0,0
CHOCHF1Y,D,20001002,000000,1.932,1.932,1.932,1.932,0,0
CHOCHF1Y,D,20001003,000000,1.9425,1.9425,1.9425,1.9425,0,0
CHOCHF1Y,D,20001004,000000,1.9474,1.9474,1.9474,1.9474,0,0
CHOCHF1Y,D,20001005,000000,1.9527,1.9527,1.9527,1.9527,0,0
CHOCHF1Y,D,20001006,000000,1.9643,1.9643,1.9643,1.9643,0,0
CHOCHF1Y,D,20001009,000000,1.9697,1.9697,1.9697,1.9697,0,0
CHOCHF1Y,D,20001010,000000,1.981,1.981,1.981,1.981,0,0
CHOCHF1Y,D,20001011,000000,1.9868,1.9868,1.9868,1.9868,0,0
CHOCHF1Y,D,20001012,000000,1.993,1.993,1.993,1.993,0,0
CHOCHF1Y,D,20001013,000000,2.004,2.004,2.004,2.004,0,0
CHOCHF1Y,D,20001016,000000,2.0098,2.0098,2.0098,2.0098,0,0
CHOCHF1Y,D,20001017,000000,2.0218,2.0218,2.0218,2.0218,0,0
CHOCHF1Y,D,20001018,000000,2.0251,2.0251,2.0251,2.0251,0,0
CHOCHF1Y,D,20001019,000000,2.0295,2.0295,2.0295,2.0295,0,0
CHOCHF1Y,D,20001020,000000,2.0416,2.0416,2.0416,2.0416,0,0
CHOCHF1Y,D,20001023,000000,2.048,2.048,2.048,2.048,0,0
CHOCHF1Y,D,20001024,000000,2.0619,2.0619,2.0619,2.0619,0,0
CHOCHF1Y,D,20001025,000000,2.0681,2.0681,2.0681,2.0681,0,0
CHOCHF1Y,D,20001026,000000,2.0737,2.0737,2.0737,2.0737,0,0
CHOCHF1Y,D,20001027,000000,2.0825,2.0825,2.0825,2.0825,0,0
CHOCHF1Y,D,20001030,000000,2.0885,2.0885,2.0885,2.0885,0,0
CHOCHF1Y,D,20001031,000000,2.1013,2.1013,2.1013,2.1013,0,0
CHOCHF1Y,D,20001101,000000,2.1076,2.1076,2.1076,2.1076,0,0
CHOCHF1Y,D,20001102,000000,2.114,2.114,2.114,2.114,0,0
CHOCHF1Y,D,20001103,000000,2.1262,2.1262,2.1262,2.1262,0,0
CHOCHF1Y,D,20001106,000000,2.132,2.132,2.132,2.132,0,0
CHOCHF1Y,D,20001107,000000,2.1438,2.1438,2.1438,2.1438,0,0
CHOCHF1Y,D,20001108,000000,2.1496,2.1496,2.1496,2.1496,0,0
CHOCHF1Y,D,20001109,000000,2.1556,2.1556,2.1556,2.1556,0,0
CHOCHF1Y,D,20001110,000000,2.165,2.165,2.165,2.165,0,0
CHOCHF1Y,D,20001113,000000,2.1714,2.1714,2.1714,2.1714,0,0
CHOCHF1Y,D,20001114,000000,2.1842,2.1842,2.1842,2.1842,0,0
CHOCHF1Y,D,20001115,000000,2.19,2.19,2.19,2.19,0,0
CHOCHF1Y,D,20001116,000000,2.1954,2.1954,2.1954,2.1954,0,0
CHOCHF1Y,D,20001117,000000,2.2056,2.2056,2.2056,2.2056,0,0
CHOCHF1Y,D,20001120,000000,2.2105,2.2105,2.2105,2.2105,0,0
CHOCHF1Y,D,20001121,000000,2.2206,2.2206,2.2206,2.2206,0,0
CHOCHF1Y,D,20001122,000000,2.2255,2.2255,2.2255,2.2255,0,0
CHOCHF1Y,D,20001123,000000,2.2308,2.2308,2.2308,2.2308,0,0
CHOCHF1Y,D,20001124,000000,2.2408,2.2408,2.2408,2.2408,0,0
CHOCHF1Y,D,20001127,000000,2.2465,2.2465,2.2465,2.2465,0,0
CHOCHF1Y,D,20001128,000000,2.2597,2.2597,2.2597,2.2597,0,0
CHOCHF1Y,D,20001129,000000,2.2651,2.2651,2.2651,2.2651,0,0
CHOCHF1Y,D,20001130,000000,2.2703,2.2703,2.2703,2.2703,0,0
CHOCHF1Y,D,20001201,000000,2.2793,2.2793,2.2793,2.2793,0,0
CHOCHF1Y,D,20001204,000000,2.285,2.285,2.285,2.285,0,0
CHOCHF1Y,D,20001205,000000,2.2971,2.2971,2.2971,2.2971,0,0
CHOCHF1Y,D,20001206,000000,2.3032,2.3032,2.3032,2.3032,0,0
CHOCHF1Y,D,20001207,000000,2.3093,2.3093,2.3093,2.3093,0,0
CHOCHF1Y,D,20001208,000000,2.3186,2.3186,2.3186,2.3186,0,0
CHOCHF1Y,D,20001211,000000,2.3243,2.3243,2.3243,2.3243,0,0
CHOCHF1Y,D,20001212,000000,2.3381,2.3381,2.3381,2.3381,0,0
CHOCHF1Y,D,20001213,000000,2.3454,2.3454,2.3454,2.3454,0,0
CHOCHF1Y,D,20001214,000000,2.3516,2.3516,2.3516,2.3516,0,0
CHOCHF1Y,D,20001215,000000,2.3612,2.3612,2.3612,2.3612,0,0
CHOCHF1Y,D,20001218,000000,2.3669,2.3669,2.3669,2.3669,0,0
CHOCHF1Y,D,20001219,000000,2.3806,2.3806,2.3806,2.3806,0,0
CHOCHF1Y,D,20001220,000000,2.3874,2.3874,2.3874,2.3874,0,0
CHOCHF1Y,D,20001221,000000,2.3938,2.3938,2.3938,2.3938,0,0
CHOCHF1Y,D,20001222,000000,2.418,2.418,2.418,2.418,0,0
CHOCHF1Y,D,20001227,000000,2.4381,2.4381,2.4381,2.4381,0,0
CHOCHF1Y,D,20001228,000000,2.4542,2.4542,2.4542,2.4542,0,0
CHOCHF1Y,D,20001229,000000,2.4775,2.4775,2.4775,2.4775,0,0
CHOCHF1Y,D,20010103,000000,2.4827,2.4827,2.4827,2.4827,0,0
CHOCHF1Y,D,20010104,000000,2.4898,2.4898,2.4898,2.4898,0,0
CHOCHF1Y,D,20010105,000000,2.5031,2.5031,2.5031,2.5031,0,0
CHOCHF1Y,D,20010108,000000,2.5107,2.5107,2.5107,2.5107,0,0
CHOCHF1Y,D,20010109,000000,2.5277,2.5277,2.5277,2.5277,0,0
CHOCHF1Y,D,20010110,000000,2.5348,2.5348,2.5348,2.5348,0,0
CHOCHF1Y,D,20010111,000000,2.5427,2.5427,2.5427,2.5427,0,0
CHOCHF1Y,D,20010112,000000,2.5555,2.5555,2.5555,2.5555,0,0
CHOCHF1Y,D,20010115,000000,2.5637,2.5637,2.5637,2.5637,0,0
CHOCHF1Y,D,20010116,000000,2.5829,2.5829,2.5829,2.5829,0,0
CHOCHF1Y,D,20010117,000000,2.5881,2.5881,2.5881,2.5881,0,0
CHOCHF1Y,D,20010118,000000,2.5931,2.5931,2.5931,2.5931,0,0
CHOCHF1Y,D,20010119,000000,2.6028,2.6028,2.6028,2.6028,0,0
CHOCHF1Y,D,20010122,000000,2.6088,2.6088,2.6088,2.6088,0,0
CHOCHF1Y,D,20010123,000000,2.621,2.621,2.621,2.621,0,0
CHOCHF1Y,D,20010124,000000,2.6262,2.6262,2.6262,2.6262,0,0
CHOCHF1Y,D,20010125,000000,2.6313,2.6313,2.6313,2.6313,0,0
CHOCHF1Y,D,20010126,000000,2.6391,2.6391,2.6391,2.6391,0,0
CHOCHF1Y,D,20010129,000000,2.6439,2.6439,2.6439,2.6439,0,0
CHOCHF1Y,D,20010130,000000,2.6536,2.6536,2.6536,2.6536,0,0
CHOCHF1Y,D,20010131,000000,2.6564,2.6564,2.6564,2.6564,0,0
CHOCHF1Y,D,20010201,000000,2.6604,2.6604,2.6604,2.6604,0,0
CHOCHF1Y,D,20010202,000000,2.67,2.67,2.67,2.67,0,0
CHOCHF1Y,D,20010205,000000,2.6748,2.6748,2.6748,2.6748,0,0
CHOCHF1Y,D,20010206,000000,2.6832,2.6832,2.6832,2.6832,0,0
CHOCHF1Y,D,20010207,000000,2.6874,2.6874,2.6874,2.6874,0,0
CHOCHF1Y,D,20010208,000000,2.6917,2.6917,2.6917,2.6917,0,0
CHOCHF1Y,D,20010209,000000,2.7004,2.7004,2.7004,2.7004,0,0
CHOCHF1Y,D,20010212,000000,2.7043,2.7043,2.7043,2.7043,0,0
CHOCHF1Y,D,20010213,000000,2.7124,2.7124,2.7124,2.7124,0,0
CHOCHF1Y,D,20010214,000000,2.7163,2.7163,2.7163,2.7163,0,0
CHOCHF1Y,D,20010215,000000,2.719,2.719,2.719,2.719,0,0
CHOCHF1Y,D,20010216,000000,2.7238,2.7238,2.7238,2.7238,0,0
CHOCHF1Y,D,20010219,000000,2.7279,2.7279,2.7279,2.7279,0,0
CHOCHF1Y,D,20010220,000000,2.7372,2.7372,2.7372,2.7372,0,0
CHOCHF1Y,D,20010221,000000,2.7427,2.7427,2.7427,2.7427,0,0
CHOCHF1Y,D,20010222,000000,2.7486,2.7486,2.7486,2.7486,0,0
CHOCHF1Y,D,20010223,000000,2.7558,2.7558,2.7558,2.7558,0,0
CHOCHF1Y,D,20010226,000000,2.7603,2.7603,2.7603,2.7603,0,0
CHOCHF1Y,D,20010227,000000,2.7743,2.7743,2.7743,2.7743,0,0
CHOCHF1Y,D,20010228,000000,2.7798,2.7798,2.7798,2.7798,0,0
CHOCHF1Y,D,20010301,000000,2.7847,2.7847,2.7847,2.7847,0,0
CHOCHF1Y,D,20010302,000000,2.794,2.794,2.794,2.794,0,0
CHOCHF1Y,D,20010305,000000,2.8091,2.8091,2.8091,2.8091,0,0
CHOCHF1Y,D,20010306,000000,2.8165,2.8165,2.8165,2.8165,0,0
CHOCHF1Y,D,20010307,000000,2.8241,2.8241,2.8241,2.8241,0,0
CHOCHF1Y,D,20010308,000000,2.8318,2.8318,2.8318,2.8318,0,0
CHOCHF1Y,D,20010309,000000,2.8444,2.8444,2.8444,2.8444,0,0
CHOCHF1Y,D,20010312,000000,2.8568,2.8568,2.8568,2.8568,0,0
CHOCHF1Y,D,20010313,000000,2.8612,2.8612,2.8612,2.8612,0,0
CHOCHF1Y,D,20010314,000000,2.8658,2.8658,2.8658,2.8658,0,0
CHOCHF1Y,D,20010315,000000,2.8706,2.8706,2.8706,2.8706,0,0
CHOCHF1Y,D,20010316,000000,2.8773,2.8773,2.8773,2.8773,0,0
CHOCHF1Y,D,20010319,000000,2.8938,2.8938,2.8938,2.8938,0,0
CHOCHF1Y,D,20010320,000000,2.9012,2.9012,2.9012,2.9012,0,0
CHOCHF1Y,D,20010321,000000,2.9091,2.9091,2.9091,2.9091,0,0
CHOCHF1Y,D,20010322,000000,2.9166,2.9166,2.9166,2.9166,0,0
CHOCHF1Y,D,20010323,000000,2.9243,2.9243,2.9243,2.9243,0,0
CHOCHF1Y,D,20010326,000000,2.9329,2.9329,2.9329,2.9329,0,0
CHOCHF1Y,D,20010327,000000,2.9354,2.9354,2.9354,2.9354,0,0
CHOCHF1Y,D,20010328,000000,2.9383,2.9383,2.9383,2.9383,0,0
CHOCHF1Y,D,20010329,000000,2.9428,2.9428,2.9428,2.9428,0,0
CHOCHF1Y,D,20010330,000000,2.9503,2.9503,2.9503,2.9503,0,0
