<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKOHKD1Y,D,20200402,000000,1.96786,1.96786,1.96786,1.96786,0,0
HKOHKD1Y,D,20200403,000000,1.97232,1.97232,1.97232,1.97232,0,0
HKOHKD1Y,D,20200406,000000,1.97071,1.97071,1.97071,1.97071,0,0
HKOHKD1Y,D,20200407,000000,1.96792,1.96792,1.96792,1.96792,0,0
HKOHKD1Y,D,20200408,000000,1.9672,1.9672,1.9672,1.9672,0,0
HKOHKD1Y,D,20200409,000000,1.95518,1.95518,1.95518,1.95518,0,0
HKOHKD1Y,D,20200414,000000,1.95518,1.95518,1.95518,1.95518,0,0
HKOHKD1Y,D,20200415,000000,1.96506,1.96506,1.96506,1.96506,0,0
HKOHKD1Y,D,20200416,000000,1.95589,1.95589,1.95589,1.95589,0,0
HKOHKD1Y,D,20200417,000000,1.95446,1.95446,1.95446,1.95446,0,0
HKOHKD1Y,D,20200420,000000,1.94524,1.94524,1.94524,1.94524,0,0
HKOHKD1Y,D,20200421,000000,1.94952,1.94952,1.94952,1.94952,0,0
HKOHKD1Y,D,20200422,000000,1.94738,1.94738,1.94738,1.94738,0,0
HKOHKD1Y,D,20200423,000000,1.94595,1.94595,1.94595,1.94595,0,0
HKOHKD1Y,D,20200424,000000,1.94738,1.94738,1.94738,1.94738,0,0
HKOHKD1Y,D,20200427,000000,1.93464,1.93464,1.93464,1.93464,0,0
HKOHKD1Y,D,20200428,000000,1.92321,1.92321,1.92321,1.92321,0,0
HKOHKD1Y,D,20200429,000000,1.91464,1.91464,1.91464,1.91464,0,0
HKOHKD1Y,D,20200504,000000,1.91464,1.91464,1.91464,1.91464,0,0
HKOHKD1Y,D,20200505,000000,1.83998,1.83998,1.83998,1.83998,0,0
HKOHKD1Y,D,20200506,000000,1.81179,1.81179,1.81179,1.81179,0,0
HKOHKD1Y,D,20200507,000000,1.80411,1.80411,1.80411,1.80411,0,0
HKOHKD1Y,D,20200508,000000,1.72732,1.72732,1.72732,1.72732,0,0
HKOHKD1Y,D,20200511,000000,1.68223,1.68223,1.68223,1.68223,0,0
HKOHKD1Y,D,20200512,000000,1.62875,1.62875,1.62875,1.62875,0,0
HKOHKD1Y,D,20200513,000000,1.58375,1.58375,1.58375,1.58375,0,0
HKOHKD1Y,D,20200514,000000,1.58089,1.58089,1.58089,1.58089,0,0
HKOHKD1Y,D,20200515,000000,1.54256,1.54256,1.54256,1.54256,0,0
HKOHKD1Y,D,20200518,000000,1.52595,1.52595,1.52595,1.52595,0,0
HKOHKD1Y,D,20200519,000000,1.51429,1.51429,1.51429,1.51429,0,0
HKOHKD1Y,D,20200520,000000,1.47458,1.47458,1.47458,1.47458,0,0
HKOHKD1Y,D,20200521,000000,1.4497,1.4497,1.4497,1.4497,0,0
HKOHKD1Y,D,20200522,000000,1.53196,1.53196,1.53196,1.53196,0,0
HKOHKD1Y,D,20200525,000000,1.68875,1.68875,1.68875,1.68875,0,0
HKOHKD1Y,D,20200526,000000,1.59357,1.59357,1.59357,1.59357,0,0
HKOHKD1Y,D,20200527,000000,1.56625,1.56625,1.56625,1.56625,0,0
HKOHKD1Y,D,20200528,000000,1.60304,1.60304,1.60304,1.60304,0,0
HKOHKD1Y,D,20200529,000000,1.60375,1.60375,1.60375,1.60375,0,0
HKOHKD1Y,D,20200601,000000,1.58036,1.58036,1.58036,1.58036,0,0
HKOHKD1Y,D,20200602,000000,1.56768,1.56768,1.56768,1.56768,0,0
HKOHKD1Y,D,20200603,000000,1.55411,1.55411,1.55411,1.55411,0,0
HKOHKD1Y,D,20200604,000000,1.55161,1.55161,1.55161,1.55161,0,0
HKOHKD1Y,D,20200605,000000,1.54524,1.54524,1.54524,1.54524,0,0
HKOHKD1Y,D,20200608,000000,1.54238,1.54238,1.54238,1.54238,0,0
HKOHKD1Y,D,20200609,000000,1.54,1.54,1.54,1.54,0,0
HKOHKD1Y,D,20200610,000000,1.46541,1.46541,1.46541,1.46541,0,0
HKOHKD1Y,D,20200611,000000,1.42591,1.42591,1.42591,1.42591,0,0
HKOHKD1Y,D,20200612,000000,1.40857,1.40857,1.40857,1.40857,0,0
HKOHKD1Y,D,20200615,000000,1.40429,1.40429,1.40429,1.40429,0,0
HKOHKD1Y,D,20200616,000000,1.40286,1.40286,1.40286,1.40286,0,0
HKOHKD1Y,D,20200617,000000,1.38232,1.38232,1.38232,1.38232,0,0
HKOHKD1Y,D,20200618,000000,1.36179,1.36179,1.36179,1.36179,0,0
HKOHKD1Y,D,20200619,000000,1.34425,1.34425,1.34425,1.34425,0,0
HKOHKD1Y,D,20200622,000000,1.33518,1.33518,1.33518,1.33518,0,0
HKOHKD1Y,D,20200623,000000,1.33661,1.33661,1.33661,1.33661,0,0
HKOHKD1Y,D,20200624,000000,1.33137,1.33137,1.33137,1.33137,0,0
HKOHKD1Y,D,20200626,000000,1.31116,1.31116,1.31116,1.31116,0,0
HKOHKD1Y,D,20200629,000000,1.31185,1.31185,1.31185,1.31185,0,0
HKOHKD1Y,D,20200630,000000,1.31643,1.31643,1.31643,1.31643,0,0
HKOHKD1Y,D,20200702,000000,1.31185,1.31185,1.31185,1.31185,0,0
HKOHKD1Y,D,20200703,000000,1.25571,1.25571,1.25571,1.25571,0,0
HKOHKD1Y,D,20200706,000000,1.21196,1.21196,1.21196,1.21196,0,0
HKOHKD1Y,D,20200707,000000,1.18607,1.18607,1.18607,1.18607,0,0
HKOHKD1Y,D,20200708,000000,1.13875,1.13875,1.13875,1.13875,0,0
HKOHKD1Y,D,20200709,000000,1.10429,1.10429,1.10429,1.10429,0,0
HKOHKD1Y,D,20200710,000000,1.08196,1.08196,1.08196,1.08196,0,0
HKOHKD1Y,D,20200713,000000,1.07816,1.07816,1.07816,1.07816,0,0
HKOHKD1Y,D,20200714,000000,1.04625,1.04625,1.04625,1.04625,0,0
HKOHKD1Y,D,20200715,000000,1.03175,1.03175,1.03175,1.03175,0,0
HKOHKD1Y,D,20200716,000000,1.01554,1.01554,1.01554,1.01554,0,0
HKOHKD1Y,D,20200717,000000,0.99339,0.99339,0.99339,0.99339,0,0
HKOHKD1Y,D,20200720,000000,0.99196,0.99196,0.99196,0.99196,0,0
HKOHKD1Y,D,20200721,000000,0.99077,0.99077,0.99077,0.99077,0,0
HKOHKD1Y,D,20200722,000000,0.98964,0.98964,0.98964,0.98964,0,0
HKOHKD1Y,D,20200723,000000,0.98893,0.98893,0.98893,0.98893,0,0
HKOHKD1Y,D,20200724,000000,0.98893,0.98893,0.98893,0.98893,0,0
HKOHKD1Y,D,20200727,000000,0.96911,0.96911,0.96911,0.96911,0,0
HKOHKD1Y,D,20200728,000000,0.96411,0.96411,0.96411,0.96411,0,0
HKOHKD1Y,D,20200729,000000,0.96339,0.96339,0.96339,0.96339,0,0
HKOHKD1Y,D,20200730,000000,0.96268,0.96268,0.96268,0.96268,0,0
HKOHKD1Y,D,20200731,000000,0.96696,0.96696,0.96696,0.96696,0,0
HKOHKD1Y,D,20200803,000000,0.96036,0.96036,0.96036,0.96036,0,0
HKOHKD1Y,D,20200804,000000,0.96565,0.96565,0.96565,0.96565,0,0
HKOHKD1Y,D,20200805,000000,0.9625,0.9625,0.9625,0.9625,0,0
HKOHKD1Y,D,20200806,000000,0.95875,0.95875,0.95875,0.95875,0,0
HKOHKD1Y,D,20200807,000000,0.95,0.95,0.95,0.95,0,0
HKOHKD1Y,D,20200810,000000,0.94268,0.94268,0.94268,0.94268,0,0
HKOHKD1Y,D,20200811,000000,0.93975,0.93975,0.93975,0.93975,0,0
HKOHKD1Y,D,20200812,000000,0.91625,0.91625,0.91625,0.91625,0,0
HKOHKD1Y,D,20200813,000000,0.91588,0.91588,0.91588,0.91588,0,0
HKOHKD1Y,D,20200814,000000,0.91482,0.91482,0.91482,0.91482,0,0
HKOHKD1Y,D,20200817,000000,0.9,0.9,0.9,0.9,0,0
HKOHKD1Y,D,20200818,000000,0.895,0.895,0.895,0.895,0,0
HKOHKD1Y,D,20200820,000000,0.895,0.895,0.895,0.895,0,0
HKOHKD1Y,D,20200821,000000,0.89571,0.89571,0.89571,0.89571,0,0
HKOHKD1Y,D,20200824,000000,0.87268,0.87268,0.87268,0.87268,0,0
HKOHKD1Y,D,20200825,000000,0.87268,0.87268,0.87268,0.87268,0,0
