<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKOHKD2M,D,20200402,000000,1.93607,1.93607,1.93607,1.93607,0,0
HKOHKD2M,D,20200403,000000,1.94214,1.94214,1.94214,1.94214,0,0
HKOHKD2M,D,20200406,000000,1.96006,1.96006,1.96006,1.96006,0,0
HKOHKD2M,D,20200407,000000,1.9622,1.9622,1.9622,1.9622,0,0
HKOHKD2M,D,20200408,000000,1.92196,1.92196,1.92196,1.92196,0,0
HKOHKD2M,D,20200409,000000,1.93351,1.93351,1.93351,1.93351,0,0
HKOHKD2M,D,20200414,000000,1.93423,1.93423,1.93423,1.93423,0,0
HKOHKD2M,D,20200415,000000,1.85054,1.85054,1.85054,1.85054,0,0
HKOHKD2M,D,20200416,000000,1.80661,1.80661,1.80661,1.80661,0,0
HKOHKD2M,D,20200417,000000,1.78702,1.78702,1.78702,1.78702,0,0
HKOHKD2M,D,20200420,000000,1.76339,1.76339,1.76339,1.76339,0,0
HKOHKD2M,D,20200421,000000,1.75161,1.75161,1.75161,1.75161,0,0
HKOHKD2M,D,20200422,000000,1.71268,1.71268,1.71268,1.71268,0,0
HKOHKD2M,D,20200423,000000,1.69738,1.69738,1.69738,1.69738,0,0
HKOHKD2M,D,20200424,000000,1.67494,1.67494,1.67494,1.67494,0,0
HKOHKD2M,D,20200427,000000,1.65143,1.65143,1.65143,1.65143,0,0
HKOHKD2M,D,20200428,000000,1.58304,1.58304,1.58304,1.58304,0,0
HKOHKD2M,D,20200429,000000,1.52786,1.52786,1.52786,1.52786,0,0
HKOHKD2M,D,20200504,000000,1.47929,1.47929,1.47929,1.47929,0,0
HKOHKD2M,D,20200505,000000,1.33,1.33,1.33,1.33,0,0
HKOHKD2M,D,20200506,000000,1.29464,1.29464,1.29464,1.29464,0,0
HKOHKD2M,D,20200507,000000,1.25107,1.25107,1.25107,1.25107,0,0
HKOHKD2M,D,20200508,000000,1.21714,1.21714,1.21714,1.21714,0,0
HKOHKD2M,D,20200511,000000,1.15054,1.15054,1.15054,1.15054,0,0
HKOHKD2M,D,20200512,000000,1.12071,1.12071,1.12071,1.12071,0,0
HKOHKD2M,D,20200513,000000,1.11036,1.11036,1.11036,1.11036,0,0
HKOHKD2M,D,20200514,000000,1.10839,1.10839,1.10839,1.10839,0,0
HKOHKD2M,D,20200515,000000,1.06149,1.06149,1.06149,1.06149,0,0
HKOHKD2M,D,20200518,000000,1.01649,1.01649,1.01649,1.01649,0,0
HKOHKD2M,D,20200519,000000,0.98601,0.98601,0.98601,0.98601,0,0
HKOHKD2M,D,20200520,000000,0.96982,0.96982,0.96982,0.96982,0,0
HKOHKD2M,D,20200521,000000,0.94667,0.94667,0.94667,0.94667,0,0
HKOHKD2M,D,20200522,000000,1.18893,1.18893,1.18893,1.18893,0,0
HKOHKD2M,D,20200525,000000,1.2525,1.2525,1.2525,1.2525,0,0
HKOHKD2M,D,20200526,000000,1.09786,1.09786,1.09786,1.09786,0,0
HKOHKD2M,D,20200527,000000,1.07708,1.07708,1.07708,1.07708,0,0
HKOHKD2M,D,20200528,000000,1.14667,1.14667,1.14667,1.14667,0,0
HKOHKD2M,D,20200529,000000,1.14524,1.14524,1.14524,1.14524,0,0
HKOHKD2M,D,20200601,000000,1.09857,1.09857,1.09857,1.09857,0,0
HKOHKD2M,D,20200602,000000,1.03179,1.03179,1.03179,1.03179,0,0
